Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",117945,"(+/- 5657 )",110281,"(+/- 5827 )",111390,"(+/- 7459 )",145022,"(+/- 6372 )",90490,"(+/- 4964 )",84530,"(+/- 4744 )",86349,"(+/- 5671 )",109703,"(+/- 5251 )",81694,"(+/- 4778 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",178027,"(+/- 5630 )",141298,"(+/- 5527 )",211354,"(+/- 7792 )",150916,"(+/- 5636 )",218124,"(+/- 6471 )",155803,"(+/- 7936 )",259250,"(+/- 10136 )",167792,"(+/- 8941 )",156975,"(+/- 9916 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8102,"(+/- 1695 )",7473,"(+/- 1769 )",12221,"(+/- 3507 )",6940,"(+/- 1780 )",6981,"(+/- 1450 )",6169,"(+/- 1624 )",9161,"(+/- 2098 )",5382,"(+/- 1337 )",6652,"(+/- 1533 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",423951,"(+/- 7689 )",405336,"(+/- 8563 )",471251,"(+/- 12194 )",412645,"(+/- 10054 )",481620,"(+/- 10624 )",477485,"(+/- 12740 )",529949,"(+/- 12894 )",434348,"(+/- 9702 )",541412,"(+/- 12665 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",56856,"(+/- 4003 )",52783,"(+/- 4189 )",58189,"(+/- 5135 )",60606,"(+/- 4797 )",41095,"(+/- 3193 )",38158,"(+/- 3558 )",54696,"(+/- 3835 )",44675,"(+/- 4036 )",41951,"(+/- 3626 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",147895,"(+/- 4446 )",155476,"(+/- 3862 )",98529,"(+/- 5327 )",222265,"(+/- 4175 )",140088,"(+/- 5614 )",148206,"(+/- 5365 )",59985,"(+/- 3824 )",181290,"(+/- 6670 )",93529,"(+/- 4729 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52987,"(+/- 3184 )",50025,"(+/- 3390 )",40980,"(+/- 3588 )",77476,"(+/- 4007 )",42414,"(+/- 3304 )",40203,"(+/- 2995 )",22492,"(+/- 2133 )",59646,"(+/- 3617 )",33091,"(+/- 2727 )"
People,"Residence 1 Year Ago","Population 1 year and over",762262,"(+/- 10171 )",717561,"(+/- 11042 )",787981,"(+/- 17072 )",802643,"(+/- 14128 )",831102,"(+/- 12615 )",775893,"(+/- 16202 )",841264,"(+/- 19431 )",786528,"(+/- 12860 )",784903,"(+/- 16960 )"
People,"Residence 1 Year Ago","Same house",641602,"(+/- 11436 )",584726,"(+/- 11266 )",652370,"(+/- 16529 )",662255,"(+/- 15408 )",687182,"(+/- 15330 )",647556,"(+/- 16311 )",716523,"(+/- 20141 )",671170,"(+/- 14825 )",624316,"(+/- 16776 )"
People,"Residence 1 Year Ago","Different house in the U.S.",118316,"(+/- 8359 )",129510,"(+/- 10417 )",129588,"(+/- 9930 )",134995,"(+/- 11186 )",139188,"(+/- 10602 )",123290,"(+/- 7943 )",120054,"(+/- 8942 )",112644,"(+/- 9162 )",154581,"(+/- 11716 )"
People,"Residence 1 Year Ago","Same county",54182,"(+/- 6551 )",81492,"(+/- 9216 )",92120,"(+/- 8908 )",62258,"(+/- 7558 )",96268,"(+/- 8814 )",88024,"(+/- 6912 )",99517,"(+/- 8148 )",81937,"(+/- 7801 )",116234,"(+/- 10104 )"
People,"Residence 1 Year Ago","Different county",64134,"(+/- 6005 )",48018,"(+/- 6264 )",37468,"(+/- 4615 )",72737,"(+/- 7911 )",42920,"(+/- 4990 )",35266,"(+/- 4338 )",20537,"(+/- 3676 )",30707,"(+/- 4195 )",38347,"(+/- 5421 )"
People,"Residence 1 Year Ago","Same state",35646,"(+/- 4557 )",17092,"(+/- 3302 )",13717,"(+/- 2606 )",23775,"(+/- 4087 )",9347,"(+/- 1942 )",4186,"(+/- 1282 )",2850,"(+/- 1030 )",2169,"(+/- 750 )",7638,"(+/- 1870 )"
People,"Residence 1 Year Ago","Different state",28488,"(+/- 3422 )",30926,"(+/- 4570 )",23751,"(+/- 4359 )",48962,"(+/- 7453 )",33573,"(+/- 4772 )",31080,"(+/- 4276 )",17687,"(+/- 3535 )",28538,"(+/- 4027 )",30709,"(+/- 4583 )"
People,"Residence 1 Year Ago",Abroad,2344,"(+/- 932 )",3325,"(+/- 1238 )",6023,"(+/- 2783 )",5393,"(+/- 1518 )",4732,"(+/- 1468 )",5047,"(+/- 1759 )",4687,"(+/- 2238 )",2714,"(+/- 964 )",6006,"(+/- 1469 )"
Workers,"Employment Status","Population 16 years and over",610678,"(+/- 9179 )",597284,"(+/- 8857 )",609929,"(+/- 12558 )",674859,"(+/- 11217 )",646420,"(+/- 11116 )",648333,"(+/- 13630 )",626383,"(+/- 14269 )",647366,"(+/- 9761 )",652755,"(+/- 13709 )"
Workers,"Employment Status","In labor force",306131,"(+/- 8879 )",343496,"(+/- 8147 )",356673,"(+/- 9922 )",324423,"(+/- 10023 )",412670,"(+/- 10403 )",422787,"(+/- 12455 )",417095,"(+/- 11477 )",373034,"(+/- 9195 )",459568,"(+/- 11865 )"
Workers,"Employment Status","Civilian labor force",305709,"(+/- 8821 )",334640,"(+/- 8267 )",353998,"(+/- 9873 )",320981,"(+/- 10092 )",412473,"(+/- 10393 )",422735,"(+/- 12447 )",417036,"(+/- 11467 )",369803,"(+/- 9127 )",459518,"(+/- 11845 )"
Workers,"Employment Status",Employed,283024,"(+/- 8053 )",315603,"(+/- 7678 )",332972,"(+/- 9746 )",296871,"(+/- 9642 )",395268,"(+/- 10174 )",407884,"(+/- 12169 )",388522,"(+/- 11365 )",352653,"(+/- 9048 )",442339,"(+/- 11554 )"
Workers,"Employment Status",Unemployed,22685,"(+/- 2321 )",19037,"(+/- 2864 )",21026,"(+/- 2450 )",24110,"(+/- 2815 )",17205,"(+/- 2220 )",14851,"(+/- 2051 )",28514,"(+/- 3436 )",17150,"(+/- 2231 )",17179,"(+/- 2294 )"
Workers,"Employment Status","Armed Forces",422,"(+/- 321 )",8856,"(+/- 1539 )",2675,"(+/- 1007 )",3442,"(+/- 1102 )",197,"(+/- 147 )",52,"(+/- 88 )",59,"(+/- 98 )",3231,"(+/- 881 )",50,"(+/- 93 )"
