Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","45 to 54 years",91465,"(+/- 4448 )",90689,"(+/- 4804 )",90865,"(+/- 4460 )",86419,"(+/- 4697 )",89270,"(+/- 4972 )",106251,"(+/- 4603 )",83168,"(+/- 5482 )",85484,"(+/- 4796 )",94961,"(+/- 4609 )",92258,"(+/- 3075 )",104669,"(+/- 4447 )",86514,"(+/- 2146 )",78123,"(+/- 2920 )",111662,"(+/- 4818 )",83814,"(+/- 2179 )",91475,"(+/- 2482 )",83346,"(+/- 2787 )",85621,"(+/- 2946 )"
People,"Sex and Age","55 to 59 years",49079,"(+/- 3729 )",41269,"(+/- 3420 )",49337,"(+/- 3880 )",38563,"(+/- 3391 )",42669,"(+/- 2925 )",58047,"(+/- 3247 )",41863,"(+/- 3557 )",45511,"(+/- 4251 )",50253,"(+/- 3427 )",49043,"(+/- 2897 )",44920,"(+/- 3522 )",47486,"(+/- 2848 )",43211,"(+/- 2687 )",52792,"(+/- 4259 )",53710,"(+/- 2604 )",50404,"(+/- 2459 )",46774,"(+/- 2802 )",50685,"(+/- 2798 )"
People,"Sex and Age","60 to 64 years",49220,"(+/- 3646 )",43797,"(+/- 3060 )",45882,"(+/- 3434 )",36197,"(+/- 3012 )",42050,"(+/- 3107 )",51885,"(+/- 3070 )",38607,"(+/- 3344 )",45245,"(+/- 3305 )",44286,"(+/- 3085 )",45256,"(+/- 2935 )",39739,"(+/- 2957 )",49464,"(+/- 2857 )",46523,"(+/- 2449 )",46001,"(+/- 3882 )",46407,"(+/- 2521 )",47717,"(+/- 2577 )",48032,"(+/- 2484 )",47943,"(+/- 2546 )"
People,"Sex and Age","65 to 74 years",61962,"(+/- 3362 )",62389,"(+/- 3787 )",60796,"(+/- 4298 )",45322,"(+/- 3680 )",54987,"(+/- 3807 )",69608,"(+/- 3744 )",59635,"(+/- 4213 )",59241,"(+/- 3621 )",69562,"(+/- 3674 )",62575,"(+/- 2903 )",55077,"(+/- 3249 )",68412,"(+/- 1679 )",63231,"(+/- 2635 )",61606,"(+/- 3592 )",72851,"(+/- 1682 )",71436,"(+/- 1906 )",71399,"(+/- 1934 )",73240,"(+/- 2099 )"
People,"Sex and Age","75 to 84 years",36074,"(+/- 2855 )",33264,"(+/- 2508 )",32860,"(+/- 2790 )",19331,"(+/- 2372 )",27106,"(+/- 2967 )",36399,"(+/- 3066 )",27912,"(+/- 2842 )",26950,"(+/- 2518 )",35499,"(+/- 2699 )",30533,"(+/- 2465 )",24153,"(+/- 2765 )",35318,"(+/- 2134 )",32123,"(+/- 2009 )",29514,"(+/- 2639 )",43394,"(+/- 2026 )",37865,"(+/- 1781 )",38668,"(+/- 2080 )",40688,"(+/- 1803 )"
People,"Sex and Age","85 years and over",14825,"(+/- 2215 )",15506,"(+/- 1740 )",14512,"(+/- 1797 )",7138,"(+/- 1517 )",13653,"(+/- 1704 )",13197,"(+/- 1783 )",8967,"(+/- 1610 )",11427,"(+/- 1799 )",21276,"(+/- 2061 )",16786,"(+/- 1939 )",10903,"(+/- 2058 )",14238,"(+/- 1750 )",16142,"(+/- 1587 )",11627,"(+/- 1668 )",17685,"(+/- 1480 )",15289,"(+/- 1395 )",16821,"(+/- 1779 )",19576,"(+/- 1841 )"
People,"Sex and Age","Median age (years)",39.1,"(+/- 1.2 )",37.9,"(+/- 0.9 )",38.7,"(+/- 1.0 )",33.9,"(+/- 0.6 )",35.5,"(+/- 0.6 )",41.5,"(+/- 0.8 )",35.0,"(+/- 0.6 )",37.0,"(+/- 0.7 )",40.3,"(+/- 0.8 )",38.3,"(+/- 0.5 )",36.8,"(+/- 0.6 )",39.9,"(+/- 0.6 )",36.3,"(+/- 0.5 )",39.4,"(+/- 0.7 )",41.3,"(+/- 0.5 )",41.5,"(+/- 0.6 )",40.4,"(+/- 0.5 )",40.9,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",551914,"(+/- 13080 )",524592,"(+/- 10149 )",538288,"(+/- 12124 )",534143,"(+/- 10232 )",608378,"(+/- 13268 )",561679,"(+/- 8017 )",573343,"(+/- 13576 )",539778,"(+/- 8571 )",564037,"(+/- 11250 )",544615,"(+/- 5638 )",543809,"(+/- 8263 )",536794,"(+/- 3043 )",563118,"(+/- 5588 )",552219,"(+/- 7441 )",537759,"(+/- 4084 )",539031,"(+/- 4565 )",529554,"(+/- 5106 )",542227,"(+/- 6824 )"
People,"Sex and Age","65 years and over",112861,"(+/- 5659 )",111159,"(+/- 4640 )",108168,"(+/- 5231 )",71791,"(+/- 4422 )",95746,"(+/- 5088 )",119204,"(+/- 5254 )",96514,"(+/- 5214 )",97618,"(+/- 5091 )",126337,"(+/- 4675 )",109894,"(+/- 3765 )",90133,"(+/- 4671 )",117968,"(+/- 2116 )",111496,"(+/- 3184 )",102747,"(+/- 4384 )",133930,"(+/- 2414 )",124590,"(+/- 2279 )",126888,"(+/- 2515 )",133504,"(+/- 2664 )"
People,Race,"Total population",706550,"(+/- 18246 )",694459,"(+/- 12990 )",704050,"(+/- 13980 )",702062,"(+/- 14207 )",743699,"(+/- 16300 )",730345,"(+/- 10985 )",707513,"(+/- 16445 )",707268,"(+/- 10987 )",721481,"(+/- 15297 )",711265,"(+/- 7485 )",722584,"(+/- 10156 )",687072,"(+/- 3605 )",704211,"(+/- 7858 )",742235,"(+/- 8939 )",691196,"(+/- 5707 )",684888,"(+/- 6443 )",679926,"(+/- 6737 )",700276,"(+/- 9229 )"
People,Race,"One race",694812,"(+/- 17782 )",680695,"(+/- 12998 )",688578,"(+/- 14268 )",682161,"(+/- 14787 )",717388,"(+/- 15750 )",710120,"(+/- 10246 )",689869,"(+/- 16459 )",688398,"(+/- 11370 )",695648,"(+/- 15184 )",691519,"(+/- 7482 )",692903,"(+/- 11280 )",669726,"(+/- 4146 )",686934,"(+/- 8524 )",720284,"(+/- 8905 )",679037,"(+/- 5760 )",669479,"(+/- 6476 )",657739,"(+/- 7955 )",684813,"(+/- 8707 )"
People,Race,White,303613,"(+/- 10233 )",253856,"(+/- 11699 )",554906,"(+/- 14536 )",420391,"(+/- 15147 )",594110,"(+/- 13677 )",600898,"(+/- 10618 )",264669,"(+/- 10371 )",454580,"(+/- 14135 )",507446,"(+/- 12496 )",493441,"(+/- 11542 )",496219,"(+/- 13220 )",533450,"(+/- 4525 )",570733,"(+/- 7486 )",645869,"(+/- 10817 )",639755,"(+/- 5413 )",619708,"(+/- 6027 )",553346,"(+/- 6882 )",628155,"(+/- 7229 )"
People,Race,"Black or African American",354097,"(+/- 15558 )",393578,"(+/- 13263 )",35460,"(+/- 4022 )",28977,"(+/- 4816 )",22900,"(+/- 3963 )",17193,"(+/- 3460 )",323450,"(+/- 14200 )",38308,"(+/- 6562 )",68026,"(+/- 8204 )",44334,"(+/- 3161 )",76321,"(+/- 6525 )",117582,"(+/- 3066 )",77759,"(+/- 3809 )",28485,"(+/- 6047 )",31004,"(+/- 3183 )",25648,"(+/- 3382 )",80141,"(+/- 4805 )",29816,"(+/- 3652 )"
People,Race,"American Indian and Alaska Native",301,"(+/- 263 )",1139,"(+/- 760 )",3459,"(+/- 2577 )",3538,"(+/- 1648 )",1120,"(+/- 588 )",955,"(+/- 612 )",1095,"(+/- 729 )",6590,"(+/- 3008 )",1847,"(+/- 1387 )",3364,"(+/- 1233 )",3335,"(+/- 1240 )",1329,"(+/- 559 )",1086,"(+/- 451 )",1023,"(+/- 1040 )",1228,"(+/- 613 )",1341,"(+/- 862 )",1776,"(+/- 637 )",1320,"(+/- 573 )"
People,Race,Asian,17443,"(+/- 3490 )",6314,"(+/- 2139 )",31306,"(+/- 5202 )",24719,"(+/- 3587 )",63328,"(+/- 7358 )",72910,"(+/- 6396 )",52122,"(+/- 4995 )",99254,"(+/- 8635 )",95553,"(+/- 7032 )",82379,"(+/- 6154 )",58102,"(+/- 6356 )",8924,"(+/- 971 )",31373,"(+/- 1813 )",28809,"(+/- 4265 )",3770,"(+/- 715 )",11044,"(+/- 1767 )",10393,"(+/- 2106 )",20195,"(+/- 2107 )"
People,Race,"Native Hawaiian and Other Pacific Islander",103,"(+/- 171 )",95,"(+/- 158 )",158,"(+/- 231 )",188,"(+/- 182 )",187,"(+/- 217 )",64,"(+/- 109 )",148,"(+/- 201 )",1736,"(+/- 1648 )",771,"(+/- 684 )",422,"(+/- 492 )",418,"(+/- 340 )",110,"(+/- 146 )",0,"(+/- 190 )",186,"(+/- 191 )",282,"(+/- 300 )",176,"(+/- 216 )",245,"(+/- 205 )",28,"(+/- 40 )"
People,Race,"Some other race",19255,"(+/- 5398 )",25713,"(+/- 5069 )",63289,"(+/- 9666 )",204348,"(+/- 12290 )",35743,"(+/- 5982 )",18100,"(+/- 5248 )",48385,"(+/- 8180 )",87930,"(+/- 11970 )",22005,"(+/- 5245 )",67579,"(+/- 9164 )",58508,"(+/- 8964 )",8331,"(+/- 1765 )",5983,"(+/- 1627 )",15912,"(+/- 4120 )",2998,"(+/- 1134 )",11562,"(+/- 2317 )",11838,"(+/- 2639 )",5299,"(+/- 1771 )"
People,Race,"Two or more races",11738,"(+/- 2322 )",13764,"(+/- 2345 )",15472,"(+/- 3015 )",19901,"(+/- 3321 )",26311,"(+/- 4297 )",20225,"(+/- 3769 )",17644,"(+/- 2949 )",18870,"(+/- 2911 )",25833,"(+/- 4286 )",19746,"(+/- 3350 )",29681,"(+/- 4918 )",17346,"(+/- 2736 )",17277,"(+/- 2696 )",21951,"(+/- 4184 )",12159,"(+/- 1915 )",15409,"(+/- 2338 )",22187,"(+/- 3642 )",15463,"(+/- 2473 )"
People,"Hispanic or Latino and Race","Total population",706550,"(+/- 18246 )",694459,"(+/- 12990 )",704050,"(+/- 13980 )",702062,"(+/- 14207 )",743699,"(+/- 16300 )",730345,"(+/- 10985 )",707513,"(+/- 16445 )",707268,"(+/- 10987 )",721481,"(+/- 15297 )",711265,"(+/- 7485 )",722584,"(+/- 10156 )",687072,"(+/- 3605 )",704211,"(+/- 7858 )",742235,"(+/- 8939 )",691196,"(+/- 5707 )",684888,"(+/- 6443 )",679926,"(+/- 6737 )",700276,"(+/- 9229 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",75300,"(+/- 7908 )",103443,"(+/- 8814 )",228203,"(+/- 12598 )",475571,"(+/- 13350 )",138791,"(+/- 10161 )",73998,"(+/- 8104 )",124242,"(+/- 11744 )",212650,"(+/- 13545 )",81079,"(+/- 8710 )",169408,"(+/- 6036 )",210124,"(+/- 9695 )",21908,"(+/- 1305 )",26122,"(+/- 2127 )",97239,"(+/- 8335 )",18636,"(+/- 1641 )",70798,"(+/- 3761 )",60034,"(+/- 3899 )",21322,"(+/- 2026 )"
People,"Hispanic or Latino and Race",Mexican,64100,"(+/- 7894 )",89274,"(+/- 8996 )",203691,"(+/- 12694 )",380924,"(+/- 12986 )",73185,"(+/- 8166 )",55227,"(+/- 8205 )",83866,"(+/- 10255 )",183602,"(+/- 12683 )",51109,"(+/- 7920 )",139766,"(+/- 7203 )",182623,"(+/- 9792 )",16135,"(+/- 2010 )",17230,"(+/- 2346 )",68882,"(+/- 7207 )",12964,"(+/- 1505 )",59070,"(+/- 4062 )",48926,"(+/- 4005 )",13454,"(+/- 2205 )"
People,"Hispanic or Latino and Race","Puerto Rican",5514,"(+/- 1881 )",9964,"(+/- 3481 )",10308,"(+/- 2344 )",51693,"(+/- 5698 )",29826,"(+/- 5556 )",4461,"(+/- 1273 )",21428,"(+/- 5514 )",10610,"(+/- 3043 )",11729,"(+/- 3181 )",10485,"(+/- 3182 )",12350,"(+/- 3215 )",1441,"(+/- 706 )",2927,"(+/- 1130 )",11268,"(+/- 3157 )",1385,"(+/- 622 )",5087,"(+/- 2080 )",3304,"(+/- 1032 )",2763,"(+/- 1084 )"
People,"Hispanic or Latino and Race",Cuban,461,"(+/- 427 )",282,"(+/- 208 )",812,"(+/- 862 )",3343,"(+/- 1259 )",3594,"(+/- 1125 )",1651,"(+/- 1104 )",2389,"(+/- 1413 )",1264,"(+/- 740 )",3394,"(+/- 1488 )",647,"(+/- 461 )",1331,"(+/- 851 )",401,"(+/- 474 )",463,"(+/- 403 )",2758,"(+/- 1663 )",118,"(+/- 113 )",2879,"(+/- 1616 )",1090,"(+/- 637 )",740,"(+/- 429 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5225,"(+/- 1671 )",3923,"(+/- 1596 )",13392,"(+/- 3013 )",39611,"(+/- 5494 )",32186,"(+/- 4234 )",12659,"(+/- 3479 )",16559,"(+/- 4157 )",17174,"(+/- 3642 )",14847,"(+/- 3055 )",18510,"(+/- 3630 )",13820,"(+/- 3321 )",3931,"(+/- 1375 )",5502,"(+/- 1704 )",14331,"(+/- 3968 )",4169,"(+/- 1572 )",3762,"(+/- 1652 )",6714,"(+/- 2243 )",4365,"(+/- 1568 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",631250,"(+/- 18167 )",591016,"(+/- 12916 )",475847,"(+/- 11926 )",226491,"(+/- 9947 )",604908,"(+/- 15724 )",656347,"(+/- 10885 )",583271,"(+/- 16622 )",494618,"(+/- 13949 )",640402,"(+/- 15034 )",541857,"(+/- 7994 )",512460,"(+/- 11492 )",665164,"(+/- 3752 )",678089,"(+/- 7317 )",644996,"(+/- 11333 )",672560,"(+/- 5740 )",614090,"(+/- 5817 )",619892,"(+/- 6575 )",678954,"(+/- 8620 )"
People,"Place of Birth","Total population",706550,"(+/- 18246 )",694459,"(+/- 12990 )",704050,"(+/- 13980 )",702062,"(+/- 14207 )",743699,"(+/- 16300 )",730345,"(+/- 10985 )",707513,"(+/- 16445 )",707268,"(+/- 10987 )",721481,"(+/- 15297 )",711265,"(+/- 7485 )",722584,"(+/- 10156 )",687072,"(+/- 3605 )",704211,"(+/- 7858 )",742235,"(+/- 8939 )",691196,"(+/- 5707 )",684888,"(+/- 6443 )",679926,"(+/- 6737 )",700276,"(+/- 9229 )"
People,"Place of Birth",Native,649831,"(+/- 18294 )",637454,"(+/- 12576 )",559949,"(+/- 12622 )",489031,"(+/- 13987 )",579602,"(+/- 14779 )",619634,"(+/- 10697 )",610516,"(+/- 15188 )",498879,"(+/- 10277 )",541135,"(+/- 12914 )",528525,"(+/- 9306 )",579852,"(+/- 9686 )",669600,"(+/- 4316 )",664354,"(+/- 8238 )",672362,"(+/- 9832 )",679033,"(+/- 5833 )",647500,"(+/- 5792 )",649371,"(+/- 6599 )",673139,"(+/- 9451 )"
People,"Place of Birth","Born in United States",643062,"(+/- 18471 )",633358,"(+/- 12598 )",550086,"(+/- 12646 )",465995,"(+/- 13870 )",565501,"(+/- 14329 )",612170,"(+/- 10691 )",601126,"(+/- 14764 )",488750,"(+/- 10485 )",529772,"(+/- 12915 )",518338,"(+/- 8776 )",570531,"(+/- 9167 )",662720,"(+/- 4344 )",659393,"(+/- 8277 )",665406,"(+/- 9853 )",675199,"(+/- 5965 )",642181,"(+/- 5816 )",643766,"(+/- 6821 )",668854,"(+/- 9481 )"
People,"Place of Birth","State of residence",539813,"(+/- 17510 )",525816,"(+/- 12504 )",490602,"(+/- 11634 )",393518,"(+/- 12489 )",406629,"(+/- 12427 )",474168,"(+/- 11325 )",440047,"(+/- 13648 )",419054,"(+/- 9975 )",382686,"(+/- 11820 )",386566,"(+/- 8294 )",470538,"(+/- 9240 )",468150,"(+/- 7602 )",523419,"(+/- 9256 )",531622,"(+/- 9565 )",519158,"(+/- 7417 )",527880,"(+/- 8022 )",493208,"(+/- 7995 )",539928,"(+/- 10072 )"
People,"Place of Birth","Different state",103249,"(+/- 6819 )",107542,"(+/- 6616 )",59484,"(+/- 4699 )",72477,"(+/- 4504 )",158872,"(+/- 6113 )",138002,"(+/- 7081 )",161079,"(+/- 8550 )",69696,"(+/- 5364 )",147086,"(+/- 5640 )",131772,"(+/- 5218 )",99993,"(+/- 5183 )",194570,"(+/- 6994 )",135974,"(+/- 5444 )",133784,"(+/- 6802 )",156041,"(+/- 5075 )",114301,"(+/- 5885 )",150558,"(+/- 6289 )",128926,"(+/- 6091 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6769,"(+/- 1861 )",4096,"(+/- 1176 )",9863,"(+/- 2130 )",23036,"(+/- 2500 )",14101,"(+/- 2530 )",7464,"(+/- 1609 )",9390,"(+/- 2418 )",10129,"(+/- 1768 )",11363,"(+/- 2243 )",10187,"(+/- 2156 )",9321,"(+/- 2355 )",6880,"(+/- 1662 )",4961,"(+/- 1007 )",6956,"(+/- 1920 )",3834,"(+/- 1179 )",5319,"(+/- 1382 )",5605,"(+/- 1497 )",4285,"(+/- 1298 )"
People,"Place of Birth","Foreign born",56719,"(+/- 6157 )",57005,"(+/- 6404 )",144101,"(+/- 8578 )",213031,"(+/- 10558 )",164097,"(+/- 8385 )",110711,"(+/- 7003 )",96997,"(+/- 8172 )",208389,"(+/- 8954 )",180346,"(+/- 8023 )",182740,"(+/- 6287 )",142732,"(+/- 7389 )",17472,"(+/- 2151 )",39857,"(+/- 3145 )",69873,"(+/- 6667 )",12163,"(+/- 1785 )",37388,"(+/- 3921 )",30555,"(+/- 2987 )",27137,"(+/- 2678 )"
People,Ancestry,"Total population",706550,"(+/- 18246 )",694459,"(+/- 12990 )",704050,"(+/- 13980 )",702062,"(+/- 14207 )",743699,"(+/- 16300 )",730345,"(+/- 10985 )",707513,"(+/- 16445 )",707268,"(+/- 10987 )",721481,"(+/- 15297 )",711265,"(+/- 7485 )",722584,"(+/- 10156 )",687072,"(+/- 3605 )",704211,"(+/- 7858 )",742235,"(+/- 8939 )",691196,"(+/- 5707 )",684888,"(+/- 6443 )",679926,"(+/- 6737 )",700276,"(+/- 9229 )"
People,Ancestry,American,13744,"(+/- 2384 )",17961,"(+/- 3565 )",15537,"(+/- 2557 )",10702,"(+/- 2072 )",19626,"(+/- 3155 )",18592,"(+/- 2900 )",10990,"(+/- 2719 )",15106,"(+/- 2952 )",17643,"(+/- 2295 )",21357,"(+/- 3118 )",12248,"(+/- 2507 )",37723,"(+/- 4307 )",40633,"(+/- 4165 )",24884,"(+/- 4740 )",56799,"(+/- 4213 )",26723,"(+/- 3663 )",45167,"(+/- 4528 )",49923,"(+/- 4217 )"
People,Ancestry,Arab,7922,"(+/- 3922 )",528,"(+/- 538 )",26409,"(+/- 6225 )",3170,"(+/- 1369 )",12442,"(+/- 3972 )",5617,"(+/- 1866 )",2679,"(+/- 960 )",2052,"(+/- 830 )",11434,"(+/- 3726 )",7689,"(+/- 3137 )",4248,"(+/- 2233 )",423,"(+/- 469 )",2272,"(+/- 1274 )",3686,"(+/- 2020 )",1288,"(+/- 1697 )",1587,"(+/- 781 )",1438,"(+/- 798 )",1769,"(+/- 843 )"
People,Ancestry,Czech,4110,"(+/- 1220 )",1468,"(+/- 663 )",9493,"(+/- 2279 )",5568,"(+/- 2094 )",6270,"(+/- 1208 )",13068,"(+/- 2243 )",2819,"(+/- 943 )",5283,"(+/- 1022 )",5420,"(+/- 1293 )",3777,"(+/- 1122 )",10098,"(+/- 1735 )",2375,"(+/- 911 )",2524,"(+/- 1037 )",9192,"(+/- 2644 )",1495,"(+/- 670 )",4915,"(+/- 1224 )",2392,"(+/- 588 )",2498,"(+/- 949 )"
People,Ancestry,Danish,1460,"(+/- 866 )",1122,"(+/- 431 )",1907,"(+/- 779 )",1993,"(+/- 1026 )",2832,"(+/- 880 )",4788,"(+/- 1448 )",1378,"(+/- 586 )",2481,"(+/- 1180 )",3840,"(+/- 1090 )",2427,"(+/- 737 )",2205,"(+/- 986 )",541,"(+/- 333 )",1421,"(+/- 588 )",5130,"(+/- 1425 )",694,"(+/- 319 )",4229,"(+/- 894 )",2246,"(+/- 710 )",2347,"(+/- 940 )"
People,Ancestry,Dutch,9422,"(+/- 1989 )",8600,"(+/- 1776 )",6504,"(+/- 1624 )",1894,"(+/- 736 )",6724,"(+/- 1448 )",11961,"(+/- 2096 )",3863,"(+/- 1144 )",4157,"(+/- 1180 )",7294,"(+/- 1637 )",6491,"(+/- 1414 )",5862,"(+/- 1152 )",6965,"(+/- 1335 )",7783,"(+/- 1657 )",12482,"(+/- 2754 )",8390,"(+/- 1701 )",10797,"(+/- 1725 )",15769,"(+/- 2338 )",10598,"(+/- 1759 )"
People,Ancestry,English,15300,"(+/- 2614 )",12118,"(+/- 1909 )",18866,"(+/- 2189 )",9980,"(+/- 1516 )",36999,"(+/- 3457 )",54262,"(+/- 5310 )",17765,"(+/- 2440 )",22089,"(+/- 2949 )",34547,"(+/- 3291 )",31539,"(+/- 3431 )",31382,"(+/- 3960 )",46503,"(+/- 4363 )",55910,"(+/- 4437 )",48792,"(+/- 4749 )",58289,"(+/- 4017 )",59960,"(+/- 4253 )",46709,"(+/- 3832 )",68101,"(+/- 5158 )"
