Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",104644,"(+/- 4808 )",103468,"(+/- 4699 )",103955,"(+/- 5075 )",99802,"(+/- 3019 )",104392,"(+/- 4519 )",103888,"(+/- 5171 )",85529,"(+/- 5121 )",94940,"(+/- 4128 )",87343,"(+/- 4606 )",90163,"(+/- 5386 )",99077,"(+/- 2718 )",73487,"(+/- 4930 )",99581,"(+/- 4861 )",89880,"(+/- 6052 )",93419,"(+/- 3809 )",97468,"(+/- 4152 )",99191,"(+/- 3080 )",103138,"(+/- 2616 )",96412,"(+/- 2221 )",92317,"(+/- 2602 )",94664,"(+/- 1930 )",87181,"(+/- 1807 )",84977,"(+/- 1981 )",91408,"(+/- 1192 )",90702,"(+/- 986 )",86367,"(+/- 2872 )",99945,"(+/- 3168 )"
People,"Sex and Age","55 to 59 years",54041,"(+/- 3736 )",54791,"(+/- 3769 )",57036,"(+/- 3602 )",49525,"(+/- 3413 )",56716,"(+/- 3589 )",55633,"(+/- 3696 )",40416,"(+/- 3030 )",46253,"(+/- 3056 )",43749,"(+/- 3274 )",38879,"(+/- 4204 )",51195,"(+/- 3076 )",35594,"(+/- 3784 )",47902,"(+/- 3462 )",42359,"(+/- 3763 )",43050,"(+/- 3607 )",51695,"(+/- 3684 )",46638,"(+/- 3013 )",51495,"(+/- 3315 )",55798,"(+/- 3216 )",47527,"(+/- 3215 )",52356,"(+/- 2265 )",50321,"(+/- 2660 )",52084,"(+/- 2416 )",51897,"(+/- 2778 )",45431,"(+/- 2565 )",47279,"(+/- 3037 )",58164,"(+/- 3636 )"
People,"Sex and Age","60 to 64 years",48042,"(+/- 3851 )",47744,"(+/- 3384 )",53632,"(+/- 3484 )",47462,"(+/- 3152 )",50407,"(+/- 3542 )",53828,"(+/- 3783 )",37033,"(+/- 3634 )",45379,"(+/- 3342 )",43659,"(+/- 3421 )",36654,"(+/- 3662 )",48634,"(+/- 2762 )",36166,"(+/- 4551 )",41398,"(+/- 3722 )",35621,"(+/- 3170 )",34636,"(+/- 2786 )",47552,"(+/- 3577 )",47508,"(+/- 2937 )",50432,"(+/- 2615 )",53879,"(+/- 3203 )",48185,"(+/- 2901 )",50563,"(+/- 2257 )",51159,"(+/- 2532 )",50500,"(+/- 2568 )",49717,"(+/- 2730 )",52724,"(+/- 2590 )",48137,"(+/- 3106 )",57742,"(+/- 2879 )"
People,"Sex and Age","65 to 74 years",73245,"(+/- 3211 )",62080,"(+/- 3651 )",77149,"(+/- 3512 )",70043,"(+/- 2818 )",63866,"(+/- 2833 )",74266,"(+/- 3524 )",49307,"(+/- 3734 )",65592,"(+/- 3211 )",64258,"(+/- 3844 )",63893,"(+/- 4534 )",70882,"(+/- 2229 )",58321,"(+/- 4606 )",56941,"(+/- 4532 )",51509,"(+/- 3605 )",47167,"(+/- 2898 )",64957,"(+/- 3503 )",68884,"(+/- 2659 )",66033,"(+/- 1651 )",83822,"(+/- 2048 )",70400,"(+/- 2165 )",74202,"(+/- 1502 )",72755,"(+/- 1081 )",75595,"(+/- 1404 )",69440,"(+/- 1010 )",70300,"(+/- 885 )",68441,"(+/- 2526 )",78247,"(+/- 2946 )"
People,"Sex and Age","75 to 84 years",40468,"(+/- 2846 )",31094,"(+/- 3011 )",46032,"(+/- 3543 )",36306,"(+/- 2390 )",34499,"(+/- 2541 )",38984,"(+/- 2966 )",25873,"(+/- 2539 )",36500,"(+/- 3247 )",32295,"(+/- 2925 )",33409,"(+/- 3367 )",37657,"(+/- 2112 )",35170,"(+/- 3370 )",32107,"(+/- 3206 )",31155,"(+/- 3189 )",25576,"(+/- 2277 )",42010,"(+/- 3218 )",35933,"(+/- 2602 )",31691,"(+/- 1904 )",42749,"(+/- 2286 )",35148,"(+/- 2292 )",36917,"(+/- 1647 )",38994,"(+/- 1753 )",38388,"(+/- 1434 )",35725,"(+/- 1743 )",35765,"(+/- 1745 )",36147,"(+/- 2006 )",41249,"(+/- 2155 )"
People,"Sex and Age","85 years and over",15291,"(+/- 1891 )",15811,"(+/- 2016 )",23439,"(+/- 2449 )",19043,"(+/- 2242 )",12282,"(+/- 1571 )",17036,"(+/- 2214 )",9801,"(+/- 1537 )",16737,"(+/- 2458 )",13506,"(+/- 1946 )",16857,"(+/- 2381 )",15038,"(+/- 1838 )",16717,"(+/- 2781 )",12590,"(+/- 1876 )",11791,"(+/- 1760 )",7598,"(+/- 1355 )",20835,"(+/- 2690 )",19321,"(+/- 2209 )",13092,"(+/- 1484 )",17548,"(+/- 1897 )",17760,"(+/- 2078 )",14768,"(+/- 1460 )",18748,"(+/- 1698 )",16529,"(+/- 1485 )",16996,"(+/- 1799 )",17225,"(+/- 1710 )",18663,"(+/- 2204 )",17607,"(+/- 1780 )"
People,"Sex and Age","Median age (years)",42.3,"(+/- 1.0 )",40.8,"(+/- 0.7 )",45.9,"(+/- 0.9 )",40.4,"(+/- 0.7 )",38.8,"(+/- 0.7 )",42.3,"(+/- 0.6 )",34.2,"(+/- 0.5 )",36.4,"(+/- 0.7 )",36.8,"(+/- 0.8 )",36.8,"(+/- 0.6 )",40.2,"(+/- 0.5 )",35.8,"(+/- 0.6 )",35.6,"(+/- 0.7 )",36.9,"(+/- 0.6 )",32.1,"(+/- 0.6 )",40.5,"(+/- 0.8 )",38.9,"(+/- 0.5 )",39.7,"(+/- 0.5 )",45.0,"(+/- 0.6 )",38.9,"(+/- 0.5 )",41.6,"(+/- 0.5 )",41.0,"(+/- 0.4 )",40.7,"(+/- 0.4 )",40.2,"(+/- 0.4 )",38.9,"(+/- 0.3 )",38.5,"(+/- 0.6 )",44.5,"(+/- 0.8 )"
People,"Sex and Age","18 years and over",566670,"(+/- 6490 )",559561,"(+/- 8891 )",563726,"(+/- 8325 )",567895,"(+/- 7227 )",593639,"(+/- 14623 )",597591,"(+/- 14072 )",551809,"(+/- 14012 )",621053,"(+/- 13278 )",577058,"(+/- 13116 )",571862,"(+/- 12356 )",571539,"(+/- 7732 )",620147,"(+/- 14182 )",636127,"(+/- 14292 )",557086,"(+/- 14107 )",542855,"(+/- 11752 )",572198,"(+/- 9049 )",562143,"(+/- 4626 )",557161,"(+/- 4347 )",571852,"(+/- 4649 )",580696,"(+/- 4695 )",562725,"(+/- 3482 )",554744,"(+/- 3082 )",557276,"(+/- 3039 )",555271,"(+/- 2165 )",568837,"(+/- 1885 )",563727,"(+/- 4487 )",572276,"(+/- 5578 )"
People,"Sex and Age","65 years and over",129004,"(+/- 4744 )",108985,"(+/- 5014 )",146620,"(+/- 4988 )",125392,"(+/- 3942 )",110647,"(+/- 3985 )",130286,"(+/- 4546 )",84981,"(+/- 4734 )",118829,"(+/- 5147 )",110059,"(+/- 4999 )",114159,"(+/- 5576 )",123577,"(+/- 2707 )",110208,"(+/- 5893 )",101638,"(+/- 5239 )",94455,"(+/- 4944 )",80341,"(+/- 3541 )",127802,"(+/- 4817 )",124138,"(+/- 3713 )",110816,"(+/- 2567 )",144119,"(+/- 2761 )",123308,"(+/- 2703 )",125887,"(+/- 1847 )",130497,"(+/- 1501 )",130512,"(+/- 1442 )",122161,"(+/- 1150 )",123290,"(+/- 1025 )",123251,"(+/- 3217 )",137103,"(+/- 3717 )"
People,Race,"Total population",718726,"(+/- 4733 )",709605,"(+/- 9596 )",707576,"(+/- 9548 )",729582,"(+/- 10656 )",757972,"(+/- 19470 )",734183,"(+/- 18479 )",720811,"(+/- 18558 )",791211,"(+/- 19332 )",730957,"(+/- 15833 )",711678,"(+/- 16485 )",732886,"(+/- 12122 )",698928,"(+/- 17290 )",795633,"(+/- 19089 )",706440,"(+/- 18824 )",743959,"(+/- 17471 )",732981,"(+/- 13275 )",741445,"(+/- 4863 )",722226,"(+/- 5836 )",700310,"(+/- 5135 )",722529,"(+/- 5179 )",701112,"(+/- 3853 )",697372,"(+/- 4021 )",693764,"(+/- 4130 )",701664,"(+/- 3167 )",718565,"(+/- 2469 )",707190,"(+/- 4282 )",712904,"(+/- 6119 )"
People,Race,"One race",702515,"(+/- 6709 )",689401,"(+/- 8796 )",691660,"(+/- 9904 )",708227,"(+/- 10730 )",728961,"(+/- 20015 )",709789,"(+/- 17474 )",685283,"(+/- 17425 )",763568,"(+/- 18785 )",705746,"(+/- 16337 )",686465,"(+/- 15429 )",709186,"(+/- 11811 )",675403,"(+/- 17344 )",743872,"(+/- 20688 )",680438,"(+/- 18716 )",712766,"(+/- 17325 )",706203,"(+/- 13134 )",718090,"(+/- 5646 )",695996,"(+/- 6795 )",678353,"(+/- 6603 )",691395,"(+/- 6008 )",689034,"(+/- 3928 )",682252,"(+/- 4343 )",677902,"(+/- 4478 )",681738,"(+/- 3792 )",696273,"(+/- 4230 )",681734,"(+/- 5523 )",702304,"(+/- 6370 )"
People,Race,White,616452,"(+/- 8245 )",555103,"(+/- 13260 )",518549,"(+/- 11515 )",468149,"(+/- 11041 )",132518,"(+/- 9837 )",313127,"(+/- 10881 )",363279,"(+/- 15085 )",246189,"(+/- 11390 )",262344,"(+/- 12592 )",495680,"(+/- 14275 )",498843,"(+/- 9833 )",506188,"(+/- 14832 )",203890,"(+/- 13498 )",298774,"(+/- 13437 )",128998,"(+/- 9509 )",334077,"(+/- 10823 )",516482,"(+/- 8815 )",550259,"(+/- 9268 )",614586,"(+/- 6804 )",567734,"(+/- 5095 )",643832,"(+/- 4040 )",619968,"(+/- 4921 )",626291,"(+/- 4762 )",591774,"(+/- 4072 )",537966,"(+/- 4311 )",497126,"(+/- 5901 )",667423,"(+/- 6741 )"
People,Race,"Black or African American",41995,"(+/- 5772 )",67496,"(+/- 5684 )",21650,"(+/- 3543 )",111129,"(+/- 7041 )",379126,"(+/- 10725 )",28153,"(+/- 4463 )",73871,"(+/- 6661 )",404883,"(+/- 12770 )",347766,"(+/- 11480 )",22645,"(+/- 3644 )",58687,"(+/- 4210 )",36314,"(+/- 5435 )",236352,"(+/- 11268 )",77660,"(+/- 7877 )",274909,"(+/- 15385 )",239144,"(+/- 12998 )",77079,"(+/- 4570 )",71762,"(+/- 2862 )",35432,"(+/- 3137 )",69955,"(+/- 4354 )",22513,"(+/- 1984 )",30253,"(+/- 1880 )",20315,"(+/- 2189 )",62932,"(+/- 2150 )",111729,"(+/- 3585 )",128856,"(+/- 3099 )",16653,"(+/- 2398 )"
People,Race,"American Indian and Alaska Native",1644,"(+/- 905 )",3816,"(+/- 2839 )",892,"(+/- 546 )",5570,"(+/- 2897 )",3641,"(+/- 1760 )",3609,"(+/- 1879 )",3175,"(+/- 1510 )",1929,"(+/- 1760 )",1889,"(+/- 1496 )",2626,"(+/- 2254 )",958,"(+/- 673 )",2940,"(+/- 2220 )",8199,"(+/- 3152 )",3261,"(+/- 1543 )",5635,"(+/- 1746 )",2789,"(+/- 1236 )",1040,"(+/- 723 )",1710,"(+/- 858 )",1955,"(+/- 905 )",2447,"(+/- 1482 )",5670,"(+/- 1224 )",1584,"(+/- 585 )",4333,"(+/- 797 )",3461,"(+/- 1268 )",3122,"(+/- 1351 )",2773,"(+/- 969 )",3644,"(+/- 1087 )"
People,Race,Asian,32067,"(+/- 3618 )",20864,"(+/- 4189 )",125574,"(+/- 8205 )",53464,"(+/- 4843 )",110675,"(+/- 10671 )",292880,"(+/- 11895 )",121103,"(+/- 7618 )",49353,"(+/- 5974 )",57532,"(+/- 6075 )",134537,"(+/- 8490 )",107802,"(+/- 5642 )",98828,"(+/- 7624 )",37783,"(+/- 5113 )",120878,"(+/- 8077 )",17342,"(+/- 3558 )",36612,"(+/- 3971 )",47212,"(+/- 3313 )",21323,"(+/- 1880 )",11050,"(+/- 1636 )",37561,"(+/- 1951 )",7630,"(+/- 1611 )",22291,"(+/- 1059 )",16129,"(+/- 1299 )",17694,"(+/- 1780 )",28244,"(+/- 1293 )",31890,"(+/- 2111 )",7795,"(+/- 2088 )"
People,Race,"Native Hawaiian and Other Pacific Islander",148,"(+/- 187 )",435,"(+/- 613 )",86,"(+/- 140 )",656,"(+/- 762 )",717,"(+/- 691 )",52,"(+/- 91 )",973,"(+/- 728 )",77,"(+/- 104 )",80,"(+/- 202 )",87,"(+/- 121 )",350,"(+/- 313 )",541,"(+/- 690 )",428,"(+/- 484 )",0,"(+/- 201 )",1700,"(+/- 1740 )",305,"(+/- 442 )",163,"(+/- 188 )",426,"(+/- 371 )",11,"(+/- 23 )",1054,"(+/- 1388 )",512,"(+/- 314 )",111,"(+/- 183 )",214,"(+/- 242 )",105,"(+/- 106 )",171,"(+/- 234 )",22,"(+/- 43 )",0,"(+/- 201 )"
People,Race,"Some other race",10209,"(+/- 2633 )",41687,"(+/- 7756 )",24909,"(+/- 5284 )",69259,"(+/- 9338 )",102284,"(+/- 9997 )",71968,"(+/- 8259 )",122882,"(+/- 11611 )",61137,"(+/- 8743 )",36135,"(+/- 5940 )",30890,"(+/- 5639 )",42546,"(+/- 6866 )",30592,"(+/- 5482 )",257220,"(+/- 17855 )",179865,"(+/- 14546 )",284182,"(+/- 13867 )",93276,"(+/- 10732 )",76114,"(+/- 8440 )",50516,"(+/- 8269 )",15319,"(+/- 3533 )",12644,"(+/- 3004 )",8877,"(+/- 1313 )",8045,"(+/- 1986 )",10620,"(+/- 2047 )",5772,"(+/- 1633 )",15041,"(+/- 2914 )",21067,"(+/- 2815 )",6789,"(+/- 1639 )"
People,Race,"Two or more races",16211,"(+/- 4658 )",20204,"(+/- 3928 )",15916,"(+/- 3812 )",21355,"(+/- 4265 )",29011,"(+/- 4978 )",24394,"(+/- 4784 )",35528,"(+/- 5800 )",27643,"(+/- 4565 )",25211,"(+/- 3832 )",25213,"(+/- 4044 )",23700,"(+/- 4652 )",23525,"(+/- 3351 )",51761,"(+/- 8288 )",26002,"(+/- 4081 )",31193,"(+/- 5120 )",26778,"(+/- 4741 )",23355,"(+/- 3657 )",26230,"(+/- 4365 )",21957,"(+/- 3955 )",31134,"(+/- 4412 )",12078,"(+/- 1991 )",15120,"(+/- 2478 )",15862,"(+/- 2273 )",19926,"(+/- 2098 )",22292,"(+/- 3630 )",25456,"(+/- 3745 )",10600,"(+/- 2125 )"
People,"Hispanic or Latino and Race","Total population",718726,"(+/- 4733 )",709605,"(+/- 9596 )",707576,"(+/- 9548 )",729582,"(+/- 10656 )",757972,"(+/- 19470 )",734183,"(+/- 18479 )",720811,"(+/- 18558 )",791211,"(+/- 19332 )",730957,"(+/- 15833 )",711678,"(+/- 16485 )",732886,"(+/- 12122 )",698928,"(+/- 17290 )",795633,"(+/- 19089 )",706440,"(+/- 18824 )",743959,"(+/- 17471 )",732981,"(+/- 13275 )",741445,"(+/- 4863 )",722226,"(+/- 5836 )",700310,"(+/- 5135 )",722529,"(+/- 5179 )",701112,"(+/- 3853 )",697372,"(+/- 4021 )",693764,"(+/- 4130 )",701664,"(+/- 3167 )",718565,"(+/- 2469 )",707190,"(+/- 4282 )",712904,"(+/- 6119 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",114404,"(+/- 8600 )",169226,"(+/- 9533 )",73370,"(+/- 7579 )",162277,"(+/- 7494 )",135856,"(+/- 11848 )",153419,"(+/- 10202 )",286681,"(+/- 13791 )",141315,"(+/- 10780 )",81623,"(+/- 7780 )",91548,"(+/- 9470 )",134490,"(+/- 6475 )",86523,"(+/- 9773 )",438038,"(+/- 18420 )",356722,"(+/- 16789 )",486485,"(+/- 14443 )",197260,"(+/- 10013 )",159483,"(+/- 6391 )",128645,"(+/- 4554 )",57945,"(+/- 2955 )",49509,"(+/- 1627 )",24214,"(+/- 1482 )",27245,"(+/- 640 )",28333,"(+/- 680 )",32587,"(+/- 435 )",66334,"(+/- 635 )",49758,"(+/- 1653 )",19233,"(+/- 1852 )"
People,"Hispanic or Latino and Race",Mexican,10834,"(+/- 4635 )",6428,"(+/- 2163 )",3185,"(+/- 2121 )",10343,"(+/- 4972 )",5893,"(+/- 2464 )",16931,"(+/- 5198 )",48239,"(+/- 6331 )",15850,"(+/- 4390 )",17549,"(+/- 4934 )",27729,"(+/- 6198 )",28705,"(+/- 5985 )",13097,"(+/- 3838 )",54808,"(+/- 10202 )",57037,"(+/- 8380 )",51414,"(+/- 8332 )",33065,"(+/- 7046 )",20956,"(+/- 5372 )",26679,"(+/- 5033 )",10099,"(+/- 2967 )",4613,"(+/- 2248 )",6031,"(+/- 1332 )",4088,"(+/- 1523 )",5280,"(+/- 1553 )",5092,"(+/- 1524 )",4151,"(+/- 1195 )",3950,"(+/- 1373 )",5285,"(+/- 1323 )"
People,"Hispanic or Latino and Race","Puerto Rican",37123,"(+/- 7950 )",36298,"(+/- 6762 )",14028,"(+/- 2917 )",20944,"(+/- 4041 )",29415,"(+/- 4773 )",30469,"(+/- 5194 )",93813,"(+/- 9480 )",49525,"(+/- 6542 )",22171,"(+/- 4029 )",20853,"(+/- 3787 )",57299,"(+/- 5332 )",19738,"(+/- 3841 )",87113,"(+/- 10514 )",67159,"(+/- 8180 )",158063,"(+/- 11361 )",62284,"(+/- 8671 )",31975,"(+/- 4936 )",45973,"(+/- 5680 )",23312,"(+/- 3565 )",24698,"(+/- 3588 )",9325,"(+/- 1962 )",13574,"(+/- 2033 )",13510,"(+/- 1551 )",16500,"(+/- 2435 )",43237,"(+/- 3797 )",33115,"(+/- 3582 )",8557,"(+/- 1567 )"
People,"Hispanic or Latino and Race",Cuban,3024,"(+/- 1661 )",4026,"(+/- 2088 )",2780,"(+/- 1443 )",2242,"(+/- 1080 )",2325,"(+/- 1072 )",2001,"(+/- 671 )",3298,"(+/- 1182 )",3978,"(+/- 2419 )",2834,"(+/- 1108 )",3660,"(+/- 1598 )",2781,"(+/- 1115 )",4159,"(+/- 1698 )",5065,"(+/- 1845 )",4412,"(+/- 1672 )",4886,"(+/- 1607 )",5796,"(+/- 1545 )",5263,"(+/- 1789 )",2919,"(+/- 1615 )",1616,"(+/- 577 )",2206,"(+/- 1045 )",449,"(+/- 389 )",289,"(+/- 255 )",1156,"(+/- 693 )",2305,"(+/- 1182 )",5832,"(+/- 2451 )",824,"(+/- 540 )",348,"(+/- 409 )"
