Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",311043,"(+/- 13326 )",168405,"(+/- 1824 )",154616,"(+/- 8831 )",247081,"(+/- 13046 )"
People,"Hispanic or Latino and Race",Mexican,231197,"(+/- 13367 )",132307,"(+/- 5835 )",113264,"(+/- 9455 )",191597,"(+/- 10988 )"
People,"Hispanic or Latino and Race","Puerto Rican",6132,"(+/- 1464 )",3890,"(+/- 1266 )",6971,"(+/- 1737 )",8747,"(+/- 2456 )"
People,"Hispanic or Latino and Race",Cuban,20129,"(+/- 4161 )",2955,"(+/- 2467 )",3747,"(+/- 1263 )",8240,"(+/- 3303 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",53585,"(+/- 6044 )",29253,"(+/- 5303 )",30634,"(+/- 5735 )",38497,"(+/- 5772 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",374384,"(+/- 13839 )",561366,"(+/- 2120 )",692145,"(+/- 14734 )",525352,"(+/- 14112 )"
People,"Place of Birth","Total population",685427,"(+/- 17966 )",729771,"(+/- 2947 )",846761,"(+/- 15041 )",772433,"(+/- 16009 )"
People,"Place of Birth",Native,480281,"(+/- 15556 )",642740,"(+/- 5562 )",678015,"(+/- 14587 )",645670,"(+/- 15120 )"
People,"Place of Birth","Born in United States",467388,"(+/- 15384 )",632590,"(+/- 5834 )",660454,"(+/- 15024 )",633469,"(+/- 15361 )"
People,"Place of Birth","State of residence",163956,"(+/- 9843 )",235282,"(+/- 8374 )",195227,"(+/- 10422 )",225814,"(+/- 11438 )"
People,"Place of Birth","Different state",303432,"(+/- 10717 )",397308,"(+/- 9039 )",465227,"(+/- 12771 )",407655,"(+/- 12484 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",12893,"(+/- 2629 )",10150,"(+/- 1538 )",17561,"(+/- 3314 )",12201,"(+/- 2404 )"
People,"Place of Birth","Foreign born",205146,"(+/- 11092 )",87031,"(+/- 5266 )",168746,"(+/- 9767 )",126763,"(+/- 7976 )"
People,Ancestry,"Total population",685427,"(+/- 17966 )",729771,"(+/- 2947 )",846761,"(+/- 15041 )",772433,"(+/- 16009 )"
People,Ancestry,American,16909,"(+/- 2370 )",26412,"(+/- 3237 )",30341,"(+/- 4562 )",31207,"(+/- 4420 )"
People,Ancestry,Arab,2474,"(+/- 988 )",1617,"(+/- 709 )",6663,"(+/- 3413 )",2177,"(+/- 1051 )"
People,Ancestry,Czech,538,"(+/- 300 )",3739,"(+/- 1179 )",4513,"(+/- 1741 )",2168,"(+/- 948 )"
People,Ancestry,Danish,2765,"(+/- 1628 )",7811,"(+/- 2021 )",4681,"(+/- 1445 )",3617,"(+/- 1356 )"
People,Ancestry,Dutch,2366,"(+/- 698 )",10480,"(+/- 1783 )",6049,"(+/- 1635 )",7061,"(+/- 2483 )"
People,Ancestry,English,24757,"(+/- 3052 )",73913,"(+/- 6163 )",54002,"(+/- 5475 )",47257,"(+/- 4593 )"
People,Ancestry,"French (except Basque)",9890,"(+/- 1704 )",20432,"(+/- 2888 )",15130,"(+/- 2433 )",11893,"(+/- 2139 )"
People,Ancestry,"French Canadian",2046,"(+/- 713 )",4219,"(+/- 1221 )",4221,"(+/- 1221 )",2600,"(+/- 902 )"
People,Ancestry,German,38915,"(+/- 3445 )",102691,"(+/- 6131 )",85851,"(+/- 7020 )",69899,"(+/- 5818 )"
People,Ancestry,Greek,2823,"(+/- 941 )",2926,"(+/- 972 )",6201,"(+/- 1725 )",1953,"(+/- 969 )"
People,Ancestry,Hungarian,3237,"(+/- 1125 )",2308,"(+/- 899 )",4076,"(+/- 1121 )",3109,"(+/- 1525 )"
People,Ancestry,Irish,37294,"(+/- 3627 )",79990,"(+/- 5800 )",68676,"(+/- 5683 )",55060,"(+/- 5579 )"
People,Ancestry,Italian,24995,"(+/- 3756 )",43628,"(+/- 4026 )",54948,"(+/- 5239 )",41163,"(+/- 4969 )"
People,Ancestry,Lithuanian,412,"(+/- 214 )",1125,"(+/- 741 )",1889,"(+/- 630 )",1185,"(+/- 573 )"
People,Ancestry,Norwegian,4967,"(+/- 1092 )",15945,"(+/- 2435 )",10564,"(+/- 2022 )",6665,"(+/- 1608 )"
People,Ancestry,Polish,8428,"(+/- 1885 )",11174,"(+/- 1834 )",19690,"(+/- 2610 )",14129,"(+/- 2627 )"
People,Ancestry,Portuguese,2104,"(+/- 662 )",8329,"(+/- 1899 )",3270,"(+/- 1096 )",4038,"(+/- 1498 )"
People,Ancestry,Russian,5821,"(+/- 1665 )",5243,"(+/- 1226 )",10161,"(+/- 1881 )",4212,"(+/- 1170 )"
People,Ancestry,Scotch-Irish,2711,"(+/- 987 )",5748,"(+/- 1478 )",3904,"(+/- 1227 )",5397,"(+/- 2097 )"
People,Ancestry,Scottish,4036,"(+/- 945 )",15806,"(+/- 2443 )",12344,"(+/- 2328 )",13057,"(+/- 2504 )"
People,Ancestry,Slovak,384,"(+/- 281 )",322,"(+/- 314 )",2394,"(+/- 1524 )",238,"(+/- 185 )"
People,Ancestry,"Subsaharan African",19418,"(+/- 5280 )",2630,"(+/- 1040 )",14053,"(+/- 5332 )",7574,"(+/- 2687 )"
People,Ancestry,Swedish,3722,"(+/- 1080 )",12666,"(+/- 2437 )",9057,"(+/- 1779 )",6679,"(+/- 1509 )"
People,Ancestry,Swiss,768,"(+/- 421 )",2494,"(+/- 716 )",2299,"(+/- 1414 )",2677,"(+/- 1060 )"
People,Ancestry,Ukrainian,853,"(+/- 493 )",1013,"(+/- 449 )",2849,"(+/- 1085 )",1286,"(+/- 693 )"
People,Ancestry,Welsh,2129,"(+/- 728 )",3629,"(+/- 795 )",4538,"(+/- 1148 )",4550,"(+/- 1391 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3730,"(+/- 1723 )",541,"(+/- 510 )",1604,"(+/- 753 )",1633,"(+/- 784 )"
People,"Veteran Status","Civilian population 18 years and over",533753,"(+/- 12480 )",569629,"(+/- 2245 )",662005,"(+/- 11308 )",571356,"(+/- 10687 )"
People,"Veteran Status","Civilian veterans",39109,"(+/- 2840 )",57583,"(+/- 2959 )",55125,"(+/- 3293 )",59297,"(+/- 3840 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",679434,"(+/- 17897 )",720296,"(+/- 3386 )",843137,"(+/- 15008 )",755718,"(+/- 15971 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",99437,"(+/- 6001 )",90058,"(+/- 4196 )",85958,"(+/- 5699 )",97938,"(+/- 5901 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",151149,"(+/- 8370 )",158130,"(+/- 1690 )",183068,"(+/- 7998 )",195962,"(+/- 9075 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7642,"(+/- 1945 )",7150,"(+/- 1679 )",5653,"(+/- 1509 )",9884,"(+/- 2327 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",429397,"(+/- 10783 )",437725,"(+/- 2606 )",527275,"(+/- 10043 )",445255,"(+/- 10212 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53901,"(+/- 4119 )",42999,"(+/- 3504 )",41012,"(+/- 3823 )",46972,"(+/- 4041 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",98888,"(+/- 4525 )",124441,"(+/- 1787 )",132794,"(+/- 4420 )",114501,"(+/- 4331 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37894,"(+/- 3229 )",39909,"(+/- 2937 )",39293,"(+/- 3187 )",41082,"(+/- 3313 )"
People,"Residence 1 Year Ago","Population 1 year and over",678360,"(+/- 17863 )",722353,"(+/- 3104 )",839712,"(+/- 15450 )",763336,"(+/- 15640 )"
People,"Residence 1 Year Ago","Same house",545748,"(+/- 18291 )",600793,"(+/- 9847 )",707149,"(+/- 14609 )",641708,"(+/- 15271 )"
People,"Residence 1 Year Ago","Different house in the U.S.",127344,"(+/- 10175 )",119459,"(+/- 9328 )",129480,"(+/- 10212 )",117708,"(+/- 9746 )"
People,"Residence 1 Year Ago","Same county",96789,"(+/- 8549 )",69989,"(+/- 7045 )",92168,"(+/- 9674 )",80094,"(+/- 8204 )"
People,"Residence 1 Year Ago","Different county",30555,"(+/- 4921 )",49470,"(+/- 6474 )",37312,"(+/- 4424 )",37614,"(+/- 4985 )"
People,"Residence 1 Year Ago","Same state",2827,"(+/- 2072 )",16414,"(+/- 3487 )",1917,"(+/- 1109 )",6431,"(+/- 1894 )"
People,"Residence 1 Year Ago","Different state",27728,"(+/- 4250 )",33056,"(+/- 4804 )",35395,"(+/- 4388 )",31183,"(+/- 4509 )"
People,"Residence 1 Year Ago",Abroad,5268,"(+/- 1513 )",2101,"(+/- 850 )",3083,"(+/- 1151 )",3920,"(+/- 1434 )"
Workers,"Employment Status","Population 16 years and over",550207,"(+/- 12905 )",589673,"(+/- 2356 )",684151,"(+/- 11974 )",596959,"(+/- 11258 )"
Workers,"Employment Status","In labor force",340449,"(+/- 9265 )",381418,"(+/- 5118 )",454130,"(+/- 10222 )",363798,"(+/- 10249 )"
Workers,"Employment Status","Civilian labor force",340302,"(+/- 9281 )",379645,"(+/- 5121 )",452456,"(+/- 10247 )",358963,"(+/- 10166 )"
Workers,"Employment Status",Employed,315947,"(+/- 9314 )",362828,"(+/- 5285 )",429258,"(+/- 9917 )",338057,"(+/- 10102 )"
Workers,"Employment Status",Unemployed,24355,"(+/- 2607 )",16817,"(+/- 2144 )",23198,"(+/- 2615 )",20906,"(+/- 2292 )"
Workers,"Employment Status","Armed Forces",147,"(+/- 149 )",1773,"(+/- 698 )",1674,"(+/- 683 )",4835,"(+/- 1418 )"
Workers,"Employment Status","Not in labor force",209758,"(+/- 7879 )",208255,"(+/- 5000 )",230021,"(+/- 6757 )",233161,"(+/- 8040 )"
Workers,"Employment Status","Civilian labor force",340302,"(+/- 9281 )",379645,"(+/- 5121 )",452456,"(+/- 10247 )",358963,"(+/- 10166 )"
Workers,"Employment Status","Unemployment Rate",7.2,"(+/- 0.8 )",4.4,"(+/- 0.6 )",5.1,"(+/- 0.6 )",5.8,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",308619,"(+/- 9562 )",358533,"(+/- 5492 )",423878,"(+/- 9838 )",335738,"(+/- 10209 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",223383,"(+/- 8926 )",275273,"(+/- 6834 )",348454,"(+/- 9149 )",269661,"(+/- 10379 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",37525,"(+/- 3600 )",45076,"(+/- 3988 )",33973,"(+/- 3803 )",32679,"(+/- 3525 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",19794,"(+/- 2522 )",7612,"(+/- 1553 )",6701,"(+/- 1820 )",7634,"(+/- 1647 )"
Workers,"Commuting to Work",Walked,6124,"(+/- 1437 )",9365,"(+/- 1792 )",5969,"(+/- 1619 )",3552,"(+/- 966 )"
Workers,"Commuting to Work","Other means",13574,"(+/- 2020 )",5809,"(+/- 1221 )",6525,"(+/- 1404 )",8691,"(+/- 1764 )"
Workers,"Commuting to Work","Worked at home",8219,"(+/- 1515 )",15398,"(+/- 1823 )",22256,"(+/- 2924 )",13521,"(+/- 1879 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.3,"(+/- 0.8 )",23.6,"(+/- 0.7 )",23.1,"(+/- 0.5 )",28.3,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",315947,"(+/- 9314 )",362828,"(+/- 5285 )",429258,"(+/- 9917 )",338057,"(+/- 10102 )"
Workers,Occupation,"Management, business, science, and arts occupations",61025,"(+/- 3725 )",121919,"(+/- 5055 )",160567,"(+/- 6574 )",96589,"(+/- 5257 )"
Workers,Occupation,"Service occupations",108403,"(+/- 6037 )",68648,"(+/- 4510 )",98944,"(+/- 7054 )",84150,"(+/- 5751 )"
Workers,Occupation,"Sales and office occupations",71253,"(+/- 4119 )",77452,"(+/- 3533 )",107889,"(+/- 5320 )",78838,"(+/- 5593 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",32241,"(+/- 3169 )",39650,"(+/- 3206 )",23543,"(+/- 2703 )",35485,"(+/- 3815 )"
Workers,Occupation,"Production, transportation, and material moving occupations",43025,"(+/- 3582 )",55159,"(+/- 3500 )",38315,"(+/- 3909 )",42995,"(+/- 3296 )"
Workers,Industry,"Civilian employed population 16 years and over",315947,"(+/- 9314 )",362828,"(+/- 5285 )",429258,"(+/- 9917 )",338057,"(+/- 10102 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",914,"(+/- 454 )",14062,"(+/- 1685 )",1862,"(+/- 875 )",3674,"(+/- 1208 )"
Workers,Industry,Construction,24789,"(+/- 2678 )",31355,"(+/- 3149 )",23600,"(+/- 2819 )",30138,"(+/- 3337 )"
Workers,Industry,Manufacturing,11342,"(+/- 2066 )",29770,"(+/- 3128 )",13233,"(+/- 1916 )",13271,"(+/- 2023 )"
Workers,Industry,"Wholesale trade",6442,"(+/- 1567 )",10036,"(+/- 1524 )",6991,"(+/- 1512 )",6708,"(+/- 1710 )"
Workers,Industry,"Retail trade",40623,"(+/- 3305 )",41076,"(+/- 3622 )",45160,"(+/- 3483 )",35104,"(+/- 3427 )"
Workers,Industry,"Transportation and warehousing, and utilities",19950,"(+/- 2554 )",21005,"(+/- 2302 )",29068,"(+/- 3022 )",22112,"(+/- 2678 )"
Workers,Industry,Information,4238,"(+/- 1230 )",5225,"(+/- 1348 )",7223,"(+/- 1447 )",5981,"(+/- 1533 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",11635,"(+/- 1843 )",17051,"(+/- 2392 )",31539,"(+/- 3006 )",17913,"(+/- 2377 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",36812,"(+/- 3605 )",36401,"(+/- 2812 )",53233,"(+/- 4364 )",36005,"(+/- 3781 )"
Workers,Industry,"Educational services, and health care and social assistance",37077,"(+/- 3013 )",66179,"(+/- 4488 )",75136,"(+/- 4215 )",56677,"(+/- 4275 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",99063,"(+/- 6443 )",52583,"(+/- 3948 )",110031,"(+/- 5460 )",77690,"(+/- 5425 )"
Workers,Industry,"Other services, except public administration",17303,"(+/- 2058 )",16714,"(+/- 2082 )",17376,"(+/- 2863 )",16040,"(+/- 2549 )"
Workers,Industry,"Public administration",5759,"(+/- 1322 )",21371,"(+/- 2356 )",14806,"(+/- 2271 )",16744,"(+/- 2248 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",315947,"(+/- 9314 )",362828,"(+/- 5285 )",429258,"(+/- 9917 )",338057,"(+/- 10102 )"
Workers,"Class of Worker","Private wage and salary workers",276883,"(+/- 9406 )",287963,"(+/- 5034 )",354607,"(+/- 9257 )",275793,"(+/- 9741 )"
Workers,"Class of Worker","Government workers",21228,"(+/- 2780 )",51761,"(+/- 3835 )",47816,"(+/- 3243 )",45480,"(+/- 3904 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17212,"(+/- 2365 )",22570,"(+/- 2839 )",26007,"(+/- 2934 )",16326,"(+/- 2245 )"
Workers,"Class of Worker","Unpaid family workers",624,"(+/- 559 )",534,"(+/- 357 )",828,"(+/- 424 )",458,"(+/- 318 )"
Housing,"Housing Occupancy","Total housing units",303535,"(+/- 5305 )",318043,"(+/- 1551 )",353018,"(+/- 5211 )",294121,"(+/- 5474 )"
Housing,"Housing Occupancy","Occupied housing units",255618,"(+/- 5140 )",289415,"(+/- 3591 )",316876,"(+/- 5410 )",267901,"(+/- 5389 )"
Housing,"Housing Occupancy","Vacant housing units",47917,"(+/- 3404 )",28628,"(+/- 3270 )",36142,"(+/- 3626 )",26220,"(+/- 2639 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.4,"(+/- 0.8 )",1.5,"(+/- 0.5 )",1.5,"(+/- 0.7 )",1.4,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",14.3,"(+/- 1.5 )",4.8,"(+/- 1.3 )",7.6,"(+/- 1.7 )",4.7,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",255618,"(+/- 5140 )",289415,"(+/- 3591 )",316876,"(+/- 5410 )",267901,"(+/- 5389 )"
Housing,"Housing Tenure",Owner-occupied,102121,"(+/- 4014 )",179756,"(+/- 4168 )",192009,"(+/- 5403 )",167665,"(+/- 4320 )"
Housing,"Housing Tenure",Renter-occupied,153497,"(+/- 4888 )",109659,"(+/- 3936 )",124867,"(+/- 5075 )",100236,"(+/- 4293 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.84,"(+/- 0.08 )",2.60,"(+/- 0.05 )",2.77,"(+/- 0.06 )",2.84,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.52,"(+/- 0.07 )",2.28,"(+/- 0.07 )",2.49,"(+/- 0.08 )",2.83,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",255618,"(+/- 5140 )",289415,"(+/- 3591 )",316876,"(+/- 5410 )",267901,"(+/- 5389 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",76308,"(+/- 4201 )",64528,"(+/- 3769 )",81542,"(+/- 4381 )",65098,"(+/- 4259 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",50647,"(+/- 3545 )",51351,"(+/- 3597 )",73410,"(+/- 3976 )",53109,"(+/- 3367 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",56143,"(+/- 4233 )",66423,"(+/- 3623 )",74012,"(+/- 4505 )",63429,"(+/- 3871 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",40279,"(+/- 3061 )",61960,"(+/- 3267 )",62595,"(+/- 3591 )",56254,"(+/- 3010 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",20547,"(+/- 1848 )",27733,"(+/- 2161 )",20615,"(+/- 2118 )",21331,"(+/- 1833 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",11694,"(+/- 1399 )",17420,"(+/- 2024 )",4702,"(+/- 854 )",8680,"(+/- 1103 )"
Housing,Value,"Owner-occupied units",102121,"(+/- 4014 )",179756,"(+/- 4168 )",192009,"(+/- 5403 )",167665,"(+/- 4320 )"
Housing,Value,"Less than $50,000",6909,"(+/- 1077 )",8782,"(+/- 1160 )",2880,"(+/- 669 )",7378,"(+/- 1247 )"
Housing,Value,"$50,000 to $99,999",5805,"(+/- 998 )",6081,"(+/- 1181 )",2368,"(+/- 797 )",6513,"(+/- 1349 )"
Housing,Value,"$100,000 to $149,999",12952,"(+/- 1491 )",8093,"(+/- 1467 )",5381,"(+/- 964 )",10806,"(+/- 1699 )"
Housing,Value,"$150,000 to $199,999",19453,"(+/- 2066 )",15113,"(+/- 1692 )",8005,"(+/- 1250 )",17454,"(+/- 1701 )"
Housing,Value,"$200,000 to $299,999",37458,"(+/- 2090 )",39133,"(+/- 2895 )",54988,"(+/- 3858 )",61693,"(+/- 3105 )"
Housing,Value,"$300,000 to $499,999",14436,"(+/- 1623 )",67379,"(+/- 3161 )",85822,"(+/- 4385 )",51114,"(+/- 2941 )"
Housing,Value,"$500,000 to $999,999",3903,"(+/- 805 )",28298,"(+/- 1925 )",27344,"(+/- 2517 )",11108,"(+/- 1423 )"
Housing,Value,"$1,000,000 or more",1205,"(+/- 334 )",6877,"(+/- 1070 )",5221,"(+/- 979 )",1599,"(+/- 497 )"
Housing,Value,"Median (dollars)",214300,"(+/- 5135 )",329300,"(+/- 5605 )",339900,"(+/- 5483 )",269800,"(+/- 3952 )"
Housing,"Mortgage Status","Owner-occupied units",102121,"(+/- 4014 )",179756,"(+/- 4168 )",192009,"(+/- 5403 )",167665,"(+/- 4320 )"
Housing,"Mortgage Status","Housing units with a mortgage",59569,"(+/- 3632 )",119740,"(+/- 3952 )",139229,"(+/- 5212 )",116532,"(+/- 4050 )"
Housing,"Mortgage Status","Housing units without a mortgage",42552,"(+/- 2883 )",60016,"(+/- 3045 )",52780,"(+/- 3417 )",51133,"(+/- 2976 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",59569,"(+/- 3632 )",119740,"(+/- 3952 )",139229,"(+/- 5212 )",116532,"(+/- 4050 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",930,"(+/- 416 )",1381,"(+/- 570 )",928,"(+/- 438 )",712,"(+/- 365 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",16223,"(+/- 1695 )",15906,"(+/- 1860 )",11333,"(+/- 1544 )",19539,"(+/- 2155 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",23926,"(+/- 2282 )",37960,"(+/- 2660 )",40747,"(+/- 3487 )",40674,"(+/- 2827 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",11031,"(+/- 1589 )",32236,"(+/- 2521 )",43435,"(+/- 3713 )",31987,"(+/- 2759 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",3964,"(+/- 886 )",16559,"(+/- 1463 )",22251,"(+/- 2280 )",13301,"(+/- 1663 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2430,"(+/- 785 )",7422,"(+/- 1199 )",11488,"(+/- 1809 )",6318,"(+/- 1168 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1065,"(+/- 442 )",8276,"(+/- 1238 )",9047,"(+/- 1271 )",4001,"(+/- 958 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1234,"(+/- 32 )",1570,"(+/- 34 )",1680,"(+/- 34 )",1471,"(+/- 28 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",42552,"(+/- 2883 )",60016,"(+/- 3045 )",52780,"(+/- 3417 )",51133,"(+/- 2976 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",7473,"(+/- 1405 )",8352,"(+/- 1505 )",4932,"(+/- 1170 )",8137,"(+/- 1184 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",16395,"(+/- 1980 )",17539,"(+/- 1949 )",15453,"(+/- 1952 )",17870,"(+/- 1721 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",10893,"(+/- 1566 )",18435,"(+/- 1674 )",16831,"(+/- 2013 )",16945,"(+/- 1695 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",3711,"(+/- 887 )",8513,"(+/- 1320 )",7908,"(+/- 1399 )",4779,"(+/- 1002 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2356,"(+/- 611 )",3565,"(+/- 784 )",3787,"(+/- 907 )",1850,"(+/- 616 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1724,"(+/- 401 )",3612,"(+/- 830 )",3869,"(+/- 804 )",1552,"(+/- 495 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",372,"(+/- 17 )",438,"(+/- 14 )",460,"(+/- 15 )",397,"(+/- 12 )"
