People,"Place of Birth","Born in United States",716772,"(+/- 4316 )"
People,"Place of Birth","State of residence",479597,"(+/- 7329 )"
People,"Place of Birth","Different state",237175,"(+/- 7471 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7481,"(+/- 1668 )"
People,"Place of Birth","Foreign born",35824,"(+/- 3845 )"
People,Ancestry,"Total population",760077,(*****)
People,Ancestry,American,16156,"(+/- 2475 )"
People,Ancestry,Arab,5035,"(+/- 2425 )"
People,Ancestry,Czech,10996,"(+/- 1938 )"
People,Ancestry,Danish,6846,"(+/- 1509 )"
People,Ancestry,Dutch,8785,"(+/- 1605 )"
People,Ancestry,English,32625,"(+/- 3173 )"
People,Ancestry,"French (except Basque)",20130,"(+/- 2517 )"
People,Ancestry,"French Canadian",5665,"(+/- 1245 )"
People,Ancestry,German,287066,"(+/- 7691 )"
People,Ancestry,Greek,1022,"(+/- 696 )"
People,Ancestry,Hungarian,1830,"(+/- 652 )"
People,Ancestry,Irish,58906,"(+/- 6813 )"
People,Ancestry,Italian,9190,"(+/- 1977 )"
People,Ancestry,Lithuanian,116,"(+/- 157 )"
People,Ancestry,Norwegian,177118,"(+/- 7961 )"
People,Ancestry,Polish,15074,"(+/- 2047 )"
People,Ancestry,Portuguese,219,"(+/- 137 )"
People,Ancestry,Russian,22736,"(+/- 3028 )"
People,Ancestry,Scotch-Irish,5594,"(+/- 1381 )"
People,Ancestry,Scottish,8882,"(+/- 2054 )"
People,Ancestry,Slovak,963,"(+/- 742 )"
People,Ancestry,"Subsaharan African",14860,"(+/- 1370 )"
People,Ancestry,Swedish,29298,"(+/- 3125 )"
People,Ancestry,Swiss,1352,"(+/- 615 )"
People,Ancestry,Ukrainian,4176,"(+/- 1233 )"
People,Ancestry,Welsh,1898,"(+/- 537 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1699,"(+/- 1081 )"
People,"Veteran Status","Civilian population 18 years and over",579101,"(+/- 1418 )"
People,"Veteran Status","Civilian veterans",45135,"(+/- 2920 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",743793,"(+/- 1039 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",80979,"(+/- 3902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",174464,"(+/- 1177 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5932,"(+/- 1354 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",459075,"(+/- 1505 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",38215,"(+/- 3015 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",110254,"(+/- 888 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36832,"(+/- 2026 )"
People,"Residence 1 Year Ago","Population 1 year and over",749825,"(+/- 1391 )"
People,"Residence 1 Year Ago","Same house",623183,"(+/- 7019 )"
People,"Residence 1 Year Ago","Different house in the U.S.",122963,"(+/- 6710 )"
People,"Residence 1 Year Ago","Same county",64273,"(+/- 5657 )"
People,"Residence 1 Year Ago","Different county",58690,"(+/- 5619 )"
People,"Residence 1 Year Ago","Same state",24955,"(+/- 4098 )"
People,"Residence 1 Year Ago","Different state",33735,"(+/- 4338 )"
People,"Residence 1 Year Ago",Abroad,3679,"(+/- 1446 )"
Workers,"Employment Status","Population 16 years and over",601874,"(+/- 1455 )"
Workers,"Employment Status","In labor force",418771,"(+/- 5388 )"
Workers,"Employment Status","Civilian labor force",412509,"(+/- 5265 )"
Workers,"Employment Status",Employed,400818,"(+/- 5548 )"
Workers,"Employment Status",Unemployed,11691,"(+/- 1830 )"
Workers,"Employment Status","Armed Forces",6262,"(+/- 1039 )"
Workers,"Employment Status","Not in labor force",183103,"(+/- 5391 )"
Workers,"Employment Status","Civilian labor force",412509,"(+/- 5265 )"
Workers,"Employment Status","Unemployment Rate",2.8,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",398691,"(+/- 5661 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",327555,"(+/- 6654 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34811,"(+/- 3630 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2939,"(+/- 1259 )"
Workers,"Commuting to Work",Walked,13525,"(+/- 1631 )"
Workers,"Commuting to Work","Other means",4964,"(+/- 1125 )"
Workers,"Commuting to Work","Worked at home",14897,"(+/- 1634 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",17.7,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",400818,"(+/- 5548 )"
Workers,Occupation,"Management, business, science, and arts occupations",151241,"(+/- 5561 )"
Workers,Occupation,"Service occupations",72461,"(+/- 4264 )"
Workers,Occupation,"Sales and office occupations",73901,"(+/- 4349 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",48793,"(+/- 3069 )"
Workers,Occupation,"Production, transportation, and material moving occupations",54422,"(+/- 3683 )"
Workers,Industry,"Civilian employed population 16 years and over",400818,"(+/- 5548 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",38417,"(+/- 2437 )"
Workers,Industry,Construction,24743,"(+/- 2481 )"
Workers,Industry,Manufacturing,27951,"(+/- 2897 )"
Workers,Industry,"Wholesale trade",13127,"(+/- 1702 )"
Workers,Industry,"Retail trade",45560,"(+/- 3726 )"
Workers,Industry,"Transportation and warehousing, and utilities",23777,"(+/- 2870 )"
Workers,Industry,Information,4420,"(+/- 881 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23646,"(+/- 2737 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",25788,"(+/- 2768 )"
Workers,Industry,"Educational services, and health care and social assistance",106818,"(+/- 4966 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",30282,"(+/- 2848 )"
Workers,Industry,"Other services, except public administration",16129,"(+/- 1792 )"
Workers,Industry,"Public administration",20160,"(+/- 2671 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",400818,"(+/- 5548 )"
Workers,"Class of Worker","Private wage and salary workers",306772,"(+/- 7022 )"
Workers,"Class of Worker","Government workers",64092,"(+/- 3816 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",28740,"(+/- 2290 )"
Workers,"Class of Worker","Unpaid family workers",1214,"(+/- 429 )"
Housing,"Housing Occupancy","Total housing units",377661,"(+/- 359 )"
Housing,"Housing Occupancy","Occupied housing units",319355,"(+/- 4442 )"
Housing,"Housing Occupancy","Vacant housing units",58306,"(+/- 4493 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.5,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",10.8,"(+/- 2.1 )"
Housing,"Housing Tenure","Occupied housing units",319355,"(+/- 4442 )"
Housing,"Housing Tenure",Owner-occupied,199467,"(+/- 4766 )"
Housing,"Housing Tenure",Renter-occupied,119888,"(+/- 4888 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.49,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.99,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",319355,"(+/- 4442 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",75515,"(+/- 4228 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",54417,"(+/- 3659 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",59371,"(+/- 3103 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",57563,"(+/- 2740 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",32395,"(+/- 2268 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",40094,"(+/- 2276 )"
Housing,Value,"Owner-occupied units",199467,"(+/- 4766 )"
Housing,Value,"Less than $50,000",21151,"(+/- 1545 )"
Housing,Value,"$50,000 to $99,999",22521,"(+/- 1634 )"
Housing,Value,"$100,000 to $149,999",23273,"(+/- 1889 )"
Housing,Value,"$150,000 to $199,999",33663,"(+/- 2359 )"
Housing,Value,"$200,000 to $299,999",53140,"(+/- 3542 )"
Housing,Value,"$300,000 to $499,999",34408,"(+/- 2218 )"
Housing,Value,"$500,000 to $999,999",10029,"(+/- 1632 )"
Housing,Value,"$1,000,000 or more",1282,"(+/- 681 )"
Housing,Value,"Median (dollars)",198700,"(+/- 4472 )"
Housing,"Mortgage Status","Owner-occupied units",199467,"(+/- 4766 )"
Housing,"Mortgage Status","Housing units with a mortgage",106417,"(+/- 4386 )"
Housing,"Mortgage Status","Housing units without a mortgage",93050,"(+/- 3773 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",106417,"(+/- 4386 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",905,"(+/- 494 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",21158,"(+/- 1808 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",36764,"(+/- 2585 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",25964,"(+/- 2641 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",11535,"(+/- 1875 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",5745,"(+/- 1106 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4346,"(+/- 1038 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1425,"(+/- 31 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",93050,"(+/- 3773 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",9262,"(+/- 1189 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",24269,"(+/- 1822 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",33803,"(+/- 2433 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",16655,"(+/- 1857 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5732,"(+/- 975 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",3329,"(+/- 905 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",466,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",113486,"(+/- 4810 )"
Housing,"Gross Rent","Less than $500",13997,"(+/- 1604 )"
Housing,"Gross Rent","$500 to $999",67658,"(+/- 4346 )"
Housing,"Gross Rent","$1,000 to $1,499",22698,"(+/- 3071 )"
Housing,"Gross Rent","$1,500 to $1,999",6977,"(+/- 1692 )"
Housing,"Gross Rent","$2,000 to $2,499",1225,"(+/- 615 )"
Housing,"Gross Rent","$2,500 to $2,999",209,"(+/- 214 )"
Housing,"Gross Rent","$3,000 or more",722,"(+/- 540 )"
Housing,"Gross Rent","Median (dollars)",808,"(+/- 19 )"
Housing,"Gross Rent","No rent paid",6402,"(+/- 1027 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",319355,"(+/- 4442 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",18381,"(+/- 2333 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",12933,"(+/- 1622 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",25720,"(+/- 2385 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",26063,"(+/- 2472 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",41996,"(+/- 3163 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",58375,"(+/- 3761 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",43633,"(+/- 2915 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",55809,"(+/- 3476 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",20234,"(+/- 2517 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",16211,"(+/- 1885 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",63837,"(+/- 2324 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",82435,"(+/- 2376 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",743793,"(+/- 1039 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",689858,"(+/- 4304 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",593131,"(+/- 7833 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",196917,"(+/- 5884 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",53935,"(+/- 4291 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",185726,"(+/- 1860 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",11175,"(+/- 1871 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.6,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.2,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.6,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.7,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",21.4,"(+/- 4.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",26.4,"(+/- 6.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",24.3,"(+/- 13.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",9.9,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",9.7,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",12.2,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",8.6,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.9,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.3,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.1,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.6,"(+/- 1.8 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",187877,"(+/- 4298 )"
Education,"School Enrollment","Nursery school, preschool",12836,"(+/- 1764 )"
Education,"School Enrollment",Kindergarten,9088,"(+/- 1332 )"
Education,"School Enrollment","Elementary school (grades 1-8)",76397,"(+/- 2322 )"
Education,"School Enrollment","High school (grades 9-12)",31784,"(+/- 1675 )"
Education,"School Enrollment","College or graduate school",57772,"(+/- 3717 )"
Education,"Educational Attainment","Population 25 years and over",500779,"(+/- 2565 )"
Education,"Educational Attainment","Less than 9th grade",16988,"(+/- 2190 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",21520,"(+/- 2120 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",129495,"(+/- 4347 )"
Education,"Educational Attainment","Some college, no degree",109451,"(+/- 4748 )"
Education,"Educational Attainment","Associate's degree",74715,"(+/- 4721 )"
Education,"Educational Attainment","Bachelor's degree",110664,"(+/- 4910 )"
Education,"Educational Attainment","Graduate or professional degree",37946,"(+/- 2843 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.3,"(+/- 0.6 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",29.7,"(+/- 1.0 )"

"Source: 2018 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Industries not classified",39,J
Business,"Paid employees for pay period including March 12","Total for all sectors",340521,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",443,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",15377,G
Business,"Paid employees for pay period including March 12",Utilities,4229,J
Business,"Paid employees for pay period including March 12",Construction,22544,G
Business,"Paid employees for pay period including March 12",Manufacturing,24486,G
Business,"Paid employees for pay period including March 12","Wholesale trade",21619,G
Business,"Paid employees for pay period including March 12","Retail trade",48538,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",16485,G
Business,"Paid employees for pay period including March 12",Information,7008,G
Business,"Paid employees for pay period including March 12","Finance and insurance",18000,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",5507,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",15321,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",4418,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",14075,G
Business,"Paid employees for pay period including March 12","Educational services",4006,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",61364,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5945,H
Business,"Paid employees for pay period including March 12","Accommodation and food services",37205,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",13912,G
Business,"Annual payroll ($1,000)","Industries not classified",529,H
Business,"Annual payroll ($1,000)","Total for all sectors",16337205,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",22158,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",1507635,G
Business,"Annual payroll ($1,000)",Utilities,412212,H
Business,"Annual payroll ($1,000)",Construction,1584484,G
Business,"Annual payroll ($1,000)",Manufacturing,1297630,G
Business,"Annual payroll ($1,000)","Wholesale trade",1276136,G
Business,"Annual payroll ($1,000)","Retail trade",1459793,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",931873,G
Business,"Annual payroll ($1,000)",Information,457807,G
Business,"Annual payroll ($1,000)","Finance and insurance",1075978,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",250164,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",981359,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",340231,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",522803,G
Business,"Annual payroll ($1,000)","Educational services",103064,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2955917,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",88604,G
Business,"Annual payroll ($1,000)","Accommodation and food services",645429,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",423399,G
Business,"Total Establishments","Industries not classified",39,X
Business,"Total Establishments","Total for all sectors",24596,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",119,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",521,X
Business,"Total Establishments",Utilities,151,X
Business,"Total Establishments",Construction,2996,X
Business,"Total Establishments",Manufacturing,699,X
Business,"Total Establishments","Wholesale trade",1739,X
Business,"Total Establishments","Retail trade",3258,X
Business,"Total Establishments","Transportation and warehousing",1471,X
Business,"Total Establishments",Information,348,X
Business,"Total Establishments","Finance and insurance",1739,X
Business,"Total Establishments","Real estate and rental and leasing",1097,X
Business,"Total Establishments","Professional, scientific, and technical services",1825,X
Business,"Total Establishments","Management of companies and enterprises",124,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1147,X
Business,"Total Establishments","Educational services",176,X
Business,"Total Establishments","Health care and social assistance",2075,X
Business,"Total Establishments","Arts, entertainment, and recreation",481,X
Business,"Total Establishments","Accommodation and food services",2088,X
Business,"Total Establishments","Other services (except public administration)",2503,X

"Source: 2017 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
