Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,Ancestry,Russian,3562,"(+/- 1985 )",2905,"(+/- 824 )",2737,"(+/- 1424 )",4949,"(+/- 3422 )"
People,Ancestry,Scotch-Irish,6350,"(+/- 1420 )",6489,"(+/- 1712 )",4965,"(+/- 1017 )",5754,"(+/- 1985 )"
People,Ancestry,Scottish,32241,"(+/- 4596 )",29719,"(+/- 3843 )",34818,"(+/- 3991 )",24014,"(+/- 3486 )"
People,Ancestry,Slovak,270,"(+/- 216 )",391,"(+/- 296 )",549,"(+/- 343 )",795,"(+/- 719 )"
People,Ancestry,"Subsaharan African",3597,"(+/- 1383 )",6602,"(+/- 2145 )",4018,"(+/- 2781 )",5727,"(+/- 3151 )"
People,Ancestry,Swedish,27008,"(+/- 3562 )",23920,"(+/- 3927 )",33975,"(+/- 5127 )",31149,"(+/- 4822 )"
People,Ancestry,Swiss,9753,"(+/- 2401 )",9123,"(+/- 2118 )",8335,"(+/- 1654 )",7686,"(+/- 2392 )"
People,Ancestry,Ukrainian,939,"(+/- 573 )",1083,"(+/- 656 )",906,"(+/- 451 )",377,"(+/- 450 )"
People,Ancestry,Welsh,12709,"(+/- 2054 )",15626,"(+/- 2586 )",14415,"(+/- 1958 )",14158,"(+/- 2446 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",297,"(+/- 260 )",52,"(+/- 88 )",367,"(+/- 284 )",682,"(+/- 442 )"
People,"Veteran Status","Civilian population 18 years and over",539794,"(+/- 3865 )",570559,"(+/- 6752 )",545331,"(+/- 5857 )",569874,"(+/- 8035 )"
People,"Veteran Status","Civilian veterans",38135,"(+/- 2800 )",34681,"(+/- 3071 )",22180,"(+/- 1792 )",25414,"(+/- 2460 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",770128,"(+/- 5511 )",771159,"(+/- 9059 )",770128,"(+/- 6031 )",824158,"(+/- 9879 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",69640,"(+/- 3997 )",86918,"(+/- 5241 )",71140,"(+/- 4573 )",72769,"(+/- 5234 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",234424,"(+/- 3552 )",208009,"(+/- 6966 )",227049,"(+/- 4956 )",259811,"(+/- 7773 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6664,"(+/- 1506 )",7674,"(+/- 1733 )",7237,"(+/- 1397 )",9546,"(+/- 1886 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",453769,"(+/- 4433 )",460325,"(+/- 7584 )",458999,"(+/- 5257 )",486436,"(+/- 7878 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37152,"(+/- 3130 )",43200,"(+/- 3823 )",36442,"(+/- 3395 )",38535,"(+/- 3822 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",81935,"(+/- 1921 )",102825,"(+/- 2896 )",84080,"(+/- 2746 )",77911,"(+/- 3095 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",25824,"(+/- 1970 )",36044,"(+/- 2474 )",27461,"(+/- 1953 )",24688,"(+/- 2332 )"
People,"Residence 1 Year Ago","Population 1 year and over",766087,"(+/- 4595 )",768545,"(+/- 8783 )",762259,"(+/- 6573 )",817826,"(+/- 10063 )"
People,"Residence 1 Year Ago","Same house",655978,"(+/- 7842 )",648850,"(+/- 10660 )",605274,"(+/- 10217 )",673662,"(+/- 14748 )"
People,"Residence 1 Year Ago","Different house in the U.S.",106364,"(+/- 6297 )",115745,"(+/- 9572 )",149397,"(+/- 8717 )",137351,"(+/- 9699 )"
People,"Residence 1 Year Ago","Same county",55985,"(+/- 5728 )",60582,"(+/- 6862 )",95086,"(+/- 7732 )",96581,"(+/- 9217 )"
People,"Residence 1 Year Ago","Different county",50379,"(+/- 5020 )",55163,"(+/- 6533 )",54311,"(+/- 5699 )",40770,"(+/- 5589 )"
People,"Residence 1 Year Ago","Same state",30102,"(+/- 3721 )",28083,"(+/- 4074 )",22190,"(+/- 3512 )",19424,"(+/- 4034 )"
People,"Residence 1 Year Ago","Different state",20277,"(+/- 3043 )",27080,"(+/- 4916 )",32121,"(+/- 4517 )",21346,"(+/- 4112 )"
People,"Residence 1 Year Ago",Abroad,3745,"(+/- 1200 )",3950,"(+/- 1205 )",7588,"(+/- 1548 )",6813,"(+/- 4136 )"
Workers,"Employment Status","Population 16 years and over",567082,"(+/- 4038 )",595793,"(+/- 7130 )",571299,"(+/- 6070 )",595356,"(+/- 8380 )"
Workers,"Employment Status","In labor force",386586,"(+/- 5401 )",386450,"(+/- 7034 )",386326,"(+/- 6039 )",428091,"(+/- 8809 )"
Workers,"Employment Status","Civilian labor force",384340,"(+/- 5576 )",385807,"(+/- 7101 )",385899,"(+/- 6018 )",427691,"(+/- 8838 )"
Workers,"Employment Status",Employed,372988,"(+/- 5940 )",372917,"(+/- 7141 )",375125,"(+/- 6037 )",412532,"(+/- 9525 )"
Workers,"Employment Status",Unemployed,11352,"(+/- 1675 )",12890,"(+/- 2247 )",10774,"(+/- 1613 )",15159,"(+/- 3071 )"
Workers,"Employment Status","Armed Forces",2246,"(+/- 729 )",643,"(+/- 488 )",427,"(+/- 288 )",400,"(+/- 309 )"
Workers,"Employment Status","Not in labor force",180496,"(+/- 4596 )",209343,"(+/- 6769 )",184973,"(+/- 4517 )",167265,"(+/- 6816 )"
Workers,"Employment Status","Civilian labor force",384340,"(+/- 5576 )",385807,"(+/- 7101 )",385899,"(+/- 6018 )",427691,"(+/- 8838 )"
Workers,"Employment Status","Unemployment Rate",3.0,"(+/- 0.4 )",3.3,"(+/- 0.6 )",2.8,"(+/- 0.4 )",3.5,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",371043,"(+/- 5928 )",366615,"(+/- 7169 )",368366,"(+/- 5857 )",408165,"(+/- 9491 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",291661,"(+/- 6233 )",270600,"(+/- 6800 )",275405,"(+/- 6386 )",309325,"(+/- 8174 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",39947,"(+/- 3647 )",39478,"(+/- 3817 )",36360,"(+/- 3602 )",52802,"(+/- 4742 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",5632,"(+/- 1231 )",11086,"(+/- 1743 )",7124,"(+/- 1385 )",9021,"(+/- 1477 )"
Workers,"Commuting to Work",Walked,5679,"(+/- 1008 )",11025,"(+/- 2051 )",14092,"(+/- 1772 )",5830,"(+/- 1268 )"
Workers,"Commuting to Work","Other means",6828,"(+/- 1407 )",6422,"(+/- 1295 )",7164,"(+/- 1615 )",4429,"(+/- 1127 )"
Workers,"Commuting to Work","Worked at home",21296,"(+/- 2050 )",28004,"(+/- 2354 )",28221,"(+/- 2422 )",26758,"(+/- 3126 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.6,"(+/- 0.5 )",20.8,"(+/- 0.4 )",21.4,"(+/- 0.5 )",23.8,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",372988,"(+/- 5940 )",372917,"(+/- 7141 )",375125,"(+/- 6037 )",412532,"(+/- 9525 )"
Workers,Occupation,"Management, business, science, and arts occupations",137422,"(+/- 4680 )",143670,"(+/- 5084 )",161123,"(+/- 5307 )",155333,"(+/- 5889 )"
Workers,Occupation,"Service occupations",58398,"(+/- 4079 )",61025,"(+/- 3861 )",54394,"(+/- 3683 )",59623,"(+/- 4194 )"
Workers,Occupation,"Sales and office occupations",83014,"(+/- 4673 )",84592,"(+/- 4974 )",93959,"(+/- 4583 )",104871,"(+/- 5561 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36491,"(+/- 2820 )",34598,"(+/- 3427 )",28663,"(+/- 2474 )",38811,"(+/- 4222 )"
Workers,Occupation,"Production, transportation, and material moving occupations",57663,"(+/- 3878 )",49032,"(+/- 3873 )",36986,"(+/- 3077 )",53894,"(+/- 4807 )"
Workers,Industry,"Civilian employed population 16 years and over",372988,"(+/- 5940 )",372917,"(+/- 7141 )",375125,"(+/- 6037 )",412532,"(+/- 9525 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8442,"(+/- 1251 )",7254,"(+/- 1529 )",4433,"(+/- 935 )",3434,"(+/- 813 )"
Workers,Industry,Construction,26365,"(+/- 2329 )",26556,"(+/- 2782 )",26591,"(+/- 2262 )",36997,"(+/- 4424 )"
Workers,Industry,Manufacturing,49376,"(+/- 4029 )",33216,"(+/- 3034 )",26818,"(+/- 2378 )",43960,"(+/- 4073 )"
Workers,Industry,"Wholesale trade",9111,"(+/- 1520 )",7137,"(+/- 1231 )",8752,"(+/- 1355 )",8559,"(+/- 1684 )"
Workers,Industry,"Retail trade",38893,"(+/- 3211 )",44530,"(+/- 3803 )",44446,"(+/- 2644 )",50712,"(+/- 3995 )"
Workers,Industry,"Transportation and warehousing, and utilities",17602,"(+/- 1977 )",20249,"(+/- 2245 )",12580,"(+/- 1685 )",23301,"(+/- 2910 )"
Workers,Industry,Information,5121,"(+/- 1087 )",6323,"(+/- 1295 )",10049,"(+/- 1607 )",8131,"(+/- 1556 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21339,"(+/- 2393 )",23846,"(+/- 2680 )",27452,"(+/- 2557 )",33802,"(+/- 3129 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41208,"(+/- 3434 )",47654,"(+/- 3791 )",57737,"(+/- 3194 )",50484,"(+/- 3985 )"
Workers,Industry,"Educational services, and health care and social assistance",80525,"(+/- 4075 )",84532,"(+/- 4221 )",92694,"(+/- 4706 )",86312,"(+/- 5165 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",28776,"(+/- 3022 )",38486,"(+/- 3115 )",34229,"(+/- 3043 )",32618,"(+/- 3824 )"
Workers,Industry,"Other services, except public administration",15962,"(+/- 2166 )",17592,"(+/- 1834 )",18585,"(+/- 1935 )",18200,"(+/- 2412 )"
Workers,Industry,"Public administration",30268,"(+/- 2786 )",15542,"(+/- 1994 )",10759,"(+/- 1238 )",16022,"(+/- 2366 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",372988,"(+/- 5940 )",372917,"(+/- 7141 )",375125,"(+/- 6037 )",412532,"(+/- 9525 )"
Workers,"Class of Worker","Private wage and salary workers",287179,"(+/- 5744 )",295939,"(+/- 6863 )",312703,"(+/- 5980 )",340554,"(+/- 8895 )"
Workers,"Class of Worker","Government workers",68002,"(+/- 3513 )",57571,"(+/- 3691 )",42262,"(+/- 3346 )",53143,"(+/- 4067 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17171,"(+/- 1836 )",19109,"(+/- 2180 )",19350,"(+/- 2439 )",18107,"(+/- 2566 )"
Workers,"Class of Worker","Unpaid family workers",636,"(+/- 414 )",298,"(+/- 210 )",810,"(+/- 383 )",728,"(+/- 446 )"
Housing,"Housing Occupancy","Total housing units",283194,"(+/- 1893 )",300123,"(+/- 3640 )",255835,"(+/- 3303 )",269587,"(+/- 4005 )"
Housing,"Housing Occupancy","Occupied housing units",244538,"(+/- 3141 )",264379,"(+/- 4077 )",234958,"(+/- 3385 )",255016,"(+/- 4192 )"
Housing,"Housing Occupancy","Vacant housing units",38656,"(+/- 2704 )",35744,"(+/- 3236 )",20877,"(+/- 2157 )",14571,"(+/- 2189 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.6,"(+/- 0.6 )",0.6,"(+/- 0.4 )",1.0,"(+/- 0.4 )",0.7,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.9,"(+/- 1.9 )",4.9,"(+/- 1.3 )",6.2,"(+/- 1.6 )",6.9,"(+/- 2.0 )"
Housing,"Housing Tenure","Occupied housing units",244538,"(+/- 3141 )",264379,"(+/- 4077 )",234958,"(+/- 3385 )",255016,"(+/- 4192 )"
Housing,"Housing Tenure",Owner-occupied,180603,"(+/- 3603 )",178097,"(+/- 4275 )",164074,"(+/- 3532 )",181209,"(+/- 5408 )"
Housing,"Housing Tenure",Renter-occupied,63935,"(+/- 3316 )",86282,"(+/- 4039 )",70884,"(+/- 3093 )",73807,"(+/- 3893 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",3.24,"(+/- 0.05 )",3.03,"(+/- 0.07 )",3.39,"(+/- 0.06 )",3.35,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.87,"(+/- 0.11 )",2.60,"(+/- 0.11 )",2.83,"(+/- 0.10 )",2.92,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",244538,"(+/- 3141 )",264379,"(+/- 4077 )",234958,"(+/- 3385 )",255016,"(+/- 4192 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",48643,"(+/- 3281 )",58864,"(+/- 3640 )",57454,"(+/- 2847 )",57582,"(+/- 3781 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",42076,"(+/- 3282 )",53674,"(+/- 3802 )",39200,"(+/- 2508 )",50928,"(+/- 3817 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",46155,"(+/- 2832 )",51440,"(+/- 3468 )",41033,"(+/- 2767 )",47750,"(+/- 3440 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",56397,"(+/- 3308 )",52880,"(+/- 3023 )",47936,"(+/- 2436 )",52411,"(+/- 3798 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",24906,"(+/- 2143 )",24669,"(+/- 2222 )",23993,"(+/- 1780 )",23664,"(+/- 1958 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",26361,"(+/- 1841 )",22852,"(+/- 2060 )",25342,"(+/- 1789 )",22681,"(+/- 2122 )"
Housing,Value,"Owner-occupied units",180603,"(+/- 3603 )",178097,"(+/- 4275 )",164074,"(+/- 3532 )",181209,"(+/- 5408 )"
Housing,Value,"Less than $50,000",7125,"(+/- 1035 )",7750,"(+/- 1791 )",4374,"(+/- 923 )",5864,"(+/- 1368 )"
Housing,Value,"$50,000 to $99,999",4402,"(+/- 904 )",5103,"(+/- 1101 )",2513,"(+/- 444 )",1750,"(+/- 658 )"
Housing,Value,"$100,000 to $149,999",12955,"(+/- 1505 )",10822,"(+/- 1389 )",4530,"(+/- 893 )",4627,"(+/- 1010 )"
Housing,Value,"$150,000 to $199,999",25289,"(+/- 2117 )",17684,"(+/- 1881 )",10183,"(+/- 1591 )",13934,"(+/- 1574 )"
Housing,Value,"$200,000 to $299,999",56740,"(+/- 2671 )",58349,"(+/- 2939 )",40027,"(+/- 2502 )",52588,"(+/- 3558 )"
Housing,Value,"$300,000 to $499,999",54155,"(+/- 2591 )",55129,"(+/- 2791 )",64911,"(+/- 2923 )",79289,"(+/- 3965 )"
Housing,Value,"$500,000 to $999,999",15696,"(+/- 1752 )",20168,"(+/- 1605 )",32561,"(+/- 2005 )",21588,"(+/- 2025 )"
Housing,Value,"$1,000,000 or more",4241,"(+/- 715 )",3092,"(+/- 965 )",4975,"(+/- 852 )",1569,"(+/- 543 )"
Housing,Value,"Median (dollars)",269800,"(+/- 4280 )",280200,"(+/- 4787 )",350400,"(+/- 5055 )",323400,"(+/- 5932 )"
Housing,"Mortgage Status","Owner-occupied units",180603,"(+/- 3603 )",178097,"(+/- 4275 )",164074,"(+/- 3532 )",181209,"(+/- 5408 )"
Housing,"Mortgage Status","Housing units with a mortgage",125220,"(+/- 4053 )",119846,"(+/- 4063 )",111959,"(+/- 3626 )",134872,"(+/- 4975 )"
Housing,"Mortgage Status","Housing units without a mortgage",55383,"(+/- 2468 )",58251,"(+/- 3220 )",52115,"(+/- 2647 )",46337,"(+/- 3260 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",125220,"(+/- 4053 )",119846,"(+/- 4063 )",111959,"(+/- 3626 )",134872,"(+/- 4975 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1770,"(+/- 503 )",1556,"(+/- 590 )",1063,"(+/- 400 )",1137,"(+/- 509 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",21215,"(+/- 1817 )",18208,"(+/- 1902 )",11503,"(+/- 1323 )",12568,"(+/- 1660 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",46170,"(+/- 2889 )",44071,"(+/- 3190 )",33858,"(+/- 2613 )",42912,"(+/- 2989 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",31483,"(+/- 2476 )",32340,"(+/- 2374 )",28949,"(+/- 2502 )",45141,"(+/- 3374 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",14038,"(+/- 1593 )",11869,"(+/- 1820 )",18797,"(+/- 1882 )",18891,"(+/- 2176 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4502,"(+/- 829 )",6013,"(+/- 1154 )",7451,"(+/- 1121 )",8212,"(+/- 1318 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",6042,"(+/- 1246 )",5789,"(+/- 1138 )",10338,"(+/- 1278 )",6011,"(+/- 1239 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1432,"(+/- 25 )",1458,"(+/- 25 )",1652,"(+/- 35 )",1609,"(+/- 27 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",55383,"(+/- 2468 )",58251,"(+/- 3220 )",52115,"(+/- 2647 )",46337,"(+/- 3260 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",7290,"(+/- 1259 )",8648,"(+/- 1568 )",3840,"(+/- 701 )",3622,"(+/- 873 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",19617,"(+/- 1605 )",22280,"(+/- 1788 )",15856,"(+/- 1509 )",15948,"(+/- 1659 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",19937,"(+/- 1949 )",18515,"(+/- 2237 )",19962,"(+/- 1620 )",17942,"(+/- 2054 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",5767,"(+/- 1017 )",5214,"(+/- 958 )",6886,"(+/- 962 )",5691,"(+/- 1135 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1356,"(+/- 453 )",2461,"(+/- 878 )",2576,"(+/- 555 )",2054,"(+/- 703 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1416,"(+/- 525 )",1133,"(+/- 449 )",2995,"(+/- 693 )",1080,"(+/- 469 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",406,"(+/- 13 )",387,"(+/- 12 )",456,"(+/- 10 )",431,"(+/- 11 )"
