Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","45 to 54 years",98954,"(+/- 3015 )",101713,"(+/- 3264 )",107007,"(+/- 4998 )",112651,"(+/- 3996 )",103053,"(+/- 4205 )",111208,"(+/- 3512 )",87990,"(+/- 3707 )",97986,"(+/- 4369 )",100989,"(+/- 3812 )"
People,"Sex and Age","55 to 59 years",53289,"(+/- 2264 )",54939,"(+/- 3065 )",62974,"(+/- 4276 )",58490,"(+/- 3763 )",49322,"(+/- 3583 )",60850,"(+/- 3433 )",40480,"(+/- 3175 )",55429,"(+/- 3544 )",54816,"(+/- 3089 )"
People,"Sex and Age","60 to 64 years",51484,"(+/- 2723 )",50896,"(+/- 2873 )",51236,"(+/- 3856 )",50282,"(+/- 3526 )",47881,"(+/- 3827 )",54263,"(+/- 3642 )",37374,"(+/- 3401 )",50953,"(+/- 3307 )",56206,"(+/- 2496 )"
People,"Sex and Age","65 to 74 years",75847,"(+/- 1782 )",73750,"(+/- 2826 )",61202,"(+/- 4054 )",74265,"(+/- 3242 )",71140,"(+/- 3803 )",83293,"(+/- 3482 )",51028,"(+/- 2626 )",69795,"(+/- 3527 )",96226,"(+/- 2770 )"
People,"Sex and Age","75 to 84 years",38028,"(+/- 2272 )",32948,"(+/- 2455 )",29802,"(+/- 2635 )",36884,"(+/- 2725 )",37372,"(+/- 2816 )",39976,"(+/- 2777 )",27653,"(+/- 2027 )",36330,"(+/- 2604 )",48273,"(+/- 2536 )"
People,"Sex and Age","85 years and over",18278,"(+/- 1908 )",15002,"(+/- 1794 )",14523,"(+/- 1975 )",16587,"(+/- 1907 )",16865,"(+/- 2263 )",22927,"(+/- 2876 )",10668,"(+/- 1668 )",18546,"(+/- 2062 )",20333,"(+/- 2098 )"
People,"Sex and Age","Median age (years)",41.0,"(+/- 0.6 )",39.9,"(+/- 0.6 )",39.2,"(+/- 0.7 )",41.3,"(+/- 0.7 )",39.1,"(+/- 0.6 )",43.0,"(+/- 0.8 )",31.7,"(+/- 0.3 )",39.2,"(+/- 0.7 )",45.6,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",585579,"(+/- 4975 )",602102,"(+/- 7170 )",598497,"(+/- 8927 )",597133,"(+/- 7185 )",626645,"(+/- 7998 )",621414,"(+/- 5374 )",683622,"(+/- 7959 )",618753,"(+/- 9409 )",601278,"(+/- 7425 )"
People,"Sex and Age","65 years and over",132153,"(+/- 2351 )",121700,"(+/- 3322 )",105527,"(+/- 4938 )",127736,"(+/- 4762 )",125377,"(+/- 4891 )",146196,"(+/- 4853 )",89349,"(+/- 3634 )",124671,"(+/- 4627 )",164832,"(+/- 3413 )"
People,Race,"Total population",736481,"(+/- 6725 )",745347,"(+/- 9136 )",771096,"(+/- 10621 )",766019,"(+/- 8130 )",775135,"(+/- 8506 )",780524,"(+/- 5096 )",820086,"(+/- 8586 )",764891,"(+/- 12002 )",742570,"(+/- 9496 )"
People,Race,"One race",716582,"(+/- 6629 )",719517,"(+/- 9519 )",745285,"(+/- 11337 )",746114,"(+/- 8601 )",747388,"(+/- 9251 )",759854,"(+/- 6342 )",763994,"(+/- 9971 )",744916,"(+/- 11424 )",723755,"(+/- 9285 )"
People,Race,White,626384,"(+/- 7680 )",613709,"(+/- 9927 )",572967,"(+/- 15303 )",651373,"(+/- 10552 )",581993,"(+/- 11010 )",659720,"(+/- 9748 )",413896,"(+/- 10625 )",565686,"(+/- 11745 )",649447,"(+/- 10595 )"
People,Race,"Black or African American",51375,"(+/- 3319 )",39762,"(+/- 3529 )",32434,"(+/- 5141 )",26402,"(+/- 4762 )",43210,"(+/- 5009 )",34650,"(+/- 4907 )",198972,"(+/- 7772 )",85908,"(+/- 5994 )",24810,"(+/- 3437 )"
People,Race,"American Indian and Alaska Native",1622,"(+/- 612 )",1346,"(+/- 608 )",2247,"(+/- 1304 )",1147,"(+/- 690 )",424,"(+/- 409 )",1015,"(+/- 898 )",4105,"(+/- 2448 )",1504,"(+/- 691 )",2788,"(+/- 1520 )"
People,Race,Asian,15458,"(+/- 1661 )",45415,"(+/- 2914 )",58988,"(+/- 5884 )",50401,"(+/- 4888 )",99306,"(+/- 6064 )",37038,"(+/- 4818 )",88517,"(+/- 5560 )",66187,"(+/- 4927 )",11093,"(+/- 2146 )"
People,Race,"Native Hawaiian and Other Pacific Islander",189,"(+/- 200 )",618,"(+/- 719 )",198,"(+/- 334 )",127,"(+/- 216 )",181,"(+/- 194 )",375,"(+/- 427 )",772,"(+/- 555 )",162,"(+/- 173 )",153,"(+/- 154 )"
People,Race,"Some other race",21554,"(+/- 4213 )",18667,"(+/- 3941 )",78451,"(+/- 6604 )",16664,"(+/- 4377 )",22274,"(+/- 4604 )",27056,"(+/- 5974 )",57732,"(+/- 6887 )",25469,"(+/- 4751 )",35464,"(+/- 4785 )"
People,Race,"Two or more races",19899,"(+/- 3481 )",25830,"(+/- 4329 )",25811,"(+/- 3882 )",19905,"(+/- 2738 )",27747,"(+/- 3747 )",20670,"(+/- 4261 )",56092,"(+/- 6638 )",19975,"(+/- 3801 )",18815,"(+/- 3322 )"
People,"Hispanic or Latino and Race","Total population",736481,"(+/- 6725 )",745347,"(+/- 9136 )",771096,"(+/- 10621 )",766019,"(+/- 8130 )",775135,"(+/- 8506 )",780524,"(+/- 5096 )",820086,"(+/- 8586 )",764891,"(+/- 12002 )",742570,"(+/- 9496 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",138855,"(+/- 2854 )",77102,"(+/- 5037 )",150515,"(+/- 7415 )",39516,"(+/- 4244 )",76232,"(+/- 6448 )",83856,"(+/- 5300 )",186622,"(+/- 7949 )",46510,"(+/- 4969 )",47572,"(+/- 3163 )"
People,"Hispanic or Latino and Race",Mexican,3803,"(+/- 1376 )",6800,"(+/- 2949 )",4492,"(+/- 2051 )",3712,"(+/- 1678 )",7756,"(+/- 2510 )",5306,"(+/- 2863 )",11318,"(+/- 3598 )",3719,"(+/- 1489 )",4509,"(+/- 1908 )"
People,"Hispanic or Latino and Race","Puerto Rican",118088,"(+/- 4452 )",39779,"(+/- 5046 )",55511,"(+/- 5908 )",14619,"(+/- 3278 )",14651,"(+/- 3434 )",13668,"(+/- 3636 )",36400,"(+/- 5189 )",12979,"(+/- 2852 )",24018,"(+/- 4125 )"
People,"Hispanic or Latino and Race",Cuban,1289,"(+/- 765 )",2069,"(+/- 1208 )",1311,"(+/- 883 )",1412,"(+/- 785 )",1567,"(+/- 1044 )",1079,"(+/- 1061 )",3366,"(+/- 1021 )",1782,"(+/- 936 )",746,"(+/- 471 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",15675,"(+/- 3742 )",28454,"(+/- 4978 )",89201,"(+/- 6510 )",19773,"(+/- 3937 )",52258,"(+/- 6720 )",63803,"(+/- 5519 )",135538,"(+/- 8048 )",28030,"(+/- 4961 )",18299,"(+/- 4326 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",597626,"(+/- 6320 )",668245,"(+/- 9774 )",620581,"(+/- 12147 )",726503,"(+/- 8730 )",698903,"(+/- 11595 )",696668,"(+/- 6257 )",633464,"(+/- 9511 )",718381,"(+/- 11977 )",694998,"(+/- 9508 )"
People,"Place of Birth","Total population",736481,"(+/- 6725 )",745347,"(+/- 9136 )",771096,"(+/- 10621 )",766019,"(+/- 8130 )",775135,"(+/- 8506 )",780524,"(+/- 5096 )",820086,"(+/- 8586 )",764891,"(+/- 12002 )",742570,"(+/- 9496 )"
People,"Place of Birth",Native,682551,"(+/- 7904 )",641819,"(+/- 11299 )",631617,"(+/- 11920 )",656921,"(+/- 9827 )",581774,"(+/- 11628 )",662310,"(+/- 8178 )",560595,"(+/- 11171 )",621924,"(+/- 11699 )",664490,"(+/- 9837 )"
People,"Place of Birth","Born in United States",627469,"(+/- 9305 )",617056,"(+/- 10624 )",601212,"(+/- 12681 )",645322,"(+/- 10256 )",566552,"(+/- 11388 )",651977,"(+/- 7910 )",532150,"(+/- 11662 )",607602,"(+/- 12235 )",648618,"(+/- 9990 )"
People,"Place of Birth","State of residence",487982,"(+/- 8857 )",466192,"(+/- 10486 )",475017,"(+/- 11407 )",455343,"(+/- 11221 )",393300,"(+/- 10963 )",519344,"(+/- 8153 )",340494,"(+/- 11051 )",481987,"(+/- 12091 )",516708,"(+/- 10522 )"
People,"Place of Birth","Different state",139487,"(+/- 6862 )",150864,"(+/- 6387 )",126195,"(+/- 6891 )",189979,"(+/- 7843 )",173252,"(+/- 6292 )",132633,"(+/- 6291 )",191656,"(+/- 6963 )",125615,"(+/- 5452 )",131910,"(+/- 5606 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",55082,"(+/- 5023 )",24763,"(+/- 3832 )",30405,"(+/- 3332 )",11599,"(+/- 2375 )",15222,"(+/- 2660 )",10333,"(+/- 2072 )",28445,"(+/- 4346 )",14322,"(+/- 2393 )",15872,"(+/- 2829 )"
People,"Place of Birth","Foreign born",53930,"(+/- 5294 )",103528,"(+/- 6004 )",139479,"(+/- 7684 )",109098,"(+/- 6856 )",193361,"(+/- 8432 )",118214,"(+/- 7054 )",259491,"(+/- 10380 )",142967,"(+/- 7353 )",78080,"(+/- 6051 )"
People,Ancestry,"Total population",736481,"(+/- 6725 )",745347,"(+/- 9136 )",771096,"(+/- 10621 )",766019,"(+/- 8130 )",775135,"(+/- 8506 )",780524,"(+/- 5096 )",820086,"(+/- 8586 )",764891,"(+/- 12002 )",742570,"(+/- 9496 )"
People,Ancestry,American,36593,"(+/- 5162 )",43238,"(+/- 7116 )",37179,"(+/- 6601 )",31761,"(+/- 4417 )",24328,"(+/- 3715 )",25825,"(+/- 3777 )",20970,"(+/- 3956 )",26518,"(+/- 3794 )",30897,"(+/- 3992 )"
People,Ancestry,Arab,5460,"(+/- 2047 )",10544,"(+/- 2832 )",7577,"(+/- 3354 )",10788,"(+/- 3082 )",10824,"(+/- 2842 )",6804,"(+/- 1648 )",9654,"(+/- 2346 )",11425,"(+/- 3806 )",5792,"(+/- 1848 )"
People,Ancestry,Czech,2155,"(+/- 958 )",1452,"(+/- 610 )",735,"(+/- 434 )",1097,"(+/- 602 )",1909,"(+/- 771 )",1376,"(+/- 567 )",1613,"(+/- 573 )",1154,"(+/- 743 )",504,"(+/- 258 )"
People,Ancestry,Danish,1259,"(+/- 526 )",1273,"(+/- 674 )",1413,"(+/- 755 )",1625,"(+/- 760 )",1727,"(+/- 647 )",973,"(+/- 469 )",1036,"(+/- 447 )",1019,"(+/- 637 )",1284,"(+/- 509 )"
People,Ancestry,Dutch,3840,"(+/- 1170 )",3987,"(+/- 1077 )",3474,"(+/- 1219 )",3818,"(+/- 1352 )",4874,"(+/- 1379 )",3244,"(+/- 991 )",2966,"(+/- 969 )",3791,"(+/- 1273 )",4166,"(+/- 1053 )"
People,Ancestry,English,59194,"(+/- 4010 )",69590,"(+/- 5759 )",68311,"(+/- 5700 )",76320,"(+/- 5234 )",63786,"(+/- 5111 )",84485,"(+/- 5932 )",30800,"(+/- 3093 )",59741,"(+/- 5222 )",95385,"(+/- 6446 )"
People,Ancestry,"French (except Basque)",76280,"(+/- 6544 )",65751,"(+/- 5142 )",49171,"(+/- 4951 )",48541,"(+/- 5037 )",19034,"(+/- 2791 )",36189,"(+/- 4212 )",10876,"(+/- 1746 )",21022,"(+/- 2467 )",51277,"(+/- 5451 )"
People,Ancestry,"French Canadian",44356,"(+/- 4771 )",32297,"(+/- 3464 )",38048,"(+/- 4389 )",26871,"(+/- 3373 )",17986,"(+/- 2562 )",27704,"(+/- 3018 )",9766,"(+/- 1767 )",18369,"(+/- 2831 )",22177,"(+/- 2975 )"
People,Ancestry,German,41963,"(+/- 3883 )",40074,"(+/- 3650 )",40055,"(+/- 3498 )",47903,"(+/- 5100 )",47409,"(+/- 4870 )",41880,"(+/- 4443 )",31349,"(+/- 2803 )",39816,"(+/- 3685 )",40373,"(+/- 3791 )"
People,Ancestry,Greek,5563,"(+/- 1746 )",6094,"(+/- 1667 )",13546,"(+/- 3619 )",6634,"(+/- 1656 )",10187,"(+/- 2435 )",15853,"(+/- 3764 )",6349,"(+/- 2147 )",9639,"(+/- 2267 )",5627,"(+/- 1386 )"
People,Ancestry,Hungarian,1602,"(+/- 851 )",1444,"(+/- 626 )",1786,"(+/- 753 )",3583,"(+/- 1264 )",2300,"(+/- 781 )",2141,"(+/- 945 )",2318,"(+/- 679 )",1142,"(+/- 552 )",3047,"(+/- 1475 )"
People,Ancestry,Irish,111670,"(+/- 7424 )",127876,"(+/- 8698 )",136934,"(+/- 7487 )",158816,"(+/- 9046 )",135260,"(+/- 7333 )",175806,"(+/- 9128 )",85040,"(+/- 4998 )",207513,"(+/- 8762 )",166220,"(+/- 7489 )"
People,Ancestry,Italian,74145,"(+/- 5960 )",89710,"(+/- 7105 )",79797,"(+/- 6328 )",91269,"(+/- 6833 )",105787,"(+/- 7166 )",139285,"(+/- 8579 )",57012,"(+/- 5280 )",100033,"(+/- 5910 )",77543,"(+/- 5942 )"
People,Ancestry,Lithuanian,3075,"(+/- 756 )",8829,"(+/- 2110 )",3036,"(+/- 901 )",5161,"(+/- 1681 )",4175,"(+/- 1213 )",4273,"(+/- 1421 )",2637,"(+/- 768 )",4846,"(+/- 1053 )",4375,"(+/- 1333 )"
People,Ancestry,Norwegian,3513,"(+/- 1148 )",3604,"(+/- 1089 )",4674,"(+/- 1294 )",5638,"(+/- 1782 )",4313,"(+/- 1193 )",6696,"(+/- 2006 )",3075,"(+/- 927 )",3587,"(+/- 1168 )",5513,"(+/- 1279 )"
People,Ancestry,Polish,64636,"(+/- 4414 )",46484,"(+/- 4581 )",25109,"(+/- 3256 )",32730,"(+/- 3804 )",22913,"(+/- 2988 )",30271,"(+/- 3792 )",16831,"(+/- 2238 )",21844,"(+/- 3201 )",24246,"(+/- 2770 )"
People,Ancestry,Portuguese,11876,"(+/- 2620 )",11761,"(+/- 2781 )",20271,"(+/- 4313 )",67521,"(+/- 6747 )",10308,"(+/- 1800 )",21608,"(+/- 3691 )",9655,"(+/- 2243 )",17340,"(+/- 4041 )",111275,"(+/- 8666 )"
People,Ancestry,Russian,8284,"(+/- 1578 )",8903,"(+/- 2374 )",6029,"(+/- 1486 )",20529,"(+/- 3571 )",13206,"(+/- 2512 )",13913,"(+/- 2901 )",8724,"(+/- 1335 )",7326,"(+/- 1357 )",7576,"(+/- 2287 )"
People,Ancestry,Scotch-Irish,5693,"(+/- 1304 )",4741,"(+/- 1399 )",3978,"(+/- 1184 )",5682,"(+/- 1350 )",5093,"(+/- 1890 )",7603,"(+/- 2234 )",3505,"(+/- 1212 )",3467,"(+/- 987 )",6520,"(+/- 1300 )"
People,Ancestry,Scottish,15678,"(+/- 2195 )",15709,"(+/- 2389 )",16001,"(+/- 2777 )",18354,"(+/- 2811 )",14096,"(+/- 2163 )",19132,"(+/- 3504 )",8740,"(+/- 1680 )",14082,"(+/- 2117 )",21617,"(+/- 3248 )"
People,Ancestry,Slovak,715,"(+/- 311 )",833,"(+/- 433 )",524,"(+/- 399 )",1317,"(+/- 600 )",1045,"(+/- 631 )",459,"(+/- 284 )",988,"(+/- 535 )",605,"(+/- 526 )",711,"(+/- 453 )"
People,Ancestry,"Subsaharan African",6915,"(+/- 2433 )",16594,"(+/- 4335 )",10650,"(+/- 3175 )",13587,"(+/- 3082 )",11172,"(+/- 3286 )",7775,"(+/- 2148 )",33291,"(+/- 5787 )",36027,"(+/- 6470 )",24548,"(+/- 4794 )"
People,Ancestry,Swedish,7595,"(+/- 1651 )",23371,"(+/- 5242 )",10551,"(+/- 2485 )",11999,"(+/- 2035 )",10252,"(+/- 2252 )",10613,"(+/- 1865 )",4707,"(+/- 1128 )",12076,"(+/- 2204 )",12479,"(+/- 2753 )"
People,Ancestry,Swiss,871,"(+/- 497 )",1024,"(+/- 513 )",929,"(+/- 611 )",1174,"(+/- 523 )",2417,"(+/- 1083 )",345,"(+/- 264 )",1066,"(+/- 436 )",912,"(+/- 510 )",566,"(+/- 324 )"
People,Ancestry,Ukrainian,3077,"(+/- 1108 )",2759,"(+/- 1014 )",1752,"(+/- 801 )",3661,"(+/- 1213 )",4986,"(+/- 1392 )",2552,"(+/- 1072 )",3011,"(+/- 1009 )",1589,"(+/- 753 )",1680,"(+/- 550 )"
People,Ancestry,Welsh,2636,"(+/- 935 )",2675,"(+/- 949 )",2351,"(+/- 852 )",2192,"(+/- 746 )",2912,"(+/- 1379 )",2563,"(+/- 763 )",1793,"(+/- 579 )",3377,"(+/- 1380 )",2458,"(+/- 979 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5334,"(+/- 1398 )",8465,"(+/- 3082 )",6318,"(+/- 2624 )",7181,"(+/- 3242 )",14175,"(+/- 4054 )",10174,"(+/- 3566 )",58754,"(+/- 7122 )",27625,"(+/- 5057 )",8116,"(+/- 2712 )"
People,"Veteran Status","Civilian population 18 years and over",585125,"(+/- 4974 )",601873,"(+/- 7158 )",597996,"(+/- 9005 )",597133,"(+/- 7185 )",625708,"(+/- 7993 )",621208,"(+/- 5337 )",683222,"(+/- 7934 )",617986,"(+/- 9351 )",600715,"(+/- 7398 )"
People,"Veteran Status","Civilian veterans",42469,"(+/- 2676 )",38181,"(+/- 2705 )",27841,"(+/- 2120 )",33129,"(+/- 3085 )",24318,"(+/- 2374 )",36014,"(+/- 2514 )",15150,"(+/- 2494 )",33047,"(+/- 2686 )",42495,"(+/- 3131 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",728764,"(+/- 6625 )",737147,"(+/- 9113 )",759778,"(+/- 10627 )",758489,"(+/- 7890 )",769419,"(+/- 8671 )",772844,"(+/- 4981 )",815764,"(+/- 8511 )",754087,"(+/- 11737 )",734504,"(+/- 9610 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",107911,"(+/- 5590 )",87016,"(+/- 5340 )",85056,"(+/- 4835 )",84273,"(+/- 5054 )",71482,"(+/- 5072 )",86749,"(+/- 5896 )",92168,"(+/- 5807 )",81704,"(+/- 4737 )",94773,"(+/- 4975 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",150634,"(+/- 3300 )",142865,"(+/- 4384 )",172073,"(+/- 7006 )",168572,"(+/- 5370 )",148342,"(+/- 5589 )",158957,"(+/- 5140 )",136370,"(+/- 5251 )",145913,"(+/- 5856 )",141155,"(+/- 5093 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9908,"(+/- 1691 )",7811,"(+/- 1724 )",8077,"(+/- 1724 )",5976,"(+/- 1447 )",5498,"(+/- 1283 )",6333,"(+/- 1691 )",7073,"(+/- 1962 )",5247,"(+/- 1174 )",6962,"(+/- 1630 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",449976,"(+/- 4865 )",477191,"(+/- 7485 )",485912,"(+/- 9282 )",466072,"(+/- 7035 )",498868,"(+/- 8204 )",471801,"(+/- 5557 )",592141,"(+/- 8509 )",487986,"(+/- 8947 )",432631,"(+/- 6789 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54501,"(+/- 4274 )",44909,"(+/- 4083 )",45139,"(+/- 3844 )",39341,"(+/- 3883 )",32300,"(+/- 3473 )",37159,"(+/- 3195 )",48962,"(+/- 4331 )",38501,"(+/- 4189 )",43321,"(+/- 3378 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",128154,"(+/- 2323 )",117091,"(+/- 3391 )",101793,"(+/- 4833 )",123845,"(+/- 4716 )",122209,"(+/- 4798 )",142086,"(+/- 4714 )",87253,"(+/- 3507 )",120188,"(+/- 4714 )",160718,"(+/- 3542 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43502,"(+/- 2676 )",34296,"(+/- 2534 )",31840,"(+/- 2908 )",38956,"(+/- 3225 )",33684,"(+/- 2992 )",43257,"(+/- 3920 )",36133,"(+/- 2987 )",37956,"(+/- 3330 )",44490,"(+/- 2431 )"
People,"Residence 1 Year Ago","Population 1 year and over",729109,"(+/- 6811 )",737150,"(+/- 9187 )",763483,"(+/- 10900 )",759935,"(+/- 8356 )",767668,"(+/- 8401 )",772934,"(+/- 5358 )",811337,"(+/- 8647 )",756535,"(+/- 11845 )",736213,"(+/- 9267 )"
People,"Residence 1 Year Ago","Same house",638695,"(+/- 9041 )",642977,"(+/- 10622 )",682559,"(+/- 12204 )",676870,"(+/- 10236 )",660804,"(+/- 12122 )",693928,"(+/- 8905 )",653132,"(+/- 11592 )",658524,"(+/- 13006 )",662576,"(+/- 10911 )"
People,"Residence 1 Year Ago","Different house in the U.S.",85267,"(+/- 7556 )",89240,"(+/- 5935 )",73802,"(+/- 7055 )",77530,"(+/- 7241 )",95918,"(+/- 9005 )",72811,"(+/- 7505 )",140285,"(+/- 9864 )",91368,"(+/- 7857 )",71761,"(+/- 6784 )"
People,"Residence 1 Year Ago","Same county",59325,"(+/- 6125 )",53149,"(+/- 5551 )",50981,"(+/- 6479 )",38212,"(+/- 5584 )",56221,"(+/- 7912 )",48308,"(+/- 6263 )",67309,"(+/- 6385 )",43402,"(+/- 6285 )",46693,"(+/- 5678 )"
People,"Residence 1 Year Ago","Different county",25942,"(+/- 4687 )",36091,"(+/- 4107 )",22821,"(+/- 3348 )",39318,"(+/- 4458 )",39697,"(+/- 4363 )",24503,"(+/- 4348 )",72976,"(+/- 6366 )",47966,"(+/- 4971 )",25068,"(+/- 3713 )"
People,"Residence 1 Year Ago","Same state",10724,"(+/- 2547 )",23394,"(+/- 3489 )",13473,"(+/- 2526 )",22429,"(+/- 3167 )",20141,"(+/- 3470 )",16481,"(+/- 3617 )",34014,"(+/- 4222 )",33684,"(+/- 4720 )",16000,"(+/- 2605 )"
People,"Residence 1 Year Ago","Different state",15218,"(+/- 3503 )",12697,"(+/- 2391 )",9348,"(+/- 2257 )",16889,"(+/- 2683 )",19556,"(+/- 2921 )",8022,"(+/- 2273 )",38962,"(+/- 4088 )",14282,"(+/- 3042 )",9068,"(+/- 2304 )"
People,"Residence 1 Year Ago",Abroad,5147,"(+/- 2199 )",4933,"(+/- 1709 )",7122,"(+/- 2229 )",5535,"(+/- 1444 )",10946,"(+/- 2500 )",6195,"(+/- 2789 )",17920,"(+/- 3049 )",6643,"(+/- 1954 )",1876,"(+/- 748 )"
Workers,"Employment Status","Population 16 years and over",605110,"(+/- 5507 )",620213,"(+/- 7868 )",620907,"(+/- 9343 )",619775,"(+/- 7615 )",644565,"(+/- 8040 )",640475,"(+/- 5708 )",698516,"(+/- 8550 )",634210,"(+/- 9264 )",619894,"(+/- 7586 )"
Workers,"Employment Status","In labor force",367255,"(+/- 6328 )",402076,"(+/- 8253 )",421605,"(+/- 9222 )",420617,"(+/- 7752 )",452145,"(+/- 8895 )",428368,"(+/- 7201 )",485377,"(+/- 11336 )",446165,"(+/- 7918 )",384153,"(+/- 8025 )"
Workers,"Employment Status","Civilian labor force",366801,"(+/- 6304 )",401847,"(+/- 8264 )",421104,"(+/- 9277 )",420617,"(+/- 7752 )",451208,"(+/- 8869 )",428162,"(+/- 7147 )",484977,"(+/- 11289 )",445398,"(+/- 7893 )",383590,"(+/- 7980 )"
Workers,"Employment Status",Employed,350075,"(+/- 6666 )",383131,"(+/- 7526 )",395716,"(+/- 9480 )",402996,"(+/- 8002 )",434824,"(+/- 9038 )",410662,"(+/- 7399 )",452855,"(+/- 10861 )",425766,"(+/- 7902 )",366959,"(+/- 7734 )"
Workers,"Employment Status",Unemployed,16726,"(+/- 2182 )",18716,"(+/- 2365 )",25388,"(+/- 2894 )",17621,"(+/- 2184 )",16384,"(+/- 2201 )",17500,"(+/- 2525 )",32122,"(+/- 3827 )",19632,"(+/- 2384 )",16631,"(+/- 2293 )"
Workers,"Employment Status","Armed Forces",454,"(+/- 297 )",229,"(+/- 202 )",501,"(+/- 301 )",0,"(+/- 211 )",937,"(+/- 366 )",206,"(+/- 217 )",400,"(+/- 328 )",767,"(+/- 466 )",563,"(+/- 276 )"
