Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Place of Birth","Different state",426915,"(+/- 11311 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",14791,"(+/- 2280 )"
People,"Place of Birth","Foreign born",91230,"(+/- 5598 )"
People,Ancestry,"Total population",(X),((X))
People,Ancestry,American,(X),((X))
People,Ancestry,Arab,(X),((X))
People,Ancestry,Czech,(X),((X))
People,Ancestry,Danish,(X),((X))
People,Ancestry,Dutch,(X),((X))
People,Ancestry,English,(X),((X))
People,Ancestry,"French (except Basque)",(X),((X))
People,Ancestry,"French Canadian",(X),((X))
People,Ancestry,German,(X),((X))
People,Ancestry,Greek,(X),((X))
People,Ancestry,Hungarian,(X),((X))
People,Ancestry,Irish,(X),((X))
People,Ancestry,Italian,(X),((X))
People,Ancestry,Lithuanian,(X),((X))
People,Ancestry,Norwegian,(X),((X))
People,Ancestry,Polish,(X),((X))
People,Ancestry,Portuguese,(X),((X))
People,Ancestry,Russian,(X),((X))
People,Ancestry,Scotch-Irish,(X),((X))
People,Ancestry,Scottish,(X),((X))
People,Ancestry,Slovak,(X),((X))
People,Ancestry,"Subsaharan African",(X),((X))
People,Ancestry,Swedish,(X),((X))
People,Ancestry,Swiss,(X),((X))
People,Ancestry,Ukrainian,(X),((X))
People,Ancestry,Welsh,(X),((X))
People,Ancestry,"West Indian (excluding Hispanic origin groups)",(X),((X))
People,"Veteran Status","Civilian population 18 years and over",760607,"(+/- 1177 )"
People,"Veteran Status","Civilian veterans",66896,"(+/- 3649 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",952211,"(+/- 1135 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",125799,"(+/- 5655 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",202734,"(+/- 218 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9641,"(+/- 1930 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",572590,"(+/- 1503 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",61531,"(+/- 4223 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",176887,"(+/- 1004 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54627,"(+/- 2974 )"
People,"Residence 1 Year Ago","Population 1 year and over",958770,"(+/- 1413 )"
People,"Residence 1 Year Ago","Same house",853523,"(+/- 7519 )"
People,"Residence 1 Year Ago","Different house in the U.S.",102435,"(+/- 7332 )"
People,"Residence 1 Year Ago","Same county",58690,"(+/- 5872 )"
People,"Residence 1 Year Ago","Different county",43745,"(+/- 4573 )"
People,"Residence 1 Year Ago","Same state",9294,"(+/- 1878 )"
People,"Residence 1 Year Ago","Different state",34451,"(+/- 4392 )"
People,"Residence 1 Year Ago",Abroad,2812,"(+/- 957 )"
Workers,"Employment Status","Population 16 years and over",788299,"(+/- 1405 )"
Workers,"Employment Status","In labor force",489706,"(+/- 6921 )"
Workers,"Employment Status","Civilian labor force",486292,"(+/- 6812 )"
Workers,"Employment Status",Employed,458434,"(+/- 6653 )"
Workers,"Employment Status",Unemployed,27858,"(+/- 3093 )"
Workers,"Employment Status","Armed Forces",3414,"(+/- 1135 )"
Workers,"Employment Status","Not in labor force",298593,"(+/- 7066 )"
Workers,"Employment Status","Civilian labor force",486292,"(+/- 6812 )"
Workers,"Employment Status","Unemployment Rate",5.7,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",452707,"(+/- 6902 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",360283,"(+/- 7081 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",41270,"(+/- 3928 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",9756,"(+/- 1642 )"
Workers,"Commuting to Work",Walked,10720,"(+/- 1634 )"
Workers,"Commuting to Work","Other means",4939,"(+/- 1154 )"
Workers,"Commuting to Work","Worked at home",25739,"(+/- 2523 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.4,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",458434,"(+/- 6653 )"
Workers,Occupation,"Management, business, science, and arts occupations",177791,"(+/- 6173 )"
Workers,Occupation,"Service occupations",86552,"(+/- 5109 )"
Workers,Occupation,"Sales and office occupations",101410,"(+/- 4850 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",39745,"(+/- 3263 )"
Workers,Occupation,"Production, transportation, and material moving occupations",52936,"(+/- 4403 )"
Workers,Industry,"Civilian employed population 16 years and over",458434,"(+/- 6653 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",6146,"(+/- 1211 )"
Workers,Industry,Construction,30425,"(+/- 3543 )"
Workers,Industry,Manufacturing,40645,"(+/- 4008 )"
Workers,Industry,"Wholesale trade",9328,"(+/- 1833 )"
Workers,Industry,"Retail trade",56067,"(+/- 3633 )"
Workers,Industry,"Transportation and warehousing, and utilities",23602,"(+/- 2920 )"
Workers,Industry,Information,4631,"(+/- 1027 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",40218,"(+/- 2834 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",43474,"(+/- 3194 )"
Workers,Industry,"Educational services, and health care and social assistance",114026,"(+/- 5011 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",43498,"(+/- 4038 )"
Workers,Industry,"Other services, except public administration",21192,"(+/- 2489 )"
Workers,Industry,"Public administration",25182,"(+/- 2571 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",458434,"(+/- 6653 )"
Workers,"Class of Worker","Private wage and salary workers",367822,"(+/- 7572 )"
Workers,"Class of Worker","Government workers",69498,"(+/- 3844 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20862,"(+/- 2087 )"
Workers,"Class of Worker","Unpaid family workers",252,"(+/- 205 )"
Housing,"Housing Occupancy","Total housing units",438659,"(+/- 190 )"
Housing,"Housing Occupancy","Occupied housing units",367671,"(+/- 3933 )"
Housing,"Housing Occupancy","Vacant housing units",70988,"(+/- 3939 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.8,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",367671,"(+/- 3933 )"
Housing,"Housing Tenure",Owner-occupied,261145,"(+/- 4466 )"
Housing,"Housing Tenure",Renter-occupied,106526,"(+/- 4571 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.59,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.51,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",367671,"(+/- 3933 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",60719,"(+/- 4217 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",55909,"(+/- 3828 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",70491,"(+/- 4746 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",90171,"(+/- 4550 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",44556,"(+/- 3354 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",45825,"(+/- 2729 )"
Housing,Value,"Owner-occupied units",261145,"(+/- 4466 )"
Housing,Value,"Less than $50,000",15020,"(+/- 1783 )"
Housing,Value,"$50,000 to $99,999",10592,"(+/- 1547 )"
Housing,Value,"$100,000 to $149,999",19377,"(+/- 1826 )"
Housing,Value,"$150,000 to $199,999",38024,"(+/- 2390 )"
Housing,Value,"$200,000 to $299,999",77217,"(+/- 4406 )"
Housing,Value,"$300,000 to $499,999",77480,"(+/- 3346 )"
Housing,Value,"$500,000 to $999,999",18457,"(+/- 1650 )"
Housing,Value,"$1,000,000 or more",4978,"(+/- 897 )"
Housing,Value,"Median (dollars)",255300,"(+/- 5345 )"
Housing,"Mortgage Status","Owner-occupied units",261145,"(+/- 4466 )"
Housing,"Mortgage Status","Housing units with a mortgage",165425,"(+/- 4301 )"
Housing,"Mortgage Status","Housing units without a mortgage",95720,"(+/- 3582 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",165425,"(+/- 4301 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2131,"(+/- 665 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",19739,"(+/- 2157 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",54314,"(+/- 3520 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",47688,"(+/- 3613 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",22969,"(+/- 1972 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",10112,"(+/- 1378 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",8472,"(+/- 1301 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1566,"(+/- 28 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",95720,"(+/- 3582 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",8956,"(+/- 1423 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",25189,"(+/- 2164 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",32995,"(+/- 2543 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",16747,"(+/- 2093 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6814,"(+/- 1200 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5019,"(+/- 1145 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",473,"(+/- 12 )"
Housing,"Gross Rent","Occupied units paying rent",102132,"(+/- 4701 )"
Housing,"Gross Rent","Less than $500",9314,"(+/- 1600 )"
Housing,"Gross Rent","$500 to $999",30846,"(+/- 2936 )"
Housing,"Gross Rent","$1,000 to $1,499",44013,"(+/- 4081 )"
Housing,"Gross Rent","$1,500 to $1,999",13648,"(+/- 1961 )"
Housing,"Gross Rent","$2,000 to $2,499",2602,"(+/- 829 )"
Housing,"Gross Rent","$2,500 to $2,999",571,"(+/- 350 )"
Housing,"Gross Rent","$3,000 or more",1138,"(+/- 580 )"
Housing,"Gross Rent","Median (dollars)",1108,"(+/- 25 )"
Housing,"Gross Rent","No rent paid",4394,"(+/- 972 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",367671,"(+/- 3933 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",22040,"(+/- 2559 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",14567,"(+/- 1725 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",30670,"(+/- 2870 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",34266,"(+/- 2729 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",42368,"(+/- 3701 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",67040,"(+/- 4095 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",50462,"(+/- 3511 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",57871,"(+/- 3212 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",24090,"(+/- 2354 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",24297,"(+/- 2193 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",64805,"(+/- 1570 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",84896,"(+/- 1884 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",952211,"(+/- 1135 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",898249,"(+/- 6317 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",672591,"(+/- 10599 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",378683,"(+/- 9325 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",53962,"(+/- 6377 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",215130,"(+/- 1599 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",7838,"(+/- 2190 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.4,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",15.4,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",12.0,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.1,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.8,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.8,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",23.2,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",33.5,"(+/- 5.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",31.6,"(+/- 13.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",12.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",18.7,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",18.5,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",19.1,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",18.2,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.8,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.1,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",9.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",23.9,"(+/- 1.9 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",223499,"(+/- 3992 )"
Education,"School Enrollment","Nursery school, preschool",13363,"(+/- 1842 )"
Education,"School Enrollment",Kindergarten,9538,"(+/- 1733 )"
Education,"School Enrollment","Elementary school (grades 1-8)",95215,"(+/- 2680 )"
Education,"School Enrollment","High school (grades 9-12)",45872,"(+/- 2036 )"
Education,"School Enrollment","College or graduate school",59511,"(+/- 3706 )"
Education,"Educational Attainment","Population 25 years and over",679700,"(+/- 997 )"
Education,"Educational Attainment","Less than 9th grade",26223,"(+/- 3165 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",42858,"(+/- 3511 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",225797,"(+/- 8197 )"
Education,"Educational Attainment","Some college, no degree",120182,"(+/- 5888 )"
Education,"Educational Attainment","Associate's degree",51648,"(+/- 3385 )"
Education,"Educational Attainment","Bachelor's degree",124178,"(+/- 5383 )"
Education,"Educational Attainment","Graduate or professional degree",88814,"(+/- 4457 )"
Education,"Educational Attainment","Percent high school graduate or higher",89.8,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",31.3,"(+/- 1.0 )"
