Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Sex and Age","45 to 54 years",82869,"(+/- 2860 )",102613,"(+/- 7143 )",134942,"(+/- 2544 )",95602,"(+/- 3046 )",91621,"(+/- 4222 )",105512,"(+/- 4608 )",99730,"(+/- 6540 )",113169,"(+/- 4188 )",96972,"(+/- 7573 )",115941,"(+/- 7197 )",85382,"(+/- 3208 )",109132,"(+/- 5273 )",83144,"(+/- 2322 )",94586,"(+/- 2415 )",89533,"(+/- 3499 )",83219,"(+/- 2307 )",87456,"(+/- 5237 )",94182,"(+/- 6335 )",76136,"(+/- 2708 )",92644,"(+/- 5592 )",96511,"(+/- 5375 )",131662,"(+/- 5344 )",98096,"(+/- 5328 )",110667,"(+/- 5865 )",100367,"(+/- 4303 )",127041,"(+/- 3623 )",84332,"(+/- 2940 )",92834,"(+/- 4181 )",93838,"(+/- 6064 )",99704,"(+/- 4778 )",112357,"(+/- 1366 )",96051,"(+/- 5474 )",92605,"(+/- 4878 )",84113,"(+/- 3726 )",100053,"(+/- 6126 )",96383,"(+/- 4863 )"
People,"Sex and Age","55 to 59 years",44989,"(+/- 2928 )",43929,"(+/- 4206 )",56141,"(+/- 3366 )",52034,"(+/- 2977 )",41212,"(+/- 2836 )",51057,"(+/- 3392 )",45703,"(+/- 4261 )",59012,"(+/- 3440 )",43504,"(+/- 4079 )",50916,"(+/- 4462 )",46635,"(+/- 2682 )",53540,"(+/- 3623 )",47703,"(+/- 2849 )",55040,"(+/- 3283 )",41369,"(+/- 3174 )",37911,"(+/- 2500 )",43768,"(+/- 3211 )",44890,"(+/- 4568 )",41410,"(+/- 2217 )",41661,"(+/- 2797 )",55092,"(+/- 4279 )",55865,"(+/- 4257 )",42899,"(+/- 3619 )",49238,"(+/- 4118 )",50486,"(+/- 3727 )",56687,"(+/- 3870 )",47601,"(+/- 2965 )",41188,"(+/- 3528 )",40083,"(+/- 3741 )",44355,"(+/- 3361 )",49406,"(+/- 2917 )",53890,"(+/- 3992 )",37003,"(+/- 3150 )",37866,"(+/- 2441 )",41479,"(+/- 3089 )",48928,"(+/- 3333 )"
People,"Sex and Age","60 to 64 years",44739,"(+/- 3084 )",44287,"(+/- 3544 )",45165,"(+/- 3041 )",47543,"(+/- 2829 )",44963,"(+/- 2759 )",41905,"(+/- 3308 )",43337,"(+/- 4246 )",50763,"(+/- 4146 )",38514,"(+/- 3921 )",51534,"(+/- 4312 )",47433,"(+/- 2391 )",45704,"(+/- 3987 )",42649,"(+/- 2507 )",45917,"(+/- 3426 )",34049,"(+/- 3001 )",37244,"(+/- 2533 )",37086,"(+/- 3248 )",40382,"(+/- 3019 )",39601,"(+/- 2155 )",38673,"(+/- 3333 )",52790,"(+/- 3802 )",50596,"(+/- 4221 )",42316,"(+/- 3729 )",46990,"(+/- 3783 )",42120,"(+/- 2980 )",44450,"(+/- 3257 )",45804,"(+/- 2783 )",33551,"(+/- 3201 )",34280,"(+/- 3360 )",43018,"(+/- 3446 )",42714,"(+/- 2770 )",44431,"(+/- 4098 )",34002,"(+/- 2918 )",34166,"(+/- 2429 )",40850,"(+/- 4246 )",45860,"(+/- 3617 )"
People,"Sex and Age","65 to 74 years",69845,"(+/- 1841 )",60434,"(+/- 4438 )",63875,"(+/- 1811 )",76027,"(+/- 2171 )",59853,"(+/- 2204 )",57828,"(+/- 3158 )",52070,"(+/- 4568 )",74545,"(+/- 2460 )",49269,"(+/- 3924 )",70278,"(+/- 4231 )",71261,"(+/- 1942 )",62452,"(+/- 2711 )",61470,"(+/- 1869 )",65071,"(+/- 1803 )",49698,"(+/- 2891 )",50935,"(+/- 1461 )",60398,"(+/- 2205 )",48542,"(+/- 4290 )",54792,"(+/- 1556 )",55485,"(+/- 3790 )",78699,"(+/- 3888 )",67416,"(+/- 3571 )",64940,"(+/- 4275 )",54260,"(+/- 3490 )",71389,"(+/- 3150 )",57491,"(+/- 2663 )",70413,"(+/- 2250 )",51912,"(+/- 3502 )",42558,"(+/- 3744 )",57041,"(+/- 3490 )",65833,"(+/- 1150 )",56907,"(+/- 3627 )",44716,"(+/- 3203 )",55725,"(+/- 2256 )",52828,"(+/- 3983 )",68038,"(+/- 3395 )"
People,"Sex and Age","75 to 84 years",37222,"(+/- 1958 )",26722,"(+/- 2770 )",27352,"(+/- 1877 )",38940,"(+/- 1596 )",31646,"(+/- 1957 )",26074,"(+/- 2147 )",20841,"(+/- 2977 )",35532,"(+/- 2950 )",22141,"(+/- 2777 )",32243,"(+/- 2761 )",38603,"(+/- 2098 )",28706,"(+/- 2726 )",34364,"(+/- 1957 )",29423,"(+/- 1921 )",28130,"(+/- 2354 )",28897,"(+/- 1582 )",28543,"(+/- 2015 )",21712,"(+/- 2521 )",33110,"(+/- 1902 )",28184,"(+/- 2308 )",36803,"(+/- 3046 )",28033,"(+/- 2663 )",31029,"(+/- 2840 )",27921,"(+/- 2746 )",33675,"(+/- 2274 )",24444,"(+/- 1873 )",34910,"(+/- 2162 )",26869,"(+/- 2471 )",17261,"(+/- 2371 )",19880,"(+/- 2223 )",30172,"(+/- 1540 )",28575,"(+/- 2493 )",17879,"(+/- 2124 )",32677,"(+/- 2923 )",21310,"(+/- 2295 )",32547,"(+/- 2402 )"
People,"Sex and Age","85 years and over",13206,"(+/- 1810 )",8613,"(+/- 2074 )",10181,"(+/- 1559 )",11951,"(+/- 1521 )",12340,"(+/- 1637 )",9843,"(+/- 1816 )",11714,"(+/- 1940 )",10437,"(+/- 1618 )",8947,"(+/- 2077 )",12912,"(+/- 1966 )",13223,"(+/- 1413 )",13987,"(+/- 2418 )",12974,"(+/- 1721 )",11692,"(+/- 1525 )",8113,"(+/- 1511 )",11872,"(+/- 1450 )",9395,"(+/- 1481 )",6268,"(+/- 871 )",12454,"(+/- 1369 )",10309,"(+/- 1509 )",15849,"(+/- 2092 )",8944,"(+/- 1707 )",9894,"(+/- 1647 )",9516,"(+/- 1627 )",10595,"(+/- 1673 )",8275,"(+/- 1448 )",13632,"(+/- 1738 )",11026,"(+/- 1698 )",4622,"(+/- 1170 )",9766,"(+/- 1827 )",10376,"(+/- 1312 )",10419,"(+/- 1847 )",6045,"(+/- 1086 )",13582,"(+/- 1722 )",9166,"(+/- 1685 )",10797,"(+/- 1588 )"
People,"Sex and Age","Median age (years)",37.0,"(+/- 0.6 )",35.3,"(+/- 0.7 )",37.4,"(+/- 0.3 )",39.4,"(+/- 0.6 )",35.9,"(+/- 0.6 )",35.4,"(+/- 0.7 )",35.2,"(+/- 0.8 )",37.5,"(+/- 0.6 )",33.1,"(+/- 0.8 )",35.9,"(+/- 0.7 )",35.2,"(+/- 0.4 )",35.9,"(+/- 0.7 )",36.3,"(+/- 0.3 )",37.1,"(+/- 0.4 )",30.7,"(+/- 0.5 )",32.5,"(+/- 0.4 )",32.3,"(+/- 0.5 )",32.5,"(+/- 0.6 )",33.3,"(+/- 0.3 )",31.6,"(+/- 0.7 )",37.9,"(+/- 0.6 )",36.3,"(+/- 0.5 )",34.6,"(+/- 0.7 )",36.0,"(+/- 0.5 )",37.2,"(+/- 0.7 )",35.4,"(+/- 0.4 )",36.8,"(+/- 0.4 )",31.7,"(+/- 0.7 )",31.0,"(+/- 0.8 )",32.7,"(+/- 0.6 )",35.2,"(+/- 0.3 )",35.8,"(+/- 0.8 )",30.5,"(+/- 0.6 )",33.5,"(+/- 0.6 )",33.1,"(+/- 0.8 )",37.0,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",547720,"(+/- 4015 )",599725,"(+/- 17494 )",668954,"(+/- 5714 )",572626,"(+/- 5102 )",552533,"(+/- 7557 )",596930,"(+/- 10974 )",578901,"(+/- 20185 )",651553,"(+/- 7502 )",587430,"(+/- 20693 )",671283,"(+/- 16988 )",583052,"(+/- 4610 )",615593,"(+/- 11935 )",534828,"(+/- 3272 )",577835,"(+/- 5687 )",554280,"(+/- 9658 )",537128,"(+/- 6238 )",607071,"(+/- 8200 )",593816,"(+/- 18059 )",548562,"(+/- 4223 )",619922,"(+/- 15759 )",662092,"(+/- 14353 )",676882,"(+/- 13901 )",578864,"(+/- 12168 )",628127,"(+/- 10272 )",599483,"(+/- 12044 )",660558,"(+/- 7552 )",555181,"(+/- 5686 )",530987,"(+/- 10626 )",537017,"(+/- 16340 )",576166,"(+/- 13327 )",654667,"(+/- 2894 )",599247,"(+/- 11377 )",540569,"(+/- 15737 )",514468,"(+/- 8862 )",625785,"(+/- 15353 )",562526,"(+/- 9843 )"
People,"Sex and Age","65 years and over",120273,"(+/- 2306 )",95769,"(+/- 5826 )",101408,"(+/- 2189 )",126918,"(+/- 2198 )",103839,"(+/- 2998 )",93745,"(+/- 4382 )",84625,"(+/- 5592 )",120514,"(+/- 2984 )",80357,"(+/- 4664 )",115433,"(+/- 5302 )",123087,"(+/- 2224 )",105145,"(+/- 3730 )",108808,"(+/- 2041 )",106186,"(+/- 2212 )",85941,"(+/- 3958 )",91704,"(+/- 2022 )",98336,"(+/- 2796 )",76522,"(+/- 5151 )",100356,"(+/- 2076 )",93978,"(+/- 4933 )",131351,"(+/- 4797 )",104393,"(+/- 3931 )",105863,"(+/- 5291 )",91697,"(+/- 4942 )",115659,"(+/- 3837 )",90210,"(+/- 3020 )",118955,"(+/- 2374 )",89807,"(+/- 3954 )",64441,"(+/- 5203 )",86687,"(+/- 4316 )",106381,"(+/- 903 )",95901,"(+/- 4695 )",68640,"(+/- 4035 )",101984,"(+/- 3204 )",83304,"(+/- 4875 )",111382,"(+/- 4076 )"
People,Race,"Total population",725555,"(+/- 4681 )",803041,"(+/- 23478 )",899784,"(+/- 8289 )",759648,"(+/- 7731 )",749808,"(+/- 11072 )",804816,"(+/- 15813 )",775198,"(+/- 28663 )",871420,"(+/- 12276 )",786925,"(+/- 29478 )",896798,"(+/- 24121 )",782337,"(+/- 6209 )",812102,"(+/- 15762 )",711672,"(+/- 4745 )",763380,"(+/- 8826 )",795511,"(+/- 13153 )",733764,"(+/- 7877 )",793513,"(+/- 11152 )",801885,"(+/- 24004 )",731759,"(+/- 6458 )",846337,"(+/- 22034 )",818281,"(+/- 19731 )",935386,"(+/- 21358 )",794879,"(+/- 16077 )",817147,"(+/- 11209 )",786976,"(+/- 16986 )",894192,"(+/- 9804 )",739719,"(+/- 7422 )",768719,"(+/- 15326 )",765435,"(+/- 23892 )",804679,"(+/- 19379 )",883347,"(+/- 5077 )",769852,"(+/- 16363 )",777745,"(+/- 22612 )",727688,"(+/- 12492 )",818369,"(+/- 22634 )",754178,"(+/- 13965 )"
People,Race,"One race",711118,"(+/- 5889 )",785768,"(+/- 23246 )",873965,"(+/- 8479 )",739424,"(+/- 8335 )",731478,"(+/- 11315 )",771387,"(+/- 15467 )",750738,"(+/- 28925 )",850212,"(+/- 12555 )",772928,"(+/- 29448 )",866850,"(+/- 23743 )",765271,"(+/- 6680 )",787566,"(+/- 15613 )",693431,"(+/- 5608 )",742196,"(+/- 9407 )",781572,"(+/- 12694 )",709522,"(+/- 8517 )",775225,"(+/- 11278 )",785432,"(+/- 23951 )",709715,"(+/- 6899 )",819929,"(+/- 21981 )",788445,"(+/- 19017 )",912325,"(+/- 20970 )",779300,"(+/- 16498 )",793472,"(+/- 10947 )",761319,"(+/- 16899 )",858042,"(+/- 10285 )",724879,"(+/- 8302 )",752446,"(+/- 16095 )",755887,"(+/- 23775 )",789648,"(+/- 19338 )",841318,"(+/- 6412 )",747596,"(+/- 16118 )",760877,"(+/- 22068 )",720293,"(+/- 12458 )",794048,"(+/- 22039 )",734233,"(+/- 13709 )"
People,Race,White,562287,"(+/- 5761 )",530501,"(+/- 20049 )",604718,"(+/- 8853 )",613711,"(+/- 7334 )",564747,"(+/- 12501 )",516702,"(+/- 13070 )",484785,"(+/- 19060 )",726274,"(+/- 13252 )",265656,"(+/- 19766 )",635232,"(+/- 20341 )",676504,"(+/- 9474 )",643801,"(+/- 16151 )",606114,"(+/- 6299 )",541303,"(+/- 9092 )",682610,"(+/- 14544 )",574519,"(+/- 12554 )",615999,"(+/- 11859 )",388019,"(+/- 17944 )",601004,"(+/- 8734 )",698825,"(+/- 21246 )",695090,"(+/- 17906 )",557965,"(+/- 15580 )",667536,"(+/- 17917 )",512935,"(+/- 13506 )",637401,"(+/- 12914 )",681208,"(+/- 11769 )",632962,"(+/- 8540 )",682000,"(+/- 14874 )",558932,"(+/- 21985 )",404535,"(+/- 18012 )",658842,"(+/- 7074 )",519270,"(+/- 15823 )",461990,"(+/- 15913 )",671012,"(+/- 13804 )",604156,"(+/- 22144 )",619921,"(+/- 14769 )"
People,Race,"Black or African American",125469,"(+/- 3307 )",104364,"(+/- 13781 )",90453,"(+/- 5367 )",84201,"(+/- 5131 )",118355,"(+/- 8045 )",173170,"(+/- 12583 )",118712,"(+/- 16569 )",71309,"(+/- 5621 )",298391,"(+/- 17519 )",96895,"(+/- 11214 )",32729,"(+/- 2910 )",69789,"(+/- 8182 )",41595,"(+/- 2547 )",149184,"(+/- 5222 )",17538,"(+/- 2240 )",25247,"(+/- 2112 )",102109,"(+/- 6076 )",288465,"(+/- 16715 )",45575,"(+/- 3392 )",46037,"(+/- 5944 )",32770,"(+/- 4505 )",136922,"(+/- 12200 )",30583,"(+/- 6320 )",110412,"(+/- 10638 )",69290,"(+/- 7942 )",78576,"(+/- 6456 )",41344,"(+/- 2246 )",32159,"(+/- 5724 )",70548,"(+/- 8486 )",336430,"(+/- 13712 )",109176,"(+/- 8072 )",102562,"(+/- 11333 )",122972,"(+/- 9644 )",7703,"(+/- 1735 )",70848,"(+/- 7878 )",75145,"(+/- 6871 )"
People,Race,"American Indian and Alaska Native",3590,"(+/- 1746 )",3093,"(+/- 1333 )",4334,"(+/- 1174 )",5608,"(+/- 1302 )",3988,"(+/- 1567 )",5190,"(+/- 1973 )",4713,"(+/- 4495 )",2727,"(+/- 1478 )",2319,"(+/- 1356 )",6400,"(+/- 2832 )",6674,"(+/- 2765 )",5536,"(+/- 2735 )",5395,"(+/- 1080 )",2489,"(+/- 1073 )",1876,"(+/- 696 )",2619,"(+/- 1059 )",3110,"(+/- 1215 )",3717,"(+/- 1528 )",6035,"(+/- 1598 )",8866,"(+/- 3230 )",2881,"(+/- 1423 )",2278,"(+/- 1270 )",4834,"(+/- 2191 )",3351,"(+/- 1151 )",3302,"(+/- 1361 )",7743,"(+/- 2671 )",2329,"(+/- 837 )",1070,"(+/- 741 )",4281,"(+/- 1969 )",2283,"(+/- 1064 )",2772,"(+/- 1246 )",6032,"(+/- 1599 )",4995,"(+/- 2738 )",1723,"(+/- 1223 )",7018,"(+/- 2461 )",4826,"(+/- 2667 )"
