Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","75 to 84 years",50067,"(+/- 1459 )",35520,"(+/- 1921 )",32836,"(+/- 2208 )",42895,"(+/- 1920 )",38050,"(+/- 1682 )",36526,"(+/- 1567 )",38118,"(+/- 1779 )",30093,"(+/- 1964 )",35991,"(+/- 2401 )",40043,"(+/- 2403 )",34772,"(+/- 2571 )",30071,"(+/- 2070 )",28213,"(+/- 2465 )",33779,"(+/- 2421 )"
People,"Sex and Age","85 years and over",18537,"(+/- 1428 )",14105,"(+/- 1795 )",14020,"(+/- 1635 )",14967,"(+/- 1774 )",14616,"(+/- 1656 )",14089,"(+/- 1499 )",14811,"(+/- 1605 )",13102,"(+/- 1690 )",16889,"(+/- 1652 )",13560,"(+/- 1796 )",14436,"(+/- 1715 )",13059,"(+/- 1422 )",12140,"(+/- 1661 )",15962,"(+/- 1831 )"
People,"Sex and Age","Median age (years)",46.7,"(+/- 0.3 )",37.4,"(+/- 0.6 )",36.9,"(+/- 0.4 )",41.6,"(+/- 0.4 )",41.8,"(+/- 0.5 )",38.9,"(+/- 0.4 )",42.0,"(+/- 0.5 )",38.1,"(+/- 0.4 )",39.6,"(+/- 0.6 )",43.5,"(+/- 0.5 )",41.7,"(+/- 0.8 )",35.3,"(+/- 0.6 )",36.7,"(+/- 1.0 )",38.6,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",570934,"(+/- 1448 )",572043,"(+/- 3579 )",569489,"(+/- 3127 )",561588,"(+/- 2469 )",524805,"(+/- 2518 )",559763,"(+/- 1714 )",555530,"(+/- 3038 )",583935,"(+/- 4798 )",576801,"(+/- 6093 )",567533,"(+/- 5399 )",577109,"(+/- 5947 )",563615,"(+/- 6815 )",501267,"(+/- 8277 )",547238,"(+/- 8945 )"
People,"Sex and Age","65 years and over",163475,"(+/- 675 )",119587,"(+/- 2915 )",112791,"(+/- 2738 )",137477,"(+/- 1887 )",124550,"(+/- 1723 )",124855,"(+/- 904 )",130623,"(+/- 1827 )",112636,"(+/- 2555 )",119353,"(+/- 3491 )",132553,"(+/- 3483 )",123503,"(+/- 4539 )",103976,"(+/- 4034 )",97265,"(+/- 3651 )",117809,"(+/- 4544 )"
People,Race,"Total population",699220,"(+/- 1303 )",743361,"(+/- 3234 )",749975,"(+/- 2599 )",704592,"(+/- 3038 )",671115,"(+/- 3385 )",721736,"(+/- 1457 )",706811,"(+/- 3250 )",749011,"(+/- 5693 )",715259,"(+/- 7497 )",722722,"(+/- 6603 )",733920,"(+/- 6508 )",709832,"(+/- 6810 )",663867,"(+/- 12601 )",704494,"(+/- 12129 )"
People,Race,"One race",678528,"(+/- 2500 )",718462,"(+/- 4244 )",722054,"(+/- 4082 )",689692,"(+/- 3240 )",649389,"(+/- 4401 )",692107,"(+/- 3237 )",687945,"(+/- 4027 )",725792,"(+/- 6247 )",697816,"(+/- 7559 )",707946,"(+/- 7172 )",713187,"(+/- 6983 )",686612,"(+/- 7140 )",647390,"(+/- 11794 )",686330,"(+/- 12454 )"
People,Race,White,643692,"(+/- 1612 )",625058,"(+/- 6928 )",627466,"(+/- 6143 )",659539,"(+/- 3210 )",519531,"(+/- 3907 )",607696,"(+/- 3452 )",644695,"(+/- 3427 )",635322,"(+/- 6653 )",557129,"(+/- 8325 )",664624,"(+/- 7740 )",586668,"(+/- 9069 )",549015,"(+/- 7418 )",260452,"(+/- 7904 )",244398,"(+/- 8702 )"
People,Race,"Black or African American",9447,"(+/- 1201 )",49717,"(+/- 3618 )",61116,"(+/- 4510 )",13239,"(+/- 1395 )",117802,"(+/- 3631 )",58328,"(+/- 2533 )",28719,"(+/- 2071 )",43581,"(+/- 3564 )",103803,"(+/- 4797 )",21764,"(+/- 3642 )",37402,"(+/- 4772 )",80720,"(+/- 5972 )",356197,"(+/- 11367 )",394916,"(+/- 12134 )"
People,Race,"American Indian and Alaska Native",17771,"(+/- 1745 )",5025,"(+/- 1355 )",2878,"(+/- 1284 )",5200,"(+/- 843 )",2293,"(+/- 789 )",3136,"(+/- 948 )",1947,"(+/- 640 )",2612,"(+/- 933 )",2686,"(+/- 1135 )",1742,"(+/- 468 )",1773,"(+/- 878 )",2273,"(+/- 1366 )",2240,"(+/- 954 )",1436,"(+/- 669 )"
People,Race,Asian,5169,"(+/- 722 )",19487,"(+/- 2457 )",15348,"(+/- 2511 )",7785,"(+/- 1183 )",5568,"(+/- 1098 )",11341,"(+/- 855 )",7418,"(+/- 1222 )",37707,"(+/- 3016 )",30799,"(+/- 3708 )",14989,"(+/- 3972 )",80740,"(+/- 4771 )",42832,"(+/- 2434 )",9414,"(+/- 2131 )",37231,"(+/- 4482 )"
People,Race,"Native Hawaiian and Other Pacific Islander",366,"(+/- 271 )",298,"(+/- 352 )",346,"(+/- 244 )",193,"(+/- 165 )",66,"(+/- 83 )",573,"(+/- 526 )",86,"(+/- 118 )",146,"(+/- 198 )",247,"(+/- 220 )",392,"(+/- 423 )",44,"(+/- 63 )",230,"(+/- 241 )",248,"(+/- 326 )",672,"(+/- 448 )"
People,Race,"Some other race",2083,"(+/- 741 )",18877,"(+/- 4955 )",14900,"(+/- 3551 )",3736,"(+/- 815 )",4129,"(+/- 1698 )",11033,"(+/- 2101 )",5080,"(+/- 1771 )",6424,"(+/- 1460 )",3152,"(+/- 1182 )",4435,"(+/- 2081 )",6560,"(+/- 2389 )",11542,"(+/- 3370 )",18839,"(+/- 3784 )",7677,"(+/- 2141 )"
People,Race,"Two or more races",20692,"(+/- 2018 )",24899,"(+/- 2985 )",27921,"(+/- 3703 )",14900,"(+/- 1870 )",21726,"(+/- 3456 )",29629,"(+/- 2759 )",18866,"(+/- 2364 )",23219,"(+/- 2867 )",17443,"(+/- 2798 )",14776,"(+/- 2287 )",20733,"(+/- 2803 )",23220,"(+/- 3093 )",16477,"(+/- 3427 )",18164,"(+/- 2917 )"
People,"Hispanic or Latino and Race","Total population",699220,"(+/- 1303 )",743361,"(+/- 3234 )",749975,"(+/- 2599 )",704592,"(+/- 3038 )",671115,"(+/- 3385 )",721736,"(+/- 1457 )",706811,"(+/- 3250 )",749011,"(+/- 5693 )",715259,"(+/- 7497 )",722722,"(+/- 6603 )",733920,"(+/- 6508 )",709832,"(+/- 6810 )",663867,"(+/- 12601 )",704494,"(+/- 12129 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",13320,"(+/- 953 )",70506,"(+/- 3843 )",59860,"(+/- 3908 )",23557,"(+/- 1370 )",33836,"(+/- 1426 )",46202,"(+/- 386 )",31975,"(+/- 1063 )",40479,"(+/- 2617 )",17951,"(+/- 2408 )",25031,"(+/- 1936 )",24140,"(+/- 2832 )",43833,"(+/- 3730 )",52763,"(+/- 3970 )",33928,"(+/- 4924 )"
People,"Hispanic or Latino and Race",Mexican,9948,"(+/- 1317 )",53708,"(+/- 4274 )",35495,"(+/- 3795 )",17979,"(+/- 1703 )",27715,"(+/- 1964 )",37300,"(+/- 2144 )",22996,"(+/- 1622 )",28587,"(+/- 2582 )",10439,"(+/- 1948 )",18908,"(+/- 2169 )",16916,"(+/- 2326 )",31166,"(+/- 3844 )",40406,"(+/- 4124 )",22662,"(+/- 4062 )"
People,"Hispanic or Latino and Race","Puerto Rican",1196,"(+/- 571 )",5451,"(+/- 1831 )",6732,"(+/- 2256 )",1267,"(+/- 686 )",1458,"(+/- 973 )",1850,"(+/- 867 )",3272,"(+/- 1352 )",4899,"(+/- 1540 )",2471,"(+/- 1027 )",1642,"(+/- 905 )",2489,"(+/- 1094 )",3044,"(+/- 1170 )",6966,"(+/- 1978 )",4675,"(+/- 1628 )"
People,"Hispanic or Latino and Race",Cuban,137,"(+/- 156 )",1981,"(+/- 1522 )",761,"(+/- 671 )",869,"(+/- 458 )",206,"(+/- 220 )",1614,"(+/- 1553 )",829,"(+/- 622 )",1718,"(+/- 709 )",1267,"(+/- 768 )",664,"(+/- 451 )",327,"(+/- 305 )",916,"(+/- 431 )",598,"(+/- 361 )",761,"(+/- 508 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",2039,"(+/- 773 )",9366,"(+/- 2433 )",16872,"(+/- 4112 )",3442,"(+/- 926 )",4457,"(+/- 1270 )",5438,"(+/- 1193 )",4878,"(+/- 1359 )",5275,"(+/- 1322 )",3774,"(+/- 957 )",3817,"(+/- 1078 )",4408,"(+/- 1512 )",8707,"(+/- 2462 )",4793,"(+/- 1455 )",5830,"(+/- 1983 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",685900,"(+/- 1415 )",672855,"(+/- 4793 )",690115,"(+/- 4827 )",681035,"(+/- 3239 )",637279,"(+/- 3313 )",675534,"(+/- 1593 )",674836,"(+/- 3382 )",708532,"(+/- 6144 )",697308,"(+/- 7475 )",697691,"(+/- 6239 )",709780,"(+/- 7262 )",665999,"(+/- 7939 )",611104,"(+/- 12226 )",670566,"(+/- 12361 )"
People,"Place of Birth","Total population",699220,"(+/- 1303 )",743361,"(+/- 3234 )",749975,"(+/- 2599 )",704592,"(+/- 3038 )",671115,"(+/- 3385 )",721736,"(+/- 1457 )",706811,"(+/- 3250 )",749011,"(+/- 5693 )",715259,"(+/- 7497 )",722722,"(+/- 6603 )",733920,"(+/- 6508 )",709832,"(+/- 6810 )",663867,"(+/- 12601 )",704494,"(+/- 12129 )"
People,"Place of Birth",Native,684641,"(+/- 2283 )",699824,"(+/- 5777 )",711548,"(+/- 5648 )",689850,"(+/- 3607 )",657964,"(+/- 3127 )",688283,"(+/- 3732 )",687740,"(+/- 3286 )",688517,"(+/- 6598 )",638081,"(+/- 7919 )",673950,"(+/- 6586 )",623849,"(+/- 8009 )",618712,"(+/- 7703 )",611509,"(+/- 12981 )",626230,"(+/- 11882 )"
People,"Place of Birth","Born in United States",680468,"(+/- 2525 )",695581,"(+/- 5594 )",704943,"(+/- 5695 )",685802,"(+/- 3890 )",655067,"(+/- 3299 )",683030,"(+/- 3598 )",682948,"(+/- 3455 )",682018,"(+/- 6800 )",632063,"(+/- 8048 )",669774,"(+/- 6455 )",617057,"(+/- 7910 )",609959,"(+/- 7912 )",604355,"(+/- 13146 )",613537,"(+/- 12149 )"
People,"Place of Birth","State of residence",551024,"(+/- 5188 )",585827,"(+/- 7001 )",576661,"(+/- 8177 )",602879,"(+/- 5294 )",564056,"(+/- 5261 )",494098,"(+/- 6345 )",521477,"(+/- 8158 )",559921,"(+/- 8386 )",547286,"(+/- 9383 )",605569,"(+/- 6861 )",513086,"(+/- 8019 )",486938,"(+/- 7412 )",507499,"(+/- 13093 )",501461,"(+/- 11817 )"
People,"Place of Birth","Different state",129444,"(+/- 4828 )",109754,"(+/- 4985 )",128282,"(+/- 6447 )",82923,"(+/- 4358 )",91011,"(+/- 4040 )",188932,"(+/- 6419 )",161471,"(+/- 7301 )",122097,"(+/- 4920 )",84777,"(+/- 4820 )",64205,"(+/- 4139 )",103971,"(+/- 5011 )",123021,"(+/- 5796 )",96856,"(+/- 5617 )",112076,"(+/- 5448 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4173,"(+/- 813 )",4243,"(+/- 1125 )",6605,"(+/- 1634 )",4048,"(+/- 1117 )",2897,"(+/- 719 )",5253,"(+/- 1186 )",4792,"(+/- 1250 )",6499,"(+/- 1581 )",6018,"(+/- 1479 )",4176,"(+/- 1141 )",6792,"(+/- 1448 )",8753,"(+/- 1915 )",7154,"(+/- 1870 )",12693,"(+/- 3221 )"
People,"Place of Birth","Foreign born",14579,"(+/- 1564 )",43537,"(+/- 4656 )",38427,"(+/- 4690 )",14742,"(+/- 1746 )",13151,"(+/- 1930 )",33453,"(+/- 3375 )",19071,"(+/- 2137 )",60494,"(+/- 4026 )",77178,"(+/- 5240 )",48772,"(+/- 5850 )",110071,"(+/- 5429 )",91120,"(+/- 4525 )",52358,"(+/- 4946 )",78264,"(+/- 5866 )"
People,Ancestry,"Total population",699220,"(+/- 1303 )",743361,"(+/- 3234 )",749975,"(+/- 2599 )",704592,"(+/- 3038 )",671115,"(+/- 3385 )",721736,"(+/- 1457 )",706811,"(+/- 3250 )",749011,"(+/- 5693 )",715259,"(+/- 7497 )",722722,"(+/- 6603 )",733920,"(+/- 6508 )",709832,"(+/- 6810 )",663867,"(+/- 12601 )",704494,"(+/- 12129 )"
People,Ancestry,American,42582,"(+/- 3205 )",28380,"(+/- 3412 )",29217,"(+/- 3755 )",41231,"(+/- 3467 )",51566,"(+/- 5926 )",42517,"(+/- 4721 )",48038,"(+/- 4784 )",27449,"(+/- 3085 )",28675,"(+/- 3702 )",35138,"(+/- 4344 )",29223,"(+/- 3644 )",45536,"(+/- 5788 )",41508,"(+/- 5561 )",24682,"(+/- 4321 )"
People,Ancestry,Arab,1317,"(+/- 521 )",1412,"(+/- 631 )",2927,"(+/- 986 )",2457,"(+/- 1135 )",4578,"(+/- 1605 )",5330,"(+/- 3035 )",3072,"(+/- 1320 )",10294,"(+/- 2790 )",22851,"(+/- 4008 )",12055,"(+/- 3355 )",19169,"(+/- 3212 )",54250,"(+/- 5093 )",33901,"(+/- 5550 )",26936,"(+/- 5560 )"
People,Ancestry,Czech,4502,"(+/- 1257 )",2967,"(+/- 894 )",2560,"(+/- 971 )",6197,"(+/- 1243 )",3374,"(+/- 1208 )",2672,"(+/- 621 )",3159,"(+/- 717 )",4614,"(+/- 1227 )",2494,"(+/- 786 )",3484,"(+/- 1584 )",2950,"(+/- 981 )",2385,"(+/- 772 )",464,"(+/- 261 )",782,"(+/- 319 )"
People,Ancestry,Danish,4416,"(+/- 1102 )",4440,"(+/- 929 )",5216,"(+/- 1953 )",3895,"(+/- 852 )",998,"(+/- 440 )",2054,"(+/- 801 )",1816,"(+/- 623 )",2775,"(+/- 732 )",1784,"(+/- 708 )",2178,"(+/- 1122 )",1955,"(+/- 671 )",1841,"(+/- 641 )",359,"(+/- 304 )",469,"(+/- 261 )"
People,Ancestry,Dutch,18231,"(+/- 1968 )",135094,"(+/- 7759 )",95297,"(+/- 6655 )",24123,"(+/- 2375 )",11105,"(+/- 2193 )",67597,"(+/- 5624 )",16633,"(+/- 2131 )",17427,"(+/- 2267 )",7555,"(+/- 1334 )",10241,"(+/- 1457 )",10502,"(+/- 1820 )",10586,"(+/- 2345 )",3357,"(+/- 885 )",3449,"(+/- 1104 )"
People,Ancestry,English,73520,"(+/- 4079 )",51670,"(+/- 3731 )",69652,"(+/- 5163 )",69624,"(+/- 3384 )",53901,"(+/- 3732 )",64783,"(+/- 4834 )",88230,"(+/- 6874 )",76411,"(+/- 5064 )",54321,"(+/- 4124 )",55232,"(+/- 4317 )",75157,"(+/- 5014 )",47078,"(+/- 3675 )",20281,"(+/- 3538 )",21581,"(+/- 2706 )"
People,Ancestry,"French (except Basque)",46320,"(+/- 2518 )",23896,"(+/- 2859 )",19489,"(+/- 2225 )",33037,"(+/- 2920 )",34457,"(+/- 2774 )",19171,"(+/- 2152 )",31687,"(+/- 3133 )",26298,"(+/- 2961 )",24569,"(+/- 2365 )",35187,"(+/- 3913 )",28471,"(+/- 3522 )",26566,"(+/- 2577 )",9359,"(+/- 2052 )",9702,"(+/- 1973 )"
People,Ancestry,"French Canadian",21673,"(+/- 2488 )",6680,"(+/- 1299 )",6999,"(+/- 1653 )",12465,"(+/- 2236 )",13391,"(+/- 2178 )",4294,"(+/- 1061 )",11808,"(+/- 2693 )",14034,"(+/- 2092 )",12712,"(+/- 2005 )",16959,"(+/- 2490 )",11693,"(+/- 2119 )",9753,"(+/- 1788 )",5100,"(+/- 1321 )",3822,"(+/- 1120 )"
People,Ancestry,German,148128,"(+/- 5013 )",130051,"(+/- 6209 )",151777,"(+/- 7205 )",176461,"(+/- 6468 )",124584,"(+/- 6845 )",144654,"(+/- 6988 )",167917,"(+/- 7319 )",157201,"(+/- 6079 )",118801,"(+/- 6538 )",171438,"(+/- 8429 )",132665,"(+/- 5898 )",102574,"(+/- 6917 )",43076,"(+/- 4512 )",35186,"(+/- 2963 )"
People,Ancestry,Greek,2477,"(+/- 804 )",1901,"(+/- 896 )",4133,"(+/- 1331 )",1489,"(+/- 645 )",1389,"(+/- 548 )",2439,"(+/- 998 )",4040,"(+/- 1234 )",3864,"(+/- 1208 )",3520,"(+/- 997 )",4866,"(+/- 2221 )",5676,"(+/- 1232 )",5115,"(+/- 1568 )",1138,"(+/- 532 )",3016,"(+/- 1031 )"
People,Ancestry,Hungarian,4334,"(+/- 980 )",3764,"(+/- 1322 )",3461,"(+/- 1085 )",6204,"(+/- 1528 )",7191,"(+/- 1981 )",4128,"(+/- 1054 )",6592,"(+/- 1466 )",6449,"(+/- 1549 )",6674,"(+/- 1642 )",6406,"(+/- 1455 )",8676,"(+/- 1543 )",14313,"(+/- 2590 )",3886,"(+/- 1004 )",3035,"(+/- 898 )"
People,Ancestry,Irish,77768,"(+/- 3988 )",67663,"(+/- 5513 )",78216,"(+/- 5524 )",84134,"(+/- 4644 )",60514,"(+/- 5057 )",74139,"(+/- 5200 )",89334,"(+/- 6358 )",93759,"(+/- 4296 )",74768,"(+/- 5288 )",83514,"(+/- 5485 )",93550,"(+/- 4915 )",65923,"(+/- 5254 )",29577,"(+/- 3425 )",24009,"(+/- 2590 )"
People,Ancestry,Italian,31529,"(+/- 3028 )",23149,"(+/- 3181 )",24924,"(+/- 3323 )",19216,"(+/- 2362 )",18138,"(+/- 2841 )",24576,"(+/- 2790 )",27461,"(+/- 3248 )",47758,"(+/- 5110 )",61872,"(+/- 5353 )",67590,"(+/- 6438 )",51895,"(+/- 4910 )",35908,"(+/- 3134 )",13224,"(+/- 2558 )",14627,"(+/- 2855 )"
People,Ancestry,Lithuanian,1183,"(+/- 324 )",3453,"(+/- 918 )",2641,"(+/- 719 )",1708,"(+/- 694 )",1541,"(+/- 962 )",1735,"(+/- 637 )",2822,"(+/- 1101 )",2412,"(+/- 728 )",1766,"(+/- 605 )",1672,"(+/- 779 )",3741,"(+/- 1250 )",2253,"(+/- 759 )",954,"(+/- 583 )",1281,"(+/- 541 )"
People,Ancestry,Norwegian,12820,"(+/- 1537 )",7650,"(+/- 1438 )",7658,"(+/- 1779 )",5853,"(+/- 1075 )",3972,"(+/- 1283 )",6620,"(+/- 1389 )",5225,"(+/- 1066 )",5404,"(+/- 1195 )",2993,"(+/- 699 )",3767,"(+/- 1018 )",6227,"(+/- 1419 )",4666,"(+/- 1184 )",1304,"(+/- 656 )",1887,"(+/- 769 )"
People,Ancestry,Polish,59735,"(+/- 3285 )",46480,"(+/- 4595 )",46100,"(+/- 4371 )",44413,"(+/- 3593 )",46549,"(+/- 4758 )",40686,"(+/- 3960 )",49091,"(+/- 3918 )",70585,"(+/- 3814 )",91606,"(+/- 5860 )",100872,"(+/- 6990 )",82074,"(+/- 5664 )",63288,"(+/- 4478 )",30292,"(+/- 3858 )",25878,"(+/- 3089 )"
People,Ancestry,Portuguese,173,"(+/- 185 )",186,"(+/- 174 )",361,"(+/- 293 )",167,"(+/- 129 )",332,"(+/- 247 )",894,"(+/- 460 )",449,"(+/- 366 )",1026,"(+/- 640 )",733,"(+/- 834 )",75,"(+/- 124 )",1114,"(+/- 989 )",969,"(+/- 709 )",148,"(+/- 161 )",128,"(+/- 137 )"
People,Ancestry,Russian,3038,"(+/- 913 )",2923,"(+/- 1009 )",3505,"(+/- 1214 )",2063,"(+/- 693 )",1988,"(+/- 662 )",2733,"(+/- 1118 )",3206,"(+/- 1110 )",4971,"(+/- 1301 )",7345,"(+/- 1373 )",4471,"(+/- 1174 )",7102,"(+/- 1786 )",6273,"(+/- 1394 )",2027,"(+/- 900 )",7960,"(+/- 1722 )"
People,Ancestry,Scotch-Irish,6291,"(+/- 1246 )",4029,"(+/- 1169 )",4723,"(+/- 1199 )",4483,"(+/- 820 )",4010,"(+/- 1143 )",4657,"(+/- 1010 )",5365,"(+/- 1179 )",6173,"(+/- 1360 )",6818,"(+/- 1448 )",5346,"(+/- 1099 )",8171,"(+/- 1814 )",6290,"(+/- 1589 )",2208,"(+/- 889 )",1635,"(+/- 554 )"
People,Ancestry,Scottish,17591,"(+/- 1550 )",10304,"(+/- 1628 )",15506,"(+/- 2438 )",16418,"(+/- 1944 )",12278,"(+/- 1737 )",13480,"(+/- 2507 )",17366,"(+/- 2441 )",20388,"(+/- 2530 )",16345,"(+/- 2136 )",19685,"(+/- 2351 )",22211,"(+/- 3305 )",14205,"(+/- 2159 )",6295,"(+/- 1423 )",7480,"(+/- 1555 )"
People,Ancestry,Slovak,1090,"(+/- 364 )",1589,"(+/- 713 )",913,"(+/- 441 )",2541,"(+/- 601 )",859,"(+/- 427 )",864,"(+/- 411 )",1777,"(+/- 888 )",1796,"(+/- 517 )",2226,"(+/- 722 )",2798,"(+/- 960 )",3302,"(+/- 1008 )",2815,"(+/- 748 )",542,"(+/- 698 )",630,"(+/- 324 )"
