Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE"
People,Race,"Black or African American",330488,"(+/- 7069 )",159101,"(+/- 8634 )",153235,"(+/- 5897 )",195920,"(+/- 9784 )",114729,"(+/- 3617 )",158359,"(+/- 8815 )",154737,"(+/- 4714 )",180732,"(+/- 5248 )",153740,"(+/- 7240 )",96167,"(+/- 3010 )",22893,"(+/- 2445 )",333074,"(+/- 6501 )",169358,"(+/- 7520 )"
People,Race,"American Indian and Alaska Native",6460,"(+/- 1156 )",3663,"(+/- 1063 )",3427,"(+/- 1619 )",3458,"(+/- 1999 )",4205,"(+/- 1414 )",2592,"(+/- 1066 )",5022,"(+/- 1044 )",8295,"(+/- 1122 )",61608,"(+/- 1099 )",1944,"(+/- 929 )",10898,"(+/- 1455 )",4034,"(+/- 1736 )",5239,"(+/- 1907 )"
People,Race,Asian,16290,"(+/- 2004 )",19838,"(+/- 4132 )",10733,"(+/- 1884 )",77259,"(+/- 4700 )",12012,"(+/- 1306 )",14553,"(+/- 2388 )",6822,"(+/- 1055 )",21862,"(+/- 1628 )",29200,"(+/- 3615 )",13014,"(+/- 1713 )",8484,"(+/- 1212 )",48882,"(+/- 3837 )",27733,"(+/- 2648 )"
People,Race,"Native Hawaiian and Other Pacific Islander",251,"(+/- 259 )",1081,"(+/- 812 )",641,"(+/- 581 )",283,"(+/- 333 )",1797,"(+/- 1982 )",588,"(+/- 526 )",467,"(+/- 422 )",3111,"(+/- 1838 )",438,"(+/- 529 )",302,"(+/- 308 )",555,"(+/- 193 )",309,"(+/- 292 )",395,"(+/- 493 )"
People,Race,"Some other race",23023,"(+/- 4371 )",32078,"(+/- 6349 )",12615,"(+/- 3051 )",37619,"(+/- 7085 )",14266,"(+/- 3529 )",29388,"(+/- 4947 )",15679,"(+/- 4161 )",26740,"(+/- 6180 )",17248,"(+/- 2974 )",19999,"(+/- 3486 )",14037,"(+/- 3286 )",64917,"(+/- 7633 )",19021,"(+/- 4674 )"
People,Race,"Two or more races",21557,"(+/- 2920 )",33355,"(+/- 5300 )",27435,"(+/- 4440 )",31935,"(+/- 4745 )",14729,"(+/- 3028 )",17038,"(+/- 3194 )",18256,"(+/- 3663 )",31652,"(+/- 4681 )",19625,"(+/- 3480 )",16919,"(+/- 3228 )",16619,"(+/- 2340 )",24247,"(+/- 3771 )",24776,"(+/- 3620 )"
People,"Hispanic or Latino and Race","Total population",761087,"(+/- 7524 )",858938,"(+/- 11374 )",756375,"(+/- 5217 )",871589,"(+/- 9355 )",762960,"(+/- 2559 )",772716,"(+/- 8848 )",809820,"(+/- 7175 )",797935,"(+/- 6162 )",792434,"(+/- 9897 )",762919,"(+/- 6106 )",768166,"(+/- 5505 )",880550,"(+/- 8332 )",788131,"(+/- 9589 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",70296,"(+/- 2944 )",90028,"(+/- 6869 )",61432,"(+/- 2611 )",89730,"(+/- 5822 )",73619,"(+/- 287 )",78637,"(+/- 3679 )",77660,"(+/- 3048 )",88667,"(+/- 2145 )",63584,"(+/- 3586 )",50383,"(+/- 2088 )",51563,"(+/- 2085 )",136316,"(+/- 3148 )",63614,"(+/- 3707 )"
People,"Hispanic or Latino and Race",Mexican,44143,"(+/- 5109 )",55179,"(+/- 8251 )",31464,"(+/- 3853 )",47296,"(+/- 6277 )",51518,"(+/- 3594 )",55000,"(+/- 4724 )",42615,"(+/- 6273 )",48478,"(+/- 4889 )",39016,"(+/- 3459 )",30011,"(+/- 3661 )",34965,"(+/- 4347 )",46507,"(+/- 6611 )",38493,"(+/- 4155 )"
People,"Hispanic or Latino and Race","Puerto Rican",4225,"(+/- 1796 )",12816,"(+/- 3730 )",11802,"(+/- 2878 )",11767,"(+/- 3373 )",4817,"(+/- 1534 )",6254,"(+/- 1784 )",5878,"(+/- 2375 )",19398,"(+/- 3068 )",6366,"(+/- 2034 )",4918,"(+/- 1597 )",3276,"(+/- 1373 )",11862,"(+/- 3364 )",6869,"(+/- 2277 )"
People,"Hispanic or Latino and Race",Cuban,1929,"(+/- 1208 )",2122,"(+/- 1317 )",2265,"(+/- 1336 )",4735,"(+/- 2156 )",955,"(+/- 571 )",834,"(+/- 503 )",2742,"(+/- 1714 )",2697,"(+/- 1769 )",1991,"(+/- 979 )",1232,"(+/- 924 )",640,"(+/- 436 )",3167,"(+/- 1265 )",2386,"(+/- 1047 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",19999,"(+/- 3757 )",19911,"(+/- 4223 )",15901,"(+/- 3403 )",25932,"(+/- 4220 )",16329,"(+/- 3375 )",16549,"(+/- 3403 )",26425,"(+/- 5013 )",18094,"(+/- 3338 )",16211,"(+/- 3477 )",14222,"(+/- 3048 )",12682,"(+/- 3658 )",74780,"(+/- 6376 )",15866,"(+/- 2925 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",690791,"(+/- 7544 )",768910,"(+/- 10187 )",694943,"(+/- 5669 )",781859,"(+/- 9049 )",689341,"(+/- 2596 )",694079,"(+/- 8494 )",732160,"(+/- 6459 )",709268,"(+/- 6221 )",728850,"(+/- 10356 )",712536,"(+/- 5960 )",716603,"(+/- 5228 )",744234,"(+/- 8527 )",724517,"(+/- 9435 )"
People,"Place of Birth","Total population",761087,"(+/- 7524 )",858938,"(+/- 11374 )",756375,"(+/- 5217 )",871589,"(+/- 9355 )",762960,"(+/- 2559 )",772716,"(+/- 8848 )",809820,"(+/- 7175 )",797935,"(+/- 6162 )",792434,"(+/- 9897 )",762919,"(+/- 6106 )",768166,"(+/- 5505 )",880550,"(+/- 8332 )",788131,"(+/- 9589 )"
People,"Place of Birth",Native,703976,"(+/- 8264 )",792206,"(+/- 11019 )",728900,"(+/- 5828 )",743174,"(+/- 10229 )",715243,"(+/- 4606 )",717343,"(+/- 8630 )",760188,"(+/- 7866 )",745023,"(+/- 7456 )",730651,"(+/- 10220 )",726964,"(+/- 5800 )",732306,"(+/- 6181 )",740230,"(+/- 9952 )",723239,"(+/- 9284 )"
People,"Place of Birth","Born in United States",696189,"(+/- 8457 )",778630,"(+/- 11305 )",717567,"(+/- 6354 )",728148,"(+/- 10602 )",709753,"(+/- 4409 )",711592,"(+/- 8901 )",751452,"(+/- 7592 )",724031,"(+/- 7464 )",719891,"(+/- 10171 )",720016,"(+/- 5785 )",725769,"(+/- 6150 )",725067,"(+/- 9975 )",713683,"(+/- 8870 )"
People,"Place of Birth","State of residence",483700,"(+/- 8323 )",445898,"(+/- 10693 )",400643,"(+/- 10394 )",382062,"(+/- 11723 )",494093,"(+/- 8954 )",498380,"(+/- 8700 )",473789,"(+/- 10553 )",422328,"(+/- 8398 )",439473,"(+/- 9762 )",480116,"(+/- 9554 )",459983,"(+/- 9803 )",358767,"(+/- 10586 )",455906,"(+/- 11024 )"
People,"Place of Birth","Different state",212489,"(+/- 9919 )",332732,"(+/- 10447 )",316924,"(+/- 11185 )",346086,"(+/- 9152 )",215660,"(+/- 7668 )",213212,"(+/- 8060 )",277663,"(+/- 10238 )",301703,"(+/- 8415 )",280418,"(+/- 9855 )",239900,"(+/- 9527 )",265786,"(+/- 9548 )",366300,"(+/- 9694 )",257777,"(+/- 8729 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7787,"(+/- 1776 )",13576,"(+/- 2482 )",11333,"(+/- 2112 )",15026,"(+/- 2354 )",5490,"(+/- 1202 )",5751,"(+/- 1530 )",8736,"(+/- 1742 )",20992,"(+/- 2365 )",10760,"(+/- 2367 )",6948,"(+/- 1586 )",6537,"(+/- 1441 )",15163,"(+/- 2600 )",9556,"(+/- 2025 )"
People,"Place of Birth","Foreign born",57111,"(+/- 4472 )",66732,"(+/- 5602 )",27475,"(+/- 2717 )",128415,"(+/- 6735 )",47717,"(+/- 3661 )",55373,"(+/- 4131 )",49632,"(+/- 3812 )",52912,"(+/- 3973 )",61783,"(+/- 4650 )",35955,"(+/- 3778 )",35860,"(+/- 3206 )",140320,"(+/- 6888 )",64892,"(+/- 4627 )"
People,Ancestry,"Total population",761087,"(+/- 7524 )",858938,"(+/- 11374 )",756375,"(+/- 5217 )",871589,"(+/- 9355 )",762960,"(+/- 2559 )",772716,"(+/- 8848 )",809820,"(+/- 7175 )",797935,"(+/- 6162 )",792434,"(+/- 9897 )",762919,"(+/- 6106 )",768166,"(+/- 5505 )",880550,"(+/- 8332 )",788131,"(+/- 9589 )"
People,Ancestry,American,68981,"(+/- 5634 )",75899,"(+/- 7890 )",59584,"(+/- 5597 )",64546,"(+/- 6185 )",131531,"(+/- 7861 )",61483,"(+/- 5288 )",107998,"(+/- 7259 )",65857,"(+/- 6271 )",88949,"(+/- 6189 )",120360,"(+/- 10190 )",134786,"(+/- 8942 )",42338,"(+/- 5393 )",58131,"(+/- 5523 )"
People,Ancestry,Arab,3397,"(+/- 1810 )",5680,"(+/- 2340 )",515,"(+/- 291 )",9034,"(+/- 2349 )",936,"(+/- 585 )",2314,"(+/- 1688 )",2413,"(+/- 1377 )",2424,"(+/- 1749 )",4289,"(+/- 2216 )",1242,"(+/- 598 )",1163,"(+/- 634 )",6511,"(+/- 2582 )",3024,"(+/- 2061 )"
People,Ancestry,Czech,943,"(+/- 578 )",2353,"(+/- 1119 )",912,"(+/- 680 )",2907,"(+/- 940 )",375,"(+/- 250 )",974,"(+/- 528 )",1354,"(+/- 614 )",1062,"(+/- 702 )",1291,"(+/- 703 )",1051,"(+/- 535 )",913,"(+/- 433 )",2215,"(+/- 1281 )",1204,"(+/- 638 )"
People,Ancestry,Danish,729,"(+/- 553 )",1931,"(+/- 1100 )",1241,"(+/- 647 )",1765,"(+/- 706 )",923,"(+/- 543 )",2046,"(+/- 1059 )",1383,"(+/- 1356 )",1089,"(+/- 687 )",857,"(+/- 370 )",1215,"(+/- 524 )",1034,"(+/- 402 )",1123,"(+/- 610 )",1407,"(+/- 609 )"
People,Ancestry,Dutch,3036,"(+/- 833 )",7604,"(+/- 2764 )",4774,"(+/- 1351 )",5845,"(+/- 1783 )",8352,"(+/- 1681 )",6236,"(+/- 1578 )",5360,"(+/- 1757 )",6409,"(+/- 1672 )",6645,"(+/- 1903 )",7753,"(+/- 1716 )",12535,"(+/- 2692 )",5410,"(+/- 1444 )",5778,"(+/- 1212 )"
People,Ancestry,English,44761,"(+/- 4622 )",83925,"(+/- 6979 )",85537,"(+/- 7361 )",81230,"(+/- 5760 )",69326,"(+/- 4594 )",65011,"(+/- 6409 )",65940,"(+/- 5539 )",51341,"(+/- 5077 )",61979,"(+/- 5214 )",71187,"(+/- 6920 )",90359,"(+/- 5380 )",53664,"(+/- 4905 )",62754,"(+/- 5297 )"
People,Ancestry,"French (except Basque)",8639,"(+/- 1728 )",16082,"(+/- 2498 )",12671,"(+/- 2130 )",14102,"(+/- 2351 )",12030,"(+/- 2148 )",11390,"(+/- 2706 )",12735,"(+/- 2834 )",8843,"(+/- 1837 )",12726,"(+/- 3059 )",12552,"(+/- 1857 )",13652,"(+/- 2057 )",13431,"(+/- 2617 )",8321,"(+/- 1523 )"
People,Ancestry,"French Canadian",2302,"(+/- 831 )",2606,"(+/- 758 )",3161,"(+/- 1171 )",4157,"(+/- 1013 )",2160,"(+/- 919 )",3702,"(+/- 1264 )",4040,"(+/- 1042 )",2278,"(+/- 1109 )",2215,"(+/- 867 )",2228,"(+/- 723 )",2739,"(+/- 933 )",2486,"(+/- 805 )",3079,"(+/- 1201 )"
People,Ancestry,German,35204,"(+/- 3626 )",84982,"(+/- 7929 )",68326,"(+/- 5916 )",83776,"(+/- 5873 )",79727,"(+/- 5216 )",65527,"(+/- 5321 )",62586,"(+/- 5648 )",79632,"(+/- 5513 )",66744,"(+/- 6095 )",93761,"(+/- 6721 )",85099,"(+/- 6766 )",67311,"(+/- 5750 )",80181,"(+/- 7501 )"
People,Ancestry,Greek,1371,"(+/- 886 )",1982,"(+/- 998 )",2495,"(+/- 1431 )",2228,"(+/- 736 )",1349,"(+/- 603 )",1572,"(+/- 878 )",2215,"(+/- 762 )",2273,"(+/- 1369 )",2288,"(+/- 1339 )",1321,"(+/- 626 )",776,"(+/- 468 )",4727,"(+/- 1646 )",2673,"(+/- 1288 )"
People,Ancestry,Hungarian,1951,"(+/- 766 )",2539,"(+/- 932 )",6360,"(+/- 2530 )",3537,"(+/- 1441 )",1134,"(+/- 521 )",1964,"(+/- 1070 )",2825,"(+/- 1244 )",2440,"(+/- 1413 )",2978,"(+/- 774 )",2018,"(+/- 980 )",1829,"(+/- 1002 )",1981,"(+/- 1027 )",1724,"(+/- 743 )"
People,Ancestry,Irish,32798,"(+/- 3745 )",74959,"(+/- 8010 )",80154,"(+/- 6526 )",67599,"(+/- 5326 )",59608,"(+/- 4739 )",56107,"(+/- 5818 )",73218,"(+/- 6293 )",55804,"(+/- 5727 )",60704,"(+/- 6622 )",61013,"(+/- 5108 )",75822,"(+/- 6260 )",54984,"(+/- 4590 )",53856,"(+/- 4252 )"
People,Ancestry,Italian,14376,"(+/- 2223 )",40783,"(+/- 5300 )",27114,"(+/- 3399 )",36177,"(+/- 4533 )",16444,"(+/- 2349 )",15128,"(+/- 2473 )",31701,"(+/- 4950 )",26007,"(+/- 3504 )",27043,"(+/- 3147 )",17793,"(+/- 2818 )",20986,"(+/- 3139 )",28291,"(+/- 3719 )",22642,"(+/- 3632 )"
People,Ancestry,Lithuanian,144,"(+/- 166 )",797,"(+/- 449 )",727,"(+/- 423 )",1558,"(+/- 590 )",228,"(+/- 196 )",583,"(+/- 328 )",1070,"(+/- 587 )",49,"(+/- 66 )",1720,"(+/- 818 )",237,"(+/- 171 )",736,"(+/- 392 )",729,"(+/- 359 )",407,"(+/- 247 )"
People,Ancestry,Norwegian,2240,"(+/- 986 )",5285,"(+/- 1411 )",4324,"(+/- 1422 )",5847,"(+/- 1602 )",2611,"(+/- 854 )",2578,"(+/- 1136 )",2541,"(+/- 860 )",2281,"(+/- 877 )",3719,"(+/- 990 )",4222,"(+/- 1724 )",3101,"(+/- 989 )",3813,"(+/- 1102 )",2895,"(+/- 1105 )"
People,Ancestry,Polish,5760,"(+/- 1351 )",20894,"(+/- 3175 )",14761,"(+/- 2777 )",20118,"(+/- 2795 )",7761,"(+/- 1459 )",7083,"(+/- 1838 )",11266,"(+/- 2522 )",10603,"(+/- 2517 )",14096,"(+/- 2515 )",8602,"(+/- 1918 )",8933,"(+/- 1631 )",13024,"(+/- 2343 )",10215,"(+/- 1867 )"
People,Ancestry,Portuguese,459,"(+/- 438 )",1900,"(+/- 862 )",3109,"(+/- 1781 )",1748,"(+/- 913 )",809,"(+/- 639 )",322,"(+/- 250 )",1586,"(+/- 1134 )",893,"(+/- 508 )",962,"(+/- 656 )",355,"(+/- 211 )",1203,"(+/- 722 )",2189,"(+/- 1619 )",1291,"(+/- 1118 )"
People,Ancestry,Russian,2803,"(+/- 1168 )",4494,"(+/- 1487 )",1773,"(+/- 777 )",6003,"(+/- 1605 )",1429,"(+/- 616 )",2467,"(+/- 1271 )",2911,"(+/- 1362 )",2634,"(+/- 1033 )",4816,"(+/- 1701 )",2630,"(+/- 1190 )",2174,"(+/- 817 )",6168,"(+/- 1959 )",1950,"(+/- 811 )"
People,Ancestry,Scotch-Irish,9860,"(+/- 2071 )",17267,"(+/- 2964 )",10922,"(+/- 2128 )",18527,"(+/- 2709 )",19096,"(+/- 2686 )",19478,"(+/- 2497 )",18026,"(+/- 2659 )",19391,"(+/- 2902 )",21958,"(+/- 3146 )",23342,"(+/- 3198 )",30763,"(+/- 4028 )",14201,"(+/- 2813 )",17532,"(+/- 2517 )"
People,Ancestry,Scottish,7742,"(+/- 1617 )",22741,"(+/- 3027 )",16369,"(+/- 2599 )",23914,"(+/- 3094 )",19051,"(+/- 2354 )",19160,"(+/- 3410 )",14949,"(+/- 2400 )",15527,"(+/- 2399 )",21879,"(+/- 3103 )",20571,"(+/- 2644 )",23574,"(+/- 3393 )",13880,"(+/- 2159 )",15694,"(+/- 2467 )"
People,Ancestry,Slovak,204,"(+/- 250 )",888,"(+/- 478 )",833,"(+/- 481 )",1911,"(+/- 862 )",442,"(+/- 239 )",291,"(+/- 311 )",1179,"(+/- 802 )",962,"(+/- 659 )",834,"(+/- 520 )",591,"(+/- 422 )",563,"(+/- 355 )",465,"(+/- 260 )",331,"(+/- 275 )"
People,Ancestry,"Subsaharan African",10026,"(+/- 3421 )",9588,"(+/- 3708 )",7758,"(+/- 2547 )",16255,"(+/- 5691 )",3886,"(+/- 1547 )",9385,"(+/- 2510 )",2458,"(+/- 1061 )",9179,"(+/- 2363 )",5350,"(+/- 1725 )",5526,"(+/- 2449 )",1304,"(+/- 578 )",36151,"(+/- 6284 )",11830,"(+/- 3185 )"
People,Ancestry,Swedish,3637,"(+/- 1195 )",5947,"(+/- 1651 )",4393,"(+/- 1492 )",5950,"(+/- 1263 )",3378,"(+/- 1266 )",2705,"(+/- 825 )",3379,"(+/- 949 )",4914,"(+/- 1515 )",5103,"(+/- 1865 )",2718,"(+/- 911 )",3525,"(+/- 1215 )",5292,"(+/- 1542 )",3539,"(+/- 1095 )"
People,Ancestry,Swiss,702,"(+/- 342 )",2380,"(+/- 2235 )",1422,"(+/- 782 )",4002,"(+/- 1941 )",1357,"(+/- 522 )",655,"(+/- 311 )",464,"(+/- 290 )",1717,"(+/- 842 )",622,"(+/- 550 )",1731,"(+/- 793 )",1277,"(+/- 720 )",898,"(+/- 402 )",1277,"(+/- 487 )"
People,Ancestry,Ukrainian,808,"(+/- 373 )",2285,"(+/- 1176 )",661,"(+/- 447 )",2341,"(+/- 901 )",530,"(+/- 383 )",731,"(+/- 451 )",1652,"(+/- 654 )",834,"(+/- 507 )",2695,"(+/- 1083 )",2330,"(+/- 2050 )",1679,"(+/- 1040 )",1969,"(+/- 893 )",370,"(+/- 244 )"
