Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,Race,"Native Hawaiian and Other Pacific Islander",972,"(+/- 879 )",0,"(+/- 211 )",1068,"(+/- 1262 )",266,"(+/- 343 )",852,"(+/- 1053 )",593,"(+/- 620 )",1669,"(+/- 1087 )",0,"(+/- 211 )",74,"(+/- 122 )"
People,Race,"Some other race",4987,"(+/- 1787 )",6770,"(+/- 2366 )",4345,"(+/- 1450 )",16834,"(+/- 4274 )",24721,"(+/- 6621 )",11154,"(+/- 2683 )",6718,"(+/- 1927 )",5288,"(+/- 1434 )",20336,"(+/- 3936 )"
People,Race,"Two or more races",13099,"(+/- 2183 )",16417,"(+/- 2777 )",16488,"(+/- 2710 )",22421,"(+/- 3555 )",19254,"(+/- 2627 )",20313,"(+/- 3148 )",18512,"(+/- 2972 )",13988,"(+/- 2581 )",11300,"(+/- 2866 )"
People,"Hispanic or Latino and Race","Total population",720358,"(+/- 2768 )",753229,"(+/- 3114 )",736889,"(+/- 4659 )",798482,"(+/- 5395 )",777696,"(+/- 1686 )",784725,"(+/- 2788 )",786523,"(+/- 3975 )",699385,"(+/- 5457 )",712723,"(+/- 5101 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",28015,"(+/- 246 )",32404,"(+/- 642 )",31603,"(+/- 1171 )",53007,"(+/- 1528 )",75284,"(+/- 216 )",34953,"(+/- 1255 )",41102,"(+/- 1743 )",26572,"(+/- 4048 )",49961,"(+/- 3973 )"
People,"Hispanic or Latino and Race",Mexican,13259,"(+/- 2400 )",19707,"(+/- 2691 )",15421,"(+/- 2589 )",30960,"(+/- 3427 )",43972,"(+/- 4473 )",22481,"(+/- 2787 )",20851,"(+/- 3120 )",16642,"(+/- 4023 )",34582,"(+/- 4653 )"
People,"Hispanic or Latino and Race","Puerto Rican",4731,"(+/- 1926 )",4072,"(+/- 1718 )",3142,"(+/- 1541 )",5428,"(+/- 2080 )",3714,"(+/- 1497 )",2699,"(+/- 1168 )",8557,"(+/- 2012 )",3484,"(+/- 1791 )",1710,"(+/- 893 )"
People,"Hispanic or Latino and Race",Cuban,871,"(+/- 730 )",1577,"(+/- 943 )",472,"(+/- 330 )",930,"(+/- 875 )",3905,"(+/- 1760 )",266,"(+/- 332 )",2172,"(+/- 1158 )",419,"(+/- 434 )",1002,"(+/- 726 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",9154,"(+/- 2474 )",7048,"(+/- 2257 )",12568,"(+/- 2745 )",15689,"(+/- 3372 )",23693,"(+/- 3848 )",9507,"(+/- 2553 )",9522,"(+/- 2370 )",6027,"(+/- 1610 )",12667,"(+/- 2995 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",692343,"(+/- 2683 )",720825,"(+/- 3152 )",705286,"(+/- 4445 )",745475,"(+/- 5479 )",702412,"(+/- 1668 )",749772,"(+/- 3140 )",745421,"(+/- 4103 )",672813,"(+/- 5693 )",662762,"(+/- 5739 )"
People,"Place of Birth","Total population",720358,"(+/- 2768 )",753229,"(+/- 3114 )",736889,"(+/- 4659 )",798482,"(+/- 5395 )",777696,"(+/- 1686 )",784725,"(+/- 2788 )",786523,"(+/- 3975 )",699385,"(+/- 5457 )",712723,"(+/- 5101 )"
People,"Place of Birth",Native,699233,"(+/- 3961 )",723396,"(+/- 4609 )",712114,"(+/- 4614 )",756725,"(+/- 6470 )",679471,"(+/- 7332 )",755490,"(+/- 4857 )",754055,"(+/- 4543 )",670115,"(+/- 5975 )",670849,"(+/- 6464 )"
People,"Place of Birth","Born in United States",693490,"(+/- 4022 )",716713,"(+/- 4583 )",706652,"(+/- 5084 )",746710,"(+/- 6565 )",671949,"(+/- 7706 )",750039,"(+/- 5272 )",741341,"(+/- 4566 )",663598,"(+/- 6317 )",667146,"(+/- 6601 )"
People,"Place of Birth","State of residence",446106,"(+/- 10092 )",443029,"(+/- 8966 )",452596,"(+/- 6792 )",465974,"(+/- 9891 )",391902,"(+/- 9689 )",476029,"(+/- 10784 )",407963,"(+/- 9352 )",450049,"(+/- 9101 )",478619,"(+/- 9482 )"
People,"Place of Birth","Different state",247384,"(+/- 9122 )",273684,"(+/- 9235 )",254056,"(+/- 7313 )",280736,"(+/- 8847 )",280047,"(+/- 8021 )",274010,"(+/- 9590 )",333378,"(+/- 9816 )",213549,"(+/- 7386 )",188527,"(+/- 8001 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5743,"(+/- 1699 )",6683,"(+/- 1446 )",5462,"(+/- 1463 )",10015,"(+/- 2686 )",7522,"(+/- 1746 )",5451,"(+/- 1288 )",12714,"(+/- 2234 )",6517,"(+/- 1452 )",3703,"(+/- 919 )"
People,"Place of Birth","Foreign born",21125,"(+/- 2501 )",29833,"(+/- 3409 )",24775,"(+/- 2340 )",41757,"(+/- 4759 )",98225,"(+/- 7031 )",29235,"(+/- 3470 )",32468,"(+/- 3675 )",29270,"(+/- 3660 )",41874,"(+/- 4767 )"
People,Ancestry,"Total population",720358,"(+/- 2768 )",753229,"(+/- 3114 )",736889,"(+/- 4659 )",798482,"(+/- 5395 )",777696,"(+/- 1686 )",784725,"(+/- 2788 )",786523,"(+/- 3975 )",699385,"(+/- 5457 )",712723,"(+/- 5101 )"
People,Ancestry,American,138571,"(+/- 10098 )",86581,"(+/- 6797 )",82436,"(+/- 6946 )",101630,"(+/- 7605 )",53516,"(+/- 5104 )",94851,"(+/- 6982 )",102741,"(+/- 6445 )",125667,"(+/- 7121 )",26308,"(+/- 3832 )"
People,Ancestry,Arab,1786,"(+/- 1379 )",3071,"(+/- 1373 )",1346,"(+/- 796 )",2345,"(+/- 1685 )",19413,"(+/- 4916 )",3607,"(+/- 2502 )",2297,"(+/- 1135 )",5176,"(+/- 2312 )",3459,"(+/- 2972 )"
People,Ancestry,Czech,319,"(+/- 255 )",1632,"(+/- 836 )",405,"(+/- 251 )",801,"(+/- 525 )",864,"(+/- 436 )",1268,"(+/- 546 )",800,"(+/- 583 )",1301,"(+/- 764 )",332,"(+/- 230 )"
People,Ancestry,Danish,173,"(+/- 147 )",1743,"(+/- 1075 )",1379,"(+/- 756 )",1559,"(+/- 1017 )",1128,"(+/- 509 )",1545,"(+/- 717 )",845,"(+/- 580 )",713,"(+/- 492 )",312,"(+/- 215 )"
People,Ancestry,Dutch,7377,"(+/- 1727 )",9112,"(+/- 1833 )",10212,"(+/- 2192 )",8314,"(+/- 1865 )",5279,"(+/- 1508 )",8205,"(+/- 2014 )",6208,"(+/- 1536 )",4591,"(+/- 1211 )",2343,"(+/- 953 )"
People,Ancestry,English,83781,"(+/- 7888 )",68951,"(+/- 5215 )",67034,"(+/- 5836 )",61709,"(+/- 5994 )",57989,"(+/- 4211 )",68668,"(+/- 6154 )",77323,"(+/- 6841 )",53926,"(+/- 4374 )",21129,"(+/- 3116 )"
People,Ancestry,"French (except Basque)",9990,"(+/- 2357 )",12690,"(+/- 1964 )",12514,"(+/- 2436 )",14979,"(+/- 2984 )",17406,"(+/- 3765 )",10094,"(+/- 2022 )",14570,"(+/- 4052 )",9616,"(+/- 1735 )",6324,"(+/- 1668 )"
People,Ancestry,"French Canadian",1953,"(+/- 927 )",2227,"(+/- 1088 )",1791,"(+/- 718 )",1419,"(+/- 609 )",2220,"(+/- 707 )",1900,"(+/- 818 )",2786,"(+/- 1412 )",919,"(+/- 439 )",891,"(+/- 477 )"
People,Ancestry,German,72372,"(+/- 6828 )",84138,"(+/- 6272 )",67259,"(+/- 5812 )",68312,"(+/- 5001 )",67450,"(+/- 4730 )",75765,"(+/- 7595 )",87663,"(+/- 5874 )",52480,"(+/- 4390 )",19613,"(+/- 3014 )"
People,Ancestry,Greek,904,"(+/- 554 )",2799,"(+/- 1156 )",1010,"(+/- 513 )",332,"(+/- 244 )",1494,"(+/- 650 )",1351,"(+/- 716 )",1200,"(+/- 765 )",1085,"(+/- 830 )",575,"(+/- 517 )"
People,Ancestry,Hungarian,560,"(+/- 418 )",2144,"(+/- 1286 )",919,"(+/- 422 )",1198,"(+/- 671 )",1482,"(+/- 773 )",1549,"(+/- 841 )",1548,"(+/- 931 )",1239,"(+/- 715 )",381,"(+/- 350 )"
People,Ancestry,Irish,72951,"(+/- 6082 )",70833,"(+/- 5856 )",78165,"(+/- 6751 )",75614,"(+/- 7322 )",64033,"(+/- 5216 )",87354,"(+/- 7003 )",78696,"(+/- 6053 )",58909,"(+/- 5176 )",22224,"(+/- 3196 )"
People,Ancestry,Italian,14820,"(+/- 2834 )",16676,"(+/- 2803 )",12999,"(+/- 2379 )",17493,"(+/- 3232 )",18752,"(+/- 2476 )",15311,"(+/- 2835 )",22984,"(+/- 3995 )",18626,"(+/- 2675 )",8746,"(+/- 2084 )"
People,Ancestry,Lithuanian,256,"(+/- 208 )",438,"(+/- 293 )",431,"(+/- 270 )",592,"(+/- 392 )",754,"(+/- 361 )",217,"(+/- 209 )",1360,"(+/- 732 )",405,"(+/- 496 )",174,"(+/- 173 )"
People,Ancestry,Norwegian,3387,"(+/- 1200 )",5152,"(+/- 1440 )",2556,"(+/- 1051 )",3652,"(+/- 1030 )",4312,"(+/- 1441 )",2790,"(+/- 970 )",4446,"(+/- 1514 )",2684,"(+/- 1114 )",844,"(+/- 437 )"
People,Ancestry,Polish,5592,"(+/- 1485 )",13806,"(+/- 3087 )",5935,"(+/- 1276 )",6153,"(+/- 1929 )",11772,"(+/- 1908 )",9722,"(+/- 1999 )",11021,"(+/- 3029 )",7888,"(+/- 1776 )",2359,"(+/- 937 )"
People,Ancestry,Portuguese,665,"(+/- 495 )",1475,"(+/- 1062 )",223,"(+/- 214 )",365,"(+/- 358 )",555,"(+/- 328 )",955,"(+/- 566 )",769,"(+/- 514 )",423,"(+/- 355 )",911,"(+/- 860 )"
People,Ancestry,Russian,691,"(+/- 431 )",2421,"(+/- 1000 )",1400,"(+/- 543 )",3352,"(+/- 1966 )",4139,"(+/- 2040 )",2016,"(+/- 931 )",2317,"(+/- 829 )",1580,"(+/- 835 )",562,"(+/- 387 )"
People,Ancestry,Scotch-Irish,20779,"(+/- 3001 )",25621,"(+/- 3203 )",18821,"(+/- 2540 )",16760,"(+/- 3288 )",12968,"(+/- 1826 )",13902,"(+/- 2300 )",15530,"(+/- 2554 )",12939,"(+/- 2163 )",5559,"(+/- 1666 )"
People,Ancestry,Scottish,19158,"(+/- 2687 )",21993,"(+/- 3755 )",17920,"(+/- 3041 )",13385,"(+/- 2378 )",15056,"(+/- 2996 )",15463,"(+/- 2594 )",15114,"(+/- 2151 )",12946,"(+/- 2050 )",7315,"(+/- 1992 )"
People,Ancestry,Slovak,106,"(+/- 128 )",435,"(+/- 258 )",327,"(+/- 281 )",426,"(+/- 304 )",539,"(+/- 355 )",528,"(+/- 304 )",644,"(+/- 502 )",302,"(+/- 256 )",133,"(+/- 164 )"
People,Ancestry,"Subsaharan African",1159,"(+/- 775 )",3370,"(+/- 1706 )",2526,"(+/- 1236 )",8915,"(+/- 3859 )",38356,"(+/- 6446 )",5117,"(+/- 1351 )",13981,"(+/- 3646 )",5542,"(+/- 2101 )",8525,"(+/- 2922 )"
People,Ancestry,Swedish,2635,"(+/- 1193 )",4709,"(+/- 2193 )",4931,"(+/- 1952 )",3531,"(+/- 1745 )",4114,"(+/- 1001 )",4481,"(+/- 1133 )",4174,"(+/- 1167 )",3410,"(+/- 1290 )",1904,"(+/- 1266 )"
People,Ancestry,Swiss,987,"(+/- 662 )",1148,"(+/- 568 )",1103,"(+/- 701 )",1564,"(+/- 915 )",1793,"(+/- 672 )",2116,"(+/- 1323 )",1160,"(+/- 756 )",177,"(+/- 142 )",198,"(+/- 144 )"
People,Ancestry,Ukrainian,1592,"(+/- 862 )",1463,"(+/- 921 )",1829,"(+/- 1180 )",2574,"(+/- 2466 )",804,"(+/- 362 )",491,"(+/- 314 )",1316,"(+/- 930 )",439,"(+/- 289 )",318,"(+/- 334 )"
People,Ancestry,Welsh,4132,"(+/- 1123 )",6112,"(+/- 1797 )",6117,"(+/- 2093 )",4013,"(+/- 1174 )",4810,"(+/- 1316 )",5471,"(+/- 1396 )",4098,"(+/- 1190 )",5276,"(+/- 1918 )",2407,"(+/- 1059 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1508,"(+/- 1584 )",545,"(+/- 357 )",1630,"(+/- 1021 )",802,"(+/- 551 )",2497,"(+/- 1155 )",1556,"(+/- 1212 )",751,"(+/- 612 )",882,"(+/- 795 )",683,"(+/- 469 )"
People,"Veteran Status","Civilian population 18 years and over",578046,"(+/- 2191 )",596576,"(+/- 2636 )",584380,"(+/- 3496 )",613111,"(+/- 4035 )",613418,"(+/- 1640 )",607008,"(+/- 2651 )",579572,"(+/- 3457 )",538059,"(+/- 4436 )",534605,"(+/- 4574 )"
People,"Veteran Status","Civilian veterans",52227,"(+/- 3067 )",51634,"(+/- 3432 )",51071,"(+/- 3101 )",47162,"(+/- 3982 )",32666,"(+/- 2747 )",52248,"(+/- 2371 )",62014,"(+/- 3979 )",47318,"(+/- 3110 )",33245,"(+/- 2961 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",709434,"(+/- 3706 )",746076,"(+/- 3942 )",726048,"(+/- 4650 )",790113,"(+/- 5504 )",770760,"(+/- 2673 )",775669,"(+/- 4077 )",761435,"(+/- 4585 )",685469,"(+/- 5204 )",702780,"(+/- 5269 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",150554,"(+/- 6849 )",102136,"(+/- 5265 )",128823,"(+/- 5826 )",121565,"(+/- 6707 )",86657,"(+/- 4400 )",124103,"(+/- 5298 )",106023,"(+/- 5465 )",111121,"(+/- 5803 )",97878,"(+/- 5795 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",141762,"(+/- 1620 )",155956,"(+/- 1477 )",151920,"(+/- 2753 )",184355,"(+/- 2760 )",163715,"(+/- 868 )",177252,"(+/- 1932 )",195341,"(+/- 2017 )",159798,"(+/- 3672 )",177071,"(+/- 3436 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8493,"(+/- 1585 )",6466,"(+/- 1393 )",7830,"(+/- 1668 )",8875,"(+/- 1943 )",5130,"(+/- 1313 )",8767,"(+/- 1544 )",8715,"(+/- 1672 )",9076,"(+/- 1623 )",10028,"(+/- 2256 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",423362,"(+/- 3019 )",458118,"(+/- 3085 )",440363,"(+/- 3707 )",490343,"(+/- 4375 )",511389,"(+/- 2669 )",462622,"(+/- 4244 )",453432,"(+/- 3502 )",405114,"(+/- 4427 )",439222,"(+/- 4711 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",80025,"(+/- 5028 )",51446,"(+/- 3756 )",68966,"(+/- 4364 )",69401,"(+/- 4854 )",47506,"(+/- 3964 )",63516,"(+/- 4564 )",59413,"(+/- 4076 )",56587,"(+/- 4080 )",56082,"(+/- 4420 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",144310,"(+/- 1671 )",132002,"(+/- 2040 )",133765,"(+/- 2164 )",115415,"(+/- 2658 )",95656,"(+/- 907 )",135795,"(+/- 2074 )",112662,"(+/- 1802 )",120557,"(+/- 2982 )",86487,"(+/- 2612 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",62036,"(+/- 3176 )",44224,"(+/- 2519 )",52027,"(+/- 3440 )",43289,"(+/- 2989 )",34021,"(+/- 2246 )",51820,"(+/- 3129 )",37895,"(+/- 2751 )",45458,"(+/- 3420 )",31768,"(+/- 2395 )"
People,"Residence 1 Year Ago","Population 1 year and over",713532,"(+/- 3100 )",747198,"(+/- 3251 )",729088,"(+/- 4564 )",789472,"(+/- 5444 )",767101,"(+/- 2322 )",775130,"(+/- 3576 )",777096,"(+/- 4327 )",692435,"(+/- 5607 )",701884,"(+/- 5399 )"
People,"Residence 1 Year Ago","Same house",620763,"(+/- 7971 )",637881,"(+/- 7481 )",614997,"(+/- 10499 )",675594,"(+/- 11176 )",612219,"(+/- 10709 )",666973,"(+/- 8042 )",669220,"(+/- 9069 )",604757,"(+/- 8008 )",603808,"(+/- 9580 )"
People,"Residence 1 Year Ago","Different house in the U.S.",88543,"(+/- 6987 )",107549,"(+/- 7022 )",112520,"(+/- 10616 )",110501,"(+/- 10330 )",147580,"(+/- 10318 )",105855,"(+/- 7468 )",105701,"(+/- 7500 )",84095,"(+/- 6168 )",95824,"(+/- 8774 )"
People,"Residence 1 Year Ago","Same county",48341,"(+/- 5604 )",60377,"(+/- 5948 )",61067,"(+/- 7750 )",61249,"(+/- 7759 )",83739,"(+/- 8455 )",52233,"(+/- 5744 )",41052,"(+/- 5699 )",46495,"(+/- 4526 )",74034,"(+/- 8087 )"
People,"Residence 1 Year Ago","Different county",40202,"(+/- 4753 )",47172,"(+/- 4402 )",51453,"(+/- 6910 )",49252,"(+/- 6930 )",63841,"(+/- 5629 )",53622,"(+/- 5683 )",64649,"(+/- 6132 )",37600,"(+/- 3752 )",21790,"(+/- 3481 )"
People,"Residence 1 Year Ago","Same state",22592,"(+/- 3421 )",23503,"(+/- 2936 )",24122,"(+/- 4043 )",32250,"(+/- 5295 )",28530,"(+/- 4162 )",37414,"(+/- 4798 )",25923,"(+/- 3811 )",22719,"(+/- 3011 )",3151,"(+/- 1172 )"
People,"Residence 1 Year Ago","Different state",17610,"(+/- 3312 )",23669,"(+/- 3445 )",27331,"(+/- 5081 )",17002,"(+/- 3479 )",35311,"(+/- 4149 )",16208,"(+/- 3306 )",38726,"(+/- 6224 )",14881,"(+/- 2684 )",18639,"(+/- 3535 )"
People,"Residence 1 Year Ago",Abroad,4226,"(+/- 1682 )",1768,"(+/- 802 )",1571,"(+/- 839 )",3377,"(+/- 1602 )",7302,"(+/- 2233 )",2302,"(+/- 1074 )",2175,"(+/- 954 )",3583,"(+/- 1692 )",2252,"(+/- 1057 )"
Workers,"Employment Status","Population 16 years and over",594763,"(+/- 2758 )",614957,"(+/- 2940 )",603111,"(+/- 3914 )",635151,"(+/- 4108 )",629284,"(+/- 1806 )",627819,"(+/- 2760 )",612748,"(+/- 3595 )",558378,"(+/- 4797 )",555126,"(+/- 4291 )"
Workers,"Employment Status","In labor force",320799,"(+/- 7262 )",375195,"(+/- 5679 )",355299,"(+/- 6976 )",406984,"(+/- 6219 )",445014,"(+/- 5895 )",379448,"(+/- 6091 )",364968,"(+/- 6498 )",327794,"(+/- 5895 )",355463,"(+/- 7679 )"
Workers,"Employment Status","Civilian labor force",320596,"(+/- 7246 )",374617,"(+/- 5690 )",354967,"(+/- 6922 )",406157,"(+/- 6260 )",444682,"(+/- 5899 )",379103,"(+/- 6099 )",353513,"(+/- 6673 )",326752,"(+/- 5968 )",354717,"(+/- 7737 )"
Workers,"Employment Status",Employed,302265,"(+/- 7160 )",357884,"(+/- 6238 )",329887,"(+/- 6974 )",383967,"(+/- 6294 )",428910,"(+/- 6094 )",364136,"(+/- 5998 )",334865,"(+/- 7135 )",310150,"(+/- 6366 )",321089,"(+/- 7715 )"
Workers,"Employment Status",Unemployed,18331,"(+/- 2605 )",16733,"(+/- 2773 )",25080,"(+/- 3015 )",22190,"(+/- 3034 )",15772,"(+/- 2464 )",14967,"(+/- 1994 )",18648,"(+/- 2271 )",16602,"(+/- 1930 )",33628,"(+/- 3556 )"
Workers,"Employment Status","Armed Forces",203,"(+/- 247 )",578,"(+/- 443 )",332,"(+/- 285 )",827,"(+/- 487 )",332,"(+/- 299 )",345,"(+/- 269 )",11455,"(+/- 1615 )",1042,"(+/- 489 )",746,"(+/- 367 )"
Workers,"Employment Status","Not in labor force",273964,"(+/- 5968 )",239762,"(+/- 6124 )",247812,"(+/- 7046 )",228167,"(+/- 5780 )",184270,"(+/- 5839 )",248371,"(+/- 6299 )",247780,"(+/- 6594 )",230584,"(+/- 5282 )",199663,"(+/- 6868 )"
