Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",287476,"(+/- 2752 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",26780,"(+/- 2560 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",13332,"(+/- 2083 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",15623,"(+/- 2023 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",16939,"(+/- 2216 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",22441,"(+/- 3059 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",35032,"(+/- 2982 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",30730,"(+/- 2843 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",47391,"(+/- 2751 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",26259,"(+/- 2040 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",52949,"(+/- 2950 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",85203,"(+/- 3414 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",124946,"(+/- 3134 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",692817,"(+/- 606 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",670920,"(+/- 3301 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",487743,"(+/- 9368 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",248346,"(+/- 9442 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",21897,"(+/- 3219 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",137437,"(+/- 1879 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",2429,"(+/- 1365 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",11.3,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",18.3,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",13.0,"(+/- 4.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.4,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.8,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.0,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",27.2,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",34.9,"(+/- 6.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",35.2,"(+/- 13.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",16.2,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",23.1,"(+/- 4.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",22.9,"(+/- 4.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",19.6,"(+/- 5.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",24.7,"(+/- 4.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",16.7,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",14.0,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",19.5,"(+/- 1.6 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",173303,"(+/- 4731 )"
Education,"School Enrollment","Nursery school, preschool",14729,"(+/- 2008 )"
Education,"School Enrollment",Kindergarten,8633,"(+/- 1898 )"
Education,"School Enrollment","Elementary school (grades 1-8)",52214,"(+/- 1942 )"
Education,"School Enrollment","High school (grades 9-12)",25249,"(+/- 2216 )"
Education,"School Enrollment","College or graduate school",72478,"(+/- 3915 )"
Education,"Educational Attainment","Population 25 years and over",500176,"(+/- 606 )"
Education,"Educational Attainment","Less than 9th grade",16534,"(+/- 2759 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",23094,"(+/- 2807 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",82900,"(+/- 5152 )"
Education,"Educational Attainment","Some college, no degree",61530,"(+/- 4185 )"
Education,"Educational Attainment","Associate's degree",13948,"(+/- 2384 )"
Education,"Educational Attainment","Bachelor's degree",129782,"(+/- 5128 )"
Education,"Educational Attainment","Graduate or professional degree",172388,"(+/- 5243 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.1,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",60.4,"(+/- 0.9 )"
