Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","75 to 84 years",37094,"(+/- 2447 )",32761,"(+/- 2681 )",33166,"(+/- 1833 )",37030,"(+/- 1762 )",37286,"(+/- 2341 )",34532,"(+/- 2235 )"
People,"Sex and Age","85 years and over",13608,"(+/- 1634 )",10444,"(+/- 1703 )",13458,"(+/- 1715 )",12945,"(+/- 1507 )",10916,"(+/- 1707 )",12473,"(+/- 2019 )"
People,"Sex and Age","Median age (years)",38.7,"(+/- 0.6 )",37.5,"(+/- 0.7 )",36.8,"(+/- 0.4 )",37.2,"(+/- 0.4 )",37.8,"(+/- 0.5 )",36.0,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",622019,"(+/- 6653 )",614277,"(+/- 7824 )",590907,"(+/- 1963 )",568108,"(+/- 2571 )",561479,"(+/- 4526 )",605603,"(+/- 6855 )"
People,"Sex and Age","65 years and over",130195,"(+/- 3327 )",115542,"(+/- 3877 )",115222,"(+/- 1792 )",122592,"(+/- 1788 )",121256,"(+/- 2405 )",115803,"(+/- 3168 )"
People,Race,"Total population",806638,"(+/- 9120 )",794121,"(+/- 10924 )",783545,"(+/- 2185 )",747314,"(+/- 3598 )",738249,"(+/- 5791 )",790111,"(+/- 10127 )"
People,Race,"One race",788028,"(+/- 9953 )",778452,"(+/- 12008 )",767320,"(+/- 3658 )",730187,"(+/- 4748 )",724597,"(+/- 6563 )",766349,"(+/- 10886 )"
People,Race,White,634048,"(+/- 9449 )",247841,"(+/- 8442 )",551911,"(+/- 2766 )",448036,"(+/- 3723 )",448097,"(+/- 5735 )",547182,"(+/- 7351 )"
People,Race,"Black or African American",112895,"(+/- 6560 )",491080,"(+/- 12053 )",197823,"(+/- 2825 )",257496,"(+/- 4016 )",262847,"(+/- 6961 )",187266,"(+/- 11053 )"
People,Race,"American Indian and Alaska Native",10809,"(+/- 2678 )",1885,"(+/- 955 )",2586,"(+/- 1002 )",5155,"(+/- 1006 )",2490,"(+/- 831 )",2732,"(+/- 1236 )"
People,Race,Asian,20878,"(+/- 2295 )",16320,"(+/- 2034 )",10513,"(+/- 1034 )",7916,"(+/- 865 )",5278,"(+/- 1589 )",15350,"(+/- 1614 )"
People,Race,"Native Hawaiian and Other Pacific Islander",173,"(+/- 173 )",111,"(+/- 164 )",0,"(+/- 217 )",538,"(+/- 630 )",135,"(+/- 146 )",176,"(+/- 331 )"
People,Race,"Some other race",9225,"(+/- 2615 )",21215,"(+/- 5573 )",4487,"(+/- 1532 )",11046,"(+/- 2369 )",5750,"(+/- 2134 )",13643,"(+/- 3590 )"
People,Race,"Two or more races",18610,"(+/- 3395 )",15669,"(+/- 3598 )",16225,"(+/- 3205 )",17127,"(+/- 2819 )",13652,"(+/- 3259 )",23762,"(+/- 3956 )"
People,"Hispanic or Latino and Race","Total population",806638,"(+/- 9120 )",794121,"(+/- 10924 )",783545,"(+/- 2185 )",747314,"(+/- 3598 )",738249,"(+/- 5791 )",790111,"(+/- 10127 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",71074,"(+/- 5469 )",56176,"(+/- 5576 )",32653,"(+/- 1288 )",29762,"(+/- 915 )",15650,"(+/- 2132 )",34639,"(+/- 3432 )"
People,"Hispanic or Latino and Race",Mexican,18559,"(+/- 3728 )",12422,"(+/- 2841 )",19405,"(+/- 2901 )",19355,"(+/- 2401 )",9250,"(+/- 1742 )",13151,"(+/- 3094 )"
People,"Hispanic or Latino and Race","Puerto Rican",3862,"(+/- 1676 )",3771,"(+/- 2516 )",920,"(+/- 691 )",3427,"(+/- 1443 )",1082,"(+/- 579 )",1410,"(+/- 1007 )"
People,"Hispanic or Latino and Race",Cuban,4430,"(+/- 1413 )",2507,"(+/- 1145 )",1410,"(+/- 1069 )",232,"(+/- 204 )",209,"(+/- 181 )",1767,"(+/- 1044 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",44223,"(+/- 5172 )",37476,"(+/- 5692 )",10918,"(+/- 2535 )",6748,"(+/- 2025 )",5109,"(+/- 1615 )",18311,"(+/- 3795 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",735564,"(+/- 8817 )",737945,"(+/- 11063 )",750892,"(+/- 2320 )",717552,"(+/- 3513 )",722599,"(+/- 6137 )",755472,"(+/- 9779 )"
People,"Place of Birth","Total population",806638,"(+/- 9120 )",794121,"(+/- 10924 )",783545,"(+/- 2185 )",747314,"(+/- 3598 )",738249,"(+/- 5791 )",790111,"(+/- 10127 )"
People,"Place of Birth",Native,751174,"(+/- 9135 )",743718,"(+/- 11506 )",759758,"(+/- 4378 )",729967,"(+/- 4416 )",726558,"(+/- 6408 )",753776,"(+/- 10341 )"
People,"Place of Birth","Born in United States",746065,"(+/- 9127 )",737140,"(+/- 11356 )",756142,"(+/- 4482 )",722514,"(+/- 4441 )",723413,"(+/- 6553 )",747045,"(+/- 10530 )"
People,"Place of Birth","State of residence",593034,"(+/- 11630 )",612491,"(+/- 12094 )",657324,"(+/- 7957 )",557874,"(+/- 8281 )",595717,"(+/- 8986 )",623627,"(+/- 13045 )"
People,"Place of Birth","Different state",153031,"(+/- 8384 )",124649,"(+/- 6028 )",98818,"(+/- 7015 )",164640,"(+/- 6842 )",127696,"(+/- 6129 )",123418,"(+/- 7578 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5109,"(+/- 1431 )",6578,"(+/- 2075 )",3616,"(+/- 1370 )",7453,"(+/- 1570 )",3145,"(+/- 987 )",6731,"(+/- 2287 )"
People,"Place of Birth","Foreign born",55464,"(+/- 5366 )",50403,"(+/- 5069 )",23787,"(+/- 3850 )",17347,"(+/- 2724 )",11691,"(+/- 2415 )",36335,"(+/- 4040 )"
People,Ancestry,"Total population",806638,"(+/- 9120 )",794121,"(+/- 10924 )",783545,"(+/- 2185 )",747314,"(+/- 3598 )",738249,"(+/- 5791 )",790111,"(+/- 10127 )"
People,Ancestry,American,49934,"(+/- 7251 )",28129,"(+/- 3838 )",40175,"(+/- 4798 )",86306,"(+/- 7377 )",70015,"(+/- 5636 )",73982,"(+/- 8199 )"
People,Ancestry,Arab,4585,"(+/- 1829 )",6521,"(+/- 3542 )",4738,"(+/- 2336 )",326,"(+/- 304 )",2072,"(+/- 1212 )",4284,"(+/- 3162 )"
People,Ancestry,Czech,1255,"(+/- 707 )",480,"(+/- 308 )",428,"(+/- 396 )",493,"(+/- 341 )",343,"(+/- 334 )",340,"(+/- 291 )"
People,Ancestry,Danish,455,"(+/- 393 )",672,"(+/- 406 )",649,"(+/- 394 )",140,"(+/- 120 )",358,"(+/- 373 )",485,"(+/- 333 )"
People,Ancestry,Dutch,3972,"(+/- 1144 )",1368,"(+/- 533 )",3465,"(+/- 1424 )",3833,"(+/- 1106 )",1217,"(+/- 527 )",4165,"(+/- 1637 )"
People,Ancestry,English,42304,"(+/- 4573 )",20400,"(+/- 2546 )",21210,"(+/- 2985 )",49439,"(+/- 4823 )",43533,"(+/- 5054 )",41173,"(+/- 4421 )"
People,Ancestry,"French (except Basque)",120476,"(+/- 8696 )",47210,"(+/- 3933 )",103925,"(+/- 7505 )",56564,"(+/- 5036 )",50127,"(+/- 5310 )",100713,"(+/- 7625 )"
People,Ancestry,"French Canadian",27566,"(+/- 4283 )",7546,"(+/- 2021 )",72333,"(+/- 7796 )",13128,"(+/- 3223 )",14683,"(+/- 3360 )",18672,"(+/- 3109 )"
People,Ancestry,German,94846,"(+/- 6863 )",35760,"(+/- 3264 )",49822,"(+/- 5140 )",31382,"(+/- 3504 )",25903,"(+/- 3796 )",64650,"(+/- 6510 )"
People,Ancestry,Greek,3557,"(+/- 1411 )",730,"(+/- 506 )",443,"(+/- 376 )",1060,"(+/- 698 )",1423,"(+/- 1095 )",1159,"(+/- 647 )"
People,Ancestry,Hungarian,914,"(+/- 698 )",868,"(+/- 423 )",0,"(+/- 217 )",144,"(+/- 163 )",267,"(+/- 293 )",1403,"(+/- 1034 )"
People,Ancestry,Irish,80981,"(+/- 6266 )",25807,"(+/- 2773 )",40188,"(+/- 5168 )",35575,"(+/- 3750 )",52103,"(+/- 5627 )",51006,"(+/- 5801 )"
People,Ancestry,Italian,90417,"(+/- 7440 )",25940,"(+/- 3310 )",21392,"(+/- 4030 )",14859,"(+/- 2695 )",13882,"(+/- 2517 )",40943,"(+/- 5401 )"
People,Ancestry,Lithuanian,449,"(+/- 271 )",293,"(+/- 200 )",0,"(+/- 217 )",0,"(+/- 217 )",158,"(+/- 216 )",112,"(+/- 142 )"
People,Ancestry,Norwegian,2282,"(+/- 830 )",1291,"(+/- 561 )",2190,"(+/- 964 )",2755,"(+/- 1233 )",812,"(+/- 592 )",2690,"(+/- 1210 )"
People,Ancestry,Polish,7013,"(+/- 2050 )",3517,"(+/- 810 )",3116,"(+/- 1632 )",2747,"(+/- 1048 )",1093,"(+/- 545 )",3471,"(+/- 1373 )"
People,Ancestry,Portuguese,609,"(+/- 469 )",846,"(+/- 520 )",549,"(+/- 434 )",304,"(+/- 313 )",498,"(+/- 397 )",920,"(+/- 528 )"
People,Ancestry,Russian,3053,"(+/- 1066 )",1568,"(+/- 565 )",161,"(+/- 224 )",250,"(+/- 207 )",234,"(+/- 224 )",274,"(+/- 213 )"
People,Ancestry,Scotch-Irish,5894,"(+/- 1550 )",2990,"(+/- 1105 )",5155,"(+/- 1396 )",5346,"(+/- 1360 )",4371,"(+/- 1360 )",4994,"(+/- 1121 )"
People,Ancestry,Scottish,10058,"(+/- 2519 )",3731,"(+/- 842 )",5711,"(+/- 1613 )",7072,"(+/- 1592 )",7186,"(+/- 2048 )",8957,"(+/- 1794 )"
People,Ancestry,Slovak,304,"(+/- 308 )",127,"(+/- 131 )",0,"(+/- 217 )",119,"(+/- 154 )",25,"(+/- 41 )",72,"(+/- 133 )"
People,Ancestry,"Subsaharan African",4521,"(+/- 2131 )",25759,"(+/- 4070 )",2753,"(+/- 1216 )",10735,"(+/- 3769 )",4626,"(+/- 1494 )",4195,"(+/- 1790 )"
People,Ancestry,Swedish,2887,"(+/- 1149 )",2219,"(+/- 1556 )",1483,"(+/- 660 )",1144,"(+/- 496 )",1463,"(+/- 974 )",3948,"(+/- 1942 )"
People,Ancestry,Swiss,566,"(+/- 380 )",413,"(+/- 300 )",288,"(+/- 204 )",170,"(+/- 153 )",567,"(+/- 400 )",242,"(+/- 276 )"
People,Ancestry,Ukrainian,669,"(+/- 515 )",103,"(+/- 104 )",0,"(+/- 217 )",407,"(+/- 594 )",133,"(+/- 171 )",883,"(+/- 774 )"
People,Ancestry,Welsh,1727,"(+/- 689 )",948,"(+/- 536 )",2751,"(+/- 1241 )",3942,"(+/- 1873 )",970,"(+/- 587 )",3096,"(+/- 1201 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",783,"(+/- 542 )",3267,"(+/- 1497 )",1047,"(+/- 867 )",1135,"(+/- 761 )",356,"(+/- 418 )",767,"(+/- 553 )"
People,"Veteran Status","Civilian population 18 years and over",619779,"(+/- 6897 )",613111,"(+/- 7882 )",590903,"(+/- 1963 )",557647,"(+/- 3118 )",560609,"(+/- 4717 )",604761,"(+/- 6899 )"
People,"Veteran Status","Civilian veterans",40492,"(+/- 3300 )",33274,"(+/- 3068 )",43301,"(+/- 3476 )",48961,"(+/- 3902 )",41500,"(+/- 2583 )",39811,"(+/- 4074 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",799564,"(+/- 9433 )",777112,"(+/- 10742 )",776107,"(+/- 2725 )",720690,"(+/- 4305 )",698408,"(+/- 6768 )",784197,"(+/- 10293 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",117404,"(+/- 7091 )",130889,"(+/- 8288 )",123735,"(+/- 7472 )",111990,"(+/- 4746 )",111356,"(+/- 5473 )",105888,"(+/- 6830 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",184534,"(+/- 5308 )",179288,"(+/- 6267 )",192483,"(+/- 1099 )",179123,"(+/- 2257 )",176076,"(+/- 3477 )",184332,"(+/- 6028 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10571,"(+/- 2001 )",10397,"(+/- 2235 )",11459,"(+/- 2593 )",8726,"(+/- 1971 )",9010,"(+/- 1972 )",11157,"(+/- 2506 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",487453,"(+/- 6904 )",484867,"(+/- 7517 )",472012,"(+/- 2957 )",424299,"(+/- 3542 )",406703,"(+/- 5544 )",486023,"(+/- 6819 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",61471,"(+/- 5454 )",76320,"(+/- 5373 )",68307,"(+/- 5294 )",56406,"(+/- 3621 )",58813,"(+/- 4163 )",53104,"(+/- 5533 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",127577,"(+/- 3261 )",112957,"(+/- 3681 )",111612,"(+/- 2122 )",117268,"(+/- 1988 )",115629,"(+/- 2517 )",113842,"(+/- 3292 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45362,"(+/- 3530 )",44172,"(+/- 3620 )",43969,"(+/- 3277 )",46858,"(+/- 2599 )",43533,"(+/- 2749 )",41627,"(+/- 3092 )"
People,"Residence 1 Year Ago","Population 1 year and over",798360,"(+/- 8895 )",784633,"(+/- 10946 )",773569,"(+/- 2850 )",737895,"(+/- 3951 )",730568,"(+/- 5894 )",778056,"(+/- 9922 )"
People,"Residence 1 Year Ago","Same house",708185,"(+/- 10119 )",681938,"(+/- 12529 )",669396,"(+/- 10275 )",645638,"(+/- 9179 )",647937,"(+/- 8300 )",680751,"(+/- 12722 )"
People,"Residence 1 Year Ago","Different house in the U.S.",87619,"(+/- 8233 )",99012,"(+/- 7394 )",103345,"(+/- 10628 )",89060,"(+/- 8110 )",81338,"(+/- 6677 )",95824,"(+/- 8740 )"
People,"Residence 1 Year Ago","Same county",48825,"(+/- 6402 )",60127,"(+/- 5927 )",67060,"(+/- 8250 )",48985,"(+/- 5681 )",48090,"(+/- 5088 )",60719,"(+/- 7923 )"
People,"Residence 1 Year Ago","Different county",38794,"(+/- 4877 )",38885,"(+/- 4587 )",36285,"(+/- 6184 )",40075,"(+/- 5301 )",33248,"(+/- 4262 )",35105,"(+/- 5056 )"
People,"Residence 1 Year Ago","Same state",25380,"(+/- 4415 )",20985,"(+/- 3642 )",24992,"(+/- 4337 )",20571,"(+/- 3735 )",25070,"(+/- 3457 )",24039,"(+/- 4515 )"
People,"Residence 1 Year Ago","Different state",13414,"(+/- 2665 )",17900,"(+/- 3680 )",11293,"(+/- 4480 )",19504,"(+/- 3222 )",8178,"(+/- 2798 )",11066,"(+/- 2619 )"
People,"Residence 1 Year Ago",Abroad,2556,"(+/- 1053 )",3683,"(+/- 1534 )",828,"(+/- 521 )",3197,"(+/- 1118 )",1293,"(+/- 773 )",1481,"(+/- 946 )"
Workers,"Employment Status","Population 16 years and over",641510,"(+/- 7166 )",633746,"(+/- 7967 )",611594,"(+/- 2147 )",586315,"(+/- 3081 )",582457,"(+/- 4867 )",627239,"(+/- 7229 )"
Workers,"Employment Status","In labor force",400751,"(+/- 7481 )",376768,"(+/- 7293 )",365048,"(+/- 6702 )",327092,"(+/- 6848 )",295145,"(+/- 7689 )",403581,"(+/- 8136 )"
Workers,"Employment Status","Civilian labor force",398511,"(+/- 7641 )",375602,"(+/- 7313 )",365044,"(+/- 6701 )",316631,"(+/- 6740 )",294275,"(+/- 7761 )",402739,"(+/- 8077 )"
Workers,"Employment Status",Employed,379012,"(+/- 7848 )",342584,"(+/- 7628 )",343484,"(+/- 6661 )",293210,"(+/- 6706 )",273860,"(+/- 7737 )",383522,"(+/- 8176 )"
Workers,"Employment Status",Unemployed,19499,"(+/- 2977 )",33018,"(+/- 2946 )",21560,"(+/- 3063 )",23421,"(+/- 2627 )",20415,"(+/- 3042 )",19217,"(+/- 2871 )"
Workers,"Employment Status","Armed Forces",2240,"(+/- 900 )",1166,"(+/- 765 )",4,"(+/- 10 )",10461,"(+/- 1369 )",870,"(+/- 872 )",842,"(+/- 628 )"
Workers,"Employment Status","Not in labor force",240759,"(+/- 7562 )",256978,"(+/- 6464 )",246546,"(+/- 6887 )",259223,"(+/- 6845 )",287312,"(+/- 7387 )",223658,"(+/- 6823 )"
Workers,"Employment Status","Civilian labor force",398511,"(+/- 7641 )",375602,"(+/- 7313 )",365044,"(+/- 6701 )",316631,"(+/- 6740 )",294275,"(+/- 7761 )",402739,"(+/- 8077 )"
Workers,"Employment Status","Unemployment Rate",4.9,"(+/- 0.7 )",8.8,"(+/- 0.8 )",5.9,"(+/- 0.8 )",7.4,"(+/- 0.8 )",6.9,"(+/- 1.0 )",4.8,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",373477,"(+/- 7977 )",336501,"(+/- 7795 )",337818,"(+/- 6573 )",299567,"(+/- 6898 )",270260,"(+/- 7655 )",376356,"(+/- 8193 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",306872,"(+/- 7169 )",252144,"(+/- 6839 )",287715,"(+/- 6785 )",255962,"(+/- 6767 )",227937,"(+/- 7385 )",319379,"(+/- 8402 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34856,"(+/- 4462 )",33919,"(+/- 3554 )",29014,"(+/- 3836 )",26039,"(+/- 3446 )",24007,"(+/- 3658 )",31679,"(+/- 3963 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1824,"(+/- 776 )",15598,"(+/- 2601 )",489,"(+/- 407 )",2393,"(+/- 958 )",1603,"(+/- 948 )",1271,"(+/- 667 )"
Workers,"Commuting to Work",Walked,5253,"(+/- 1360 )",11221,"(+/- 1745 )",4963,"(+/- 1416 )",4588,"(+/- 1456 )",3519,"(+/- 1034 )",6358,"(+/- 1727 )"
Workers,"Commuting to Work","Other means",7441,"(+/- 1920 )",11178,"(+/- 1757 )",4818,"(+/- 1572 )",4351,"(+/- 1224 )",4909,"(+/- 1357 )",5747,"(+/- 2032 )"
Workers,"Commuting to Work","Worked at home",17231,"(+/- 2560 )",12441,"(+/- 1851 )",10819,"(+/- 2221 )",6234,"(+/- 1344 )",8285,"(+/- 1931 )",11922,"(+/- 2284 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.8,"(+/- 0.7 )",25.7,"(+/- 0.9 )",25.7,"(+/- 1.1 )",24.5,"(+/- 1.0 )",26.0,"(+/- 1.0 )",27.7,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",379012,"(+/- 7848 )",342584,"(+/- 7628 )",343484,"(+/- 6661 )",293210,"(+/- 6706 )",273860,"(+/- 7737 )",383522,"(+/- 8176 )"
Workers,Occupation,"Management, business, science, and arts occupations",147348,"(+/- 6419 )",110091,"(+/- 4605 )",104589,"(+/- 5891 )",91134,"(+/- 4958 )",87134,"(+/- 5126 )",152502,"(+/- 6493 )"
Workers,Occupation,"Service occupations",70017,"(+/- 5807 )",85611,"(+/- 5274 )",68289,"(+/- 4382 )",55553,"(+/- 4663 )",59819,"(+/- 4621 )",58756,"(+/- 5397 )"
Workers,Occupation,"Sales and office occupations",82108,"(+/- 4111 )",67488,"(+/- 3887 )",79026,"(+/- 5321 )",64179,"(+/- 4620 )",58494,"(+/- 3530 )",85083,"(+/- 5399 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",41133,"(+/- 3714 )",33320,"(+/- 2584 )",44246,"(+/- 3927 )",37386,"(+/- 3740 )",30059,"(+/- 2927 )",44723,"(+/- 4111 )"
Workers,Occupation,"Production, transportation, and material moving occupations",38406,"(+/- 3328 )",46074,"(+/- 3546 )",47334,"(+/- 4009 )",44958,"(+/- 3941 )",38354,"(+/- 3343 )",42458,"(+/- 4114 )"
Workers,Industry,"Civilian employed population 16 years and over",379012,"(+/- 7848 )",342584,"(+/- 7628 )",343484,"(+/- 6661 )",293210,"(+/- 6706 )",273860,"(+/- 7737 )",383522,"(+/- 8176 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9899,"(+/- 1835 )",3706,"(+/- 908 )",22522,"(+/- 2654 )",13593,"(+/- 1974 )",13556,"(+/- 2130 )",6560,"(+/- 1961 )"
Workers,Industry,Construction,28933,"(+/- 2715 )",26127,"(+/- 2599 )",32415,"(+/- 4073 )",23031,"(+/- 2592 )",17870,"(+/- 2473 )",38611,"(+/- 4229 )"
Workers,Industry,Manufacturing,22405,"(+/- 2821 )",23658,"(+/- 2612 )",25916,"(+/- 3296 )",23432,"(+/- 2343 )",22352,"(+/- 3231 )",37845,"(+/- 3794 )"
Workers,Industry,"Wholesale trade",11911,"(+/- 2040 )",6721,"(+/- 1702 )",8973,"(+/- 1628 )",7154,"(+/- 1489 )",6771,"(+/- 1333 )",9767,"(+/- 1751 )"
Workers,Industry,"Retail trade",41431,"(+/- 3506 )",36131,"(+/- 3604 )",41935,"(+/- 3897 )",35663,"(+/- 3988 )",30842,"(+/- 3556 )",42121,"(+/- 3916 )"
Workers,Industry,"Transportation and warehousing, and utilities",19261,"(+/- 2107 )",22998,"(+/- 2926 )",16104,"(+/- 2408 )",19153,"(+/- 2683 )",14523,"(+/- 2300 )",18162,"(+/- 2501 )"
Workers,Industry,Information,5318,"(+/- 1519 )",4593,"(+/- 1184 )",4128,"(+/- 1383 )",3639,"(+/- 1231 )",4729,"(+/- 1046 )",4871,"(+/- 1300 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21817,"(+/- 2703 )",16342,"(+/- 2293 )",14726,"(+/- 2762 )",12596,"(+/- 1840 )",12365,"(+/- 1704 )",21307,"(+/- 2889 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",44186,"(+/- 3699 )",34010,"(+/- 2901 )",30488,"(+/- 3319 )",23074,"(+/- 2554 )",22020,"(+/- 3352 )",39877,"(+/- 3942 )"
Workers,Industry,"Educational services, and health care and social assistance",92249,"(+/- 4777 )",75500,"(+/- 4492 )",78720,"(+/- 5139 )",67158,"(+/- 4697 )",75519,"(+/- 4769 )",93637,"(+/- 5410 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",42845,"(+/- 3539 )",54725,"(+/- 4560 )",39506,"(+/- 3642 )",29403,"(+/- 3407 )",25386,"(+/- 2873 )",29246,"(+/- 3251 )"
Workers,Industry,"Other services, except public administration",20139,"(+/- 2885 )",18444,"(+/- 2531 )",15867,"(+/- 2507 )",18764,"(+/- 2543 )",10399,"(+/- 1929 )",16942,"(+/- 2390 )"
Workers,Industry,"Public administration",18618,"(+/- 3032 )",19629,"(+/- 2302 )",12184,"(+/- 1831 )",16550,"(+/- 2280 )",17528,"(+/- 2404 )",24576,"(+/- 3129 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",379012,"(+/- 7848 )",342584,"(+/- 7628 )",343484,"(+/- 6661 )",293210,"(+/- 6706 )",273860,"(+/- 7737 )",383522,"(+/- 8176 )"
Workers,"Class of Worker","Private wage and salary workers",303370,"(+/- 7683 )",274497,"(+/- 7775 )",275740,"(+/- 7853 )",232830,"(+/- 6479 )",209974,"(+/- 7393 )",300269,"(+/- 8429 )"
Workers,"Class of Worker","Government workers",47333,"(+/- 4199 )",47767,"(+/- 3459 )",43664,"(+/- 3847 )",44094,"(+/- 3711 )",46088,"(+/- 3688 )",60784,"(+/- 5575 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",27437,"(+/- 3048 )",19494,"(+/- 2282 )",23315,"(+/- 3496 )",16199,"(+/- 2541 )",17163,"(+/- 2674 )",22052,"(+/- 3852 )"
Workers,"Class of Worker","Unpaid family workers",872,"(+/- 439 )",826,"(+/- 550 )",765,"(+/- 452 )",87,"(+/- 106 )",635,"(+/- 323 )",417,"(+/- 310 )"
Housing,"Housing Occupancy","Total housing units",343004,"(+/- 3481 )",354621,"(+/- 4161 )",346380,"(+/- 1178 )",354195,"(+/- 1891 )",335292,"(+/- 2833 )",342644,"(+/- 3925 )"
Housing,"Housing Occupancy","Occupied housing units",300739,"(+/- 4306 )",296535,"(+/- 4558 )",297581,"(+/- 4065 )",286839,"(+/- 4184 )",262611,"(+/- 4678 )",292915,"(+/- 5689 )"
Housing,"Housing Occupancy","Vacant housing units",42265,"(+/- 3850 )",58086,"(+/- 3260 )",48799,"(+/- 4072 )",67356,"(+/- 3975 )",72681,"(+/- 4015 )",49729,"(+/- 5169 )"
