Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","85 years and over",14120,"(+/- 1510 )",12985,"(+/- 1683 )",13114,"(+/- 1764 )"
People,"Sex and Age","Median age (years)",41.8,"(+/- 0.4 )",42.7,"(+/- 0.6 )",44.0,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",490837,"(+/- 3211 )",492074,"(+/- 3346 )",459696,"(+/- 1969 )"
People,"Sex and Age","65 years and over",120219,"(+/- 1901 )",120355,"(+/- 2398 )",120642,"(+/- 1368 )"
People,Race,"Total population",606136,"(+/- 3873 )",624120,"(+/- 3697 )",575576,"(+/- 1416 )"
People,Race,"One race",594423,"(+/- 4088 )",610895,"(+/- 4491 )",566103,"(+/- 2160 )"
People,Race,White,569483,"(+/- 4273 )",571744,"(+/- 4247 )",538546,"(+/- 1890 )"
People,Race,"Black or African American",16341,"(+/- 1728 )",28834,"(+/- 2314 )",23504,"(+/- 1859 )"
People,Race,"American Indian and Alaska Native",833,"(+/- 462 )",1352,"(+/- 626 )",444,"(+/- 368 )"
People,Race,Asian,5765,"(+/- 1133 )",5377,"(+/- 775 )",2317,"(+/- 1088 )"
People,Race,"Native Hawaiian and Other Pacific Islander",13,"(+/- 28 )",269,"(+/- 300 )",169,"(+/- 213 )"
People,Race,"Some other race",1988,"(+/- 840 )",3319,"(+/- 2003 )",1123,"(+/- 613 )"
People,Race,"Two or more races",11713,"(+/- 1674 )",13225,"(+/- 2277 )",9473,"(+/- 1722 )"
People,"Hispanic or Latino and Race","Total population",606136,"(+/- 3873 )",624120,"(+/- 3697 )",575576,"(+/- 1416 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",7663,"(+/- 1308 )",13528,"(+/- 952 )",4378,"(+/- 730 )"
People,"Hispanic or Latino and Race",Mexican,3448,"(+/- 1077 )",5729,"(+/- 1939 )",2142,"(+/- 676 )"
People,"Hispanic or Latino and Race","Puerto Rican",1143,"(+/- 540 )",2169,"(+/- 1344 )",800,"(+/- 551 )"
People,"Hispanic or Latino and Race",Cuban,601,"(+/- 671 )",502,"(+/- 319 )",248,"(+/- 227 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",2471,"(+/- 705 )",5128,"(+/- 1393 )",1188,"(+/- 643 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",598473,"(+/- 4014 )",610592,"(+/- 3867 )",571198,"(+/- 1496 )"
People,"Place of Birth","Total population",606136,"(+/- 3873 )",624120,"(+/- 3697 )",575576,"(+/- 1416 )"
People,"Place of Birth",Native,597540,"(+/- 4699 )",610287,"(+/- 4016 )",570400,"(+/- 2181 )"
People,"Place of Birth","Born in United States",595126,"(+/- 4794 )",605822,"(+/- 3893 )",567932,"(+/- 2348 )"
People,"Place of Birth","State of residence",409870,"(+/- 7831 )",387939,"(+/- 8110 )",442957,"(+/- 7363 )"
People,"Place of Birth","Different state",185256,"(+/- 6295 )",217883,"(+/- 8226 )",124975,"(+/- 7104 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",2414,"(+/- 896 )",4465,"(+/- 1358 )",2468,"(+/- 914 )"
People,"Place of Birth","Foreign born",8596,"(+/- 2106 )",13833,"(+/- 1900 )",5176,"(+/- 1522 )"
People,Ancestry,"Total population",606136,"(+/- 3873 )",624120,"(+/- 3697 )",575576,"(+/- 1416 )"
People,Ancestry,American,50152,"(+/- 4308 )",71788,"(+/- 6320 )",62607,"(+/- 5632 )"
People,Ancestry,Arab,4299,"(+/- 2205 )",1524,"(+/- 972 )",972,"(+/- 697 )"
People,Ancestry,Czech,2547,"(+/- 1284 )",635,"(+/- 537 )",474,"(+/- 359 )"
People,Ancestry,Danish,563,"(+/- 374 )",1896,"(+/- 1178 )",175,"(+/- 256 )"
People,Ancestry,Dutch,13497,"(+/- 2306 )",7328,"(+/- 1881 )",6938,"(+/- 2059 )"
People,Ancestry,English,61456,"(+/- 5455 )",66510,"(+/- 5969 )",66978,"(+/- 6033 )"
People,Ancestry,"French (except Basque)",9224,"(+/- 1847 )",9506,"(+/- 1945 )",5573,"(+/- 1488 )"
People,Ancestry,"French Canadian",861,"(+/- 456 )",975,"(+/- 749 )",434,"(+/- 360 )"
People,Ancestry,German,113826,"(+/- 7181 )",96002,"(+/- 7100 )",54733,"(+/- 5342 )"
People,Ancestry,Greek,1896,"(+/- 758 )",1143,"(+/- 663 )",671,"(+/- 481 )"
People,Ancestry,Hungarian,4158,"(+/- 1016 )",1170,"(+/- 688 )",770,"(+/- 441 )"
People,Ancestry,Irish,90896,"(+/- 5836 )",77009,"(+/- 5872 )",63494,"(+/- 5735 )"
People,Ancestry,Italian,44625,"(+/- 4668 )",19914,"(+/- 2702 )",18937,"(+/- 3365 )"
People,Ancestry,Lithuanian,849,"(+/- 458 )",363,"(+/- 273 )",201,"(+/- 251 )"
People,Ancestry,Norwegian,2305,"(+/- 806 )",1441,"(+/- 663 )",787,"(+/- 565 )"
People,Ancestry,Polish,18183,"(+/- 2635 )",6321,"(+/- 1490 )",5860,"(+/- 1518 )"
People,Ancestry,Portuguese,224,"(+/- 182 )",515,"(+/- 334 )",61,"(+/- 104 )"
People,Ancestry,Russian,2818,"(+/- 1086 )",1622,"(+/- 796 )",1396,"(+/- 847 )"
People,Ancestry,Scotch-Irish,11030,"(+/- 1943 )",9553,"(+/- 1945 )",9317,"(+/- 1825 )"
People,Ancestry,Scottish,11087,"(+/- 1999 )",11541,"(+/- 2252 )",8979,"(+/- 2075 )"
People,Ancestry,Slovak,3191,"(+/- 967 )",829,"(+/- 512 )",85,"(+/- 102 )"
People,Ancestry,"Subsaharan African",1981,"(+/- 1148 )",3665,"(+/- 1977 )",1478,"(+/- 937 )"
People,Ancestry,Swedish,2488,"(+/- 913 )",2888,"(+/- 950 )",1098,"(+/- 678 )"
People,Ancestry,Swiss,1088,"(+/- 557 )",1618,"(+/- 773 )",936,"(+/- 628 )"
People,Ancestry,Ukrainian,954,"(+/- 503 )",409,"(+/- 344 )",58,"(+/- 98 )"
People,Ancestry,Welsh,6736,"(+/- 1369 )",5363,"(+/- 1691 )",3423,"(+/- 1124 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",919,"(+/- 597 )",1051,"(+/- 590 )",313,"(+/- 311 )"
People,"Veteran Status","Civilian population 18 years and over",490507,"(+/- 3191 )",491617,"(+/- 3415 )",459430,"(+/- 1980 )"
People,"Veteran Status","Civilian veterans",42975,"(+/- 2632 )",47943,"(+/- 3275 )",35555,"(+/- 2648 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",594906,"(+/- 4064 )",617061,"(+/- 3794 )",564998,"(+/- 2300 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",103630,"(+/- 3977 )",102331,"(+/- 5244 )",132716,"(+/- 5740 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",114906,"(+/- 2209 )",131739,"(+/- 2316 )",115502,"(+/- 1649 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5351,"(+/- 1359 )",6157,"(+/- 1419 )",7309,"(+/- 1522 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",363651,"(+/- 3470 )",367624,"(+/- 3403 )",331556,"(+/- 2239 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",51512,"(+/- 3516 )",52707,"(+/- 3964 )",70783,"(+/- 4412 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",116349,"(+/- 2032 )",117698,"(+/- 2372 )",117940,"(+/- 1651 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46767,"(+/- 2358 )",43467,"(+/- 3130 )",54624,"(+/- 2448 )"
People,"Residence 1 Year Ago","Population 1 year and over",599873,"(+/- 4063 )",617089,"(+/- 3933 )",570668,"(+/- 1692 )"
People,"Residence 1 Year Ago","Same house",522376,"(+/- 6234 )",557461,"(+/- 6268 )",505995,"(+/- 6086 )"
People,"Residence 1 Year Ago","Different house in the U.S.",76731,"(+/- 5489 )",59447,"(+/- 5033 )",64083,"(+/- 6103 )"
People,"Residence 1 Year Ago","Same county",41401,"(+/- 4412 )",31342,"(+/- 4218 )",35573,"(+/- 4532 )"
People,"Residence 1 Year Ago","Different county",35330,"(+/- 3789 )",28105,"(+/- 3472 )",28510,"(+/- 4263 )"
People,"Residence 1 Year Ago","Same state",17068,"(+/- 2628 )",15028,"(+/- 2823 )",16008,"(+/- 2946 )"
People,"Residence 1 Year Ago","Different state",18262,"(+/- 3189 )",13077,"(+/- 2217 )",12502,"(+/- 2747 )"
People,"Residence 1 Year Ago",Abroad,766,"(+/- 412 )",181,"(+/- 154 )",590,"(+/- 376 )"
Workers,"Employment Status","Population 16 years and over",503959,"(+/- 3338 )",509034,"(+/- 3809 )",474477,"(+/- 2063 )"
Workers,"Employment Status","In labor force",284095,"(+/- 6435 )",285404,"(+/- 5333 )",219010,"(+/- 5214 )"
Workers,"Employment Status","Civilian labor force",283765,"(+/- 6457 )",284947,"(+/- 5327 )",218744,"(+/- 5228 )"
Workers,"Employment Status",Employed,266318,"(+/- 6651 )",269347,"(+/- 5591 )",206152,"(+/- 5334 )"
Workers,"Employment Status",Unemployed,17447,"(+/- 2185 )",15600,"(+/- 2435 )",12592,"(+/- 1968 )"
Workers,"Employment Status","Armed Forces",330,"(+/- 259 )",457,"(+/- 266 )",266,"(+/- 285 )"
Workers,"Employment Status","Not in labor force",219864,"(+/- 5364 )",223630,"(+/- 5603 )",255467,"(+/- 5326 )"
Workers,"Employment Status","Civilian labor force",283765,"(+/- 6457 )",284947,"(+/- 5327 )",218744,"(+/- 5228 )"
Workers,"Employment Status","Unemployment Rate",6.1,"(+/- 0.8 )",5.5,"(+/- 0.8 )",5.8,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",261538,"(+/- 6391 )",265831,"(+/- 5823 )",200058,"(+/- 5283 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",218366,"(+/- 6985 )",218867,"(+/- 5672 )",168393,"(+/- 5552 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",19735,"(+/- 2724 )",24518,"(+/- 3200 )",18115,"(+/- 2359 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2166,"(+/- 812 )",2864,"(+/- 858 )",1158,"(+/- 560 )"
Workers,"Commuting to Work",Walked,9511,"(+/- 1825 )",4502,"(+/- 1285 )",5101,"(+/- 1109 )"
Workers,"Commuting to Work","Other means",2191,"(+/- 696 )",5113,"(+/- 1314 )",1934,"(+/- 754 )"
Workers,"Commuting to Work","Worked at home",9569,"(+/- 1560 )",9967,"(+/- 1524 )",5357,"(+/- 1290 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.9,"(+/- 0.7 )",28.1,"(+/- 1.0 )",27.7,"(+/- 1.0 )"
Workers,Occupation,"Civilian employed population 16 years and over",266318,"(+/- 6651 )",269347,"(+/- 5591 )",206152,"(+/- 5334 )"
Workers,Occupation,"Management, business, science, and arts occupations",91147,"(+/- 4158 )",95525,"(+/- 4061 )",63405,"(+/- 3734 )"
Workers,Occupation,"Service occupations",51708,"(+/- 4488 )",49553,"(+/- 4044 )",41292,"(+/- 3267 )"
Workers,Occupation,"Sales and office occupations",54966,"(+/- 3205 )",55373,"(+/- 3513 )",52363,"(+/- 3844 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",27991,"(+/- 2498 )",25939,"(+/- 2637 )",21955,"(+/- 2196 )"
Workers,Occupation,"Production, transportation, and material moving occupations",40506,"(+/- 3225 )",42957,"(+/- 3385 )",27137,"(+/- 2433 )"
Workers,Industry,"Civilian employed population 16 years and over",266318,"(+/- 6651 )",269347,"(+/- 5591 )",206152,"(+/- 5334 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",10733,"(+/- 1598 )",6825,"(+/- 1503 )",9453,"(+/- 1644 )"
Workers,Industry,Construction,16276,"(+/- 2094 )",15899,"(+/- 1905 )",10115,"(+/- 1602 )"
Workers,Industry,Manufacturing,21877,"(+/- 2436 )",24676,"(+/- 2586 )",13495,"(+/- 1704 )"
Workers,Industry,"Wholesale trade",5371,"(+/- 1393 )",5031,"(+/- 1274 )",4523,"(+/- 1582 )"
Workers,Industry,"Retail trade",31304,"(+/- 3069 )",34574,"(+/- 3310 )",29476,"(+/- 2804 )"
Workers,Industry,"Transportation and warehousing, and utilities",15747,"(+/- 1859 )",16334,"(+/- 2068 )",11121,"(+/- 1648 )"
Workers,Industry,Information,3508,"(+/- 861 )",3639,"(+/- 946 )",3716,"(+/- 1075 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",9059,"(+/- 1479 )",12048,"(+/- 1598 )",6905,"(+/- 1817 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",22585,"(+/- 2598 )",24645,"(+/- 2447 )",13812,"(+/- 1932 )"
Workers,Industry,"Educational services, and health care and social assistance",77608,"(+/- 4228 )",65064,"(+/- 3793 )",59525,"(+/- 4053 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",25591,"(+/- 2932 )",26818,"(+/- 3142 )",19197,"(+/- 2868 )"
Workers,Industry,"Other services, except public administration",11745,"(+/- 1617 )",10698,"(+/- 1666 )",9189,"(+/- 1347 )"
Workers,Industry,"Public administration",14914,"(+/- 1678 )",23096,"(+/- 2693 )",15625,"(+/- 2137 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",266318,"(+/- 6651 )",269347,"(+/- 5591 )",206152,"(+/- 5334 )"
Workers,"Class of Worker","Private wage and salary workers",207398,"(+/- 6499 )",205764,"(+/- 5918 )",156826,"(+/- 5372 )"
Workers,"Class of Worker","Government workers",48047,"(+/- 3552 )",50487,"(+/- 3796 )",42499,"(+/- 3759 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",10558,"(+/- 1502 )",12896,"(+/- 1809 )",6827,"(+/- 1316 )"
Workers,"Class of Worker","Unpaid family workers",315,"(+/- 225 )",200,"(+/- 190 )",0,"(+/- 201 )"
Housing,"Housing Occupancy","Total housing units",290313,"(+/- 1980 )",301762,"(+/- 1816 )",301667,"(+/- 1676 )"
Housing,"Housing Occupancy","Occupied housing units",244052,"(+/- 3637 )",251791,"(+/- 3401 )",238860,"(+/- 4178 )"
Housing,"Housing Occupancy","Vacant housing units",46261,"(+/- 3132 )",49971,"(+/- 3388 )",62807,"(+/- 3896 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,"(+/- 0.5 )",1.9,"(+/- 0.6 )",2.5,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.0,"(+/- 1.6 )",6.8,"(+/- 1.9 )",7.8,"(+/- 2.0 )"
Housing,"Housing Tenure","Occupied housing units",244052,"(+/- 3637 )",251791,"(+/- 3401 )",238860,"(+/- 4178 )"
Housing,"Housing Tenure",Owner-occupied,174060,"(+/- 4105 )",184779,"(+/- 4406 )",173835,"(+/- 4429 )"
Housing,"Housing Tenure",Renter-occupied,69992,"(+/- 3227 )",67012,"(+/- 3613 )",65025,"(+/- 3540 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.46,"(+/- 0.04 )",2.47,"(+/- 0.05 )",2.40,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.24,"(+/- 0.08 )",2.32,"(+/- 0.09 )",2.20,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",244052,"(+/- 3637 )",251791,"(+/- 3401 )",238860,"(+/- 4178 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",36076,"(+/- 2846 )",34567,"(+/- 2754 )",29005,"(+/- 2926 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",30898,"(+/- 2433 )",36514,"(+/- 3426 )",30328,"(+/- 2492 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",41049,"(+/- 3086 )",41644,"(+/- 3241 )",34660,"(+/- 2984 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",50406,"(+/- 2721 )",60619,"(+/- 3103 )",58052,"(+/- 3926 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",34567,"(+/- 2365 )",33809,"(+/- 2430 )",36993,"(+/- 2887 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",51056,"(+/- 2508 )",44638,"(+/- 2770 )",49822,"(+/- 3453 )"
Housing,Value,"Owner-occupied units",174060,"(+/- 4105 )",184779,"(+/- 4406 )",173835,"(+/- 4429 )"
Housing,Value,"Less than $50,000",25772,"(+/- 2050 )",23211,"(+/- 2548 )",36216,"(+/- 3111 )"
Housing,Value,"$50,000 to $99,999",43351,"(+/- 2739 )",37730,"(+/- 2913 )",53136,"(+/- 3187 )"
Housing,Value,"$100,000 to $149,999",33820,"(+/- 2745 )",33445,"(+/- 2594 )",32589,"(+/- 3427 )"
Housing,Value,"$150,000 to $199,999",26300,"(+/- 2385 )",31375,"(+/- 3023 )",24949,"(+/- 2747 )"
Housing,Value,"$200,000 to $299,999",26955,"(+/- 2274 )",34017,"(+/- 2853 )",16777,"(+/- 2072 )"
Housing,Value,"$300,000 to $499,999",12002,"(+/- 1432 )",21281,"(+/- 2361 )",7533,"(+/- 1374 )"
Housing,Value,"$500,000 to $999,999",4879,"(+/- 867 )",3074,"(+/- 735 )",1982,"(+/- 647 )"
Housing,Value,"$1,000,000 or more",981,"(+/- 408 )",646,"(+/- 309 )",653,"(+/- 422 )"
Housing,Value,"Median (dollars)",122300,"(+/- 3335 )",147100,"(+/- 5186 )",97300,"(+/- 3666 )"
Housing,"Mortgage Status","Owner-occupied units",174060,"(+/- 4105 )",184779,"(+/- 4406 )",173835,"(+/- 4429 )"
Housing,"Mortgage Status","Housing units with a mortgage",80746,"(+/- 3624 )",95843,"(+/- 3937 )",68364,"(+/- 3409 )"
Housing,"Mortgage Status","Housing units without a mortgage",93314,"(+/- 2859 )",88936,"(+/- 3986 )",105471,"(+/- 4040 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",80746,"(+/- 3624 )",95843,"(+/- 3937 )",68364,"(+/- 3409 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",3182,"(+/- 841 )",3133,"(+/- 758 )",4457,"(+/- 1108 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",39934,"(+/- 2735 )",35021,"(+/- 2623 )",36585,"(+/- 2661 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",22667,"(+/- 2058 )",31555,"(+/- 2858 )",18868,"(+/- 2281 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",8922,"(+/- 1444 )",15418,"(+/- 2057 )",5006,"(+/- 1128 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",3569,"(+/- 910 )",6893,"(+/- 1279 )",1963,"(+/- 813 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",941,"(+/- 448 )",2078,"(+/- 741 )",762,"(+/- 455 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1531,"(+/- 550 )",1745,"(+/- 668 )",723,"(+/- 423 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",969,"(+/- 20 )",1131,"(+/- 26 )",906,"(+/- 27 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",93314,"(+/- 2859 )",88936,"(+/- 3986 )",105471,"(+/- 4040 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",24168,"(+/- 1997 )",22250,"(+/- 2048 )",31947,"(+/- 3036 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",38887,"(+/- 2321 )",36019,"(+/- 3223 )",39673,"(+/- 2969 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",21787,"(+/- 1868 )",20243,"(+/- 2585 )",24513,"(+/- 2214 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",5686,"(+/- 1155 )",8595,"(+/- 1728 )",7269,"(+/- 1388 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2030,"(+/- 626 )",1240,"(+/- 499 )",1203,"(+/- 530 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",756,"(+/- 384 )",589,"(+/- 320 )",866,"(+/- 542 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",327,"(+/- 7 )",341,"(+/- 10 )",319,"(+/- 11 )"
Housing,"Gross Rent","Occupied units paying rent",61015,"(+/- 3026 )",57904,"(+/- 3478 )",50348,"(+/- 3365 )"
Housing,"Gross Rent","Less than $500",12112,"(+/- 1572 )",9669,"(+/- 1762 )",14152,"(+/- 1893 )"
Housing,"Gross Rent","$500 to $999",36561,"(+/- 2769 )",34552,"(+/- 2567 )",29670,"(+/- 2712 )"
Housing,"Gross Rent","$1,000 to $1,499",9188,"(+/- 1661 )",10434,"(+/- 1929 )",6151,"(+/- 1413 )"
Housing,"Gross Rent","$1,500 to $1,999",2104,"(+/- 742 )",2599,"(+/- 851 )",127,"(+/- 115 )"
Housing,"Gross Rent","$2,000 to $2,499",816,"(+/- 567 )",446,"(+/- 380 )",248,"(+/- 248 )"
Housing,"Gross Rent","$2,500 to $2,999",160,"(+/- 254 )",170,"(+/- 210 )",0,"(+/- 201 )"
Housing,"Gross Rent","$3,000 or more",74,"(+/- 142 )",34,"(+/- 61 )",0,"(+/- 201 )"
Housing,"Gross Rent","Median (dollars)",734,"(+/- 17 )",774,"(+/- 26 )",695,"(+/- 27 )"
Housing,"Gross Rent","No rent paid",8977,"(+/- 1445 )",9108,"(+/- 1502 )",14677,"(+/- 1975 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",244052,"(+/- 3637 )",251791,"(+/- 3401 )",238860,"(+/- 4178 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",21303,"(+/- 2066 )",16243,"(+/- 1941 )",29345,"(+/- 3087 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",14145,"(+/- 1550 )",14102,"(+/- 1899 )",17825,"(+/- 2171 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",31023,"(+/- 2768 )",30407,"(+/- 2835 )",36559,"(+/- 3040 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",27215,"(+/- 2309 )",30278,"(+/- 2666 )",29803,"(+/- 2456 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",34791,"(+/- 2921 )",37854,"(+/- 2937 )",34893,"(+/- 3098 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",42399,"(+/- 2859 )",46213,"(+/- 2748 )",40077,"(+/- 3242 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",26779,"(+/- 2566 )",23809,"(+/- 2521 )",21862,"(+/- 2150 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",29864,"(+/- 2181 )",34391,"(+/- 3115 )",18932,"(+/- 1908 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",9141,"(+/- 1407 )",9355,"(+/- 1609 )",4957,"(+/- 1175 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",7392,"(+/- 1236 )",9139,"(+/- 1643 )",4607,"(+/- 1147 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",46867,"(+/- 1463 )",48525,"(+/- 2046 )",36863,"(+/- 1434 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",64318,"(+/- 2007 )",67836,"(+/- 2576 )",52577,"(+/- 1902 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",594906,"(+/- 4064 )",617061,"(+/- 3794 )",564998,"(+/- 2300 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",557680,"(+/- 6343 )",579776,"(+/- 6063 )",525403,"(+/- 4980 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",396948,"(+/- 10797 )",399166,"(+/- 9878 )",319683,"(+/- 10313 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",256758,"(+/- 7344 )",276220,"(+/- 8848 )",304269,"(+/- 9113 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",37226,"(+/- 4221 )",37285,"(+/- 4489 )",39595,"(+/- 4688 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",125193,"(+/- 2983 )",138772,"(+/- 2726 )",124067,"(+/- 2200 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3897,"(+/- 1426 )",3795,"(+/- 1671 )",5408,"(+/- 1837 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",11.0,"(+/- 1.2 )",12.0,"(+/- 1.4 )",16.2,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",17.8,"(+/- 2.6 )",20.9,"(+/- 2.7 )",26.4,"(+/- 3.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",20.2,"(+/- 6.4 )",28.5,"(+/- 7.2 )",26.4,"(+/- 8.4 )"
