Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1548,"(+/- 848 )",296,"(+/- 233 )",30,"(+/- 56 )",355,"(+/- 272 )",1238,"(+/- 753 )",1142,"(+/- 861 )",694,"(+/- 509 )"
People,"Veteran Status","Civilian population 18 years and over",675712,"(+/- 4151 )",654689,"(+/- 5009 )",590332,"(+/- 4734 )",627264,"(+/- 5180 )",599459,"(+/- 2628 )",627760,"(+/- 6671 )",620486,"(+/- 6707 )"
People,"Veteran Status","Civilian veterans",36269,"(+/- 2770 )",42942,"(+/- 3241 )",52986,"(+/- 4130 )",53513,"(+/- 2969 )",91517,"(+/- 4531 )",47434,"(+/- 3549 )",46420,"(+/- 3097 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",834440,"(+/- 5366 )",806793,"(+/- 6082 )",744771,"(+/- 4637 )",823936,"(+/- 6344 )",771597,"(+/- 3282 )",828497,"(+/- 7954 )",794071,"(+/- 7967 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",80442,"(+/- 4795 )",67811,"(+/- 4335 )",101613,"(+/- 5567 )",88094,"(+/- 3756 )",100521,"(+/- 6053 )",74538,"(+/- 3784 )",87645,"(+/- 4947 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",164599,"(+/- 2736 )",157044,"(+/- 3346 )",162643,"(+/- 3025 )",207099,"(+/- 3547 )",187445,"(+/- 1605 )",205989,"(+/- 4180 )",180309,"(+/- 4376 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6176,"(+/- 1659 )",3722,"(+/- 896 )",5274,"(+/- 1436 )",5373,"(+/- 1023 )",7513,"(+/- 1499 )",5913,"(+/- 1242 )",8998,"(+/- 1468 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",571067,"(+/- 4425 )",529701,"(+/- 5202 )",444445,"(+/- 5098 )",501979,"(+/- 5073 )",470743,"(+/- 3290 )",522727,"(+/- 6808 )",504685,"(+/- 6569 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43956,"(+/- 3923 )",34069,"(+/- 3096 )",49535,"(+/- 4419 )",44910,"(+/- 3007 )",56707,"(+/- 4647 )",39809,"(+/- 3050 )",41996,"(+/- 3879 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",98774,"(+/- 1685 )",120048,"(+/- 2721 )",137683,"(+/- 2369 )",114858,"(+/- 2322 )",113409,"(+/- 1564 )",99781,"(+/- 2537 )",109077,"(+/- 2418 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",30310,"(+/- 2115 )",30020,"(+/- 2358 )",46804,"(+/- 2704 )",37811,"(+/- 2451 )",36301,"(+/- 2817 )",28816,"(+/- 2017 )",36651,"(+/- 2568 )"
People,"Residence 1 Year Ago","Population 1 year and over",830710,"(+/- 5588 )",805864,"(+/- 5465 )",746236,"(+/- 4728 )",827988,"(+/- 6329 )",805923,"(+/- 2214 )",824622,"(+/- 8091 )",791686,"(+/- 8233 )"
People,"Residence 1 Year Ago","Same house",673690,"(+/- 9997 )",657516,"(+/- 9094 )",631310,"(+/- 10573 )",684238,"(+/- 11000 )",635142,"(+/- 11253 )",678461,"(+/- 11924 )",666477,"(+/- 9811 )"
People,"Residence 1 Year Ago","Different house in the U.S.",149645,"(+/- 9699 )",141227,"(+/- 7063 )",113141,"(+/- 10116 )",140263,"(+/- 9765 )",163332,"(+/- 10624 )",138844,"(+/- 8572 )",121431,"(+/- 8583 )"
People,"Residence 1 Year Ago","Same county",60028,"(+/- 6473 )",65095,"(+/- 4912 )",62059,"(+/- 7455 )",57476,"(+/- 6723 )",85133,"(+/- 9300 )",60201,"(+/- 5996 )",52925,"(+/- 5232 )"
People,"Residence 1 Year Ago","Different county",89617,"(+/- 7078 )",76132,"(+/- 5291 )",51082,"(+/- 6056 )",82787,"(+/- 7255 )",78199,"(+/- 8443 )",78643,"(+/- 7124 )",68506,"(+/- 7171 )"
People,"Residence 1 Year Ago","Same state",48818,"(+/- 5572 )",41270,"(+/- 4350 )",25586,"(+/- 3796 )",52036,"(+/- 6173 )",22199,"(+/- 5481 )",46778,"(+/- 5312 )",49126,"(+/- 6364 )"
People,"Residence 1 Year Ago","Different state",40799,"(+/- 4801 )",34862,"(+/- 3792 )",25496,"(+/- 4493 )",30751,"(+/- 4327 )",56000,"(+/- 6424 )",31865,"(+/- 4157 )",19380,"(+/- 3213 )"
People,"Residence 1 Year Ago",Abroad,7375,"(+/- 2170 )",7121,"(+/- 1997 )",1785,"(+/- 746 )",3487,"(+/- 1610 )",7449,"(+/- 3189 )",7317,"(+/- 2376 )",3778,"(+/- 1345 )"
Workers,"Employment Status","Population 16 years and over",693303,"(+/- 4840 )",672976,"(+/- 5097 )",607908,"(+/- 4812 )",652878,"(+/- 5711 )",648178,"(+/- 2605 )",653565,"(+/- 6849 )",641341,"(+/- 7139 )"
Workers,"Employment Status","In labor force",510743,"(+/- 6635 )",462739,"(+/- 7017 )",372957,"(+/- 7973 )",441615,"(+/- 7061 )",426782,"(+/- 6246 )",470357,"(+/- 8801 )",453223,"(+/- 7274 )"
Workers,"Employment Status","Civilian labor force",509780,"(+/- 6676 )",462203,"(+/- 7020 )",372485,"(+/- 7982 )",440483,"(+/- 6977 )",398423,"(+/- 6429 )",468924,"(+/- 8841 )",452994,"(+/- 7279 )"
Workers,"Employment Status",Employed,491524,"(+/- 6800 )",445273,"(+/- 7137 )",353826,"(+/- 8000 )",424150,"(+/- 7121 )",377872,"(+/- 6737 )",452223,"(+/- 9267 )",437926,"(+/- 7287 )"
Workers,"Employment Status",Unemployed,18256,"(+/- 2559 )",16930,"(+/- 2178 )",18659,"(+/- 2441 )",16333,"(+/- 1919 )",20551,"(+/- 3142 )",16701,"(+/- 2182 )",15068,"(+/- 1980 )"
Workers,"Employment Status","Armed Forces",963,"(+/- 531 )",536,"(+/- 374 )",472,"(+/- 369 )",1132,"(+/- 486 )",28359,"(+/- 1912 )",1433,"(+/- 652 )",229,"(+/- 256 )"
Workers,"Employment Status","Not in labor force",182560,"(+/- 5475 )",210237,"(+/- 6432 )",234951,"(+/- 6468 )",211263,"(+/- 5741 )",221396,"(+/- 6233 )",183208,"(+/- 6236 )",188118,"(+/- 6489 )"
Workers,"Employment Status","Civilian labor force",509780,"(+/- 6676 )",462203,"(+/- 7020 )",372485,"(+/- 7982 )",440483,"(+/- 6977 )",398423,"(+/- 6429 )",468924,"(+/- 8841 )",452994,"(+/- 7279 )"
Workers,"Employment Status","Unemployment Rate",3.6,"(+/- 0.5 )",3.7,"(+/- 0.5 )",5.0,"(+/- 0.6 )",3.7,"(+/- 0.4 )",5.2,"(+/- 0.8 )",3.6,"(+/- 0.5 )",3.3,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",483547,"(+/- 6611 )",438578,"(+/- 7012 )",347198,"(+/- 8001 )",418206,"(+/- 6832 )",398015,"(+/- 6454 )",445875,"(+/- 9294 )",431793,"(+/- 7527 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",336951,"(+/- 7003 )",308327,"(+/- 6554 )",259087,"(+/- 7353 )",329527,"(+/- 6788 )",305049,"(+/- 6654 )",344870,"(+/- 9140 )",336448,"(+/- 7387 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",37172,"(+/- 4205 )",29721,"(+/- 3191 )",32874,"(+/- 3501 )",37072,"(+/- 3315 )",38805,"(+/- 4585 )",36608,"(+/- 4070 )",41185,"(+/- 4579 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",27031,"(+/- 3153 )",13509,"(+/- 1988 )",6060,"(+/- 1844 )",3697,"(+/- 911 )",2238,"(+/- 1093 )",14834,"(+/- 2200 )",14296,"(+/- 1846 )"
Workers,"Commuting to Work",Walked,22447,"(+/- 3079 )",19192,"(+/- 2814 )",11385,"(+/- 1555 )",7064,"(+/- 1566 )",16118,"(+/- 2024 )",5465,"(+/- 1242 )",6560,"(+/- 1378 )"
Workers,"Commuting to Work","Other means",18525,"(+/- 2466 )",16460,"(+/- 2040 )",10127,"(+/- 1912 )",4967,"(+/- 1080 )",5590,"(+/- 1273 )",5796,"(+/- 1321 )",4635,"(+/- 1035 )"
Workers,"Commuting to Work","Worked at home",41421,"(+/- 3273 )",51369,"(+/- 3990 )",27665,"(+/- 3297 )",35879,"(+/- 2668 )",30215,"(+/- 3622 )",38302,"(+/- 2849 )",28669,"(+/- 3098 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.5,"(+/- 0.5 )",24.3,"(+/- 0.6 )",22.5,"(+/- 0.7 )",27.0,"(+/- 0.6 )",23.8,"(+/- 0.5 )",28.9,"(+/- 0.7 )",28.3,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",491524,"(+/- 6800 )",445273,"(+/- 7137 )",353826,"(+/- 8000 )",424150,"(+/- 7121 )",377872,"(+/- 6737 )",452223,"(+/- 9267 )",437926,"(+/- 7287 )"
Workers,Occupation,"Management, business, science, and arts occupations",239362,"(+/- 6880 )",221109,"(+/- 6208 )",125198,"(+/- 4475 )",175993,"(+/- 5775 )",154652,"(+/- 6141 )",192141,"(+/- 6068 )",173643,"(+/- 5598 )"
Workers,Occupation,"Service occupations",73014,"(+/- 5005 )",71879,"(+/- 4191 )",71284,"(+/- 4730 )",62664,"(+/- 3895 )",68057,"(+/- 5481 )",68257,"(+/- 4965 )",70432,"(+/- 4701 )"
Workers,Occupation,"Sales and office occupations",99120,"(+/- 5145 )",90622,"(+/- 5620 )",77911,"(+/- 5410 )",93734,"(+/- 4640 )",84764,"(+/- 5481 )",102369,"(+/- 6338 )",98217,"(+/- 5550 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",37925,"(+/- 4109 )",24313,"(+/- 2501 )",45738,"(+/- 3973 )",45077,"(+/- 3146 )",35326,"(+/- 2690 )",40488,"(+/- 3708 )",42345,"(+/- 3442 )"
Workers,Occupation,"Production, transportation, and material moving occupations",42103,"(+/- 3966 )",37350,"(+/- 4253 )",33695,"(+/- 3020 )",46682,"(+/- 3010 )",35073,"(+/- 3416 )",48968,"(+/- 3961 )",53289,"(+/- 4449 )"
Workers,Industry,"Civilian employed population 16 years and over",491524,"(+/- 6800 )",445273,"(+/- 7137 )",353826,"(+/- 8000 )",424150,"(+/- 7121 )",377872,"(+/- 6737 )",452223,"(+/- 9267 )",437926,"(+/- 7287 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4936,"(+/- 1101 )",7748,"(+/- 1650 )",17725,"(+/- 2448 )",22269,"(+/- 2293 )",3416,"(+/- 1399 )",5694,"(+/- 1364 )",6058,"(+/- 1255 )"
Workers,Industry,Construction,38627,"(+/- 3738 )",23810,"(+/- 2625 )",36976,"(+/- 3541 )",35789,"(+/- 3189 )",31240,"(+/- 3006 )",34404,"(+/- 3177 )",43544,"(+/- 3450 )"
Workers,Industry,Manufacturing,26691,"(+/- 3200 )",36308,"(+/- 2802 )",15514,"(+/- 2615 )",35562,"(+/- 2686 )",20117,"(+/- 2485 )",27735,"(+/- 2751 )",32194,"(+/- 3420 )"
Workers,Industry,"Wholesale trade",13375,"(+/- 1818 )",9228,"(+/- 1663 )",6045,"(+/- 1252 )",9889,"(+/- 1772 )",6090,"(+/- 1380 )",13463,"(+/- 2119 )",10465,"(+/- 1778 )"
Workers,Industry,"Retail trade",47400,"(+/- 3587 )",49992,"(+/- 4195 )",45001,"(+/- 3946 )",45377,"(+/- 3720 )",43288,"(+/- 3645 )",47069,"(+/- 3808 )",52603,"(+/- 4669 )"
