Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years",85652,"(+/- 2267 )",76455,"(+/- 2861 )",103168,"(+/- 3589 )",113852,"(+/- 5548 )",89504,"(+/- 5336 )",118142,"(+/- 5426 )",119912,"(+/- 4602 )",89923,"(+/- 3785 )",97743,"(+/- 2461 )",101539,"(+/- 5479 )",108877,"(+/- 4403 )",85995,"(+/- 3125 )",106112,"(+/- 5282 )",99456,"(+/- 2728 )"
People,"Sex and Age","55 to 59 years",47595,"(+/- 2732 )",42431,"(+/- 2968 )",47233,"(+/- 2893 )",46302,"(+/- 3548 )",44019,"(+/- 4417 )",51188,"(+/- 3713 )",51495,"(+/- 3847 )",45838,"(+/- 3366 )",50698,"(+/- 3201 )",49330,"(+/- 3139 )",48707,"(+/- 4132 )",45302,"(+/- 2741 )",49285,"(+/- 3715 )",48440,"(+/- 2916 )"
People,"Sex and Age","60 to 64 years",44962,"(+/- 2874 )",42460,"(+/- 3220 )",46069,"(+/- 2906 )",48871,"(+/- 3707 )",37301,"(+/- 2973 )",42707,"(+/- 3561 )",41775,"(+/- 3393 )",42625,"(+/- 3018 )",48488,"(+/- 3212 )",45080,"(+/- 3266 )",44829,"(+/- 3490 )",44835,"(+/- 3056 )",41936,"(+/- 3207 )",42326,"(+/- 3000 )"
People,"Sex and Age","65 to 74 years",66884,"(+/- 1694 )",62855,"(+/- 2606 )",70796,"(+/- 2647 )",64665,"(+/- 3273 )",52358,"(+/- 3291 )",61523,"(+/- 3423 )",52756,"(+/- 2761 )",65682,"(+/- 2379 )",86238,"(+/- 1922 )",67873,"(+/- 3192 )",61844,"(+/- 2424 )",63029,"(+/- 2091 )",56640,"(+/- 3444 )",63805,"(+/- 2100 )"
People,"Sex and Age","75 to 84 years",32174,"(+/- 1818 )",30448,"(+/- 2202 )",32749,"(+/- 3023 )",22301,"(+/- 1835 )",24398,"(+/- 2505 )",26384,"(+/- 2514 )",24004,"(+/- 2173 )",32570,"(+/- 2206 )",44201,"(+/- 2040 )",33102,"(+/- 1993 )",29891,"(+/- 2539 )",29616,"(+/- 1688 )",21826,"(+/- 1946 )",33016,"(+/- 1628 )"
People,"Sex and Age","85 years and over",10157,"(+/- 1534 )",12200,"(+/- 1356 )",11321,"(+/- 1667 )",8691,"(+/- 1876 )",9939,"(+/- 1721 )",10944,"(+/- 1846 )",7947,"(+/- 1185 )",11071,"(+/- 1726 )",12327,"(+/- 1802 )",10006,"(+/- 1381 )",10449,"(+/- 1884 )",10249,"(+/- 1433 )",7060,"(+/- 1252 )",10439,"(+/- 1366 )"
People,"Sex and Age","Median age (years)",36.1,"(+/- 0.3 )",37.0,"(+/- 0.5 )",39.0,"(+/- 0.6 )",36.3,"(+/- 0.7 )",32.9,"(+/- 0.5 )",39.1,"(+/- 0.7 )",36.4,"(+/- 0.6 )",36.9,"(+/- 0.5 )",40.7,"(+/- 0.4 )",37.2,"(+/- 0.6 )",36.7,"(+/- 0.6 )",35.6,"(+/- 0.5 )",36.1,"(+/- 0.6 )",38.7,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",570138,"(+/- 3506 )",510900,"(+/- 5373 )",565260,"(+/- 6459 )",591573,"(+/- 12958 )",625191,"(+/- 10478 )",574849,"(+/- 9443 )",587891,"(+/- 12245 )",545992,"(+/- 5021 )",593571,"(+/- 4953 )",587368,"(+/- 9749 )",600386,"(+/- 8643 )",554787,"(+/- 4708 )",560019,"(+/- 12440 )",548257,"(+/- 2578 )"
People,"Sex and Age","65 years and over",109215,"(+/- 1509 )",105503,"(+/- 2930 )",114866,"(+/- 3014 )",95657,"(+/- 3866 )",86695,"(+/- 4320 )",98851,"(+/- 4211 )",84707,"(+/- 2914 )",109323,"(+/- 2411 )",142766,"(+/- 2067 )",110981,"(+/- 3450 )",102184,"(+/- 3444 )",102894,"(+/- 2306 )",85526,"(+/- 4076 )",107260,"(+/- 2379 )"
People,Race,"Total population",744385,"(+/- 4981 )",665539,"(+/- 7079 )",740700,"(+/- 9410 )",785104,"(+/- 19145 )",793039,"(+/- 13915 )",754299,"(+/- 10790 )",803976,"(+/- 17033 )",714720,"(+/- 6522 )",765320,"(+/- 6205 )",767352,"(+/- 13064 )",781313,"(+/- 12118 )",723334,"(+/- 6201 )",757521,"(+/- 18192 )",722873,"(+/- 3197 )"
People,Race,"One race",715480,"(+/- 6623 )",645287,"(+/- 8108 )",723728,"(+/- 9303 )",768640,"(+/- 19275 )",769718,"(+/- 13810 )",732483,"(+/- 10688 )",778584,"(+/- 16870 )",699853,"(+/- 6240 )",748239,"(+/- 6871 )",751295,"(+/- 12901 )",758822,"(+/- 12246 )",702414,"(+/- 7515 )",731981,"(+/- 19460 )",706545,"(+/- 5047 )"
People,Race,White,467721,"(+/- 5926 )",281955,"(+/- 5365 )",499401,"(+/- 8227 )",210961,"(+/- 10567 )",251276,"(+/- 10312 )",518775,"(+/- 11815 )",434102,"(+/- 12360 )",446473,"(+/- 6091 )",672568,"(+/- 7191 )",515879,"(+/- 11308 )",570501,"(+/- 10099 )",417208,"(+/- 6663 )",220074,"(+/- 10275 )",620751,"(+/- 4893 )"
People,Race,"Black or African American",217918,"(+/- 4736 )",340276,"(+/- 6449 )",188551,"(+/- 8589 )",472419,"(+/- 14296 )",466017,"(+/- 16045 )",98130,"(+/- 9856 )",162756,"(+/- 12494 )",224512,"(+/- 5701 )",46909,"(+/- 4110 )",200069,"(+/- 9944 )",130277,"(+/- 7503 )",252862,"(+/- 4959 )",451182,"(+/- 16317 )",67813,"(+/- 3475 )"
People,Race,"American Indian and Alaska Native",1520,"(+/- 537 )",1289,"(+/- 580 )",3992,"(+/- 2305 )",1285,"(+/- 694 )",1970,"(+/- 1067 )",7170,"(+/- 2467 )",6148,"(+/- 3112 )",2424,"(+/- 1397 )",1485,"(+/- 595 )",1096,"(+/- 629 )",1696,"(+/- 957 )",789,"(+/- 347 )",1201,"(+/- 649 )",2420,"(+/- 1616 )"
People,Race,Asian,11663,"(+/- 1626 )",7641,"(+/- 1812 )",16496,"(+/- 1924 )",49178,"(+/- 6300 )",30640,"(+/- 3655 )",96303,"(+/- 5393 )",114858,"(+/- 6029 )",13368,"(+/- 2499 )",9854,"(+/- 1908 )",16337,"(+/- 2859 )",29460,"(+/- 3787 )",13873,"(+/- 2482 )",21403,"(+/- 4362 )",4977,"(+/- 1212 )"
People,Race,"Native Hawaiian and Other Pacific Islander",3137,"(+/- 2129 )",540,"(+/- 462 )",894,"(+/- 1163 )",2848,"(+/- 3197 )",510,"(+/- 655 )",356,"(+/- 333 )",45,"(+/- 77 )",103,"(+/- 130 )",1947,"(+/- 1676 )",237,"(+/- 271 )",1934,"(+/- 1792 )",1279,"(+/- 1602 )",128,"(+/- 213 )",91,"(+/- 136 )"
People,Race,"Some other race",13521,"(+/- 3722 )",13586,"(+/- 2391 )",14394,"(+/- 4301 )",31949,"(+/- 6593 )",19305,"(+/- 4278 )",11749,"(+/- 4075 )",60675,"(+/- 9389 )",12973,"(+/- 4445 )",15476,"(+/- 4148 )",17677,"(+/- 5641 )",24954,"(+/- 6150 )",16403,"(+/- 3641 )",37993,"(+/- 8978 )",10493,"(+/- 3914 )"
People,Race,"Two or more races",28905,"(+/- 4309 )",20252,"(+/- 3373 )",16972,"(+/- 3532 )",16464,"(+/- 3495 )",23321,"(+/- 3659 )",21816,"(+/- 3831 )",25392,"(+/- 4150 )",14867,"(+/- 3257 )",17081,"(+/- 2686 )",16057,"(+/- 3672 )",22491,"(+/- 4048 )",20920,"(+/- 3716 )",25540,"(+/- 5211 )",16328,"(+/- 3367 )"
People,"Hispanic or Latino and Race","Total population",744385,"(+/- 4981 )",665539,"(+/- 7079 )",740700,"(+/- 9410 )",785104,"(+/- 19145 )",793039,"(+/- 13915 )",754299,"(+/- 10790 )",803976,"(+/- 17033 )",714720,"(+/- 6522 )",765320,"(+/- 6205 )",767352,"(+/- 13064 )",781313,"(+/- 12118 )",723334,"(+/- 6201 )",757521,"(+/- 18192 )",722873,"(+/- 3197 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",50819,"(+/- 2283 )",36737,"(+/- 2165 )",45194,"(+/- 3295 )",76482,"(+/- 9618 )",52678,"(+/- 6622 )",93027,"(+/- 7514 )",158430,"(+/- 9480 )",46945,"(+/- 2318 )",101876,"(+/- 3247 )",46502,"(+/- 5509 )",84514,"(+/- 6735 )",46212,"(+/- 1290 )",97758,"(+/- 9614 )",84580,"(+/- 445 )"
People,"Hispanic or Latino and Race",Mexican,24704,"(+/- 3946 )",21478,"(+/- 2891 )",15232,"(+/- 3224 )",46184,"(+/- 10101 )",32594,"(+/- 5349 )",49009,"(+/- 6115 )",79587,"(+/- 11619 )",30185,"(+/- 3805 )",72850,"(+/- 6022 )",26216,"(+/- 4994 )",40699,"(+/- 6488 )",26063,"(+/- 2998 )",68070,"(+/- 9362 )",60391,"(+/- 5399 )"
People,"Hispanic or Latino and Race","Puerto Rican",10776,"(+/- 2348 )",5360,"(+/- 1748 )",8108,"(+/- 2378 )",4211,"(+/- 1540 )",7089,"(+/- 2894 )",7327,"(+/- 2367 )",13079,"(+/- 4610 )",5177,"(+/- 3293 )",3427,"(+/- 1429 )",3044,"(+/- 1207 )",12847,"(+/- 3134 )",9986,"(+/- 2423 )",10515,"(+/- 4070 )",2701,"(+/- 1399 )"
People,"Hispanic or Latino and Race",Cuban,2317,"(+/- 1359 )",899,"(+/- 644 )",2485,"(+/- 1063 )",2149,"(+/- 1347 )",1766,"(+/- 699 )",3682,"(+/- 1397 )",5389,"(+/- 2135 )",1907,"(+/- 1382 )",2300,"(+/- 1098 )",2307,"(+/- 1436 )",4071,"(+/- 1686 )",384,"(+/- 507 )",863,"(+/- 572 )",4533,"(+/- 2649 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",13022,"(+/- 2788 )",9000,"(+/- 2463 )",19369,"(+/- 4134 )",23938,"(+/- 5496 )",11229,"(+/- 2592 )",33009,"(+/- 5448 )",60375,"(+/- 8862 )",9676,"(+/- 3167 )",23299,"(+/- 5317 )",14935,"(+/- 3646 )",26897,"(+/- 4861 )",9779,"(+/- 2533 )",18310,"(+/- 4255 )",16955,"(+/- 4712 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",693566,"(+/- 4834 )",628802,"(+/- 6653 )",695506,"(+/- 9421 )",708622,"(+/- 16104 )",740361,"(+/- 15067 )",661272,"(+/- 11127 )",645546,"(+/- 14495 )",667775,"(+/- 6013 )",663444,"(+/- 6388 )",720850,"(+/- 12647 )",696799,"(+/- 11443 )",677122,"(+/- 5844 )",659763,"(+/- 16190 )",638293,"(+/- 3121 )"
People,"Place of Birth","Total population",744385,"(+/- 4981 )",665539,"(+/- 7079 )",740700,"(+/- 9410 )",785104,"(+/- 19145 )",793039,"(+/- 13915 )",754299,"(+/- 10790 )",803976,"(+/- 17033 )",714720,"(+/- 6522 )",765320,"(+/- 6205 )",767352,"(+/- 13064 )",781313,"(+/- 12118 )",723334,"(+/- 6201 )",757521,"(+/- 18192 )",722873,"(+/- 3197 )"
People,"Place of Birth",Native,708697,"(+/- 5816 )",642685,"(+/- 7564 )",702910,"(+/- 9309 )",643447,"(+/- 16800 )",721432,"(+/- 15143 )",591664,"(+/- 10888 )",594471,"(+/- 16843 )",682669,"(+/- 7203 )",703277,"(+/- 6365 )",723053,"(+/- 11445 )",699314,"(+/- 12160 )",692886,"(+/- 7644 )",675082,"(+/- 17339 )",673815,"(+/- 5625 )"
People,"Place of Birth","Born in United States",696908,"(+/- 6060 )",634769,"(+/- 7628 )",691442,"(+/- 9837 )",628231,"(+/- 15340 )",710231,"(+/- 14727 )",578532,"(+/- 11022 )",581057,"(+/- 17099 )",674453,"(+/- 6692 )",697958,"(+/- 6313 )",715214,"(+/- 11413 )",687217,"(+/- 12318 )",680443,"(+/- 7349 )",663898,"(+/- 17776 )",669374,"(+/- 5338 )"
People,"Place of Birth","State of residence",419061,"(+/- 9504 )",476233,"(+/- 8926 )",456495,"(+/- 10907 )",354046,"(+/- 14486 )",423447,"(+/- 13155 )",244036,"(+/- 8531 )",293296,"(+/- 14796 )",494213,"(+/- 9993 )",461174,"(+/- 9597 )",494176,"(+/- 9933 )",354742,"(+/- 9590 )",480750,"(+/- 10601 )",380580,"(+/- 15986 )",433637,"(+/- 8215 )"
People,"Place of Birth","Different state",277847,"(+/- 10015 )",158536,"(+/- 7347 )",234947,"(+/- 9844 )",274185,"(+/- 12464 )",286784,"(+/- 9382 )",334496,"(+/- 9074 )",287761,"(+/- 10766 )",180240,"(+/- 9470 )",236784,"(+/- 8800 )",221038,"(+/- 9226 )",332475,"(+/- 11390 )",199693,"(+/- 10178 )",283318,"(+/- 14191 )",235737,"(+/- 8365 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11789,"(+/- 2084 )",7916,"(+/- 1484 )",11468,"(+/- 2635 )",15216,"(+/- 5117 )",11201,"(+/- 2799 )",13132,"(+/- 2388 )",13414,"(+/- 2864 )",8216,"(+/- 1847 )",5319,"(+/- 1616 )",7839,"(+/- 1847 )",12097,"(+/- 2055 )",12443,"(+/- 2754 )",11184,"(+/- 3429 )",4441,"(+/- 1652 )"
People,"Place of Birth","Foreign born",35688,"(+/- 3772 )",22854,"(+/- 2620 )",37790,"(+/- 4139 )",141657,"(+/- 13751 )",71607,"(+/- 5715 )",162635,"(+/- 7798 )",209505,"(+/- 10154 )",32051,"(+/- 3919 )",62043,"(+/- 4559 )",44299,"(+/- 5753 )",81999,"(+/- 6463 )",30448,"(+/- 4536 )",82439,"(+/- 7683 )",49058,"(+/- 4510 )"
People,Ancestry,"Total population",744385,"(+/- 4981 )",665539,"(+/- 7079 )",740700,"(+/- 9410 )",785104,"(+/- 19145 )",793039,"(+/- 13915 )",754299,"(+/- 10790 )",803976,"(+/- 17033 )",714720,"(+/- 6522 )",765320,"(+/- 6205 )",767352,"(+/- 13064 )",781313,"(+/- 12118 )",723334,"(+/- 6201 )",757521,"(+/- 18192 )",722873,"(+/- 3197 )"
People,Ancestry,American,64323,"(+/- 6216 )",65377,"(+/- 6695 )",150687,"(+/- 11230 )",48474,"(+/- 7091 )",53856,"(+/- 5860 )",53711,"(+/- 6834 )",47981,"(+/- 6014 )",112128,"(+/- 8745 )",97081,"(+/- 8749 )",96153,"(+/- 8622 )",78093,"(+/- 8767 )",59554,"(+/- 5798 )",50588,"(+/- 6929 )",175936,"(+/- 11620 )"
People,Ancestry,Arab,2000,"(+/- 1180 )",288,"(+/- 264 )",2210,"(+/- 1210 )",2471,"(+/- 1628 )",3402,"(+/- 1253 )",7171,"(+/- 2925 )",3971,"(+/- 2461 )",1130,"(+/- 792 )",864,"(+/- 452 )",1413,"(+/- 791 )",2552,"(+/- 1100 )",323,"(+/- 308 )",2737,"(+/- 2459 )",52,"(+/- 89 )"
People,Ancestry,Czech,407,"(+/- 303 )",136,"(+/- 184 )",773,"(+/- 466 )",123,"(+/- 206 )",1404,"(+/- 1019 )",2878,"(+/- 1335 )",2392,"(+/- 1374 )",342,"(+/- 254 )",1766,"(+/- 784 )",997,"(+/- 443 )",834,"(+/- 445 )",396,"(+/- 349 )",650,"(+/- 531 )",257,"(+/- 242 )"
People,Ancestry,Danish,1438,"(+/- 1102 )",347,"(+/- 291 )",273,"(+/- 290 )",749,"(+/- 512 )",909,"(+/- 443 )",2840,"(+/- 1219 )",1480,"(+/- 965 )",770,"(+/- 581 )",1494,"(+/- 577 )",685,"(+/- 370 )",1591,"(+/- 720 )",242,"(+/- 193 )",244,"(+/- 259 )",251,"(+/- 217 )"
People,Ancestry,Dutch,4793,"(+/- 1331 )",3761,"(+/- 1740 )",4610,"(+/- 1766 )",2279,"(+/- 981 )",3465,"(+/- 929 )",6335,"(+/- 1740 )",5071,"(+/- 1604 )",3706,"(+/- 1425 )",8416,"(+/- 2018 )",5093,"(+/- 2204 )",8162,"(+/- 2109 )",4563,"(+/- 1510 )",2186,"(+/- 1254 )",4949,"(+/- 1636 )"
People,Ancestry,English,48618,"(+/- 5156 )",27423,"(+/- 3367 )",50294,"(+/- 5236 )",23352,"(+/- 3661 )",37089,"(+/- 4109 )",76038,"(+/- 5805 )",49855,"(+/- 5112 )",39480,"(+/- 5291 )",74723,"(+/- 6771 )",60184,"(+/- 5508 )",91154,"(+/- 7489 )",39787,"(+/- 4787 )",25148,"(+/- 3527 )",67283,"(+/- 5713 )"
People,Ancestry,"French (except Basque)",10276,"(+/- 1823 )",5386,"(+/- 1386 )",8268,"(+/- 1627 )",4273,"(+/- 1205 )",7618,"(+/- 1311 )",13071,"(+/- 1937 )",10701,"(+/- 2001 )",6051,"(+/- 1553 )",11228,"(+/- 2111 )",10806,"(+/- 2148 )",17631,"(+/- 4139 )",7391,"(+/- 2092 )",3403,"(+/- 1022 )",7495,"(+/- 1913 )"
People,Ancestry,"French Canadian",3932,"(+/- 1595 )",395,"(+/- 266 )",755,"(+/- 450 )",1137,"(+/- 715 )",639,"(+/- 374 )",2466,"(+/- 867 )",4728,"(+/- 3816 )",656,"(+/- 389 )",1636,"(+/- 650 )",1928,"(+/- 929 )",3573,"(+/- 1639 )",1438,"(+/- 829 )",383,"(+/- 412 )",1412,"(+/- 883 )"
People,Ancestry,German,48702,"(+/- 4355 )",26138,"(+/- 3566 )",44699,"(+/- 4609 )",22394,"(+/- 3367 )",32767,"(+/- 3826 )",69639,"(+/- 4691 )",52321,"(+/- 5600 )",35976,"(+/- 4433 )",65920,"(+/- 5356 )",57699,"(+/- 5096 )",76499,"(+/- 6338 )",37962,"(+/- 4759 )",23572,"(+/- 4012 )",43631,"(+/- 5453 )"
People,Ancestry,Greek,1341,"(+/- 626 )",700,"(+/- 488 )",860,"(+/- 573 )",1422,"(+/- 1159 )",1595,"(+/- 730 )",3550,"(+/- 1299 )",2613,"(+/- 1235 )",1221,"(+/- 781 )",2326,"(+/- 1219 )",1749,"(+/- 1136 )",2301,"(+/- 1265 )",881,"(+/- 657 )",835,"(+/- 679 )",1291,"(+/- 793 )"
People,Ancestry,Hungarian,1430,"(+/- 741 )",529,"(+/- 485 )",2292,"(+/- 1340 )",439,"(+/- 353 )",861,"(+/- 404 )",3483,"(+/- 1050 )",1372,"(+/- 651 )",951,"(+/- 704 )",946,"(+/- 428 )",822,"(+/- 472 )",2125,"(+/- 857 )",564,"(+/- 560 )",479,"(+/- 416 )",0,"(+/- 226 )"
People,Ancestry,Irish,60596,"(+/- 4940 )",32464,"(+/- 4589 )",49498,"(+/- 5681 )",26916,"(+/- 4648 )",32797,"(+/- 3514 )",64622,"(+/- 5254 )",50678,"(+/- 6327 )",41852,"(+/- 4896 )",77982,"(+/- 6134 )",61811,"(+/- 6583 )",74013,"(+/- 7001 )",45952,"(+/- 4838 )",26456,"(+/- 4879 )",63330,"(+/- 5464 )"
People,Ancestry,Italian,22530,"(+/- 3583 )",6998,"(+/- 1835 )",15015,"(+/- 2831 )",8558,"(+/- 1693 )",17517,"(+/- 2555 )",30681,"(+/- 3149 )",20009,"(+/- 3242 )",9226,"(+/- 2661 )",16936,"(+/- 2993 )",19682,"(+/- 4088 )",33204,"(+/- 4631 )",8087,"(+/- 1964 )",7848,"(+/- 1996 )",10483,"(+/- 2407 )"
People,Ancestry,Lithuanian,1556,"(+/- 1577 )",158,"(+/- 127 )",88,"(+/- 101 )",140,"(+/- 166 )",819,"(+/- 517 )",1019,"(+/- 481 )",891,"(+/- 871 )",140,"(+/- 184 )",708,"(+/- 416 )",550,"(+/- 345 )",1004,"(+/- 741 )",140,"(+/- 137 )",0,"(+/- 226 )",94,"(+/- 134 )"
People,Ancestry,Norwegian,2542,"(+/- 1110 )",1711,"(+/- 804 )",3679,"(+/- 1103 )",969,"(+/- 535 )",2938,"(+/- 1016 )",5068,"(+/- 1358 )",5275,"(+/- 1761 )",1337,"(+/- 629 )",4639,"(+/- 1383 )",2952,"(+/- 1166 )",3302,"(+/- 1346 )",2499,"(+/- 921 )",2227,"(+/- 1136 )",1628,"(+/- 1037 )"
People,Ancestry,Polish,10095,"(+/- 2408 )",3695,"(+/- 1128 )",6100,"(+/- 1675 )",4599,"(+/- 1326 )",8561,"(+/- 1575 )",16708,"(+/- 2354 )",13933,"(+/- 2820 )",3979,"(+/- 1203 )",7755,"(+/- 1863 )",6149,"(+/- 1824 )",12481,"(+/- 2860 )",5648,"(+/- 1668 )",3363,"(+/- 1229 )",5024,"(+/- 1690 )"
People,Ancestry,Portuguese,1700,"(+/- 707 )",128,"(+/- 121 )",732,"(+/- 471 )",391,"(+/- 380 )",1655,"(+/- 920 )",1741,"(+/- 1043 )",771,"(+/- 623 )",975,"(+/- 1016 )",579,"(+/- 431 )",1063,"(+/- 750 )",3791,"(+/- 2162 )",1175,"(+/- 642 )",399,"(+/- 336 )",211,"(+/- 160 )"
People,Ancestry,Russian,1733,"(+/- 718 )",1360,"(+/- 697 )",1599,"(+/- 674 )",1830,"(+/- 688 )",4816,"(+/- 1228 )",7363,"(+/- 1614 )",4183,"(+/- 1361 )",659,"(+/- 465 )",2283,"(+/- 1089 )",1164,"(+/- 854 )",3156,"(+/- 1210 )",1486,"(+/- 1012 )",914,"(+/- 479 )",1045,"(+/- 798 )"
People,Ancestry,Scotch-Irish,7200,"(+/- 1675 )",5045,"(+/- 1314 )",9154,"(+/- 2396 )",5422,"(+/- 1381 )",6113,"(+/- 1372 )",12836,"(+/- 2800 )",8263,"(+/- 2543 )",5060,"(+/- 1252 )",14796,"(+/- 2701 )",11766,"(+/- 1971 )",9244,"(+/- 2097 )",6355,"(+/- 1669 )",5190,"(+/- 1522 )",6896,"(+/- 1658 )"
People,Ancestry,Scottish,13393,"(+/- 2406 )",5413,"(+/- 1284 )",13562,"(+/- 2392 )",9314,"(+/- 2061 )",10173,"(+/- 2235 )",17492,"(+/- 2635 )",11645,"(+/- 2743 )",9332,"(+/- 2328 )",19725,"(+/- 3057 )",16235,"(+/- 2776 )",16417,"(+/- 3195 )",9461,"(+/- 2590 )",4512,"(+/- 1115 )",14332,"(+/- 3167 )"
People,Ancestry,Slovak,304,"(+/- 209 )",83,"(+/- 153 )",465,"(+/- 386 )",105,"(+/- 117 )",256,"(+/- 211 )",1373,"(+/- 1190 )",911,"(+/- 530 )",222,"(+/- 213 )",494,"(+/- 339 )",502,"(+/- 387 )",939,"(+/- 613 )",278,"(+/- 245 )",161,"(+/- 166 )",444,"(+/- 631 )"
