Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","18 years and over",551116,"(+/- 4988 )",529191,"(+/- 3607 )",534884,"(+/- 5088 )"
People,"Sex and Age","65 years and over",117458,"(+/- 2124 )",122410,"(+/- 2504 )",128612,"(+/- 2431 )"
People,Race,"Total population",697064,"(+/- 6962 )",700113,"(+/- 4803 )",698251,"(+/- 7202 )"
People,Race,"One race",666380,"(+/- 8260 )",684175,"(+/- 5636 )",677687,"(+/- 7037 )"
People,Race,White,550912,"(+/- 10350 )",585804,"(+/- 7327 )",463222,"(+/- 7540 )"
People,Race,"Black or African American",19749,"(+/- 2280 )",15287,"(+/- 2187 )",11028,"(+/- 1405 )"
People,Race,"American Indian and Alaska Native",29381,"(+/- 2348 )",39115,"(+/- 3168 )",132163,"(+/- 3315 )"
People,Race,Asian,18398,"(+/- 1487 )",5840,"(+/- 1611 )",9917,"(+/- 1320 )"
People,Race,"Native Hawaiian and Other Pacific Islander",176,"(+/- 252 )",690,"(+/- 773 )",1599,"(+/- 835 )"
People,Race,"Some other race",47764,"(+/- 7167 )",37439,"(+/- 5846 )",59758,"(+/- 5853 )"
People,Race,"Two or more races",30684,"(+/- 4251 )",15938,"(+/- 2718 )",20564,"(+/- 2413 )"
People,"Hispanic or Latino and Race","Total population",697064,"(+/- 6962 )",700113,"(+/- 4803 )",698251,"(+/- 7202 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",350078,"(+/- 5731 )",390187,"(+/- 4207 )",288964,"(+/- 5627 )"
People,"Hispanic or Latino and Race",Mexican,197239,"(+/- 11875 )",314323,"(+/- 7564 )",130393,"(+/- 7267 )"
People,"Hispanic or Latino and Race","Puerto Rican",4659,"(+/- 1687 )",1931,"(+/- 1070 )",3016,"(+/- 1695 )"
People,"Hispanic or Latino and Race",Cuban,1881,"(+/- 920 )",1930,"(+/- 1174 )",429,"(+/- 413 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",146299,"(+/- 12185 )",72003,"(+/- 7017 )",155126,"(+/- 6977 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",346986,"(+/- 5058 )",309926,"(+/- 3087 )",409287,"(+/- 5108 )"
People,"Place of Birth","Total population",697064,"(+/- 6962 )",700113,"(+/- 4803 )",698251,"(+/- 7202 )"
People,"Place of Birth",Native,625776,"(+/- 8989 )",617476,"(+/- 7868 )",653654,"(+/- 7553 )"
People,"Place of Birth","Born in United States",617268,"(+/- 9326 )",611235,"(+/- 7781 )",645770,"(+/- 7577 )"
People,"Place of Birth","State of residence",383810,"(+/- 10423 )",356500,"(+/- 8833 )",414741,"(+/- 9238 )"
People,"Place of Birth","Different state",233458,"(+/- 6772 )",254735,"(+/- 7867 )",231029,"(+/- 6427 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8508,"(+/- 1548 )",6241,"(+/- 1880 )",7884,"(+/- 1700 )"
People,"Place of Birth","Foreign born",71288,"(+/- 6591 )",82637,"(+/- 6241 )",44597,"(+/- 4139 )"
People,Ancestry,"Total population",697064,"(+/- 6962 )",700113,"(+/- 4803 )",698251,"(+/- 7202 )"
People,Ancestry,American,25116,"(+/- 3480 )",33014,"(+/- 4672 )",29773,"(+/- 4821 )"
People,Ancestry,Arab,2785,"(+/- 1084 )",2388,"(+/- 1915 )",1277,"(+/- 859 )"
People,Ancestry,Czech,2106,"(+/- 918 )",1011,"(+/- 618 )",1212,"(+/- 426 )"
People,Ancestry,Danish,3072,"(+/- 822 )",942,"(+/- 497 )",2354,"(+/- 960 )"
People,Ancestry,Dutch,6421,"(+/- 1424 )",4832,"(+/- 1276 )",4149,"(+/- 993 )"
People,Ancestry,English,52157,"(+/- 4285 )",32875,"(+/- 3798 )",45137,"(+/- 4693 )"
People,Ancestry,"French (except Basque)",13153,"(+/- 2786 )",7221,"(+/- 1760 )",10307,"(+/- 1665 )"
People,Ancestry,"French Canadian",1560,"(+/- 569 )",1604,"(+/- 837 )",3599,"(+/- 1547 )"
People,Ancestry,German,56758,"(+/- 4106 )",37543,"(+/- 4026 )",49816,"(+/- 4538 )"
People,Ancestry,Greek,2022,"(+/- 841 )",734,"(+/- 449 )",965,"(+/- 471 )"
People,Ancestry,Hungarian,1531,"(+/- 593 )",777,"(+/- 495 )",1226,"(+/- 667 )"
People,Ancestry,Irish,45881,"(+/- 4809 )",27085,"(+/- 2864 )",37604,"(+/- 3537 )"
People,Ancestry,Italian,20440,"(+/- 3597 )",10689,"(+/- 2239 )",14528,"(+/- 2113 )"
People,Ancestry,Lithuanian,624,"(+/- 325 )",112,"(+/- 115 )",416,"(+/- 300 )"
People,Ancestry,Norwegian,5784,"(+/- 967 )",3878,"(+/- 1430 )",5472,"(+/- 1237 )"
People,Ancestry,Polish,9213,"(+/- 1740 )",4614,"(+/- 1554 )",5544,"(+/- 1290 )"
People,Ancestry,Portuguese,1359,"(+/- 760 )",1114,"(+/- 731 )",1640,"(+/- 1087 )"
People,Ancestry,Russian,4297,"(+/- 1206 )",1369,"(+/- 613 )",2921,"(+/- 819 )"
People,Ancestry,Scotch-Irish,5363,"(+/- 1249 )",5368,"(+/- 1272 )",4991,"(+/- 1217 )"
People,Ancestry,Scottish,10045,"(+/- 1821 )",7296,"(+/- 1841 )",10735,"(+/- 2205 )"
People,Ancestry,Slovak,596,"(+/- 353 )",58,"(+/- 76 )",389,"(+/- 281 )"
People,Ancestry,"Subsaharan African",3552,"(+/- 1888 )",1575,"(+/- 1273 )",1868,"(+/- 938 )"
People,Ancestry,Swedish,5098,"(+/- 1233 )",3141,"(+/- 1558 )",4392,"(+/- 809 )"
People,Ancestry,Swiss,1458,"(+/- 656 )",1217,"(+/- 757 )",840,"(+/- 365 )"
People,Ancestry,Ukrainian,1325,"(+/- 823 )",187,"(+/- 213 )",1843,"(+/- 861 )"
People,Ancestry,Welsh,3457,"(+/- 1028 )",2328,"(+/- 813 )",1683,"(+/- 613 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",388,"(+/- 287 )",560,"(+/- 467 )",834,"(+/- 607 )"
People,"Veteran Status","Civilian population 18 years and over",548349,"(+/- 5029 )",525745,"(+/- 3534 )",531792,"(+/- 5085 )"
People,"Veteran Status","Civilian veterans",50481,"(+/- 2690 )",48963,"(+/- 3758 )",46703,"(+/- 2877 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",689537,"(+/- 7189 )",682014,"(+/- 5464 )",689167,"(+/- 7539 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",98260,"(+/- 4886 )",123258,"(+/- 6925 )",105062,"(+/- 5752 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",145629,"(+/- 3318 )",170585,"(+/- 2592 )",162951,"(+/- 3668 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5766,"(+/- 1668 )",9715,"(+/- 1849 )",6698,"(+/- 1368 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",427987,"(+/- 5069 )",391246,"(+/- 4042 )",399079,"(+/- 5035 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",49615,"(+/- 3897 )",60838,"(+/- 5191 )",48805,"(+/- 3632 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",115921,"(+/- 2173 )",120183,"(+/- 2524 )",127137,"(+/- 2475 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42879,"(+/- 2815 )",52705,"(+/- 3135 )",49559,"(+/- 3051 )"
People,"Residence 1 Year Ago","Population 1 year and over",689411,"(+/- 7143 )",691957,"(+/- 5010 )",691178,"(+/- 7078 )"
People,"Residence 1 Year Ago","Same house",588706,"(+/- 12159 )",594952,"(+/- 10134 )",614176,"(+/- 9559 )"
People,"Residence 1 Year Ago","Different house in the U.S.",96049,"(+/- 10098 )",93104,"(+/- 7985 )",75014,"(+/- 6548 )"
People,"Residence 1 Year Ago","Same county",59319,"(+/- 7479 )",52560,"(+/- 6954 )",44418,"(+/- 5334 )"
People,"Residence 1 Year Ago","Different county",36730,"(+/- 5592 )",40544,"(+/- 4610 )",30596,"(+/- 3721 )"
People,"Residence 1 Year Ago","Same state",15028,"(+/- 4249 )",20171,"(+/- 3423 )",12603,"(+/- 2545 )"
People,"Residence 1 Year Ago","Different state",21702,"(+/- 3795 )",20373,"(+/- 4053 )",17993,"(+/- 2613 )"
People,"Residence 1 Year Ago",Abroad,4656,"(+/- 2091 )",3901,"(+/- 1589 )",1988,"(+/- 758 )"
Workers,"Employment Status","Population 16 years and over",568396,"(+/- 5391 )",548863,"(+/- 4041 )",556519,"(+/- 5494 )"
Workers,"Employment Status","In labor force",345904,"(+/- 5697 )",288220,"(+/- 5644 )",307135,"(+/- 7076 )"
Workers,"Employment Status","Civilian labor force",343137,"(+/- 5744 )",284774,"(+/- 5679 )",304043,"(+/- 7101 )"
Workers,"Employment Status",Employed,323869,"(+/- 5854 )",267816,"(+/- 6060 )",283466,"(+/- 6778 )"
Workers,"Employment Status",Unemployed,19268,"(+/- 2887 )",16958,"(+/- 2042 )",20577,"(+/- 2319 )"
Workers,"Employment Status","Armed Forces",2767,"(+/- 825 )",3446,"(+/- 935 )",3092,"(+/- 905 )"
Workers,"Employment Status","Not in labor force",222492,"(+/- 6042 )",260643,"(+/- 6363 )",249384,"(+/- 6012 )"
Workers,"Employment Status","Civilian labor force",343137,"(+/- 5744 )",284774,"(+/- 5679 )",304043,"(+/- 7101 )"
Workers,"Employment Status","Unemployment Rate",5.6,"(+/- 0.8 )",6.0,"(+/- 0.7 )",6.8,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",322822,"(+/- 5895 )",268642,"(+/- 6018 )",283567,"(+/- 6725 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",255097,"(+/- 6390 )",218722,"(+/- 6037 )",220326,"(+/- 6739 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34001,"(+/- 3662 )",26477,"(+/- 3130 )",37130,"(+/- 3954 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",5523,"(+/- 1920 )",1987,"(+/- 833 )",2023,"(+/- 789 )"
Workers,"Commuting to Work",Walked,4857,"(+/- 1109 )",5638,"(+/- 1561 )",5191,"(+/- 1104 )"
Workers,"Commuting to Work","Other means",6150,"(+/- 1370 )",3559,"(+/- 961 )",3727,"(+/- 1018 )"
Workers,"Commuting to Work","Worked at home",17194,"(+/- 2620 )",12259,"(+/- 2183 )",15170,"(+/- 1835 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.4,"(+/- 0.7 )",21.4,"(+/- 0.9 )",24.0,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",323869,"(+/- 5854 )",267816,"(+/- 6060 )",283466,"(+/- 6778 )"
Workers,Occupation,"Management, business, science, and arts occupations",129350,"(+/- 5255 )",84019,"(+/- 5209 )",102018,"(+/- 4537 )"
Workers,Occupation,"Service occupations",65601,"(+/- 5067 )",56186,"(+/- 3957 )",54521,"(+/- 3288 )"
Workers,Occupation,"Sales and office occupations",72102,"(+/- 4659 )",59916,"(+/- 4273 )",66841,"(+/- 4455 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30371,"(+/- 3465 )",37237,"(+/- 3559 )",33321,"(+/- 3328 )"
Workers,Occupation,"Production, transportation, and material moving occupations",26445,"(+/- 3189 )",30458,"(+/- 3119 )",26765,"(+/- 2920 )"
Workers,Industry,"Civilian employed population 16 years and over",323869,"(+/- 5854 )",267816,"(+/- 6060 )",283466,"(+/- 6778 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4431,"(+/- 1071 )",21698,"(+/- 2632 )",12624,"(+/- 1836 )"
Workers,Industry,Construction,22870,"(+/- 3631 )",20876,"(+/- 2948 )",20749,"(+/- 2993 )"
Workers,Industry,Manufacturing,13028,"(+/- 1953 )",11343,"(+/- 1800 )",10897,"(+/- 1581 )"
Workers,Industry,"Wholesale trade",6753,"(+/- 1400 )",5660,"(+/- 1359 )",3447,"(+/- 872 )"
Workers,Industry,"Retail trade",33400,"(+/- 3097 )",30587,"(+/- 3378 )",36830,"(+/- 3396 )"
Workers,Industry,"Transportation and warehousing, and utilities",10394,"(+/- 1475 )",13646,"(+/- 2374 )",11666,"(+/- 2185 )"
Workers,Industry,Information,7043,"(+/- 1481 )",2308,"(+/- 820 )",2735,"(+/- 890 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",17353,"(+/- 2573 )",13307,"(+/- 2060 )",10570,"(+/- 1603 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",49506,"(+/- 3605 )",24171,"(+/- 3052 )",34630,"(+/- 3456 )"
Workers,Industry,"Educational services, and health care and social assistance",81491,"(+/- 4298 )",63858,"(+/- 4246 )",65680,"(+/- 4243 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",37774,"(+/- 4301 )",27551,"(+/- 3017 )",33568,"(+/- 2994 )"
Workers,Industry,"Other services, except public administration",16532,"(+/- 2495 )",13487,"(+/- 2364 )",16438,"(+/- 2694 )"
Workers,Industry,"Public administration",23294,"(+/- 2673 )",19324,"(+/- 3016 )",23632,"(+/- 2508 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",323869,"(+/- 5854 )",267816,"(+/- 6060 )",283466,"(+/- 6778 )"
Workers,"Class of Worker","Private wage and salary workers",237928,"(+/- 6722 )",193840,"(+/- 6546 )",195885,"(+/- 6325 )"
Workers,"Class of Worker","Government workers",64209,"(+/- 3938 )",54308,"(+/- 4233 )",67619,"(+/- 4182 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",21132,"(+/- 2851 )",18905,"(+/- 2744 )",19489,"(+/- 2389 )"
Workers,"Class of Worker","Unpaid family workers",600,"(+/- 328 )",763,"(+/- 452 )",473,"(+/- 322 )"
Housing,"Housing Occupancy","Total housing units",305436,"(+/- 2244 )",317171,"(+/- 2037 )",320625,"(+/- 2477 )"
Housing,"Housing Occupancy","Occupied housing units",278769,"(+/- 4006 )",256162,"(+/- 3446 )",259162,"(+/- 4007 )"
Housing,"Housing Occupancy","Vacant housing units",26667,"(+/- 3716 )",61009,"(+/- 2959 )",61463,"(+/- 3277 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,"(+/- 0.6 )",2.2,"(+/- 0.6 )",2.1,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",9.7,"(+/- 1.8 )",7.1,"(+/- 1.6 )",7.7,"(+/- 1.7 )"
Housing,"Housing Tenure","Occupied housing units",278769,"(+/- 4006 )",256162,"(+/- 3446 )",259162,"(+/- 4007 )"
Housing,"Housing Tenure",Owner-occupied,172558,"(+/- 4466 )",169510,"(+/- 4491 )",183281,"(+/- 4086 )"
Housing,"Housing Tenure",Renter-occupied,106211,"(+/- 4280 )",86652,"(+/- 4170 )",75881,"(+/- 3530 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.58,"(+/- 0.06 )",2.74,"(+/- 0.05 )",2.64,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.28,"(+/- 0.07 )",2.47,"(+/- 0.09 )",2.67,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",278769,"(+/- 4006 )",256162,"(+/- 3446 )",259162,"(+/- 4007 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",53693,"(+/- 4319 )",45761,"(+/- 3470 )",38328,"(+/- 2600 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",47327,"(+/- 3242 )",38211,"(+/- 3269 )",38556,"(+/- 3037 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",47444,"(+/- 3617 )",42391,"(+/- 3347 )",41570,"(+/- 3066 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",63960,"(+/- 3734 )",63176,"(+/- 3713 )",65807,"(+/- 3704 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",34438,"(+/- 2730 )",28870,"(+/- 2325 )",35136,"(+/- 2432 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",31907,"(+/- 2002 )",37753,"(+/- 3316 )",39765,"(+/- 2666 )"
Housing,Value,"Owner-occupied units",172558,"(+/- 4466 )",169510,"(+/- 4491 )",183281,"(+/- 4086 )"
Housing,Value,"Less than $50,000",9673,"(+/- 1553 )",24776,"(+/- 2523 )",23173,"(+/- 2160 )"
Housing,Value,"$50,000 to $99,999",9615,"(+/- 1648 )",36174,"(+/- 3099 )",19961,"(+/- 1954 )"
Housing,Value,"$100,000 to $149,999",27806,"(+/- 2535 )",34051,"(+/- 3072 )",21623,"(+/- 1904 )"
Housing,Value,"$150,000 to $199,999",37531,"(+/- 2540 )",29697,"(+/- 2592 )",30444,"(+/- 2537 )"
Housing,Value,"$200,000 to $299,999",46072,"(+/- 3124 )",23790,"(+/- 2485 )",43258,"(+/- 3310 )"
Housing,Value,"$300,000 to $499,999",30560,"(+/- 2302 )",16664,"(+/- 2329 )",25701,"(+/- 2139 )"
Housing,Value,"$500,000 to $999,999",10074,"(+/- 1205 )",2767,"(+/- 862 )",14207,"(+/- 1482 )"
Housing,Value,"$1,000,000 or more",1227,"(+/- 409 )",1591,"(+/- 606 )",4914,"(+/- 977 )"
Housing,Value,"Median (dollars)",203000,"(+/- 5200 )",131600,"(+/- 5413 )",193300,"(+/- 5421 )"
Housing,"Mortgage Status","Owner-occupied units",172558,"(+/- 4466 )",169510,"(+/- 4491 )",183281,"(+/- 4086 )"
Housing,"Mortgage Status","Housing units with a mortgage",105023,"(+/- 4079 )",80305,"(+/- 3904 )",94497,"(+/- 3385 )"
Housing,"Mortgage Status","Housing units without a mortgage",67535,"(+/- 3479 )",89205,"(+/- 3884 )",88784,"(+/- 3084 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",105023,"(+/- 4079 )",80305,"(+/- 3904 )",94497,"(+/- 3385 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1859,"(+/- 730 )",4051,"(+/- 1321 )",1913,"(+/- 582 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",24884,"(+/- 2433 )",29095,"(+/- 2519 )",22352,"(+/- 1969 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",41388,"(+/- 3120 )",30605,"(+/- 3143 )",34246,"(+/- 2846 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19823,"(+/- 2406 )",11100,"(+/- 1620 )",19216,"(+/- 2223 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",8521,"(+/- 1371 )",2674,"(+/- 782 )",9236,"(+/- 1532 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4163,"(+/- 1032 )",1229,"(+/- 459 )",3964,"(+/- 889 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4385,"(+/- 918 )",1551,"(+/- 627 )",3570,"(+/- 681 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1296,"(+/- 34 )",1093,"(+/- 29 )",1322,"(+/- 31 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",67535,"(+/- 3479 )",89205,"(+/- 3884 )",88784,"(+/- 3084 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",9114,"(+/- 1791 )",29931,"(+/- 2697 )",29316,"(+/- 1982 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",21882,"(+/- 1836 )",34443,"(+/- 2611 )",28346,"(+/- 2158 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22253,"(+/- 2310 )",17714,"(+/- 1681 )",20465,"(+/- 1905 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8963,"(+/- 1466 )",4222,"(+/- 1033 )",6209,"(+/- 1002 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3323,"(+/- 886 )",1659,"(+/- 694 )",2239,"(+/- 631 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2000,"(+/- 599 )",1236,"(+/- 675 )",2209,"(+/- 783 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",422,"(+/- 16 )",307,"(+/- 8 )",328,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",100697,"(+/- 4024 )",76520,"(+/- 4021 )",65281,"(+/- 3517 )"
Housing,"Gross Rent","Less than $500",9363,"(+/- 1653 )",16959,"(+/- 2028 )",9692,"(+/- 1578 )"
Housing,"Gross Rent","$500 to $999",54738,"(+/- 3410 )",41309,"(+/- 3431 )",28813,"(+/- 2415 )"
Housing,"Gross Rent","$1,000 to $1,499",30000,"(+/- 2936 )",14904,"(+/- 2282 )",20411,"(+/- 2637 )"
Housing,"Gross Rent","$1,500 to $1,999",5296,"(+/- 1259 )",2885,"(+/- 1059 )",4872,"(+/- 1212 )"
Housing,"Gross Rent","$2,000 to $2,499",732,"(+/- 478 )",463,"(+/- 425 )",832,"(+/- 311 )"
Housing,"Gross Rent","$2,500 to $2,999",224,"(+/- 307 )",0,"(+/- 201 )",388,"(+/- 246 )"
Housing,"Gross Rent","$3,000 or more",344,"(+/- 245 )",0,"(+/- 201 )",273,"(+/- 203 )"
Housing,"Gross Rent","Median (dollars)",864,"(+/- 19 )",723,"(+/- 29 )",898,"(+/- 31 )"
Housing,"Gross Rent","No rent paid",5514,"(+/- 1331 )",10132,"(+/- 1792 )",10600,"(+/- 1244 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",278769,"(+/- 4006 )",256162,"(+/- 3446 )",259162,"(+/- 4007 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",25070,"(+/- 2900 )",25382,"(+/- 2982 )",26495,"(+/- 2365 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",15377,"(+/- 2342 )",21088,"(+/- 2774 )",13590,"(+/- 1671 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",29630,"(+/- 2801 )",37311,"(+/- 3863 )",26445,"(+/- 2434 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",30755,"(+/- 2736 )",30106,"(+/- 2945 )",26193,"(+/- 1987 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",36871,"(+/- 2867 )",32382,"(+/- 3082 )",38881,"(+/- 3124 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",48069,"(+/- 3151 )",42346,"(+/- 3472 )",47457,"(+/- 3068 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",29976,"(+/- 2645 )",26526,"(+/- 2541 )",29096,"(+/- 2570 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",36428,"(+/- 2633 )",24782,"(+/- 2578 )",29485,"(+/- 2574 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",12140,"(+/- 1588 )",10148,"(+/- 1894 )",11440,"(+/- 1390 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",14453,"(+/- 1614 )",6091,"(+/- 1313 )",10080,"(+/- 1271 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",50650,"(+/- 1626 )",41569,"(+/- 1583 )",49030,"(+/- 1544 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",72613,"(+/- 2550 )",58999,"(+/- 2222 )",68111,"(+/- 1640 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",689537,"(+/- 7189 )",682014,"(+/- 5464 )",689167,"(+/- 7539 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",626555,"(+/- 9970 )",619738,"(+/- 8553 )",618175,"(+/- 9384 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",403352,"(+/- 11817 )",343647,"(+/- 11466 )",372101,"(+/- 11277 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",310949,"(+/- 9014 )",368913,"(+/- 10618 )",338428,"(+/- 10496 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",62982,"(+/- 6923 )",62276,"(+/- 6349 )",70992,"(+/- 5336 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",154449,"(+/- 3738 )",183307,"(+/- 3382 )",172889,"(+/- 3728 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6041,"(+/- 2062 )",10103,"(+/- 2174 )",10665,"(+/- 2086 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",12.2,"(+/- 1.3 )",17.6,"(+/- 1.7 )",15.4,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",21.3,"(+/- 2.9 )",24.5,"(+/- 2.6 )",23.6,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",18.4,"(+/- 5.3 )",22.4,"(+/- 7.2 )",29.3,"(+/- 7.0 )"
