Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,Race,"American Indian and Alaska Native",822,"(+/- 520 )",2140,"(+/- 571 )",745,"(+/- 619 )",648,"(+/- 563 )",2251,"(+/- 881 )",2515,"(+/- 1321 )",871,"(+/- 440 )",5422,"(+/- 4169 )",1710,"(+/- 1009 )",1661,"(+/- 1352 )",621,"(+/- 436 )",1725,"(+/- 1381 )"
People,Race,Asian,40308,"(+/- 1355 )",26713,"(+/- 1529 )",26661,"(+/- 2683 )",38402,"(+/- 4071 )",79469,"(+/- 5875 )",135462,"(+/- 6354 )",83376,"(+/- 4879 )",76486,"(+/- 4992 )",102269,"(+/- 6566 )",54128,"(+/- 4868 )",77937,"(+/- 4653 )",127002,"(+/- 6610 )"
People,Race,"Native Hawaiian and Other Pacific Islander",63,"(+/- 105 )",255,"(+/- 233 )",603,"(+/- 957 )",92,"(+/- 155 )",0,"(+/- 210 )",385,"(+/- 599 )",126,"(+/- 195 )",0,"(+/- 210 )",536,"(+/- 398 )",241,"(+/- 408 )",266,"(+/- 206 )",342,"(+/- 423 )"
People,Race,"Some other race",50696,"(+/- 5625 )",42124,"(+/- 4955 )",20144,"(+/- 6332 )",12716,"(+/- 4165 )",12348,"(+/- 2949 )",35906,"(+/- 6157 )",19338,"(+/- 4671 )",169696,"(+/- 14665 )",112714,"(+/- 9191 )",75887,"(+/- 8629 )",12989,"(+/- 3243 )",39776,"(+/- 7762 )"
People,Race,"Two or more races",22886,"(+/- 4088 )",22859,"(+/- 4232 )",22937,"(+/- 3894 )",10738,"(+/- 2829 )",19883,"(+/- 4025 )",21865,"(+/- 4325 )",17269,"(+/- 4135 )",29664,"(+/- 4872 )",20233,"(+/- 3813 )",18189,"(+/- 2907 )",16343,"(+/- 3022 )",24533,"(+/- 4989 )"
People,"Hispanic or Latino and Race","Total population",731297,"(+/- 6231 )",703117,"(+/- 6391 )",742905,"(+/- 4922 )",748858,"(+/- 7391 )",730707,"(+/- 10489 )",730114,"(+/- 8567 )",730778,"(+/- 10633 )",764837,"(+/- 12592 )",765382,"(+/- 10934 )",759704,"(+/- 12592 )",744805,"(+/- 10897 )",756016,"(+/- 7657 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",105997,"(+/- 1491 )",115945,"(+/- 1311 )",66367,"(+/- 4639 )",76789,"(+/- 7190 )",106341,"(+/- 6260 )",165414,"(+/- 7876 )",93377,"(+/- 6979 )",424366,"(+/- 12550 )",295861,"(+/- 8987 )",160348,"(+/- 12108 )",91285,"(+/- 6174 )",137269,"(+/- 10928 )"
People,"Hispanic or Latino and Race",Mexican,18003,"(+/- 4354 )",30897,"(+/- 4195 )",9057,"(+/- 3933 )",17287,"(+/- 4575 )",5570,"(+/- 3050 )",24148,"(+/- 5028 )",7950,"(+/- 2868 )",25748,"(+/- 5574 )",36147,"(+/- 6288 )",8149,"(+/- 3055 )",5169,"(+/- 2361 )",23129,"(+/- 7092 )"
People,"Hispanic or Latino and Race","Puerto Rican",57290,"(+/- 5349 )",54296,"(+/- 4973 )",29121,"(+/- 4025 )",26737,"(+/- 5117 )",22799,"(+/- 4665 )",47613,"(+/- 5801 )",15514,"(+/- 3873 )",73378,"(+/- 8399 )",53055,"(+/- 6441 )",53091,"(+/- 8547 )",24321,"(+/- 5052 )",30966,"(+/- 4548 )"
People,"Hispanic or Latino and Race",Cuban,2078,"(+/- 961 )",1534,"(+/- 752 )",3884,"(+/- 1646 )",4109,"(+/- 1798 )",10001,"(+/- 2444 )",5379,"(+/- 2273 )",8776,"(+/- 3106 )",32942,"(+/- 5107 )",11234,"(+/- 2792 )",5047,"(+/- 1777 )",7766,"(+/- 2791 )",4586,"(+/- 1678 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",28626,"(+/- 4769 )",29218,"(+/- 4099 )",24305,"(+/- 4226 )",28656,"(+/- 6430 )",67971,"(+/- 6319 )",88274,"(+/- 7205 )",61137,"(+/- 6373 )",292298,"(+/- 12264 )",195425,"(+/- 10725 )",94061,"(+/- 9974 )",54029,"(+/- 6353 )",78588,"(+/- 9081 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",625300,"(+/- 5915 )",587172,"(+/- 6333 )",676538,"(+/- 6533 )",672069,"(+/- 9466 )",624366,"(+/- 10729 )",564700,"(+/- 8721 )",637401,"(+/- 10015 )",340471,"(+/- 9172 )",469521,"(+/- 11321 )",599356,"(+/- 9711 )",653520,"(+/- 10452 )",618747,"(+/- 11179 )"
People,"Place of Birth","Total population",731297,"(+/- 6231 )",703117,"(+/- 6391 )",742905,"(+/- 4922 )",748858,"(+/- 7391 )",730707,"(+/- 10489 )",730114,"(+/- 8567 )",730778,"(+/- 10633 )",764837,"(+/- 12592 )",765382,"(+/- 10934 )",759704,"(+/- 12592 )",744805,"(+/- 10897 )",756016,"(+/- 7657 )"
People,"Place of Birth",Native,658413,"(+/- 8211 )",631283,"(+/- 8308 )",677339,"(+/- 6352 )",654626,"(+/- 10095 )",580852,"(+/- 11138 )",516922,"(+/- 10146 )",593231,"(+/- 10780 )",421133,"(+/- 11587 )",463878,"(+/- 11340 )",528426,"(+/- 13704 )",602098,"(+/- 10103 )",547027,"(+/- 10014 )"
People,"Place of Birth","Born in United States",637855,"(+/- 8874 )",610381,"(+/- 8405 )",666357,"(+/- 6446 )",640714,"(+/- 9676 )",571411,"(+/- 10943 )",499273,"(+/- 10074 )",581149,"(+/- 10351 )",383761,"(+/- 10875 )",437977,"(+/- 11130 )",504074,"(+/- 13059 )",593425,"(+/- 10140 )",531302,"(+/- 9780 )"
People,"Place of Birth","State of residence",400779,"(+/- 8866 )",431079,"(+/- 10125 )",458955,"(+/- 8036 )",433107,"(+/- 10659 )",378444,"(+/- 10356 )",366166,"(+/- 9504 )",404029,"(+/- 11415 )",266935,"(+/- 10295 )",323474,"(+/- 10266 )",359201,"(+/- 12415 )",435266,"(+/- 11340 )",359941,"(+/- 10231 )"
People,"Place of Birth","Different state",237076,"(+/- 8996 )",179302,"(+/- 7684 )",207402,"(+/- 7620 )",207607,"(+/- 9124 )",192967,"(+/- 8321 )",133107,"(+/- 5884 )",177120,"(+/- 7059 )",116826,"(+/- 5268 )",114503,"(+/- 6861 )",144873,"(+/- 7672 )",158159,"(+/- 6999 )",171361,"(+/- 7336 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",20558,"(+/- 2949 )",20902,"(+/- 2763 )",10982,"(+/- 1511 )",13912,"(+/- 2757 )",9441,"(+/- 1574 )",17649,"(+/- 2720 )",12082,"(+/- 2959 )",37372,"(+/- 4251 )",25901,"(+/- 3313 )",24352,"(+/- 3339 )",8673,"(+/- 1399 )",15725,"(+/- 3235 )"
People,"Place of Birth","Foreign born",72884,"(+/- 5162 )",71834,"(+/- 5385 )",65566,"(+/- 4713 )",94232,"(+/- 7074 )",149855,"(+/- 7921 )",213192,"(+/- 7541 )",137547,"(+/- 6363 )",343704,"(+/- 10014 )",301504,"(+/- 10618 )",231278,"(+/- 10316 )",142707,"(+/- 6607 )",208989,"(+/- 9654 )"
People,Ancestry,"Total population",731297,"(+/- 6231 )",703117,"(+/- 6391 )",742905,"(+/- 4922 )",748858,"(+/- 7391 )",730707,"(+/- 10489 )",730114,"(+/- 8567 )",730778,"(+/- 10633 )",764837,"(+/- 12592 )",765382,"(+/- 10934 )",759704,"(+/- 12592 )",744805,"(+/- 10897 )",756016,"(+/- 7657 )"
People,Ancestry,American,20053,"(+/- 3647 )",19261,"(+/- 2853 )",19676,"(+/- 3540 )",32483,"(+/- 4843 )",19552,"(+/- 2826 )",29235,"(+/- 4202 )",26871,"(+/- 4739 )",16092,"(+/- 2693 )",14355,"(+/- 2899 )",30495,"(+/- 4680 )",22797,"(+/- 3029 )",18653,"(+/- 2945 )"
People,Ancestry,Arab,2046,"(+/- 1344 )",3630,"(+/- 2222 )",2992,"(+/- 1084 )",7397,"(+/- 2725 )",8664,"(+/- 2460 )",12151,"(+/- 2840 )",6200,"(+/- 2768 )",8843,"(+/- 2855 )",15519,"(+/- 4151 )",12033,"(+/- 3882 )",12656,"(+/- 3478 )",11878,"(+/- 3782 )"
People,Ancestry,Czech,1146,"(+/- 604 )",965,"(+/- 580 )",3156,"(+/- 1291 )",1689,"(+/- 564 )",2499,"(+/- 938 )",1467,"(+/- 713 )",2260,"(+/- 814 )",692,"(+/- 328 )",1218,"(+/- 826 )",901,"(+/- 467 )",2176,"(+/- 1011 )",1313,"(+/- 634 )"
People,Ancestry,Danish,575,"(+/- 375 )",701,"(+/- 413 )",1816,"(+/- 722 )",1841,"(+/- 807 )",1845,"(+/- 818 )",1311,"(+/- 590 )",1942,"(+/- 960 )",240,"(+/- 183 )",242,"(+/- 270 )",398,"(+/- 446 )",2529,"(+/- 1103 )",1315,"(+/- 610 )"
People,Ancestry,Dutch,4888,"(+/- 1176 )",6122,"(+/- 1019 )",9324,"(+/- 1649 )",7080,"(+/- 1760 )",15561,"(+/- 3396 )",3457,"(+/- 1115 )",10848,"(+/- 2326 )",2110,"(+/- 703 )",4806,"(+/- 1288 )",1273,"(+/- 515 )",13240,"(+/- 1950 )",5492,"(+/- 1931 )"
People,Ancestry,English,49176,"(+/- 4790 )",55304,"(+/- 4493 )",54906,"(+/- 4489 )",45463,"(+/- 4570 )",42048,"(+/- 4451 )",19947,"(+/- 2889 )",46364,"(+/- 4319 )",8077,"(+/- 1421 )",9882,"(+/- 2347 )",8189,"(+/- 1833 )",39894,"(+/- 4099 )",26498,"(+/- 3230 )"
People,Ancestry,"French (except Basque)",7121,"(+/- 1437 )",10314,"(+/- 1735 )",13485,"(+/- 2594 )",10486,"(+/- 1810 )",10711,"(+/- 2389 )",5627,"(+/- 1418 )",10511,"(+/- 2111 )",3684,"(+/- 1196 )",3717,"(+/- 933 )",2170,"(+/- 856 )",10428,"(+/- 1862 )",5335,"(+/- 1262 )"
People,Ancestry,"French Canadian",1606,"(+/- 573 )",3522,"(+/- 1671 )",2470,"(+/- 922 )",2038,"(+/- 801 )",2146,"(+/- 666 )",1193,"(+/- 526 )",2666,"(+/- 996 )",481,"(+/- 345 )",1282,"(+/- 940 )",435,"(+/- 333 )",1944,"(+/- 742 )",1330,"(+/- 543 )"
People,Ancestry,German,96960,"(+/- 6471 )",103465,"(+/- 7216 )",128512,"(+/- 7948 )",91072,"(+/- 5874 )",97338,"(+/- 8101 )",47524,"(+/- 3996 )",93353,"(+/- 6058 )",16928,"(+/- 2499 )",32475,"(+/- 4278 )",20182,"(+/- 3166 )",86230,"(+/- 6792 )",51572,"(+/- 4850 )"
People,Ancestry,Greek,4185,"(+/- 1969 )",3087,"(+/- 1213 )",6631,"(+/- 2019 )",4838,"(+/- 1723 )",8826,"(+/- 2027 )",3066,"(+/- 1043 )",9022,"(+/- 2641 )",2849,"(+/- 1233 )",6025,"(+/- 1899 )",2317,"(+/- 1466 )",7086,"(+/- 2075 )",4326,"(+/- 1457 )"
People,Ancestry,Hungarian,3695,"(+/- 1328 )",4640,"(+/- 1260 )",10807,"(+/- 2206 )",13000,"(+/- 2250 )",8230,"(+/- 1373 )",10606,"(+/- 2489 )",13105,"(+/- 2188 )",2155,"(+/- 1022 )",3544,"(+/- 1083 )",1541,"(+/- 501 )",7666,"(+/- 2103 )",11378,"(+/- 2133 )"
People,Ancestry,Irish,147667,"(+/- 7193 )",127184,"(+/- 6072 )",151380,"(+/- 8788 )",148231,"(+/- 7553 )",116797,"(+/- 6768 )",70837,"(+/- 5537 )",112454,"(+/- 6719 )",31422,"(+/- 3198 )",42871,"(+/- 4359 )",26978,"(+/- 3362 )",121711,"(+/- 7398 )",73476,"(+/- 5650 )"
People,Ancestry,Italian,126215,"(+/- 7326 )",124992,"(+/- 6844 )",162841,"(+/- 7629 )",157838,"(+/- 8423 )",136801,"(+/- 7925 )",89138,"(+/- 5745 )",126890,"(+/- 7535 )",43097,"(+/- 3694 )",78135,"(+/- 6475 )",31398,"(+/- 4051 )",170280,"(+/- 8832 )",85792,"(+/- 7164 )"
People,Ancestry,Lithuanian,3072,"(+/- 1155 )",2494,"(+/- 718 )",5090,"(+/- 1931 )",4018,"(+/- 1327 )",2420,"(+/- 926 )",1425,"(+/- 563 )",4148,"(+/- 2136 )",1441,"(+/- 851 )",949,"(+/- 511 )",418,"(+/- 225 )",3172,"(+/- 1312 )",1513,"(+/- 508 )"
People,Ancestry,Norwegian,3680,"(+/- 2192 )",3313,"(+/- 1386 )",5050,"(+/- 1460 )",4273,"(+/- 1298 )",3449,"(+/- 1044 )",1463,"(+/- 576 )",6334,"(+/- 2109 )",1296,"(+/- 556 )",817,"(+/- 539 )",897,"(+/- 401 )",4528,"(+/- 1289 )",2775,"(+/- 1044 )"
People,Ancestry,Polish,37204,"(+/- 3773 )",33207,"(+/- 3762 )",52016,"(+/- 4395 )",56626,"(+/- 6036 )",40676,"(+/- 4348 )",41649,"(+/- 4039 )",51941,"(+/- 4186 )",15998,"(+/- 2616 )",36661,"(+/- 4372 )",16340,"(+/- 2732 )",50291,"(+/- 4409 )",38335,"(+/- 4465 )"
People,Ancestry,Portuguese,1420,"(+/- 774 )",1666,"(+/- 1074 )",3583,"(+/- 1292 )",2660,"(+/- 1411 )",4888,"(+/- 1885 )",8051,"(+/- 2381 )",10491,"(+/- 3331 )",13701,"(+/- 2854 )",5314,"(+/- 1654 )",8786,"(+/- 2373 )",4422,"(+/- 1230 )",5605,"(+/- 2604 )"
People,Ancestry,Russian,11655,"(+/- 2275 )",6840,"(+/- 2081 )",10108,"(+/- 2228 )",21674,"(+/- 4456 )",22004,"(+/- 3415 )",11830,"(+/- 2174 )",19129,"(+/- 3834 )",7220,"(+/- 2002 )",7924,"(+/- 1727 )",5255,"(+/- 1381 )",21306,"(+/- 2996 )",15685,"(+/- 3061 )"
People,Ancestry,Scotch-Irish,4115,"(+/- 1087 )",4732,"(+/- 1295 )",3737,"(+/- 897 )",3919,"(+/- 1265 )",2754,"(+/- 875 )",1827,"(+/- 712 )",2950,"(+/- 853 )",851,"(+/- 465 )",1224,"(+/- 574 )",1210,"(+/- 721 )",4840,"(+/- 1313 )",1728,"(+/- 713 )"
People,Ancestry,Scottish,6937,"(+/- 1422 )",8272,"(+/- 1817 )",11557,"(+/- 2069 )",10450,"(+/- 2057 )",8506,"(+/- 1637 )",4850,"(+/- 1274 )",12658,"(+/- 2600 )",2652,"(+/- 884 )",2264,"(+/- 601 )",2127,"(+/- 912 )",11516,"(+/- 2821 )",4809,"(+/- 1085 )"
People,Ancestry,Slovak,1964,"(+/- 916 )",1555,"(+/- 525 )",4556,"(+/- 1321 )",4182,"(+/- 1028 )",2030,"(+/- 738 )",3105,"(+/- 903 )",4049,"(+/- 1303 )",634,"(+/- 489 )",2811,"(+/- 1333 )",692,"(+/- 360 )",4689,"(+/- 1862 )",2499,"(+/- 827 )"
People,Ancestry,"Subsaharan African",11464,"(+/- 3595 )",1985,"(+/- 1135 )",5670,"(+/- 2199 )",3453,"(+/- 1589 )",3977,"(+/- 1799 )",7887,"(+/- 2284 )",5481,"(+/- 2830 )",7517,"(+/- 2223 )",13684,"(+/- 3330 )",43932,"(+/- 7716 )",3603,"(+/- 1678 )",10887,"(+/- 3086 )"
People,Ancestry,Swedish,3850,"(+/- 1122 )",4104,"(+/- 1128 )",4397,"(+/- 1302 )",4264,"(+/- 1092 )",4420,"(+/- 1384 )",2152,"(+/- 783 )",4037,"(+/- 1153 )",1805,"(+/- 814 )",1824,"(+/- 941 )",1951,"(+/- 1052 )",7133,"(+/- 1726 )",2210,"(+/- 770 )"
People,Ancestry,Swiss,820,"(+/- 438 )",1767,"(+/- 774 )",716,"(+/- 412 )",902,"(+/- 477 )",2409,"(+/- 1238 )",1027,"(+/- 679 )",1966,"(+/- 740 )",324,"(+/- 243 )",710,"(+/- 477 )",27,"(+/- 43 )",1940,"(+/- 770 )",808,"(+/- 414 )"
People,Ancestry,Ukrainian,3568,"(+/- 1024 )",7072,"(+/- 2522 )",5887,"(+/- 1827 )",4673,"(+/- 1295 )",7375,"(+/- 1826 )",6183,"(+/- 1662 )",7390,"(+/- 1734 )",3033,"(+/- 828 )",5256,"(+/- 2113 )",3175,"(+/- 928 )",6896,"(+/- 1642 )",7594,"(+/- 1858 )"
People,Ancestry,Welsh,4328,"(+/- 1441 )",5704,"(+/- 951 )",4517,"(+/- 1245 )",2076,"(+/- 827 )",2517,"(+/- 795 )",1447,"(+/- 527 )",3412,"(+/- 1238 )",1059,"(+/- 756 )",1058,"(+/- 618 )",574,"(+/- 331 )",3474,"(+/- 1316 )",2243,"(+/- 906 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",7069,"(+/- 3001 )",6356,"(+/- 2581 )",9902,"(+/- 2712 )",13614,"(+/- 4523 )",10562,"(+/- 3391 )",10671,"(+/- 3225 )",4436,"(+/- 1325 )",11564,"(+/- 3829 )",13007,"(+/- 3164 )",63884,"(+/- 8017 )",8323,"(+/- 2362 )",15490,"(+/- 3377 )"
People,"Veteran Status","Civilian population 18 years and over",567496,"(+/- 5103 )",557350,"(+/- 5486 )",582457,"(+/- 4813 )",569927,"(+/- 6868 )",572496,"(+/- 8312 )",574410,"(+/- 7233 )",566700,"(+/- 8300 )",599094,"(+/- 8984 )",595366,"(+/- 9340 )",584272,"(+/- 9734 )",586708,"(+/- 9068 )",590236,"(+/- 8047 )"
People,"Veteran Status","Civilian veterans",33695,"(+/- 2948 )",36494,"(+/- 2437 )",44833,"(+/- 2825 )",30597,"(+/- 2915 )",26139,"(+/- 2720 )",19998,"(+/- 1806 )",25649,"(+/- 2481 )",10642,"(+/- 1673 )",14638,"(+/- 2164 )",17477,"(+/- 2518 )",27747,"(+/- 2427 )",20103,"(+/- 2354 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",724559,"(+/- 6349 )",685273,"(+/- 7270 )",724510,"(+/- 7757 )",743335,"(+/- 7705 )",722930,"(+/- 10291 )",723518,"(+/- 9170 )",722391,"(+/- 10599 )",759040,"(+/- 12524 )",762654,"(+/- 10776 )",749493,"(+/- 12896 )",737228,"(+/- 10702 )",749057,"(+/- 7678 )"
