Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Veteran Status","Civilian veterans",47966,"(+/- 2526 )",53417,"(+/- 2388 )",47458,"(+/- 2418 )",67112,"(+/- 3406 )",50560,"(+/- 2906 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",797095,"(+/- 2329 )",730279,"(+/- 2782 )",756167,"(+/- 3796 )",765938,"(+/- 5209 )",812102,"(+/- 4159 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",113261,"(+/- 4057 )",152360,"(+/- 3969 )",119968,"(+/- 3626 )",128308,"(+/- 5423 )",114623,"(+/- 4878 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",200975,"(+/- 1172 )",173722,"(+/- 1544 )",185492,"(+/- 1912 )",183804,"(+/- 3085 )",210601,"(+/- 2238 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9208,"(+/- 1350 )",10004,"(+/- 1221 )",9017,"(+/- 1225 )",8738,"(+/- 1318 )",8741,"(+/- 1724 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",478858,"(+/- 1737 )",420101,"(+/- 2189 )",449195,"(+/- 3171 )",467417,"(+/- 4100 )",490751,"(+/- 3318 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",62883,"(+/- 2972 )",78216,"(+/- 2966 )",59662,"(+/- 3545 )",67918,"(+/- 4102 )",58432,"(+/- 3923 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",117262,"(+/- 924 )",136456,"(+/- 1458 )",121480,"(+/- 1724 )",114717,"(+/- 3197 )",110750,"(+/- 2090 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41170,"(+/- 1962 )",64140,"(+/- 2330 )",51289,"(+/- 2065 )",51652,"(+/- 2811 )",47450,"(+/- 2073 )"
People,"Residence 1 Year Ago","Population 1 year and over",792776,"(+/- 2512 )",739337,"(+/- 2844 )",768754,"(+/- 3679 )",783630,"(+/- 4937 )",811486,"(+/- 4221 )"
People,"Residence 1 Year Ago","Same house",651824,"(+/- 8034 )",629603,"(+/- 6596 )",647859,"(+/- 7749 )",648458,"(+/- 9191 )",648599,"(+/- 9578 )"
People,"Residence 1 Year Ago","Different house in the U.S.",138317,"(+/- 7912 )",108868,"(+/- 5832 )",118079,"(+/- 6681 )",130782,"(+/- 6970 )",159390,"(+/- 9849 )"
People,"Residence 1 Year Ago","Same county",88425,"(+/- 6598 )",64281,"(+/- 4563 )",58908,"(+/- 5696 )",67351,"(+/- 5462 )",108904,"(+/- 9001 )"
People,"Residence 1 Year Ago","Different county",49892,"(+/- 4029 )",44587,"(+/- 3610 )",59171,"(+/- 4746 )",63431,"(+/- 5697 )",50486,"(+/- 4970 )"
People,"Residence 1 Year Ago","Same state",29172,"(+/- 3647 )",28808,"(+/- 3061 )",39831,"(+/- 4271 )",34508,"(+/- 4222 )",28305,"(+/- 3584 )"
People,"Residence 1 Year Ago","Different state",20720,"(+/- 2855 )",15779,"(+/- 1915 )",19340,"(+/- 2777 )",28923,"(+/- 3550 )",22181,"(+/- 3861 )"
People,"Residence 1 Year Ago",Abroad,2635,"(+/- 970 )",866,"(+/- 432 )",2816,"(+/- 969 )",4390,"(+/- 1770 )",3497,"(+/- 1543 )"
Workers,"Employment Status","Population 16 years and over",622726,"(+/- 1993 )",594011,"(+/- 2365 )",612497,"(+/- 2924 )",627755,"(+/- 4262 )",632127,"(+/- 3995 )"
Workers,"Employment Status","In labor force",404064,"(+/- 3753 )",316011,"(+/- 4082 )",370100,"(+/- 4689 )",389491,"(+/- 5992 )",412047,"(+/- 6156 )"
Workers,"Employment Status","Civilian labor force",403452,"(+/- 3746 )",315676,"(+/- 4098 )",367349,"(+/- 4509 )",376364,"(+/- 6012 )",410266,"(+/- 6238 )"
Workers,"Employment Status",Employed,385272,"(+/- 3845 )",298117,"(+/- 4248 )",352955,"(+/- 4317 )",361732,"(+/- 6205 )",393362,"(+/- 6233 )"
Workers,"Employment Status",Unemployed,18180,"(+/- 1947 )",17559,"(+/- 1716 )",14394,"(+/- 1883 )",14632,"(+/- 1854 )",16904,"(+/- 2062 )"
Workers,"Employment Status","Armed Forces",612,"(+/- 303 )",335,"(+/- 281 )",2751,"(+/- 764 )",13127,"(+/- 1339 )",1781,"(+/- 678 )"
Workers,"Employment Status","Not in labor force",218662,"(+/- 3756 )",278000,"(+/- 4495 )",242397,"(+/- 4439 )",238264,"(+/- 5425 )",220080,"(+/- 5523 )"
Workers,"Employment Status","Civilian labor force",403452,"(+/- 3746 )",315676,"(+/- 4098 )",367349,"(+/- 4509 )",376364,"(+/- 6012 )",410266,"(+/- 6238 )"
Workers,"Employment Status","Unemployment Rate",4.5,"(+/- 0.5 )",5.6,"(+/- 0.5 )",3.9,"(+/- 0.5 )",3.9,"(+/- 0.5 )",4.1,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",378869,"(+/- 3948 )",293490,"(+/- 4124 )",348948,"(+/- 4490 )",367148,"(+/- 6070 )",388804,"(+/- 6340 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",314259,"(+/- 4654 )",244973,"(+/- 4234 )",284923,"(+/- 5675 )",303733,"(+/- 6153 )",318536,"(+/- 7418 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34606,"(+/- 2668 )",29077,"(+/- 2532 )",36201,"(+/- 3096 )",31196,"(+/- 2910 )",38252,"(+/- 3877 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2338,"(+/- 699 )",439,"(+/- 239 )",488,"(+/- 326 )",2272,"(+/- 1457 )",2665,"(+/- 848 )"
Workers,"Commuting to Work",Walked,6583,"(+/- 1107 )",4941,"(+/- 884 )",7870,"(+/- 1280 )",7126,"(+/- 1569 )",8591,"(+/- 1924 )"
Workers,"Commuting to Work","Other means",6988,"(+/- 1035 )",3735,"(+/- 821 )",3996,"(+/- 930 )",3443,"(+/- 705 )",6381,"(+/- 1366 )"
Workers,"Commuting to Work","Worked at home",14095,"(+/- 1612 )",10325,"(+/- 1361 )",15470,"(+/- 1948 )",19378,"(+/- 2023 )",14379,"(+/- 1643 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.8,"(+/- 0.4 )",24.0,"(+/- 0.5 )",21.7,"(+/- 0.5 )",22.8,"(+/- 0.5 )",21.8,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",385272,"(+/- 3845 )",298117,"(+/- 4248 )",352955,"(+/- 4317 )",361732,"(+/- 6205 )",393362,"(+/- 6233 )"
Workers,Occupation,"Management, business, science, and arts occupations",145004,"(+/- 4602 )",89182,"(+/- 2938 )",108050,"(+/- 3905 )",130968,"(+/- 5367 )",143469,"(+/- 5862 )"
Workers,Occupation,"Service occupations",63893,"(+/- 2717 )",54403,"(+/- 2531 )",59545,"(+/- 3631 )",62505,"(+/- 3777 )",72762,"(+/- 4143 )"
Workers,Occupation,"Sales and office occupations",91264,"(+/- 3668 )",61603,"(+/- 3242 )",82046,"(+/- 4072 )",80677,"(+/- 4149 )",91112,"(+/- 4700 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31793,"(+/- 1961 )",38702,"(+/- 2224 )",46664,"(+/- 3035 )",40143,"(+/- 2957 )",38795,"(+/- 3156 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53318,"(+/- 2790 )",54227,"(+/- 2792 )",56650,"(+/- 3402 )",47439,"(+/- 3338 )",47224,"(+/- 3349 )"
Workers,Industry,"Civilian employed population 16 years and over",385272,"(+/- 3845 )",298117,"(+/- 4248 )",352955,"(+/- 4317 )",361732,"(+/- 6205 )",393362,"(+/- 6233 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8600,"(+/- 1203 )",12845,"(+/- 1312 )",29691,"(+/- 2542 )",16149,"(+/- 1762 )",13026,"(+/- 1702 )"
Workers,Industry,Construction,24154,"(+/- 1791 )",22699,"(+/- 1929 )",23462,"(+/- 2191 )",24377,"(+/- 2565 )",27896,"(+/- 2478 )"
Workers,Industry,Manufacturing,49136,"(+/- 2907 )",37979,"(+/- 2328 )",31893,"(+/- 2819 )",29313,"(+/- 2556 )",26312,"(+/- 2779 )"
Workers,Industry,"Wholesale trade",10305,"(+/- 1263 )",6541,"(+/- 993 )",10087,"(+/- 1552 )",6750,"(+/- 1135 )",8605,"(+/- 1499 )"
Workers,Industry,"Retail trade",40764,"(+/- 2783 )",32403,"(+/- 2194 )",46176,"(+/- 2884 )",42168,"(+/- 3321 )",46915,"(+/- 3698 )"
Workers,Industry,"Transportation and warehousing, and utilities",24415,"(+/- 2105 )",18256,"(+/- 1315 )",21154,"(+/- 2264 )",16684,"(+/- 1699 )",16925,"(+/- 2438 )"
Workers,Industry,Information,7916,"(+/- 1102 )",2471,"(+/- 538 )",4882,"(+/- 1234 )",4468,"(+/- 1194 )",5591,"(+/- 1211 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",25363,"(+/- 2075 )",13616,"(+/- 1588 )",16639,"(+/- 1962 )",19316,"(+/- 2293 )",24996,"(+/- 2939 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",40651,"(+/- 2361 )",19583,"(+/- 1666 )",21605,"(+/- 2191 )",32820,"(+/- 2796 )",43575,"(+/- 3452 )"
Workers,Industry,"Educational services, and health care and social assistance",80123,"(+/- 3391 )",71169,"(+/- 3009 )",76010,"(+/- 3429 )",82405,"(+/- 4450 )",87267,"(+/- 4378 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",38829,"(+/- 2461 )",28906,"(+/- 1954 )",30978,"(+/- 2347 )",34115,"(+/- 2950 )",45466,"(+/- 4379 )"
Workers,Industry,"Other services, except public administration",22155,"(+/- 1541 )",13187,"(+/- 1412 )",19857,"(+/- 2282 )",19871,"(+/- 2229 )",22765,"(+/- 2431 )"
Workers,Industry,"Public administration",12861,"(+/- 1426 )",18462,"(+/- 1550 )",20521,"(+/- 2207 )",33296,"(+/- 2994 )",24023,"(+/- 2267 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",385272,"(+/- 3845 )",298117,"(+/- 4248 )",352955,"(+/- 4317 )",361732,"(+/- 6205 )",393362,"(+/- 6233 )"
Workers,"Class of Worker","Private wage and salary workers",323346,"(+/- 4287 )",219937,"(+/- 4283 )",264716,"(+/- 5275 )",264918,"(+/- 6360 )",308564,"(+/- 6474 )"
Workers,"Class of Worker","Government workers",39763,"(+/- 2561 )",56435,"(+/- 2650 )",60464,"(+/- 3306 )",74435,"(+/- 4173 )",58360,"(+/- 3778 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",21264,"(+/- 1731 )",21230,"(+/- 1427 )",26394,"(+/- 2938 )",21527,"(+/- 2345 )",25708,"(+/- 2669 )"
Workers,"Class of Worker","Unpaid family workers",899,"(+/- 346 )",515,"(+/- 287 )",1381,"(+/- 480 )",852,"(+/- 351 )",730,"(+/- 379 )"
Housing,"Housing Occupancy","Total housing units",351010,"(+/- 846 )",358489,"(+/- 1058 )",339689,"(+/- 1450 )",338179,"(+/- 2332 )",355706,"(+/- 1866 )"
Housing,"Housing Occupancy","Occupied housing units",310290,"(+/- 1790 )",284540,"(+/- 2454 )",280204,"(+/- 3567 )",296883,"(+/- 3472 )",313393,"(+/- 3402 )"
Housing,"Housing Occupancy","Vacant housing units",40720,"(+/- 1676 )",73949,"(+/- 2214 )",59485,"(+/- 3214 )",41296,"(+/- 2830 )",42313,"(+/- 2765 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,"(+/- 0.4 )",2.1,"(+/- 0.4 )",2.7,"(+/- 0.6 )",1.8,"(+/- 0.5 )",2.1,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",8.9,"(+/- 0.8 )",7.7,"(+/- 1.0 )",8.0,"(+/- 1.4 )",8.1,"(+/- 1.4 )",9.1,"(+/- 1.2 )"
Housing,"Housing Tenure","Occupied housing units",310290,"(+/- 1790 )",284540,"(+/- 2454 )",280204,"(+/- 3567 )",296883,"(+/- 3472 )",313393,"(+/- 3402 )"
Housing,"Housing Tenure",Owner-occupied,193487,"(+/- 3364 )",200878,"(+/- 2515 )",199175,"(+/- 3676 )",193464,"(+/- 3903 )",184986,"(+/- 4191 )"
Housing,"Housing Tenure",Renter-occupied,116803,"(+/- 3178 )",83662,"(+/- 2478 )",81029,"(+/- 3571 )",103419,"(+/- 3444 )",128407,"(+/- 4000 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.65,"(+/- 0.03 )",2.56,"(+/- 0.03 )",2.67,"(+/- 0.04 )",2.63,"(+/- 0.04 )",2.62,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.41,"(+/- 0.05 )",2.50,"(+/- 0.06 )",2.66,"(+/- 0.09 )",2.46,"(+/- 0.06 )",2.51,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",310290,"(+/- 1790 )",284540,"(+/- 2454 )",280204,"(+/- 3567 )",296883,"(+/- 3472 )",313393,"(+/- 3402 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",72742,"(+/- 2898 )",50901,"(+/- 2716 )",50357,"(+/- 3111 )",64701,"(+/- 2998 )",75315,"(+/- 3779 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",53586,"(+/- 2225 )",40294,"(+/- 2519 )",40461,"(+/- 2461 )",46972,"(+/- 3033 )",55725,"(+/- 3764 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",59022,"(+/- 2425 )",52152,"(+/- 2439 )",55667,"(+/- 3232 )",58163,"(+/- 3846 )",62391,"(+/- 3467 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",65982,"(+/- 2567 )",63372,"(+/- 2513 )",62761,"(+/- 3296 )",62368,"(+/- 3290 )",61922,"(+/- 3455 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",28996,"(+/- 1813 )",37591,"(+/- 1962 )",31286,"(+/- 1947 )",32408,"(+/- 1960 )",26662,"(+/- 2041 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",29962,"(+/- 1662 )",40230,"(+/- 1948 )",39672,"(+/- 2203 )",32271,"(+/- 1981 )",31378,"(+/- 1793 )"
Housing,Value,"Owner-occupied units",193487,"(+/- 3364 )",200878,"(+/- 2515 )",199175,"(+/- 3676 )",193464,"(+/- 3903 )",184986,"(+/- 4191 )"
Housing,Value,"Less than $50,000",12949,"(+/- 1124 )",34924,"(+/- 1701 )",28950,"(+/- 2090 )",19144,"(+/- 1369 )",17409,"(+/- 1804 )"
Housing,Value,"$50,000 to $99,999",31536,"(+/- 1648 )",59228,"(+/- 2606 )",51307,"(+/- 2438 )",36108,"(+/- 2194 )",37289,"(+/- 2219 )"
Housing,Value,"$100,000 to $149,999",43037,"(+/- 1925 )",36834,"(+/- 2119 )",36147,"(+/- 2284 )",42299,"(+/- 2487 )",34814,"(+/- 2576 )"
Housing,Value,"$150,000 to $199,999",40169,"(+/- 2166 )",26841,"(+/- 1541 )",33198,"(+/- 1961 )",36704,"(+/- 2192 )",31816,"(+/- 2386 )"
