Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
Workers,"Commuting to Work","Other means",6779,"(+/- 1187 )"
Workers,"Commuting to Work","Worked at home",24206,"(+/- 2226 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.6,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",330947,"(+/- 5124 )"
Workers,Occupation,"Management, business, science, and arts occupations",143904,"(+/- 4963 )"
Workers,Occupation,"Service occupations",59112,"(+/- 3600 )"
Workers,Occupation,"Sales and office occupations",60177,"(+/- 3179 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31686,"(+/- 2707 )"
Workers,Occupation,"Production, transportation, and material moving occupations",36068,"(+/- 2897 )"
Workers,Industry,"Civilian employed population 16 years and over",330947,"(+/- 5124 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8981,"(+/- 1400 )"
Workers,Industry,Construction,22391,"(+/- 1829 )"
Workers,Industry,Manufacturing,32226,"(+/- 2671 )"
Workers,Industry,"Wholesale trade",6595,"(+/- 1258 )"
Workers,Industry,"Retail trade",39077,"(+/- 3166 )"
Workers,Industry,"Transportation and warehousing, and utilities",10060,"(+/- 1351 )"
Workers,Industry,Information,5288,"(+/- 1049 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",14024,"(+/- 1537 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",30564,"(+/- 2707 )"
Workers,Industry,"Educational services, and health care and social assistance",97977,"(+/- 4217 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",33240,"(+/- 2718 )"
Workers,Industry,"Other services, except public administration",15529,"(+/- 1741 )"
Workers,Industry,"Public administration",14995,"(+/- 1747 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",330947,"(+/- 5124 )"
Workers,"Class of Worker","Private wage and salary workers",253732,"(+/- 5370 )"
Workers,"Class of Worker","Government workers",44718,"(+/- 3120 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",31355,"(+/- 2987 )"
Workers,"Class of Worker","Unpaid family workers",1142,"(+/- 405 )"
Housing,"Housing Occupancy","Total housing units",337133,"(+/- 144 )"
Housing,"Housing Occupancy","Occupied housing units",261373,"(+/- 3502 )"
Housing,"Housing Occupancy","Vacant housing units",75760,"(+/- 3527 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.6,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.1,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",261373,"(+/- 3502 )"
Housing,"Housing Tenure",Owner-occupied,188798,"(+/- 4006 )"
Housing,"Housing Tenure",Renter-occupied,72575,"(+/- 3626 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.39,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.05,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",261373,"(+/- 3502 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",38681,"(+/- 2451 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",38251,"(+/- 2799 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",45880,"(+/- 2986 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",54830,"(+/- 2906 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",36484,"(+/- 2685 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",47247,"(+/- 2702 )"
Housing,Value,"Owner-occupied units",188798,"(+/- 4006 )"
Housing,Value,"Less than $50,000",7851,"(+/- 1119 )"
Housing,Value,"$50,000 to $99,999",11764,"(+/- 1234 )"
Housing,Value,"$100,000 to $149,999",22643,"(+/- 1891 )"
Housing,Value,"$150,000 to $199,999",33450,"(+/- 2070 )"
Housing,Value,"$200,000 to $299,999",54390,"(+/- 2921 )"
Housing,Value,"$300,000 to $499,999",42724,"(+/- 3003 )"
Housing,Value,"$500,000 to $999,999",13133,"(+/- 1547 )"
Housing,Value,"$1,000,000 or more",2843,"(+/- 737 )"
Housing,Value,"Median (dollars)",233100,"(+/- 4924 )"
Housing,"Mortgage Status","Owner-occupied units",188798,"(+/- 4006 )"
Housing,"Mortgage Status","Housing units with a mortgage",116755,"(+/- 3633 )"
Housing,"Mortgage Status","Housing units without a mortgage",72043,"(+/- 2755 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",116755,"(+/- 3633 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1145,"(+/- 593 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",16370,"(+/- 1681 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",36246,"(+/- 2366 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",31940,"(+/- 2304 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",16437,"(+/- 1464 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",7496,"(+/- 1103 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7121,"(+/- 1112 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1560,"(+/- 26 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",72043,"(+/- 2755 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2596,"(+/- 719 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",7235,"(+/- 1035 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",19850,"(+/- 1529 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",19928,"(+/- 1760 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",10086,"(+/- 1331 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",12348,"(+/- 1522 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",656,"(+/- 13 )"
Housing,"Gross Rent","Occupied units paying rent",68404,"(+/- 3468 )"
Housing,"Gross Rent","Less than $500",9020,"(+/- 1485 )"
Housing,"Gross Rent","$500 to $999",27265,"(+/- 2598 )"
Housing,"Gross Rent","$1,000 to $1,499",21036,"(+/- 2266 )"
Housing,"Gross Rent","$1,500 to $1,999",8637,"(+/- 1375 )"
Housing,"Gross Rent","$2,000 to $2,499",1885,"(+/- 698 )"
Housing,"Gross Rent","$2,500 to $2,999",336,"(+/- 284 )"
Housing,"Gross Rent","$3,000 or more",225,"(+/- 175 )"
Housing,"Gross Rent","Median (dollars)",969,"(+/- 29 )"
Housing,"Gross Rent","No rent paid",4171,"(+/- 920 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",261373,"(+/- 3502 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",15364,"(+/- 2296 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",12536,"(+/- 1615 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",22062,"(+/- 2006 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",23272,"(+/- 2084 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",32655,"(+/- 2451 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",48503,"(+/- 2763 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",38452,"(+/- 2270 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",41877,"(+/- 2396 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",14117,"(+/- 1512 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",12535,"(+/- 1275 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",60782,"(+/- 1551 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",79514,"(+/- 2533 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",620066,"(+/- 406 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",595078,"(+/- 2914 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",433184,"(+/- 7834 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",252039,"(+/- 7350 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",24988,"(+/- 2911 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",124839,"(+/- 1558 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",2463,"(+/- 1089 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.2,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",11.0,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",10.6,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.4,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.9,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.2,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",21.1,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",30.7,"(+/- 7.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",37.5,"(+/- 16.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",11.0,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.1,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.1,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",10.6,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",11.2,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.3,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.1,"(+/- 1.8 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",141446,"(+/- 3090 )"
Education,"School Enrollment","Nursery school, preschool",10539,"(+/- 1404 )"
Education,"School Enrollment",Kindergarten,5401,"(+/- 1145 )"
Education,"School Enrollment","Elementary school (grades 1-8)",51389,"(+/- 2112 )"
Education,"School Enrollment","High school (grades 9-12)",27281,"(+/- 1746 )"
Education,"School Enrollment","College or graduate school",46836,"(+/- 2181 )"
Education,"Educational Attainment","Population 25 years and over",445824,"(+/- 1565 )"
Education,"Educational Attainment","Less than 9th grade",8286,"(+/- 1383 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",20617,"(+/- 2644 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",127349,"(+/- 4691 )"
Education,"Educational Attainment","Some college, no degree",78850,"(+/- 3573 )"
Education,"Educational Attainment","Associate's degree",38133,"(+/- 2682 )"
Education,"Educational Attainment","Bachelor's degree",103068,"(+/- 4007 )"
Education,"Educational Attainment","Graduate or professional degree",69521,"(+/- 3133 )"
Education,"Educational Attainment","Percent high school graduate or higher",93.5,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",38.7,"(+/- 1.1 )"
