Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,Ancestry,Scotch-Irish,5449,"(+/- 1155 )",5538,"(+/- 1214 )",5165,"(+/- 999 )"
People,Ancestry,Scottish,7637,"(+/- 1438 )",8994,"(+/- 1616 )",6807,"(+/- 1181 )"
People,Ancestry,Slovak,125,"(+/- 157 )",287,"(+/- 208 )",108,"(+/- 117 )"
People,Ancestry,"Subsaharan African",5002,"(+/- 1835 )",10360,"(+/- 3276 )",2607,"(+/- 1117 )"
People,Ancestry,Swedish,21633,"(+/- 2421 )",19175,"(+/- 2453 )",24876,"(+/- 2198 )"
People,Ancestry,Swiss,2360,"(+/- 717 )",2766,"(+/- 1061 )",2403,"(+/- 678 )"
People,Ancestry,Ukrainian,1303,"(+/- 693 )",623,"(+/- 445 )",108,"(+/- 90 )"
People,Ancestry,Welsh,4152,"(+/- 1246 )",3688,"(+/- 1028 )",3475,"(+/- 860 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1110,"(+/- 663 )",285,"(+/- 266 )",259,"(+/- 244 )"
People,"Veteran Status","Civilian population 18 years and over",493562,"(+/- 3117 )",496061,"(+/- 2595 )",459351,"(+/- 2471 )"
People,"Veteran Status","Civilian veterans",42546,"(+/- 2420 )",37580,"(+/- 2389 )",36628,"(+/- 2059 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",642889,"(+/- 4597 )",664221,"(+/- 3033 )",593055,"(+/- 3674 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",73105,"(+/- 3924 )",67447,"(+/- 3634 )",83668,"(+/- 3216 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",156270,"(+/- 2805 )",174389,"(+/- 1965 )",142888,"(+/- 2362 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6152,"(+/- 1391 )",6320,"(+/- 1131 )",6192,"(+/- 948 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",390365,"(+/- 3438 )",406701,"(+/- 2642 )",337236,"(+/- 2341 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",34523,"(+/- 2572 )",35742,"(+/- 2886 )",36678,"(+/- 2501 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",96254,"(+/- 1871 )",83131,"(+/- 1062 )",112931,"(+/- 1430 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",32430,"(+/- 1940 )",25385,"(+/- 1692 )",40798,"(+/- 1447 )"
People,"Residence 1 Year Ago","Population 1 year and over",646512,"(+/- 5126 )",663504,"(+/- 3300 )",595827,"(+/- 3748 )"
People,"Residence 1 Year Ago","Same house",532534,"(+/- 8210 )",561917,"(+/- 7408 )",507605,"(+/- 6536 )"
People,"Residence 1 Year Ago","Different house in the U.S.",110660,"(+/- 7800 )",98208,"(+/- 6441 )",85564,"(+/- 6342 )"
People,"Residence 1 Year Ago","Same county",60691,"(+/- 6139 )",60648,"(+/- 5265 )",45357,"(+/- 4795 )"
People,"Residence 1 Year Ago","Different county",49969,"(+/- 5348 )",37560,"(+/- 4165 )",40207,"(+/- 3783 )"
People,"Residence 1 Year Ago","Same state",27431,"(+/- 3378 )",18446,"(+/- 2519 )",27280,"(+/- 2912 )"
People,"Residence 1 Year Ago","Different state",22538,"(+/- 3772 )",19114,"(+/- 3440 )",12927,"(+/- 2261 )"
People,"Residence 1 Year Ago",Abroad,3318,"(+/- 1197 )",3379,"(+/- 1261 )",2658,"(+/- 1426 )"
Workers,"Employment Status","Population 16 years and over",513403,"(+/- 3539 )",517404,"(+/- 2957 )",475382,"(+/- 2793 )"
Workers,"Employment Status","In labor force",358132,"(+/- 4929 )",369535,"(+/- 4761 )",312960,"(+/- 4009 )"
Workers,"Employment Status","Civilian labor force",354552,"(+/- 5020 )",367765,"(+/- 4717 )",312902,"(+/- 4002 )"
Workers,"Employment Status",Employed,342584,"(+/- 4893 )",354105,"(+/- 4524 )",302658,"(+/- 4016 )"
Workers,"Employment Status",Unemployed,11968,"(+/- 1742 )",13660,"(+/- 1920 )",10244,"(+/- 1469 )"
Workers,"Employment Status","Armed Forces",3580,"(+/- 752 )",1770,"(+/- 484 )",58,"(+/- 78 )"
Workers,"Employment Status","Not in labor force",155271,"(+/- 4802 )",147869,"(+/- 4115 )",162422,"(+/- 3986 )"
Workers,"Employment Status","Civilian labor force",354552,"(+/- 5020 )",367765,"(+/- 4717 )",312902,"(+/- 4002 )"
Workers,"Employment Status","Unemployment Rate",3.4,"(+/- 0.5 )",3.7,"(+/- 0.5 )",3.3,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",340120,"(+/- 4755 )",350369,"(+/- 4789 )",295734,"(+/- 3944 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",278827,"(+/- 5574 )",292140,"(+/- 5186 )",238486,"(+/- 4764 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",28271,"(+/- 2664 )",29610,"(+/- 2823 )",28056,"(+/- 2395 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2074,"(+/- 644 )",3014,"(+/- 965 )",491,"(+/- 346 )"
Workers,"Commuting to Work",Walked,10297,"(+/- 1543 )",6230,"(+/- 1197 )",7823,"(+/- 1154 )"
Workers,"Commuting to Work","Other means",4062,"(+/- 920 )",4096,"(+/- 990 )",2481,"(+/- 570 )"
Workers,"Commuting to Work","Worked at home",16589,"(+/- 1867 )",15279,"(+/- 1948 )",18397,"(+/- 1679 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.5,"(+/- 0.5 )",19.7,"(+/- 0.4 )",17.0,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",342584,"(+/- 4893 )",354105,"(+/- 4524 )",302658,"(+/- 4016 )"
Workers,Occupation,"Management, business, science, and arts occupations",131552,"(+/- 4340 )",151631,"(+/- 4273 )",97905,"(+/- 4068 )"
Workers,Occupation,"Service occupations",58485,"(+/- 4103 )",56655,"(+/- 3653 )",50356,"(+/- 3209 )"
Workers,Occupation,"Sales and office occupations",70543,"(+/- 3343 )",79194,"(+/- 3996 )",60055,"(+/- 3072 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34432,"(+/- 2431 )",25909,"(+/- 2466 )",40890,"(+/- 2726 )"
Workers,Occupation,"Production, transportation, and material moving occupations",47572,"(+/- 3027 )",40716,"(+/- 2892 )",53452,"(+/- 3116 )"
Workers,Industry,"Civilian employed population 16 years and over",342584,"(+/- 4893 )",354105,"(+/- 4524 )",302658,"(+/- 4016 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",10945,"(+/- 1490 )",2018,"(+/- 779 )",30527,"(+/- 1859 )"
Workers,Industry,Construction,25479,"(+/- 2412 )",24205,"(+/- 2094 )",22475,"(+/- 2027 )"
Workers,Industry,Manufacturing,36550,"(+/- 2661 )",25694,"(+/- 2366 )",34294,"(+/- 2732 )"
Workers,Industry,"Wholesale trade",8457,"(+/- 1182 )",8968,"(+/- 1299 )",8370,"(+/- 1024 )"
Workers,Industry,"Retail trade",34589,"(+/- 2517 )",40139,"(+/- 2862 )",34110,"(+/- 2392 )"
Workers,Industry,"Transportation and warehousing, and utilities",18900,"(+/- 2659 )",21445,"(+/- 1998 )",19586,"(+/- 1979 )"
Workers,Industry,Information,6492,"(+/- 1252 )",8294,"(+/- 1131 )",4489,"(+/- 841 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",22505,"(+/- 2040 )",35664,"(+/- 2779 )",17100,"(+/- 1673 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",29770,"(+/- 2595 )",43360,"(+/- 2785 )",14344,"(+/- 1424 )"
Workers,Industry,"Educational services, and health care and social assistance",86302,"(+/- 4278 )",89417,"(+/- 3471 )",70603,"(+/- 3391 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",26327,"(+/- 2464 )",29290,"(+/- 2738 )",19882,"(+/- 1917 )"
Workers,Industry,"Other services, except public administration",16384,"(+/- 1882 )",14063,"(+/- 1694 )",13916,"(+/- 1395 )"
Workers,Industry,"Public administration",19884,"(+/- 2080 )",11548,"(+/- 1545 )",12962,"(+/- 1460 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",342584,"(+/- 4893 )",354105,"(+/- 4524 )",302658,"(+/- 4016 )"
Workers,"Class of Worker","Private wage and salary workers",264361,"(+/- 5194 )",301541,"(+/- 5824 )",228647,"(+/- 3997 )"
Workers,"Class of Worker","Government workers",54707,"(+/- 3247 )",37786,"(+/- 2866 )",43812,"(+/- 2657 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",22917,"(+/- 2052 )",14330,"(+/- 1883 )",29310,"(+/- 1941 )"
Workers,"Class of Worker","Unpaid family workers",599,"(+/- 285 )",448,"(+/- 258 )",889,"(+/- 307 )"
Housing,"Housing Occupancy","Total housing units",277762,"(+/- 1988 )",277601,"(+/- 1641 )",289648,"(+/- 1566 )"
Housing,"Housing Occupancy","Occupied housing units",258151,"(+/- 2661 )",259585,"(+/- 2689 )",247754,"(+/- 2740 )"
Housing,"Housing Occupancy","Vacant housing units",19611,"(+/- 2257 )",18016,"(+/- 2220 )",41894,"(+/- 2786 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,"(+/- 0.3 )",1.2,"(+/- 0.5 )",1.4,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.2,"(+/- 1.3 )",6.8,"(+/- 1.6 )",5.0,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",258151,"(+/- 2661 )",259585,"(+/- 2689 )",247754,"(+/- 2740 )"
Housing,"Housing Tenure",Owner-occupied,167465,"(+/- 3379 )",165013,"(+/- 2973 )",173188,"(+/- 3294 )"
Housing,"Housing Tenure",Renter-occupied,90686,"(+/- 3040 )",94572,"(+/- 3037 )",74566,"(+/- 2961 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.60,"(+/- 0.04 )",2.78,"(+/- 0.04 )",2.43,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.20,"(+/- 0.08 )",2.13,"(+/- 0.07 )",2.19,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",258151,"(+/- 2661 )",259585,"(+/- 2689 )",247754,"(+/- 2740 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",54665,"(+/- 2972 )",56060,"(+/- 2887 )",40339,"(+/- 2583 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",42472,"(+/- 2870 )",46784,"(+/- 2590 )",36185,"(+/- 2540 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",49298,"(+/- 2869 )",51941,"(+/- 2323 )",44573,"(+/- 2642 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",52785,"(+/- 2975 )",52158,"(+/- 2953 )",52712,"(+/- 2229 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",28833,"(+/- 1825 )",27459,"(+/- 2201 )",32494,"(+/- 1651 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",30098,"(+/- 1801 )",25183,"(+/- 1761 )",41451,"(+/- 2057 )"
Housing,Value,"Owner-occupied units",167465,"(+/- 3379 )",165013,"(+/- 2973 )",173188,"(+/- 3294 )"
Housing,Value,"Less than $50,000",10270,"(+/- 1311 )",5868,"(+/- 988 )",27954,"(+/- 1709 )"
Housing,Value,"$50,000 to $99,999",18865,"(+/- 1674 )",15283,"(+/- 1369 )",41254,"(+/- 2113 )"
Housing,Value,"$100,000 to $149,999",37224,"(+/- 1949 )",33357,"(+/- 2283 )",34519,"(+/- 2319 )"
Housing,Value,"$150,000 to $199,999",36621,"(+/- 2268 )",37699,"(+/- 2277 )",26017,"(+/- 1808 )"
Housing,Value,"$200,000 to $299,999",33485,"(+/- 2189 )",38793,"(+/- 2349 )",25428,"(+/- 1764 )"
Housing,Value,"$300,000 to $499,999",24501,"(+/- 1645 )",25829,"(+/- 1659 )",13593,"(+/- 1162 )"
Housing,Value,"$500,000 to $999,999",5644,"(+/- 935 )",6767,"(+/- 977 )",3314,"(+/- 560 )"
Housing,Value,"$1,000,000 or more",855,"(+/- 327 )",1417,"(+/- 456 )",1109,"(+/- 388 )"
Housing,Value,"Median (dollars)",169800,"(+/- 2470 )",185400,"(+/- 3280 )",122600,"(+/- 2845 )"
Housing,"Mortgage Status","Owner-occupied units",167465,"(+/- 3379 )",165013,"(+/- 2973 )",173188,"(+/- 3294 )"
Housing,"Mortgage Status","Housing units with a mortgage",101528,"(+/- 3042 )",117238,"(+/- 3454 )",81651,"(+/- 2850 )"
Housing,"Mortgage Status","Housing units without a mortgage",65937,"(+/- 2910 )",47775,"(+/- 2400 )",91537,"(+/- 2881 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",101528,"(+/- 3042 )",117238,"(+/- 3454 )",81651,"(+/- 2850 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",942,"(+/- 323 )",570,"(+/- 335 )",1673,"(+/- 422 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",20105,"(+/- 1719 )",15465,"(+/- 1564 )",29037,"(+/- 2198 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",41577,"(+/- 2098 )",43891,"(+/- 2804 )",29292,"(+/- 2245 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19364,"(+/- 1651 )",27934,"(+/- 1982 )",14240,"(+/- 1314 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",11055,"(+/- 1356 )",14061,"(+/- 1482 )",4022,"(+/- 739 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4236,"(+/- 810 )",7151,"(+/- 1209 )",1955,"(+/- 456 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4249,"(+/- 823 )",8166,"(+/- 1034 )",1432,"(+/- 493 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1344,"(+/- 23 )",1487,"(+/- 19 )",1138,"(+/- 24 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",65937,"(+/- 2910 )",47775,"(+/- 2400 )",91537,"(+/- 2881 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",4798,"(+/- 980 )",1951,"(+/- 526 )",8848,"(+/- 960 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",13110,"(+/- 1410 )",4886,"(+/- 859 )",24370,"(+/- 1616 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",23669,"(+/- 1824 )",15479,"(+/- 1448 )",33206,"(+/- 2043 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",14369,"(+/- 1559 )",13117,"(+/- 1282 )",15225,"(+/- 1532 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6188,"(+/- 972 )",5956,"(+/- 927 )",5890,"(+/- 795 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",3803,"(+/- 745 )",6386,"(+/- 976 )",3998,"(+/- 716 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",527,"(+/- 15 )",620,"(+/- 15 )",470,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",86666,"(+/- 3116 )",91821,"(+/- 3016 )",65363,"(+/- 2716 )"
Housing,"Gross Rent","Less than $500",10161,"(+/- 1558 )",6509,"(+/- 1334 )",13009,"(+/- 1736 )"
Housing,"Gross Rent","$500 to $999",51104,"(+/- 2962 )",46787,"(+/- 2652 )",43295,"(+/- 2298 )"
Housing,"Gross Rent","$1,000 to $1,499",19771,"(+/- 2026 )",28672,"(+/- 2468 )",6965,"(+/- 1074 )"
Housing,"Gross Rent","$1,500 to $1,999",4041,"(+/- 752 )",7033,"(+/- 1128 )",1403,"(+/- 652 )"
Housing,"Gross Rent","$2,000 to $2,499",824,"(+/- 597 )",969,"(+/- 385 )",49,"(+/- 62 )"
Housing,"Gross Rent","$2,500 to $2,999",64,"(+/- 102 )",727,"(+/- 390 )",104,"(+/- 101 )"
Housing,"Gross Rent","$3,000 or more",701,"(+/- 392 )",1124,"(+/- 578 )",538,"(+/- 341 )"
Housing,"Gross Rent","Median (dollars)",824,"(+/- 21 )",926,"(+/- 24 )",692,"(+/- 14 )"
Housing,"Gross Rent","No rent paid",4020,"(+/- 819 )",2751,"(+/- 799 )",9203,"(+/- 1224 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",258151,"(+/- 2661 )",259585,"(+/- 2689 )",247754,"(+/- 2740 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",11818,"(+/- 1478 )",13839,"(+/- 1743 )",12704,"(+/- 1528 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",9317,"(+/- 1481 )",10252,"(+/- 1442 )",14110,"(+/- 1308 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",23493,"(+/- 1960 )",18891,"(+/- 1914 )",28741,"(+/- 1920 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",24288,"(+/- 2101 )",20678,"(+/- 2088 )",26915,"(+/- 1850 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",37275,"(+/- 2830 )",31004,"(+/- 2341 )",36656,"(+/- 2477 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",50896,"(+/- 2623 )",46908,"(+/- 3084 )",49833,"(+/- 2611 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",34085,"(+/- 2127 )",36425,"(+/- 2521 )",32328,"(+/- 2003 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",43460,"(+/- 2361 )",44210,"(+/- 2447 )",31201,"(+/- 2179 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",13613,"(+/- 1497 )",18722,"(+/- 1784 )",7993,"(+/- 1010 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",9906,"(+/- 1304 )",18656,"(+/- 1791 )",7273,"(+/- 1113 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",60057,"(+/- 1697 )",67293,"(+/- 1933 )",52101,"(+/- 1327 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",76042,"(+/- 1641 )",92473,"(+/- 2591 )",67326,"(+/- 1857 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",642889,"(+/- 4597 )",664221,"(+/- 3033 )",593055,"(+/- 3674 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",593241,"(+/- 5854 )",604430,"(+/- 4940 )",544882,"(+/- 5058 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",495832,"(+/- 7563 )",499638,"(+/- 7876 )",431373,"(+/- 6798 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",178942,"(+/- 6164 )",166525,"(+/- 5667 )",202464,"(+/- 5323 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",49648,"(+/- 4138 )",59791,"(+/- 4656 )",48173,"(+/- 3890 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",165834,"(+/- 3023 )",182896,"(+/- 2109 )",152399,"(+/- 2966 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",8249,"(+/- 1798 )",10019,"(+/- 2082 )",7960,"(+/- 1661 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.1,"(+/- 0.9 )",6.3,"(+/- 0.9 )",8.9,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.4,"(+/- 1.5 )",9.9,"(+/- 1.6 )",14.9,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.5,"(+/- 3.6 )",5.8,"(+/- 3.0 )",21.6,"(+/- 5.2 )"
