Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","85 years and over",19498,"(+/- 1621 )",18478,"(+/- 1560 )",15503,"(+/- 1528 )",22137,"(+/- 1478 )"
People,"Sex and Age","Median age (years)",38.8,"(+/- 0.3 )",38.0,"(+/- 0.4 )",37.0,"(+/- 0.3 )",38.9,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",597488,"(+/- 1518 )",605811,"(+/- 1408 )",634262,"(+/- 1256 )",585195,"(+/- 1969 )"
People,"Sex and Age","65 years and over",139220,"(+/- 1074 )",134426,"(+/- 1159 )",123357,"(+/- 899 )",140815,"(+/- 1115 )"
People,Race,"Total population",773628,"(+/- 1621 )",783983,"(+/- 1452 )",843598,"(+/- 1452 )",754936,"(+/- 1621 )"
People,Race,"One race",760077,"(+/- 3061 )",764019,"(+/- 3114 )",821900,"(+/- 3956 )",740881,"(+/- 2762 )"
People,Race,White,701592,"(+/- 2745 )",700399,"(+/- 3048 )",743399,"(+/- 4222 )",700709,"(+/- 2652 )"
People,Race,"Black or African American",32960,"(+/- 2739 )",32975,"(+/- 2573 )",36515,"(+/- 2599 )",12687,"(+/- 1423 )"
People,Race,"American Indian and Alaska Native",4341,"(+/- 899 )",1578,"(+/- 625 )",1985,"(+/- 567 )",3590,"(+/- 615 )"
People,Race,Asian,14447,"(+/- 1127 )",18719,"(+/- 1974 )",29566,"(+/- 2014 )",17239,"(+/- 1153 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1669,"(+/- 1164 )",785,"(+/- 674 )",478,"(+/- 461 )",531,"(+/- 398 )"
People,Race,"Some other race",5068,"(+/- 1692 )",9563,"(+/- 2901 )",9957,"(+/- 3145 )",6125,"(+/- 1327 )"
People,Race,"Two or more races",13551,"(+/- 2709 )",19964,"(+/- 2772 )",21698,"(+/- 3334 )",14055,"(+/- 2268 )"
People,"Hispanic or Latino and Race","Total population",773628,"(+/- 1621 )",783983,"(+/- 1452 )",843598,"(+/- 1452 )",754936,"(+/- 1621 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",32452,"(+/- 588 )",46049,"(+/- 693 )",59471,"(+/- 749 )",53501,"(+/- 482 )"
People,"Hispanic or Latino and Race",Mexican,26645,"(+/- 1716 )",37582,"(+/- 2414 )",45759,"(+/- 3300 )",45193,"(+/- 1832 )"
People,"Hispanic or Latino and Race","Puerto Rican",1219,"(+/- 675 )",1211,"(+/- 573 )",3111,"(+/- 1875 )",2251,"(+/- 1154 )"
People,"Hispanic or Latino and Race",Cuban,517,"(+/- 441 )",221,"(+/- 165 )",250,"(+/- 226 )",726,"(+/- 440 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",4071,"(+/- 1325 )",7035,"(+/- 2366 )",10351,"(+/- 2781 )",5331,"(+/- 1537 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",741176,"(+/- 1587 )",737934,"(+/- 1475 )",784127,"(+/- 1502 )",701435,"(+/- 1623 )"
People,"Place of Birth","Total population",773628,"(+/- 1621 )",783983,"(+/- 1452 )",843598,"(+/- 1452 )",754936,"(+/- 1621 )"
People,"Place of Birth",Native,742253,"(+/- 3004 )",740714,"(+/- 3669 )",779923,"(+/- 6024 )",718118,"(+/- 2954 )"
People,"Place of Birth","Born in United States",738721,"(+/- 3260 )",736271,"(+/- 3840 )",772620,"(+/- 5874 )",714256,"(+/- 3049 )"
People,"Place of Birth","State of residence",573049,"(+/- 6196 )",533801,"(+/- 7434 )",556904,"(+/- 8568 )",542902,"(+/- 5907 )"
People,"Place of Birth","Different state",165672,"(+/- 6373 )",202470,"(+/- 6947 )",215716,"(+/- 8444 )",171354,"(+/- 5563 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3532,"(+/- 982 )",4443,"(+/- 1273 )",7303,"(+/- 1853 )",3862,"(+/- 873 )"
People,"Place of Birth","Foreign born",31375,"(+/- 2392 )",43269,"(+/- 3402 )",63675,"(+/- 5786 )",36818,"(+/- 2330 )"
People,Ancestry,"Total population",773628,"(+/- 1621 )",783983,"(+/- 1452 )",843598,"(+/- 1452 )",754936,"(+/- 1621 )"
People,Ancestry,American,35033,"(+/- 3448 )",44001,"(+/- 4228 )",35024,"(+/- 3732 )",29825,"(+/- 3299 )"
People,Ancestry,Arab,3269,"(+/- 2042 )",1571,"(+/- 1149 )",4750,"(+/- 2533 )",1334,"(+/- 1076 )"
People,Ancestry,Czech,23131,"(+/- 2381 )",9825,"(+/- 2061 )",7675,"(+/- 1396 )",8604,"(+/- 1796 )"
People,Ancestry,Danish,9141,"(+/- 1969 )",7873,"(+/- 1902 )",18530,"(+/- 2561 )",18389,"(+/- 1890 )"
People,Ancestry,Dutch,15120,"(+/- 2513 )",35916,"(+/- 2920 )",24966,"(+/- 3100 )",43650,"(+/- 3191 )"
People,Ancestry,English,53473,"(+/- 4301 )",61132,"(+/- 4347 )",69869,"(+/- 4455 )",47272,"(+/- 3024 )"
People,Ancestry,"French (except Basque)",13087,"(+/- 2369 )",16594,"(+/- 2221 )",15894,"(+/- 2448 )",15202,"(+/- 1935 )"
People,Ancestry,"French Canadian",1333,"(+/- 458 )",1631,"(+/- 780 )",1901,"(+/- 649 )",2531,"(+/- 998 )"
People,Ancestry,German,282382,"(+/- 8321 )",220251,"(+/- 8350 )",229968,"(+/- 10244 )",275346,"(+/- 7085 )"
People,Ancestry,Greek,1066,"(+/- 564 )",1987,"(+/- 734 )",1797,"(+/- 749 )",925,"(+/- 527 )"
People,Ancestry,Hungarian,810,"(+/- 574 )",733,"(+/- 446 )",1197,"(+/- 647 )",713,"(+/- 354 )"
People,Ancestry,Irish,110469,"(+/- 5636 )",111169,"(+/- 7330 )",105150,"(+/- 7037 )",77079,"(+/- 4296 )"
People,Ancestry,Italian,12456,"(+/- 2136 )",14096,"(+/- 2108 )",21279,"(+/- 2508 )",11242,"(+/- 1785 )"
People,Ancestry,Lithuanian,458,"(+/- 264 )",503,"(+/- 293 )",817,"(+/- 483 )",427,"(+/- 316 )"
People,Ancestry,Norwegian,44796,"(+/- 3906 )",17773,"(+/- 2286 )",34629,"(+/- 4014 )",54632,"(+/- 3935 )"
People,Ancestry,Polish,9231,"(+/- 1335 )",10775,"(+/- 2418 )",12072,"(+/- 3109 )",7968,"(+/- 1345 )"
People,Ancestry,Portuguese,269,"(+/- 293 )",1044,"(+/- 606 )",802,"(+/- 786 )",400,"(+/- 218 )"
People,Ancestry,Russian,1022,"(+/- 373 )",3006,"(+/- 1150 )",2280,"(+/- 953 )",2084,"(+/- 715 )"
People,Ancestry,Scotch-Irish,6157,"(+/- 1865 )",6124,"(+/- 1340 )",6207,"(+/- 1212 )",5049,"(+/- 1192 )"
People,Ancestry,Scottish,8978,"(+/- 1460 )",11956,"(+/- 1724 )",14510,"(+/- 3403 )",9800,"(+/- 1497 )"
People,Ancestry,Slovak,787,"(+/- 657 )",319,"(+/- 227 )",801,"(+/- 546 )",150,"(+/- 177 )"
People,Ancestry,"Subsaharan African",4890,"(+/- 1883 )",10687,"(+/- 2852 )",11740,"(+/- 3070 )",3169,"(+/- 1212 )"
People,Ancestry,Swedish,13783,"(+/- 2431 )",20738,"(+/- 2802 )",26932,"(+/- 3445 )",19872,"(+/- 1994 )"
People,Ancestry,Swiss,4141,"(+/- 1026 )",4052,"(+/- 1038 )",2935,"(+/- 1225 )",2924,"(+/- 1048 )"
People,Ancestry,Ukrainian,556,"(+/- 283 )",1515,"(+/- 840 )",309,"(+/- 205 )",182,"(+/- 152 )"
People,Ancestry,Welsh,4282,"(+/- 1200 )",4972,"(+/- 1030 )",5616,"(+/- 1301 )",4200,"(+/- 1121 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",612,"(+/- 457 )",2414,"(+/- 2184 )",856,"(+/- 562 )",300,"(+/- 197 )"
People,"Veteran Status","Civilian population 18 years and over",596976,"(+/- 1581 )",605754,"(+/- 1423 )",633749,"(+/- 1259 )",584922,"(+/- 1959 )"
People,"Veteran Status","Civilian veterans",50600,"(+/- 2470 )",45426,"(+/- 2821 )",45981,"(+/- 2585 )",42025,"(+/- 2194 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",762881,"(+/- 2228 )",772557,"(+/- 2127 )",834509,"(+/- 1976 )",743082,"(+/- 1902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",92216,"(+/- 3507 )",90414,"(+/- 4147 )",91617,"(+/- 4525 )",91373,"(+/- 4513 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",175585,"(+/- 1314 )",177910,"(+/- 1500 )",208685,"(+/- 1095 )",169068,"(+/- 1652 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6983,"(+/- 1298 )",8280,"(+/- 1332 )",7616,"(+/- 1397 )",7358,"(+/- 1231 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",454108,"(+/- 1836 )",465280,"(+/- 1713 )",506825,"(+/- 1862 )",439863,"(+/- 2163 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43095,"(+/- 2618 )",42990,"(+/- 3538 )",46902,"(+/- 3444 )",41970,"(+/- 3239 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",133188,"(+/- 1432 )",129367,"(+/- 1290 )",118999,"(+/- 1077 )",134151,"(+/- 1490 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42138,"(+/- 2446 )",39144,"(+/- 2067 )",37099,"(+/- 2268 )",42045,"(+/- 2526 )"
People,"Residence 1 Year Ago","Population 1 year and over",764381,"(+/- 2215 )",774565,"(+/- 1859 )",833830,"(+/- 1839 )",746530,"(+/- 1737 )"
People,"Residence 1 Year Ago","Same house",660789,"(+/- 6691 )",656623,"(+/- 7802 )",697842,"(+/- 8657 )",647595,"(+/- 6503 )"
People,"Residence 1 Year Ago","Different house in the U.S.",101586,"(+/- 6517 )",113703,"(+/- 7655 )",133808,"(+/- 8410 )",96387,"(+/- 6239 )"
People,"Residence 1 Year Ago","Same county",61395,"(+/- 5107 )",67289,"(+/- 7035 )",77436,"(+/- 6479 )",51839,"(+/- 4810 )"
People,"Residence 1 Year Ago","Different county",40191,"(+/- 3804 )",46414,"(+/- 4209 )",56372,"(+/- 5026 )",44548,"(+/- 3397 )"
People,"Residence 1 Year Ago","Same state",25161,"(+/- 3450 )",25916,"(+/- 2889 )",36144,"(+/- 3530 )",26105,"(+/- 2486 )"
People,"Residence 1 Year Ago","Different state",15030,"(+/- 2116 )",20498,"(+/- 3024 )",20228,"(+/- 2997 )",18443,"(+/- 1922 )"
People,"Residence 1 Year Ago",Abroad,2006,"(+/- 761 )",4239,"(+/- 1931 )",2180,"(+/- 1013 )",2548,"(+/- 997 )"
Workers,"Employment Status","Population 16 years and over",617699,"(+/- 1999 )",626025,"(+/- 1980 )",658117,"(+/- 1657 )",604739,"(+/- 2263 )"
Workers,"Employment Status","In labor force",413970,"(+/- 4800 )",407719,"(+/- 4915 )",460936,"(+/- 5314 )",395446,"(+/- 4617 )"
Workers,"Employment Status","Civilian labor force",413458,"(+/- 4721 )",407662,"(+/- 4917 )",460423,"(+/- 5361 )",395173,"(+/- 4620 )"
Workers,"Employment Status",Employed,400150,"(+/- 4991 )",390611,"(+/- 5487 )",444002,"(+/- 5792 )",381236,"(+/- 4637 )"
Workers,"Employment Status",Unemployed,13308,"(+/- 1707 )",17051,"(+/- 2348 )",16421,"(+/- 1927 )",13937,"(+/- 1853 )"
Workers,"Employment Status","Armed Forces",512,"(+/- 476 )",57,"(+/- 83 )",513,"(+/- 299 )",273,"(+/- 179 )"
Workers,"Employment Status","Not in labor force",203729,"(+/- 4548 )",218306,"(+/- 4667 )",197181,"(+/- 5132 )",209293,"(+/- 4261 )"
Workers,"Employment Status","Civilian labor force",413458,"(+/- 4721 )",407662,"(+/- 4917 )",460423,"(+/- 5361 )",395173,"(+/- 4620 )"
Workers,"Employment Status","Unemployment Rate",3.2,"(+/- 0.4 )",4.2,"(+/- 0.6 )",3.6,"(+/- 0.4 )",3.5,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",393712,"(+/- 5175 )",382972,"(+/- 5655 )",436901,"(+/- 5491 )",375135,"(+/- 4785 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",324324,"(+/- 4803 )",308431,"(+/- 6374 )",365714,"(+/- 6614 )",297424,"(+/- 5466 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",31648,"(+/- 3157 )",30923,"(+/- 2934 )",34422,"(+/- 3493 )",32023,"(+/- 2570 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1227,"(+/- 558 )",5804,"(+/- 1654 )",4532,"(+/- 1235 )",4621,"(+/- 1106 )"
Workers,"Commuting to Work",Walked,12140,"(+/- 1567 )",15193,"(+/- 2168 )",6535,"(+/- 1321 )",13604,"(+/- 1614 )"
Workers,"Commuting to Work","Other means",4387,"(+/- 1131 )",5781,"(+/- 1011 )",4086,"(+/- 976 )",4595,"(+/- 1025 )"
Workers,"Commuting to Work","Worked at home",19986,"(+/- 2135 )",16840,"(+/- 1751 )",21612,"(+/- 2860 )",22868,"(+/- 2200 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.0,"(+/- 0.5 )",19.6,"(+/- 0.5 )",20.9,"(+/- 0.4 )",18.2,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",400150,"(+/- 4991 )",390611,"(+/- 5487 )",444002,"(+/- 5792 )",381236,"(+/- 4637 )"
Workers,Occupation,"Management, business, science, and arts occupations",136047,"(+/- 3983 )",140278,"(+/- 5286 )",180294,"(+/- 6682 )",130240,"(+/- 4240 )"
Workers,Occupation,"Service occupations",67995,"(+/- 3654 )",70147,"(+/- 3960 )",69012,"(+/- 3978 )",60794,"(+/- 3787 )"
Workers,Occupation,"Sales and office occupations",83596,"(+/- 3632 )",75232,"(+/- 3709 )",98638,"(+/- 5166 )",76944,"(+/- 3518 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36448,"(+/- 2295 )",33326,"(+/- 2332 )",36169,"(+/- 2925 )",42381,"(+/- 2638 )"
Workers,Occupation,"Production, transportation, and material moving occupations",76064,"(+/- 3311 )",71628,"(+/- 3863 )",59889,"(+/- 3811 )",70877,"(+/- 3455 )"
Workers,Industry,"Civilian employed population 16 years and over",400150,"(+/- 4991 )",390611,"(+/- 5487 )",444002,"(+/- 5792 )",381236,"(+/- 4637 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",12587,"(+/- 1364 )",9530,"(+/- 1363 )",9088,"(+/- 1398 )",24726,"(+/- 2123 )"
Workers,Industry,Construction,24742,"(+/- 2230 )",22291,"(+/- 1918 )",25862,"(+/- 2537 )",26835,"(+/- 2106 )"
Workers,Industry,Manufacturing,71865,"(+/- 3384 )",71006,"(+/- 3530 )",41573,"(+/- 3666 )",59978,"(+/- 3134 )"
Workers,Industry,"Wholesale trade",10727,"(+/- 1508 )",6508,"(+/- 1062 )",13362,"(+/- 2083 )",13766,"(+/- 1414 )"
Workers,Industry,"Retail trade",49913,"(+/- 2781 )",47266,"(+/- 3303 )",53328,"(+/- 3622 )",42822,"(+/- 2536 )"
Workers,Industry,"Transportation and warehousing, and utilities",20832,"(+/- 2420 )",18038,"(+/- 1947 )",24389,"(+/- 2332 )",20068,"(+/- 2071 )"
Workers,Industry,Information,5478,"(+/- 989 )",5570,"(+/- 1103 )",7846,"(+/- 1205 )",4404,"(+/- 912 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23863,"(+/- 2252 )",17908,"(+/- 2122 )",60357,"(+/- 3880 )",19724,"(+/- 2005 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27667,"(+/- 2407 )",23573,"(+/- 2123 )",42450,"(+/- 3543 )",20757,"(+/- 2060 )"
Workers,Industry,"Educational services, and health care and social assistance",96467,"(+/- 4265 )",106014,"(+/- 3907 )",99586,"(+/- 4643 )",94520,"(+/- 4168 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",30066,"(+/- 2976 )",35856,"(+/- 3319 )",32313,"(+/- 2767 )",26256,"(+/- 2742 )"
Workers,Industry,"Other services, except public administration",15604,"(+/- 1767 )",16379,"(+/- 2099 )",17491,"(+/- 2288 )",16100,"(+/- 1630 )"
Workers,Industry,"Public administration",10339,"(+/- 1430 )",10672,"(+/- 1449 )",16357,"(+/- 1865 )",11280,"(+/- 1372 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",400150,"(+/- 4991 )",390611,"(+/- 5487 )",444002,"(+/- 5792 )",381236,"(+/- 4637 )"
Workers,"Class of Worker","Private wage and salary workers",327574,"(+/- 5373 )",309197,"(+/- 5180 )",369576,"(+/- 6237 )",294792,"(+/- 4746 )"
Workers,"Class of Worker","Government workers",45607,"(+/- 2962 )",59921,"(+/- 3395 )",53608,"(+/- 3530 )",54827,"(+/- 3418 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25983,"(+/- 2532 )",20515,"(+/- 1985 )",20094,"(+/- 1973 )",30762,"(+/- 2127 )"
Workers,"Class of Worker","Unpaid family workers",986,"(+/- 421 )",978,"(+/- 531 )",724,"(+/- 448 )",855,"(+/- 294 )"
Housing,"Housing Occupancy","Total housing units",345013,"(+/- 1253 )",348994,"(+/- 1154 )",362175,"(+/- 936 )",353386,"(+/- 1285 )"
Housing,"Housing Occupancy","Occupied housing units",311514,"(+/- 2968 )",313626,"(+/- 3670 )",330429,"(+/- 3201 )",312304,"(+/- 3526 )"
Housing,"Housing Occupancy","Vacant housing units",33499,"(+/- 3159 )",35368,"(+/- 3525 )",31746,"(+/- 3052 )",41082,"(+/- 3438 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,"(+/- 0.4 )",1.4,"(+/- 0.5 )",1.5,"(+/- 0.5 )",1.4,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.0,"(+/- 1.8 )",7.7,"(+/- 1.6 )",6.2,"(+/- 1.4 )",6.6,"(+/- 1.7 )"
Housing,"Housing Tenure","Occupied housing units",311514,"(+/- 2968 )",313626,"(+/- 3670 )",330429,"(+/- 3201 )",312304,"(+/- 3526 )"
Housing,"Housing Tenure",Owner-occupied,231103,"(+/- 3506 )",216896,"(+/- 4187 )",230399,"(+/- 4205 )",225353,"(+/- 3834 )"
Housing,"Housing Tenure",Renter-occupied,80411,"(+/- 3426 )",96730,"(+/- 4337 )",100030,"(+/- 3953 )",86951,"(+/- 3967 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.51,"(+/- 0.03 )",2.53,"(+/- 0.03 )",2.61,"(+/- 0.04 )",2.41,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.10,"(+/- 0.07 )",2.17,"(+/- 0.06 )",2.26,"(+/- 0.07 )",2.07,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",311514,"(+/- 2968 )",313626,"(+/- 3670 )",330429,"(+/- 3201 )",312304,"(+/- 3526 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",52712,"(+/- 3537 )",58999,"(+/- 3461 )",70561,"(+/- 4023 )",50515,"(+/- 3271 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",46078,"(+/- 2719 )",46340,"(+/- 3008 )",55452,"(+/- 3459 )",42728,"(+/- 2652 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",62339,"(+/- 3358 )",57111,"(+/- 3026 )",61766,"(+/- 3805 )",56521,"(+/- 3106 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",67415,"(+/- 2487 )",68592,"(+/- 3308 )",71299,"(+/- 3442 )",69763,"(+/- 3089 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",38742,"(+/- 2498 )",40731,"(+/- 2046 )",35244,"(+/- 2402 )",40879,"(+/- 2168 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",44228,"(+/- 2072 )",41853,"(+/- 2085 )",36107,"(+/- 1846 )",51898,"(+/- 2018 )"
Housing,Value,"Owner-occupied units",231103,"(+/- 3506 )",216896,"(+/- 4187 )",230399,"(+/- 4205 )",225353,"(+/- 3834 )"
Housing,Value,"Less than $50,000",17647,"(+/- 1675 )",22336,"(+/- 2041 )",12658,"(+/- 1499 )",24793,"(+/- 1861 )"
Housing,Value,"$50,000 to $99,999",39638,"(+/- 2364 )",48292,"(+/- 2829 )",31930,"(+/- 1937 )",60651,"(+/- 2591 )"
Housing,Value,"$100,000 to $149,999",58146,"(+/- 2926 )",38133,"(+/- 2413 )",42856,"(+/- 3235 )",47288,"(+/- 2680 )"
Housing,Value,"$150,000 to $199,999",39596,"(+/- 2205 )",34766,"(+/- 2542 )",43084,"(+/- 2814 )",34942,"(+/- 2070 )"
Housing,Value,"$200,000 to $299,999",46490,"(+/- 2333 )",38968,"(+/- 2353 )",52462,"(+/- 3228 )",33250,"(+/- 2122 )"
Housing,Value,"$300,000 to $499,999",23292,"(+/- 2257 )",27479,"(+/- 2104 )",37499,"(+/- 3034 )",19402,"(+/- 1583 )"
Housing,Value,"$500,000 to $999,999",5072,"(+/- 899 )",5981,"(+/- 996 )",8835,"(+/- 1175 )",3777,"(+/- 859 )"
Housing,Value,"$1,000,000 or more",1222,"(+/- 427 )",941,"(+/- 465 )",1075,"(+/- 392 )",1250,"(+/- 460 )"
Housing,Value,"Median (dollars)",150100,"(+/- 2880 )",149600,"(+/- 3912 )",178200,"(+/- 4608 )",125200,"(+/- 2806 )"
Housing,"Mortgage Status","Owner-occupied units",231103,"(+/- 3506 )",216896,"(+/- 4187 )",230399,"(+/- 4205 )",225353,"(+/- 3834 )"
Housing,"Mortgage Status","Housing units with a mortgage",140039,"(+/- 3750 )",126985,"(+/- 3691 )",154819,"(+/- 4452 )",121265,"(+/- 3407 )"
Housing,"Mortgage Status","Housing units without a mortgage",91064,"(+/- 2977 )",89911,"(+/- 3286 )",75580,"(+/- 3336 )",104088,"(+/- 3059 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",140039,"(+/- 3750 )",126985,"(+/- 3691 )",154819,"(+/- 4452 )",121265,"(+/- 3407 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1486,"(+/- 464 )",1859,"(+/- 578 )",1022,"(+/- 268 )",2669,"(+/- 646 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",41469,"(+/- 2717 )",39045,"(+/- 2422 )",34598,"(+/- 2504 )",47754,"(+/- 2889 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",53403,"(+/- 3023 )",44372,"(+/- 2619 )",54778,"(+/- 3371 )",43177,"(+/- 2557 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",26668,"(+/- 2159 )",22841,"(+/- 2389 )",36376,"(+/- 2652 )",16613,"(+/- 1639 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10492,"(+/- 1714 )",10328,"(+/- 1561 )",14674,"(+/- 1703 )",6513,"(+/- 901 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3876,"(+/- 800 )",3984,"(+/- 970 )",7735,"(+/- 1342 )",2236,"(+/- 620 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2645,"(+/- 701 )",4556,"(+/- 949 )",5636,"(+/- 1082 )",2303,"(+/- 724 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1220,"(+/- 20 )",1240,"(+/- 28 )",1376,"(+/- 23 )",1099,"(+/- 19 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",91064,"(+/- 2977 )",89911,"(+/- 3286 )",75580,"(+/- 3336 )",104088,"(+/- 3059 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",5504,"(+/- 867 )",7051,"(+/- 1024 )",4168,"(+/- 1025 )",9539,"(+/- 969 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",22339,"(+/- 2047 )",21523,"(+/- 1777 )",14393,"(+/- 1412 )",32337,"(+/- 1848 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",38755,"(+/- 2703 )",34717,"(+/- 2372 )",26483,"(+/- 2207 )",38327,"(+/- 2120 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",15830,"(+/- 1715 )",16596,"(+/- 1718 )",17452,"(+/- 2145 )",15303,"(+/- 1425 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6247,"(+/- 969 )",6046,"(+/- 1290 )",6799,"(+/- 1103 )",5054,"(+/- 818 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2389,"(+/- 592 )",3978,"(+/- 780 )",6285,"(+/- 1175 )",3528,"(+/- 706 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",482,"(+/- 8 )",490,"(+/- 11 )",549,"(+/- 10 )",444,"(+/- 7 )"
Housing,"Gross Rent","Occupied units paying rent",74249,"(+/- 3467 )",91398,"(+/- 4354 )",95137,"(+/- 3864 )",80116,"(+/- 3788 )"
