Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,Race,"Total population",721124,"(+/- 3530 )",769850,"(+/- 4606 )",749110,"(+/- 3229 )",754387,"(+/- 4730 )",695105,"(+/- 4679 )",778826,"(+/- 5709 )"
People,Race,"One race",703068,"(+/- 4248 )",747803,"(+/- 5595 )",730388,"(+/- 5236 )",738229,"(+/- 5391 )",688162,"(+/- 4659 )",752734,"(+/- 6289 )"
People,Race,White,641142,"(+/- 4017 )",685076,"(+/- 5001 )",525539,"(+/- 4589 )",693312,"(+/- 5476 )",674403,"(+/- 4973 )",655551,"(+/- 6990 )"
People,Race,"Black or African American",49665,"(+/- 2822 )",35956,"(+/- 3154 )",167681,"(+/- 3565 )",25869,"(+/- 2927 )",8772,"(+/- 1620 )",66818,"(+/- 2702 )"
People,Race,"American Indian and Alaska Native",1301,"(+/- 691 )",2452,"(+/- 1240 )",1894,"(+/- 744 )",849,"(+/- 482 )",982,"(+/- 726 )",992,"(+/- 647 )"
People,Race,Asian,4625,"(+/- 1171 )",13122,"(+/- 1329 )",22504,"(+/- 1395 )",8646,"(+/- 1439 )",1749,"(+/- 635 )",14654,"(+/- 1281 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1714,"(+/- 1379 )",2735,"(+/- 1998 )",27,"(+/- 45 )",213,"(+/- 217 )",150,"(+/- 186 )",104,"(+/- 157 )"
People,Race,"Some other race",4621,"(+/- 1179 )",8462,"(+/- 2469 )",12743,"(+/- 4241 )",9340,"(+/- 2274 )",2106,"(+/- 966 )",14615,"(+/- 2740 )"
People,Race,"Two or more races",18056,"(+/- 2551 )",22047,"(+/- 3108 )",18722,"(+/- 3510 )",16158,"(+/- 2676 )",6943,"(+/- 1311 )",26092,"(+/- 3242 )"
People,"Hispanic or Latino and Race","Total population",721124,"(+/- 3530 )",769850,"(+/- 4606 )",749110,"(+/- 3229 )",754387,"(+/- 4730 )",695105,"(+/- 4679 )",778826,"(+/- 5709 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",21680,"(+/- 1468 )",25454,"(+/- 1258 )",43817,"(+/- 218 )",25598,"(+/- 746 )",7561,"(+/- 914 )",37396,"(+/- 1462 )"
People,"Hispanic or Latino and Race",Mexican,13899,"(+/- 2039 )",12748,"(+/- 2327 )",15373,"(+/- 3085 )",14712,"(+/- 2807 )",4538,"(+/- 897 )",24540,"(+/- 2187 )"
People,"Hispanic or Latino and Race","Puerto Rican",2242,"(+/- 1142 )",4320,"(+/- 1568 )",3908,"(+/- 1548 )",1860,"(+/- 1029 )",1341,"(+/- 741 )",2205,"(+/- 1107 )"
People,"Hispanic or Latino and Race",Cuban,160,"(+/- 192 )",302,"(+/- 284 )",13014,"(+/- 2681 )",320,"(+/- 258 )",114,"(+/- 177 )",745,"(+/- 398 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5379,"(+/- 1661 )",8084,"(+/- 1781 )",11522,"(+/- 3534 )",8706,"(+/- 2677 )",1568,"(+/- 932 )",9906,"(+/- 2474 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",699444,"(+/- 3718 )",744396,"(+/- 4844 )",705293,"(+/- 3267 )",728789,"(+/- 4738 )",687544,"(+/- 5047 )",741430,"(+/- 5812 )"
People,"Place of Birth","Total population",721124,"(+/- 3530 )",769850,"(+/- 4606 )",749110,"(+/- 3229 )",754387,"(+/- 4730 )",695105,"(+/- 4679 )",778826,"(+/- 5709 )"
People,"Place of Birth",Native,709113,"(+/- 4145 )",743245,"(+/- 5555 )",688104,"(+/- 5128 )",732100,"(+/- 5784 )",689391,"(+/- 5039 )",737103,"(+/- 5887 )"
People,"Place of Birth","Born in United States",702553,"(+/- 4657 )",734779,"(+/- 6026 )",680909,"(+/- 5186 )",726638,"(+/- 5877 )",687875,"(+/- 5084 )",731303,"(+/- 5820 )"
People,"Place of Birth","State of residence",484800,"(+/- 9293 )",549065,"(+/- 8862 )",508675,"(+/- 9607 )",459039,"(+/- 10083 )",544167,"(+/- 8547 )",530044,"(+/- 8832 )"
People,"Place of Birth","Different state",217753,"(+/- 8232 )",185714,"(+/- 7144 )",172234,"(+/- 7881 )",267599,"(+/- 8616 )",143708,"(+/- 6396 )",201259,"(+/- 7855 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6560,"(+/- 1793 )",8466,"(+/- 1421 )",7195,"(+/- 1423 )",5462,"(+/- 1419 )",1516,"(+/- 663 )",5800,"(+/- 1600 )"
People,"Place of Birth","Foreign born",12011,"(+/- 2007 )",26605,"(+/- 2592 )",61006,"(+/- 3779 )",22287,"(+/- 2947 )",5714,"(+/- 1170 )",41723,"(+/- 3514 )"
People,Ancestry,"Total population",721124,"(+/- 3530 )",769850,"(+/- 4606 )",749110,"(+/- 3229 )",754387,"(+/- 4730 )",695105,"(+/- 4679 )",778826,"(+/- 5709 )"
People,Ancestry,American,115653,"(+/- 7318 )",107940,"(+/- 7184 )",54420,"(+/- 5243 )",88860,"(+/- 5966 )",144966,"(+/- 8049 )",125066,"(+/- 8256 )"
People,Ancestry,Arab,483,"(+/- 361 )",2133,"(+/- 1035 )",6241,"(+/- 3188 )",2139,"(+/- 1051 )",350,"(+/- 305 )",4761,"(+/- 2376 )"
People,Ancestry,Czech,694,"(+/- 324 )",521,"(+/- 346 )",939,"(+/- 390 )",495,"(+/- 308 )",213,"(+/- 279 )",1173,"(+/- 520 )"
People,Ancestry,Danish,219,"(+/- 183 )",629,"(+/- 457 )",489,"(+/- 258 )",1276,"(+/- 640 )",70,"(+/- 121 )",1354,"(+/- 678 )"
People,Ancestry,Dutch,5441,"(+/- 1783 )",5775,"(+/- 1460 )",7969,"(+/- 1626 )",8108,"(+/- 1937 )",3151,"(+/- 1064 )",5666,"(+/- 1045 )"
People,Ancestry,English,95420,"(+/- 6942 )",62620,"(+/- 4140 )",56432,"(+/- 5331 )",82056,"(+/- 6677 )",66190,"(+/- 5733 )",83168,"(+/- 5530 )"
People,Ancestry,"French (except Basque)",7568,"(+/- 1667 )",11204,"(+/- 2757 )",14416,"(+/- 2142 )",16197,"(+/- 3074 )",4432,"(+/- 1283 )",12043,"(+/- 2187 )"
People,Ancestry,"French Canadian",907,"(+/- 611 )",1356,"(+/- 654 )",968,"(+/- 604 )",690,"(+/- 435 )",523,"(+/- 395 )",1637,"(+/- 520 )"
People,Ancestry,German,61071,"(+/- 4922 )",87119,"(+/- 6114 )",110476,"(+/- 6238 )",176702,"(+/- 7960 )",40445,"(+/- 4381 )",84577,"(+/- 5984 )"
People,Ancestry,Greek,522,"(+/- 379 )",1159,"(+/- 818 )",762,"(+/- 379 )",1603,"(+/- 876 )",284,"(+/- 262 )",1236,"(+/- 642 )"
People,Ancestry,Hungarian,696,"(+/- 438 )",743,"(+/- 573 )",1148,"(+/- 565 )",1416,"(+/- 565 )",1091,"(+/- 977 )",1242,"(+/- 565 )"
People,Ancestry,Irish,61247,"(+/- 4896 )",90195,"(+/- 5452 )",85967,"(+/- 7218 )",117266,"(+/- 7566 )",60895,"(+/- 5699 )",89003,"(+/- 6984 )"
People,Ancestry,Italian,7400,"(+/- 1473 )",12718,"(+/- 2545 )",19217,"(+/- 3129 )",25936,"(+/- 4189 )",6038,"(+/- 1600 )",16272,"(+/- 2509 )"
People,Ancestry,Lithuanian,327,"(+/- 335 )",746,"(+/- 897 )",728,"(+/- 576 )",1076,"(+/- 508 )",101,"(+/- 179 )",546,"(+/- 419 )"
People,Ancestry,Norwegian,2771,"(+/- 1163 )",3556,"(+/- 1166 )",1563,"(+/- 521 )",2717,"(+/- 938 )",487,"(+/- 320 )",2736,"(+/- 1048 )"
People,Ancestry,Polish,3022,"(+/- 869 )",6960,"(+/- 1516 )",8468,"(+/- 1408 )",8264,"(+/- 1864 )",2461,"(+/- 1097 )",9218,"(+/- 1818 )"
People,Ancestry,Portuguese,538,"(+/- 593 )",825,"(+/- 576 )",611,"(+/- 520 )",575,"(+/- 318 )",435,"(+/- 351 )",1597,"(+/- 1056 )"
People,Ancestry,Russian,840,"(+/- 494 )",1617,"(+/- 827 )",4376,"(+/- 2059 )",2227,"(+/- 833 )",272,"(+/- 305 )",1912,"(+/- 1063 )"
People,Ancestry,Scotch-Irish,7397,"(+/- 1433 )",12129,"(+/- 2545 )",7765,"(+/- 1429 )",9942,"(+/- 1782 )",8594,"(+/- 1786 )",13755,"(+/- 2139 )"
People,Ancestry,Scottish,10892,"(+/- 2110 )",15152,"(+/- 2449 )",11371,"(+/- 1878 )",15417,"(+/- 2534 )",10278,"(+/- 1872 )",19617,"(+/- 2641 )"
People,Ancestry,Slovak,166,"(+/- 185 )",751,"(+/- 502 )",586,"(+/- 328 )",676,"(+/- 416 )",38,"(+/- 65 )",268,"(+/- 227 )"
People,Ancestry,"Subsaharan African",4826,"(+/- 1385 )",2715,"(+/- 1381 )",11820,"(+/- 3678 )",3475,"(+/- 1729 )",792,"(+/- 504 )",6626,"(+/- 1977 )"
People,Ancestry,Swedish,1918,"(+/- 1089 )",3844,"(+/- 1533 )",3740,"(+/- 1424 )",2795,"(+/- 886 )",868,"(+/- 553 )",4735,"(+/- 1481 )"
People,Ancestry,Swiss,2037,"(+/- 1142 )",347,"(+/- 219 )",3462,"(+/- 1229 )",1837,"(+/- 697 )",2284,"(+/- 1370 )",1783,"(+/- 622 )"
People,Ancestry,Ukrainian,414,"(+/- 593 )",306,"(+/- 242 )",386,"(+/- 240 )",583,"(+/- 401 )",166,"(+/- 305 )",2105,"(+/- 1849 )"
People,Ancestry,Welsh,2398,"(+/- 678 )",5061,"(+/- 1538 )",4833,"(+/- 1435 )",4590,"(+/- 1175 )",2601,"(+/- 1102 )",7509,"(+/- 1717 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1093,"(+/- 1071 )",1004,"(+/- 715 )",1151,"(+/- 579 )",701,"(+/- 753 )",191,"(+/- 254 )",1238,"(+/- 843 )"
People,"Veteran Status","Civilian population 18 years and over",551399,"(+/- 3047 )",588424,"(+/- 3885 )",583272,"(+/- 2298 )",576857,"(+/- 3563 )",540810,"(+/- 3535 )",608294,"(+/- 4462 )"
People,"Veteran Status","Civilian veterans",45602,"(+/- 3490 )",57996,"(+/- 3499 )",41861,"(+/- 3071 )",45857,"(+/- 3800 )",30766,"(+/- 2634 )",39805,"(+/- 2960 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",698926,"(+/- 4543 )",756703,"(+/- 5188 )",740993,"(+/- 4090 )",742249,"(+/- 4855 )",679316,"(+/- 5256 )",770017,"(+/- 6208 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",131365,"(+/- 6720 )",129085,"(+/- 6166 )",99734,"(+/- 5200 )",109722,"(+/- 5177 )",169006,"(+/- 6895 )",123190,"(+/- 4862 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",161737,"(+/- 2617 )",177976,"(+/- 2747 )",165029,"(+/- 1711 )",177002,"(+/- 2784 )",153835,"(+/- 2795 )",170007,"(+/- 3334 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",11058,"(+/- 2123 )",8066,"(+/- 1458 )",8252,"(+/- 2058 )",12059,"(+/- 2000 )",12084,"(+/- 1754 )",11005,"(+/- 1865 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",408539,"(+/- 3773 )",458443,"(+/- 4352 )",459027,"(+/- 2917 )",451633,"(+/- 3823 )",407370,"(+/- 3891 )",488090,"(+/- 4338 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",71715,"(+/- 5001 )",73129,"(+/- 4781 )",49179,"(+/- 3592 )",58247,"(+/- 4061 )",97208,"(+/- 6042 )",68330,"(+/- 3666 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",128650,"(+/- 2103 )",120284,"(+/- 2382 )",116937,"(+/- 1228 )",113614,"(+/- 1692 )",118111,"(+/- 2160 )",111920,"(+/- 2427 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48592,"(+/- 2886 )",47890,"(+/- 3203 )",42303,"(+/- 2227 )",39416,"(+/- 2107 )",59714,"(+/- 2547 )",43855,"(+/- 2335 )"
People,"Residence 1 Year Ago","Population 1 year and over",713482,"(+/- 3574 )",760636,"(+/- 4813 )",738732,"(+/- 3427 )",746003,"(+/- 4791 )",687315,"(+/- 4834 )",768546,"(+/- 5795 )"
People,"Residence 1 Year Ago","Same house",618169,"(+/- 8096 )",639080,"(+/- 8795 )",623783,"(+/- 9498 )",645493,"(+/- 7913 )",602306,"(+/- 8073 )",615357,"(+/- 9160 )"
People,"Residence 1 Year Ago","Different house in the U.S.",92731,"(+/- 7743 )",119333,"(+/- 7516 )",112511,"(+/- 8329 )",98631,"(+/- 6729 )",84195,"(+/- 7525 )",150590,"(+/- 8445 )"
People,"Residence 1 Year Ago","Same county",48741,"(+/- 5304 )",66369,"(+/- 6288 )",84635,"(+/- 7238 )",43581,"(+/- 5160 )",47978,"(+/- 6200 )",94419,"(+/- 7475 )"
People,"Residence 1 Year Ago","Different county",43990,"(+/- 4422 )",52964,"(+/- 5258 )",27876,"(+/- 3864 )",55050,"(+/- 5788 )",36217,"(+/- 4691 )",56171,"(+/- 5342 )"
People,"Residence 1 Year Ago","Same state",20601,"(+/- 2994 )",35992,"(+/- 4803 )",11480,"(+/- 1998 )",31693,"(+/- 5038 )",25952,"(+/- 4342 )",36094,"(+/- 3713 )"
People,"Residence 1 Year Ago","Different state",23389,"(+/- 3773 )",16972,"(+/- 2638 )",16396,"(+/- 3134 )",23357,"(+/- 4760 )",10265,"(+/- 2300 )",20077,"(+/- 3641 )"
People,"Residence 1 Year Ago",Abroad,2582,"(+/- 1255 )",2223,"(+/- 918 )",2438,"(+/- 811 )",1879,"(+/- 826 )",814,"(+/- 384 )",2599,"(+/- 1344 )"
Workers,"Employment Status","Population 16 years and over",576278,"(+/- 3256 )",611821,"(+/- 4040 )",602517,"(+/- 2572 )",596544,"(+/- 3789 )",558666,"(+/- 3787 )",626228,"(+/- 4928 )"
Workers,"Employment Status","In labor force",319583,"(+/- 5565 )",367237,"(+/- 7414 )",393364,"(+/- 5995 )",384227,"(+/- 5639 )",250426,"(+/- 6076 )",402396,"(+/- 5909 )"
Workers,"Employment Status","Civilian labor force",311919,"(+/- 5432 )",364137,"(+/- 7376 )",393201,"(+/- 5982 )",383877,"(+/- 5612 )",250426,"(+/- 6076 )",402108,"(+/- 5928 )"
Workers,"Employment Status",Employed,293237,"(+/- 5880 )",348344,"(+/- 7266 )",372958,"(+/- 6355 )",366872,"(+/- 5915 )",233370,"(+/- 6219 )",381008,"(+/- 6114 )"
Workers,"Employment Status",Unemployed,18682,"(+/- 2466 )",15793,"(+/- 2002 )",20243,"(+/- 2640 )",17005,"(+/- 2541 )",17056,"(+/- 2394 )",21100,"(+/- 2499 )"
Workers,"Employment Status","Armed Forces",7664,"(+/- 1038 )",3100,"(+/- 899 )",163,"(+/- 160 )",350,"(+/- 299 )",0,"(+/- 197 )",288,"(+/- 272 )"
Workers,"Employment Status","Not in labor force",256695,"(+/- 5908 )",244584,"(+/- 7166 )",209153,"(+/- 6052 )",212317,"(+/- 5148 )",308240,"(+/- 6586 )",223832,"(+/- 5886 )"
Workers,"Employment Status","Civilian labor force",311919,"(+/- 5432 )",364137,"(+/- 7376 )",393201,"(+/- 5982 )",383877,"(+/- 5612 )",250426,"(+/- 6076 )",402108,"(+/- 5928 )"
Workers,"Employment Status","Unemployment Rate",6.0,"(+/- 0.8 )",4.3,"(+/- 0.5 )",5.1,"(+/- 0.7 )",4.4,"(+/- 0.7 )",6.8,"(+/- 0.9 )",5.2,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",293933,"(+/- 6067 )",341428,"(+/- 7200 )",365794,"(+/- 6237 )",360685,"(+/- 6459 )",228735,"(+/- 6400 )",374383,"(+/- 6263 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",247331,"(+/- 6901 )",286742,"(+/- 7930 )",293885,"(+/- 6868 )",297363,"(+/- 7921 )",190932,"(+/- 6074 )",302685,"(+/- 6379 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26908,"(+/- 2951 )",32645,"(+/- 3254 )",30776,"(+/- 2585 )",33366,"(+/- 3462 )",23809,"(+/- 2587 )",36492,"(+/- 4197 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",698,"(+/- 375 )",499,"(+/- 403 )",10258,"(+/- 1829 )",3617,"(+/- 912 )",634,"(+/- 472 )",3596,"(+/- 1319 )"
Workers,"Commuting to Work",Walked,7983,"(+/- 1273 )",4564,"(+/- 1254 )",6260,"(+/- 1529 )",4333,"(+/- 1211 )",4406,"(+/- 1251 )",11144,"(+/- 1626 )"
Workers,"Commuting to Work","Other means",3678,"(+/- 1012 )",4917,"(+/- 1373 )",6085,"(+/- 1558 )",4737,"(+/- 1221 )",1066,"(+/- 471 )",3785,"(+/- 998 )"
Workers,"Commuting to Work","Worked at home",7335,"(+/- 1335 )",12061,"(+/- 1706 )",18530,"(+/- 2060 )",17269,"(+/- 1983 )",7888,"(+/- 1330 )",16681,"(+/- 2063 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.1,"(+/- 0.6 )",23.8,"(+/- 0.7 )",22.2,"(+/- 0.5 )",25.2,"(+/- 0.6 )",26.0,"(+/- 0.9 )",23.0,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",293237,"(+/- 5880 )",348344,"(+/- 7266 )",372958,"(+/- 6355 )",366872,"(+/- 5915 )",233370,"(+/- 6219 )",381008,"(+/- 6114 )"
Workers,Occupation,"Management, business, science, and arts occupations",87710,"(+/- 4642 )",105815,"(+/- 5164 )",141102,"(+/- 5877 )",145399,"(+/- 5263 )",70776,"(+/- 4678 )",143373,"(+/- 6088 )"
Workers,Occupation,"Service occupations",51653,"(+/- 3659 )",59126,"(+/- 3936 )",63089,"(+/- 4295 )",51996,"(+/- 3925 )",44067,"(+/- 3719 )",67969,"(+/- 5212 )"
Workers,Occupation,"Sales and office occupations",57961,"(+/- 3534 )",74452,"(+/- 4710 )",79774,"(+/- 4809 )",80251,"(+/- 4701 )",49589,"(+/- 3851 )",83585,"(+/- 4929 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34554,"(+/- 2833 )",36778,"(+/- 3036 )",23516,"(+/- 2683 )",26889,"(+/- 2396 )",27426,"(+/- 2641 )",28041,"(+/- 2392 )"
Workers,Occupation,"Production, transportation, and material moving occupations",61359,"(+/- 4003 )",72173,"(+/- 3374 )",65477,"(+/- 4141 )",62337,"(+/- 4225 )",41512,"(+/- 3120 )",58040,"(+/- 3681 )"
Workers,Industry,"Civilian employed population 16 years and over",293237,"(+/- 5880 )",348344,"(+/- 7266 )",372958,"(+/- 6355 )",366872,"(+/- 5915 )",233370,"(+/- 6219 )",381008,"(+/- 6114 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",15242,"(+/- 2228 )",6868,"(+/- 1343 )",826,"(+/- 536 )",3897,"(+/- 1114 )",9750,"(+/- 1574 )",7073,"(+/- 1502 )"
Workers,Industry,Construction,18625,"(+/- 1903 )",25844,"(+/- 2667 )",18853,"(+/- 2585 )",20198,"(+/- 2307 )",16649,"(+/- 2185 )",21176,"(+/- 2033 )"
Workers,Industry,Manufacturing,52515,"(+/- 2480 )",60485,"(+/- 4027 )",41653,"(+/- 3609 )",50776,"(+/- 3496 )",23416,"(+/- 2566 )",49158,"(+/- 3248 )"
Workers,Industry,"Wholesale trade",5108,"(+/- 971 )",8690,"(+/- 1828 )",9354,"(+/- 1578 )",11280,"(+/- 1817 )",3654,"(+/- 1010 )",7756,"(+/- 1445 )"
Workers,Industry,"Retail trade",32740,"(+/- 3140 )",40272,"(+/- 3165 )",37797,"(+/- 3343 )",43200,"(+/- 3679 )",28917,"(+/- 3143 )",45408,"(+/- 3615 )"
Workers,Industry,"Transportation and warehousing, and utilities",15649,"(+/- 2012 )",22238,"(+/- 2445 )",30616,"(+/- 2888 )",27548,"(+/- 2689 )",13963,"(+/- 1902 )",16279,"(+/- 1822 )"
Workers,Industry,Information,4253,"(+/- 1286 )",4822,"(+/- 1261 )",7791,"(+/- 1580 )",6339,"(+/- 1434 )",4371,"(+/- 1030 )",5776,"(+/- 1272 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",10209,"(+/- 1660 )",16745,"(+/- 2225 )",28643,"(+/- 2542 )",29004,"(+/- 2574 )",7620,"(+/- 1313 )",17246,"(+/- 2232 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",20264,"(+/- 2144 )",24682,"(+/- 2220 )",43729,"(+/- 3505 )",38963,"(+/- 3110 )",15402,"(+/- 1825 )",36299,"(+/- 3234 )"
Workers,Industry,"Educational services, and health care and social assistance",68624,"(+/- 4358 )",76453,"(+/- 4316 )",87554,"(+/- 4408 )",79835,"(+/- 5024 )",64329,"(+/- 4265 )",98834,"(+/- 5000 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",21895,"(+/- 2628 )",29855,"(+/- 2892 )",37833,"(+/- 3174 )",29629,"(+/- 2662 )",17895,"(+/- 2312 )",36103,"(+/- 3438 )"
Workers,Industry,"Other services, except public administration",14263,"(+/- 1890 )",14827,"(+/- 1936 )",17985,"(+/- 2355 )",11997,"(+/- 1394 )",11631,"(+/- 1842 )",19260,"(+/- 2146 )"
Workers,Industry,"Public administration",13850,"(+/- 1861 )",16563,"(+/- 2083 )",10324,"(+/- 1669 )",14206,"(+/- 1799 )",15773,"(+/- 2212 )",20640,"(+/- 2221 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",293237,"(+/- 5880 )",348344,"(+/- 7266 )",372958,"(+/- 6355 )",366872,"(+/- 5915 )",233370,"(+/- 6219 )",381008,"(+/- 6114 )"
Workers,"Class of Worker","Private wage and salary workers",230008,"(+/- 5165 )",280660,"(+/- 7381 )",319959,"(+/- 7702 )",309957,"(+/- 6188 )",174985,"(+/- 5689 )",297128,"(+/- 7009 )"
Workers,"Class of Worker","Government workers",41754,"(+/- 3177 )",49477,"(+/- 3516 )",35532,"(+/- 3421 )",41357,"(+/- 3495 )",44822,"(+/- 3287 )",62401,"(+/- 3752 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20383,"(+/- 2064 )",17672,"(+/- 2323 )",16896,"(+/- 2560 )",14937,"(+/- 2085 )",13219,"(+/- 1549 )",20596,"(+/- 2394 )"
Workers,"Class of Worker","Unpaid family workers",1092,"(+/- 493 )",535,"(+/- 305 )",571,"(+/- 297 )",621,"(+/- 347 )",344,"(+/- 351 )",883,"(+/- 503 )"
Housing,"Housing Occupancy","Total housing units",339323,"(+/- 2263 )",334272,"(+/- 2243 )",337997,"(+/- 1509 )",315219,"(+/- 1992 )",329875,"(+/- 2632 )",338501,"(+/- 2616 )"
Housing,"Housing Occupancy","Occupied housing units",282020,"(+/- 4132 )",290818,"(+/- 3988 )",302502,"(+/- 3564 )",284807,"(+/- 3795 )",266607,"(+/- 4555 )",305959,"(+/- 4117 )"
Housing,"Housing Occupancy","Vacant housing units",57303,"(+/- 3988 )",43454,"(+/- 3348 )",35495,"(+/- 3312 )",30412,"(+/- 2994 )",63268,"(+/- 4241 )",32542,"(+/- 3492 )"
