Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Race,"American Indian and Alaska Native",1707,"(+/- 1079 )",2634,"(+/- 1125 )"
People,Race,Asian,16633,"(+/- 2638 )",19431,"(+/- 2575 )"
People,Race,"Native Hawaiian and Other Pacific Islander",723,"(+/- 869 )",160,"(+/- 204 )"
People,Race,"Some other race",42630,"(+/- 6547 )",17113,"(+/- 4789 )"
People,Race,"Two or more races",17967,"(+/- 2826 )",14763,"(+/- 2496 )"
People,"Hispanic or Latino and Race","Total population",532590,"(+/- 8721 )",524725,"(+/- 8721 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",100684,"(+/- 6688 )",67657,"(+/- 6687 )"
People,"Hispanic or Latino and Race",Mexican,6074,"(+/- 2882 )",5305,"(+/- 2000 )"
People,"Hispanic or Latino and Race","Puerto Rican",35337,"(+/- 6427 )",19005,"(+/- 3423 )"
People,"Hispanic or Latino and Race",Cuban,663,"(+/- 574 )",612,"(+/- 468 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",58610,"(+/- 6860 )",42735,"(+/- 6251 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",431906,"(+/- 6714 )",457068,"(+/- 6714 )"
People,"Place of Birth","Total population",532590,"(+/- 8721 )",524725,"(+/- 8721 )"
People,"Place of Birth",Native,443259,"(+/- 9122 )",474993,"(+/- 7726 )"
People,"Place of Birth","Born in United States",425867,"(+/- 9457 )",465773,"(+/- 7539 )"
People,"Place of Birth","State of residence",278313,"(+/- 8765 )",339921,"(+/- 8588 )"
People,"Place of Birth","Different state",147554,"(+/- 7059 )",125852,"(+/- 6388 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",17392,"(+/- 2958 )",9220,"(+/- 2001 )"
People,"Place of Birth","Foreign born",89331,"(+/- 6795 )",49732,"(+/- 5216 )"
People,Ancestry,"Total population",532590,"(+/- 8721 )",524725,"(+/- 8721 )"
People,Ancestry,American,17757,"(+/- 3227 )",17892,"(+/- 2714 )"
People,Ancestry,Arab,5248,"(+/- 2465 )",3312,"(+/- 1502 )"
People,Ancestry,Czech,197,"(+/- 246 )",595,"(+/- 441 )"
People,Ancestry,Danish,652,"(+/- 438 )",768,"(+/- 413 )"
People,Ancestry,Dutch,1971,"(+/- 776 )",1684,"(+/- 653 )"
People,Ancestry,English,43796,"(+/- 3759 )",64300,"(+/- 5585 )"
People,Ancestry,"French (except Basque)",48409,"(+/- 4845 )",44975,"(+/- 4296 )"
People,Ancestry,"French Canadian",28215,"(+/- 3884 )",24670,"(+/- 3905 )"
People,Ancestry,German,20433,"(+/- 2585 )",23477,"(+/- 3721 )"
People,Ancestry,Greek,4658,"(+/- 2033 )",3036,"(+/- 1340 )"
People,Ancestry,Hungarian,481,"(+/- 275 )",503,"(+/- 295 )"
People,Ancestry,Irish,81438,"(+/- 6337 )",103009,"(+/- 6509 )"
People,Ancestry,Italian,57378,"(+/- 4552 )",102009,"(+/- 6710 )"
People,Ancestry,Lithuanian,1274,"(+/- 683 )",2309,"(+/- 802 )"
People,Ancestry,Norwegian,2380,"(+/- 892 )",1908,"(+/- 793 )"
People,Ancestry,Polish,18686,"(+/- 3219 )",18715,"(+/- 2964 )"
People,Ancestry,Portuguese,49677,"(+/- 4978 )",31156,"(+/- 4814 )"
People,Ancestry,Russian,4574,"(+/- 1300 )",3177,"(+/- 1074 )"
People,Ancestry,Scotch-Irish,2647,"(+/- 1115 )",2175,"(+/- 780 )"
People,Ancestry,Scottish,8184,"(+/- 1839 )",8659,"(+/- 2042 )"
People,Ancestry,Slovak,42,"(+/- 70 )",209,"(+/- 209 )"
People,Ancestry,"Subsaharan African",24651,"(+/- 4615 )",9805,"(+/- 3442 )"
People,Ancestry,Swedish,6967,"(+/- 1726 )",8794,"(+/- 1843 )"
People,Ancestry,Swiss,334,"(+/- 228 )",759,"(+/- 621 )"
People,Ancestry,Ukrainian,1261,"(+/- 523 )",1133,"(+/- 794 )"
People,Ancestry,Welsh,1560,"(+/- 897 )",1024,"(+/- 489 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5450,"(+/- 2012 )",3867,"(+/- 2152 )"
People,"Veteran Status","Civilian population 18 years and over",425655,"(+/- 6522 )",423718,"(+/- 6642 )"
People,"Veteran Status","Civilian veterans",25301,"(+/- 2475 )",29547,"(+/- 2236 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",523872,"(+/- 8967 )",517437,"(+/- 8904 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",78803,"(+/- 5155 )",68054,"(+/- 4681 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",103815,"(+/- 4440 )",99901,"(+/- 4864 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5135,"(+/- 1463 )",3900,"(+/- 1064 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",331615,"(+/- 7313 )",330544,"(+/- 7131 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42663,"(+/- 4118 )",38240,"(+/- 3885 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",88442,"(+/- 3234 )",86992,"(+/- 3275 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31005,"(+/- 2759 )",25914,"(+/- 2330 )"
People,"Residence 1 Year Ago","Population 1 year and over",528084,"(+/- 8424 )",519891,"(+/- 8466 )"
People,"Residence 1 Year Ago","Same house",462114,"(+/- 8948 )",466000,"(+/- 9034 )"
People,"Residence 1 Year Ago","Different house in the U.S.",59690,"(+/- 5913 )",51676,"(+/- 5274 )"
People,"Residence 1 Year Ago","Same county",34556,"(+/- 5375 )",25145,"(+/- 3865 )"
People,"Residence 1 Year Ago","Different county",25134,"(+/- 3096 )",26531,"(+/- 4107 )"
People,"Residence 1 Year Ago","Same state",8095,"(+/- 2231 )",10729,"(+/- 2410 )"
People,"Residence 1 Year Ago","Different state",17039,"(+/- 2526 )",15802,"(+/- 3151 )"
People,"Residence 1 Year Ago",Abroad,6280,"(+/- 2613 )",2215,"(+/- 1518 )"
Workers,"Employment Status","Population 16 years and over",442398,"(+/- 6640 )",439089,"(+/- 7061 )"
Workers,"Employment Status","In labor force",280449,"(+/- 8274 )",281944,"(+/- 7499 )"
Workers,"Employment Status","Civilian labor force",277390,"(+/- 8250 )",280969,"(+/- 7522 )"
Workers,"Employment Status",Employed,260005,"(+/- 8110 )",267492,"(+/- 7382 )"
Workers,"Employment Status",Unemployed,17385,"(+/- 2524 )",13477,"(+/- 1892 )"
Workers,"Employment Status","Armed Forces",3059,"(+/- 947 )",975,"(+/- 565 )"
Workers,"Employment Status","Not in labor force",161949,"(+/- 5556 )",157145,"(+/- 5539 )"
Workers,"Employment Status","Civilian labor force",277390,"(+/- 8250 )",280969,"(+/- 7522 )"
Workers,"Employment Status","Unemployment Rate",6.3,"(+/- 0.9 )",4.8,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",257744,"(+/- 7832 )",262177,"(+/- 7578 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",205588,"(+/- 6341 )",217116,"(+/- 7052 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",21278,"(+/- 3505 )",21049,"(+/- 3673 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6042,"(+/- 1562 )",5609,"(+/- 2041 )"
Workers,"Commuting to Work",Walked,12182,"(+/- 1781 )",5721,"(+/- 1740 )"
Workers,"Commuting to Work","Other means",4237,"(+/- 1711 )",1878,"(+/- 728 )"
Workers,"Commuting to Work","Worked at home",8417,"(+/- 1575 )",10804,"(+/- 1668 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,"(+/- 0.9 )",25.1,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",260005,"(+/- 8110 )",267492,"(+/- 7382 )"
Workers,Occupation,"Management, business, science, and arts occupations",95992,"(+/- 5943 )",110083,"(+/- 5796 )"
Workers,Occupation,"Service occupations",53005,"(+/- 5066 )",48989,"(+/- 4017 )"
Workers,Occupation,"Sales and office occupations",57595,"(+/- 4309 )",57945,"(+/- 4408 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",18114,"(+/- 2347 )",17510,"(+/- 2403 )"
Workers,Occupation,"Production, transportation, and material moving occupations",35299,"(+/- 3614 )",32965,"(+/- 3234 )"
Workers,Industry,"Civilian employed population 16 years and over",260005,"(+/- 8110 )",267492,"(+/- 7382 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1370,"(+/- 804 )",1431,"(+/- 640 )"
Workers,Industry,Construction,14171,"(+/- 1833 )",14630,"(+/- 2551 )"
Workers,Industry,Manufacturing,26334,"(+/- 3066 )",31135,"(+/- 2962 )"
Workers,Industry,"Wholesale trade",5429,"(+/- 1249 )",6058,"(+/- 1439 )"
Workers,Industry,"Retail trade",32102,"(+/- 3622 )",29374,"(+/- 2923 )"
Workers,Industry,"Transportation and warehousing, and utilities",10346,"(+/- 2081 )",11661,"(+/- 1735 )"
Workers,Industry,Information,3113,"(+/- 1282 )",4277,"(+/- 996 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",17887,"(+/- 2490 )",19202,"(+/- 2700 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",25032,"(+/- 2597 )",30357,"(+/- 3738 )"
Workers,Industry,"Educational services, and health care and social assistance",74655,"(+/- 4729 )",69159,"(+/- 4614 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",28832,"(+/- 3669 )",28665,"(+/- 2636 )"
Workers,Industry,"Other services, except public administration",11608,"(+/- 2083 )",10238,"(+/- 1956 )"
Workers,Industry,"Public administration",9126,"(+/- 1689 )",11305,"(+/- 1849 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",260005,"(+/- 8110 )",267492,"(+/- 7382 )"
Workers,"Class of Worker","Private wage and salary workers",219260,"(+/- 8122 )",216704,"(+/- 7413 )"
Workers,"Class of Worker","Government workers",29120,"(+/- 2610 )",38361,"(+/- 2938 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",11090,"(+/- 1885 )",11978,"(+/- 2241 )"
Workers,"Class of Worker","Unpaid family workers",535,"(+/- 346 )",449,"(+/- 353 )"
Housing,"Housing Occupancy","Total housing units",231833,"(+/- 3409 )",237320,"(+/- 3403 )"
Housing,"Housing Occupancy","Occupied housing units",204598,"(+/- 4007 )",201975,"(+/- 4406 )"
Housing,"Housing Occupancy","Vacant housing units",27235,"(+/- 2904 )",35345,"(+/- 3658 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.6,"(+/- 0.9 )",2.0,"(+/- 0.8 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.7,"(+/- 1.3 )",7.2,"(+/- 1.7 )"
Housing,"Housing Tenure","Occupied housing units",204598,"(+/- 4007 )",201975,"(+/- 4406 )"
Housing,"Housing Tenure",Owner-occupied,115133,"(+/- 3059 )",136221,"(+/- 4285 )"
Housing,"Housing Tenure",Renter-occupied,89465,"(+/- 3931 )",65754,"(+/- 3536 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.64,"(+/- 0.07 )",2.62,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.31,"(+/- 0.09 )",2.26,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",204598,"(+/- 4007 )",201975,"(+/- 4406 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",35937,"(+/- 2996 )",31090,"(+/- 2717 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",34210,"(+/- 2856 )",31459,"(+/- 3196 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",38123,"(+/- 3234 )",37194,"(+/- 3224 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",41087,"(+/- 3204 )",43906,"(+/- 3626 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",23796,"(+/- 2459 )",24006,"(+/- 2492 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",31445,"(+/- 2200 )",34320,"(+/- 2699 )"
Housing,Value,"Owner-occupied units",115133,"(+/- 3059 )",136221,"(+/- 4285 )"
Housing,Value,"Less than $50,000",2317,"(+/- 850 )",3696,"(+/- 951 )"
Housing,Value,"$50,000 to $99,999",2409,"(+/- 1158 )",2809,"(+/- 911 )"
Housing,Value,"$100,000 to $149,999",7360,"(+/- 1615 )",6638,"(+/- 1371 )"
Housing,Value,"$150,000 to $199,999",15229,"(+/- 1906 )",17144,"(+/- 2105 )"
Housing,Value,"$200,000 to $299,999",39027,"(+/- 2912 )",49713,"(+/- 4008 )"
Housing,Value,"$300,000 to $499,999",32578,"(+/- 2678 )",42390,"(+/- 2554 )"
Housing,Value,"$500,000 to $999,999",11990,"(+/- 1805 )",11771,"(+/- 1410 )"
Housing,Value,"$1,000,000 or more",4223,"(+/- 983 )",2060,"(+/- 622 )"
Housing,Value,"Median (dollars)",273000,"(+/- 8283 )",274300,"(+/- 5416 )"
Housing,"Mortgage Status","Owner-occupied units",115133,"(+/- 3059 )",136221,"(+/- 4285 )"
Housing,"Mortgage Status","Housing units with a mortgage",77435,"(+/- 3257 )",94001,"(+/- 4008 )"
Housing,"Mortgage Status","Housing units without a mortgage",37698,"(+/- 2540 )",42220,"(+/- 3235 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",77435,"(+/- 3257 )",94001,"(+/- 4008 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",346,"(+/- 295 )",392,"(+/- 263 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",5105,"(+/- 1340 )",5904,"(+/- 1279 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",16899,"(+/- 2291 )",20816,"(+/- 2282 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",24191,"(+/- 2641 )",30977,"(+/- 3027 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",15726,"(+/- 2184 )",18451,"(+/- 1945 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",6690,"(+/- 1155 )",8657,"(+/- 1192 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",8478,"(+/- 1362 )",8804,"(+/- 1467 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1834,"(+/- 43 )",1827,"(+/- 35 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",37698,"(+/- 2540 )",42220,"(+/- 3235 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1112,"(+/- 582 )",735,"(+/- 383 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",1941,"(+/- 570 )",2332,"(+/- 839 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",8579,"(+/- 1369 )",10733,"(+/- 1682 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",11174,"(+/- 1478 )",13194,"(+/- 1986 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6172,"(+/- 1353 )",8037,"(+/- 1482 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",8720,"(+/- 1415 )",7189,"(+/- 1394 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",723,"(+/- 29 )",708,"(+/- 22 )"
Housing,"Gross Rent","Occupied units paying rent",86780,"(+/- 3835 )",63019,"(+/- 3378 )"
Housing,"Gross Rent","Less than $500",14318,"(+/- 2316 )",10472,"(+/- 1696 )"
Housing,"Gross Rent","$500 to $999",33108,"(+/- 3163 )",17343,"(+/- 2708 )"
Housing,"Gross Rent","$1,000 to $1,499",28388,"(+/- 2759 )",25121,"(+/- 2938 )"
Housing,"Gross Rent","$1,500 to $1,999",6498,"(+/- 1475 )",8484,"(+/- 1552 )"
Housing,"Gross Rent","$2,000 to $2,499",2483,"(+/- 841 )",1133,"(+/- 468 )"
Housing,"Gross Rent","$2,500 to $2,999",991,"(+/- 451 )",212,"(+/- 165 )"
Housing,"Gross Rent","$3,000 or more",994,"(+/- 622 )",254,"(+/- 232 )"
Housing,"Gross Rent","Median (dollars)",955,"(+/- 30 )",1067,"(+/- 41 )"
Housing,"Gross Rent","No rent paid",2685,"(+/- 786 )",2735,"(+/- 926 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",204598,"(+/- 4007 )",201975,"(+/- 4406 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",15729,"(+/- 2449 )",11994,"(+/- 2084 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",12266,"(+/- 1964 )",8758,"(+/- 1794 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",21230,"(+/- 2745 )",13066,"(+/- 1492 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",17091,"(+/- 2496 )",15107,"(+/- 2538 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",22268,"(+/- 2624 )",21639,"(+/- 2959 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",34717,"(+/- 2667 )",35822,"(+/- 3054 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",22863,"(+/- 2726 )",26394,"(+/- 2453 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",29781,"(+/- 2530 )",39802,"(+/- 2677 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",15049,"(+/- 2002 )",14391,"(+/- 1933 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",13604,"(+/- 1620 )",15002,"(+/- 1702 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",58556,"(+/- 2703 )",70988,"(+/- 2274 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",83220,"(+/- 3183 )",90027,"(+/- 2774 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",523872,"(+/- 8967 )",517437,"(+/- 8904 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",499969,"(+/- 9269 )",498859,"(+/- 9211 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",345985,"(+/- 9717 )",382793,"(+/- 9329 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",217300,"(+/- 8566 )",186036,"(+/- 7456 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",23903,"(+/- 3719 )",18578,"(+/- 3571 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",111343,"(+/- 4661 )",107971,"(+/- 5297 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",1880,"(+/- 773 )",2905,"(+/- 1433 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.9,"(+/- 1.4 )",7.4,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",16.0,"(+/- 3.2 )",14.2,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",10.9,"(+/- 5.6 )",12.8,"(+/- 6.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",5.3,"(+/- 1.6 )",2.9,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.3,"(+/- 2.7 )",4.6,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.4,"(+/- 8.0 )",8.2,"(+/- 7.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",23.0,"(+/- 4.9 )",22.7,"(+/- 5.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",30.8,"(+/- 7.1 )",34.8,"(+/- 7.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",12.1,"(+/- 10.9 )",42.9,"(+/- 21.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",15.1,"(+/- 1.4 )",10.7,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",18.8,"(+/- 3.5 )",17.3,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",18.4,"(+/- 3.6 )",16.7,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",20.4,"(+/- 6.3 )",19.3,"(+/- 5.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",17.6,"(+/- 3.5 )",15.7,"(+/- 3.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.2,"(+/- 1.2 )",9.1,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",11.9,"(+/- 2.0 )",10.6,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",11.5,"(+/- 1.6 )",8.0,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",26.8,"(+/- 2.1 )",21.0,"(+/- 2.4 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",124392,"(+/- 5400 )",121531,"(+/- 5988 )"
Education,"School Enrollment","Nursery school, preschool",7133,"(+/- 1500 )",6045,"(+/- 1290 )"
Education,"School Enrollment",Kindergarten,4982,"(+/- 1125 )",5767,"(+/- 1276 )"
Education,"School Enrollment","Elementary school (grades 1-8)",45516,"(+/- 2933 )",43460,"(+/- 3312 )"
Education,"School Enrollment","High school (grades 9-12)",24756,"(+/- 2238 )",25030,"(+/- 2165 )"
Education,"School Enrollment","College or graduate school",42005,"(+/- 3126 )",41229,"(+/- 3496 )"
Education,"Educational Attainment","Population 25 years and over",373209,"(+/- 5291 )",367486,"(+/- 5631 )"
Education,"Educational Attainment","Less than 9th grade",21528,"(+/- 2958 )",13114,"(+/- 2239 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",28452,"(+/- 3222 )",17492,"(+/- 2400 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",105730,"(+/- 6488 )",104876,"(+/- 4849 )"
Education,"Educational Attainment","Some college, no degree",64193,"(+/- 4342 )",69048,"(+/- 4474 )"
Education,"Educational Attainment","Associate's degree",27796,"(+/- 2411 )",33805,"(+/- 2886 )"
Education,"Educational Attainment","Bachelor's degree",71823,"(+/- 4459 )",75684,"(+/- 4469 )"
Education,"Educational Attainment","Graduate or professional degree",53687,"(+/- 4400 )",53467,"(+/- 4415 )"
Education,"Educational Attainment","Percent high school graduate or higher",86.6,"(+/- 1.1 )",91.7,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",33.6,"(+/- 1.7 )",35.1,"(+/- 1.5 )"
