Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Median age (years)",39.4,"(+/- 0.4 )",37.8,"(+/- 0.4 )",37.1,"(+/- 0.4 )",37.2,"(+/- 0.4 )",38.2,"(+/- 0.5 )",39.5,"(+/- 0.5 )",33.9,"(+/- 0.5 )",39.9,"(+/- 0.4 )",37.6,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",553329,"(+/- 1885 )",546196,"(+/- 2906 )",556270,"(+/- 2369 )",594483,"(+/- 3493 )",596192,"(+/- 6228 )",562170,"(+/- 2551 )",566389,"(+/- 5928 )",558736,"(+/- 2050 )",591056,"(+/- 3582 )"
People,"Sex and Age","65 years and over",118463,"(+/- 1549 )",118817,"(+/- 1975 )",115773,"(+/- 1185 )",118000,"(+/- 1920 )",116399,"(+/- 2967 )",127419,"(+/- 1789 )",92272,"(+/- 2520 )",124660,"(+/- 1442 )",119343,"(+/- 1964 )"
People,Race,"Total population",714756,"(+/- 2410 )",723483,"(+/- 3644 )",747060,"(+/- 2807 )",768025,"(+/- 4477 )",784462,"(+/- 8778 )",719771,"(+/- 3009 )",760466,"(+/- 7889 )",718591,"(+/- 2360 )",755264,"(+/- 4786 )"
People,Race,"One race",688466,"(+/- 4693 )",700128,"(+/- 4231 )",725261,"(+/- 5298 )",750981,"(+/- 5880 )",761285,"(+/- 9829 )",706582,"(+/- 3810 )",736376,"(+/- 9367 )",706249,"(+/- 3195 )",735909,"(+/- 5279 )"
People,Race,White,492098,"(+/- 5010 )",616378,"(+/- 5285 )",646328,"(+/- 3855 )",679224,"(+/- 5595 )",651421,"(+/- 8326 )",668943,"(+/- 3312 )",438167,"(+/- 9810 )",659502,"(+/- 3424 )",687866,"(+/- 5502 )"
People,Race,"Black or African American",130246,"(+/- 2569 )",49889,"(+/- 3058 )",45994,"(+/- 3090 )",31603,"(+/- 2262 )",67551,"(+/- 6821 )",20547,"(+/- 2185 )",235061,"(+/- 7006 )",34314,"(+/- 1961 )",22072,"(+/- 2106 )"
People,Race,"American Indian and Alaska Native",1822,"(+/- 480 )",2915,"(+/- 1099 )",2183,"(+/- 669 )",1826,"(+/- 937 )",1022,"(+/- 635 )",731,"(+/- 340 )",1900,"(+/- 812 )",407,"(+/- 326 )",1234,"(+/- 820 )"
People,Race,Asian,9931,"(+/- 886 )",9346,"(+/- 885 )",17695,"(+/- 1615 )",24154,"(+/- 1774 )",31488,"(+/- 4365 )",12177,"(+/- 1516 )",24608,"(+/- 3286 )",5948,"(+/- 1362 )",18873,"(+/- 1758 )"
People,Race,"Native Hawaiian and Other Pacific Islander",405,"(+/- 290 )",504,"(+/- 525 )",630,"(+/- 633 )",120,"(+/- 152 )",466,"(+/- 412 )",317,"(+/- 377 )",534,"(+/- 497 )",148,"(+/- 243 )",346,"(+/- 436 )"
People,Race,"Some other race",53964,"(+/- 4455 )",21096,"(+/- 5024 )",12431,"(+/- 2611 )",14054,"(+/- 2999 )",9337,"(+/- 3518 )",3867,"(+/- 1035 )",36106,"(+/- 5704 )",5930,"(+/- 1697 )",5518,"(+/- 1590 )"
People,Race,"Two or more races",26290,"(+/- 3928 )",23355,"(+/- 3078 )",21799,"(+/- 3970 )",17044,"(+/- 3257 )",23177,"(+/- 3733 )",13189,"(+/- 2532 )",24090,"(+/- 5004 )",12342,"(+/- 2114 )",19355,"(+/- 2516 )"
People,"Hispanic or Latino and Race","Total population",714756,"(+/- 2410 )",723483,"(+/- 3644 )",747060,"(+/- 2807 )",768025,"(+/- 4477 )",784462,"(+/- 8778 )",719771,"(+/- 3009 )",760466,"(+/- 7889 )",718591,"(+/- 2360 )",755264,"(+/- 4786 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",113541,"(+/- 938 )",73761,"(+/- 1487 )",46403,"(+/- 1286 )",48814,"(+/- 1056 )",37508,"(+/- 3711 )",20114,"(+/- 975 )",87750,"(+/- 3599 )",18872,"(+/- 1117 )",25656,"(+/- 675 )"
People,"Hispanic or Latino and Race",Mexican,91724,"(+/- 3791 )",58705,"(+/- 3643 )",40066,"(+/- 1813 )",37356,"(+/- 2549 )",20566,"(+/- 2912 )",13990,"(+/- 1728 )",64790,"(+/- 4671 )",12965,"(+/- 1574 )",18964,"(+/- 1546 )"
People,"Hispanic or Latino and Race","Puerto Rican",14803,"(+/- 3408 )",5393,"(+/- 2042 )",1978,"(+/- 910 )",3454,"(+/- 1333 )",4307,"(+/- 1729 )",1146,"(+/- 771 )",4268,"(+/- 1775 )",499,"(+/- 316 )",1522,"(+/- 796 )"
People,"Hispanic or Latino and Race",Cuban,800,"(+/- 499 )",638,"(+/- 603 )",29,"(+/- 71 )",539,"(+/- 461 )",339,"(+/- 249 )",0,"(+/- 198 )",1115,"(+/- 786 )",363,"(+/- 453 )",510,"(+/- 493 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6214,"(+/- 2023 )",9025,"(+/- 2842 )",4330,"(+/- 1313 )",7465,"(+/- 1882 )",12296,"(+/- 3873 )",4978,"(+/- 1593 )",17577,"(+/- 4323 )",5045,"(+/- 1154 )",4660,"(+/- 1165 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",601215,"(+/- 2441 )",649722,"(+/- 3505 )",700657,"(+/- 2572 )",719211,"(+/- 4251 )",746954,"(+/- 8475 )",699657,"(+/- 3193 )",672716,"(+/- 7726 )",699719,"(+/- 2459 )",729608,"(+/- 4678 )"
People,"Place of Birth","Total population",714756,"(+/- 2410 )",723483,"(+/- 3644 )",747060,"(+/- 2807 )",768025,"(+/- 4477 )",784462,"(+/- 8778 )",719771,"(+/- 3009 )",760466,"(+/- 7889 )",718591,"(+/- 2360 )",755264,"(+/- 4786 )"
People,"Place of Birth",Native,673247,"(+/- 3887 )",681452,"(+/- 4815 )",712203,"(+/- 3493 )",724915,"(+/- 5159 )",731845,"(+/- 9507 )",697422,"(+/- 3612 )",687776,"(+/- 8972 )",702872,"(+/- 2869 )",725798,"(+/- 5413 )"
People,"Place of Birth","Born in United States",667331,"(+/- 3967 )",674817,"(+/- 4699 )",707656,"(+/- 3745 )",719134,"(+/- 5360 )",726545,"(+/- 9750 )",693763,"(+/- 3604 )",679250,"(+/- 8768 )",700059,"(+/- 2854 )",721070,"(+/- 5522 )"
People,"Place of Birth","State of residence",417450,"(+/- 9293 )",500728,"(+/- 6827 )",538430,"(+/- 7113 )",531534,"(+/- 8315 )",508155,"(+/- 10118 )",508617,"(+/- 6520 )",507321,"(+/- 10243 )",542035,"(+/- 6763 )",486832,"(+/- 8278 )"
People,"Place of Birth","Different state",249881,"(+/- 8944 )",174089,"(+/- 6627 )",169226,"(+/- 7835 )",187600,"(+/- 7104 )",218390,"(+/- 8884 )",185146,"(+/- 6492 )",171929,"(+/- 9493 )",158024,"(+/- 6167 )",234238,"(+/- 7642 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5916,"(+/- 1619 )",6635,"(+/- 1627 )",4547,"(+/- 1273 )",5781,"(+/- 1625 )",5300,"(+/- 1766 )",3659,"(+/- 997 )",8526,"(+/- 2148 )",2813,"(+/- 905 )",4728,"(+/- 1250 )"
People,"Place of Birth","Foreign born",41509,"(+/- 3390 )",42031,"(+/- 3291 )",34857,"(+/- 2717 )",43110,"(+/- 3924 )",52617,"(+/- 5305 )",22349,"(+/- 2260 )",72690,"(+/- 5721 )",15719,"(+/- 2001 )",29466,"(+/- 2732 )"
People,Ancestry,"Total population",714756,"(+/- 2410 )",723483,"(+/- 3644 )",747060,"(+/- 2807 )",768025,"(+/- 4477 )",784462,"(+/- 8778 )",719771,"(+/- 3009 )",760466,"(+/- 7889 )",718591,"(+/- 2360 )",755264,"(+/- 4786 )"
People,Ancestry,American,19301,"(+/- 2662 )",36807,"(+/- 4199 )",53737,"(+/- 5039 )",68544,"(+/- 7039 )",55102,"(+/- 5120 )",83844,"(+/- 7034 )",51354,"(+/- 5773 )",53139,"(+/- 4520 )",72359,"(+/- 6351 )"
People,Ancestry,Arab,5073,"(+/- 2525 )",3507,"(+/- 1757 )",1588,"(+/- 907 )",653,"(+/- 345 )",6443,"(+/- 3470 )",960,"(+/- 606 )",1077,"(+/- 489 )",595,"(+/- 354 )",1124,"(+/- 1252 )"
People,Ancestry,Czech,3469,"(+/- 1571 )",1903,"(+/- 908 )",2034,"(+/- 1271 )",1659,"(+/- 727 )",1882,"(+/- 777 )",100,"(+/- 115 )",731,"(+/- 475 )",884,"(+/- 569 )",782,"(+/- 549 )"
People,Ancestry,Danish,1892,"(+/- 830 )",1130,"(+/- 564 )",989,"(+/- 516 )",897,"(+/- 468 )",963,"(+/- 560 )",1543,"(+/- 1223 )",808,"(+/- 489 )",653,"(+/- 359 )",975,"(+/- 498 )"
People,Ancestry,Dutch,20271,"(+/- 3049 )",15813,"(+/- 3164 )",11189,"(+/- 1578 )",21035,"(+/- 3760 )",12154,"(+/- 2248 )",8394,"(+/- 1754 )",5463,"(+/- 1513 )",9295,"(+/- 1663 )",10526,"(+/- 1909 )"
People,Ancestry,English,39128,"(+/- 4436 )",42201,"(+/- 2912 )",51766,"(+/- 4321 )",62445,"(+/- 5571 )",72243,"(+/- 6725 )",59760,"(+/- 4376 )",37572,"(+/- 3584 )",75062,"(+/- 6333 )",67009,"(+/- 6433 )"
People,Ancestry,"French (except Basque)",12044,"(+/- 2315 )",13172,"(+/- 2152 )",20211,"(+/- 2675 )",14898,"(+/- 2514 )",15856,"(+/- 2630 )",13538,"(+/- 2298 )",9479,"(+/- 1822 )",15361,"(+/- 2462 )",14647,"(+/- 2722 )"
People,Ancestry,"French Canadian",1845,"(+/- 845 )",3419,"(+/- 1169 )",1941,"(+/- 771 )",1971,"(+/- 757 )",3792,"(+/- 1846 )",872,"(+/- 456 )",1142,"(+/- 650 )",1180,"(+/- 551 )",1399,"(+/- 809 )"
People,Ancestry,German,124529,"(+/- 7349 )",157753,"(+/- 7518 )",197544,"(+/- 8577 )",152025,"(+/- 8923 )",152021,"(+/- 9081 )",147231,"(+/- 8061 )",85645,"(+/- 6363 )",176312,"(+/- 8076 )",139049,"(+/- 7139 )"
People,Ancestry,Greek,9572,"(+/- 2482 )",1854,"(+/- 849 )",1994,"(+/- 874 )",2635,"(+/- 1319 )",2622,"(+/- 1049 )",1029,"(+/- 634 )",1039,"(+/- 588 )",1262,"(+/- 666 )",1701,"(+/- 999 )"
People,Ancestry,Hungarian,7648,"(+/- 2075 )",10377,"(+/- 1700 )",5921,"(+/- 3748 )",1262,"(+/- 447 )",2768,"(+/- 1082 )",657,"(+/- 462 )",684,"(+/- 434 )",1738,"(+/- 784 )",1481,"(+/- 728 )"
People,Ancestry,Irish,78375,"(+/- 6615 )",74482,"(+/- 5558 )",70645,"(+/- 5363 )",71429,"(+/- 4869 )",86064,"(+/- 8606 )",75733,"(+/- 6297 )",53576,"(+/- 5400 )",82520,"(+/- 5069 )",86276,"(+/- 6161 )"
People,Ancestry,Italian,32939,"(+/- 4285 )",21686,"(+/- 3066 )",15670,"(+/- 3078 )",20871,"(+/- 3337 )",24754,"(+/- 4425 )",14341,"(+/- 2818 )",14491,"(+/- 2538 )",19383,"(+/- 3536 )",16953,"(+/- 2701 )"
People,Ancestry,Lithuanian,2001,"(+/- 696 )",1285,"(+/- 602 )",416,"(+/- 346 )",980,"(+/- 545 )",1118,"(+/- 497 )",623,"(+/- 473 )",1651,"(+/- 2041 )",726,"(+/- 476 )",1557,"(+/- 815 )"
People,Ancestry,Norwegian,5726,"(+/- 1198 )",4621,"(+/- 1171 )",3088,"(+/- 973 )",4579,"(+/- 1481 )",6207,"(+/- 1665 )",2535,"(+/- 978 )",2723,"(+/- 1139 )",2871,"(+/- 1551 )",4651,"(+/- 1315 )"
People,Ancestry,Polish,65639,"(+/- 5235 )",41762,"(+/- 3541 )",13391,"(+/- 2615 )",13281,"(+/- 1858 )",21015,"(+/- 3572 )",7348,"(+/- 1737 )",10302,"(+/- 3586 )",5572,"(+/- 1316 )",11757,"(+/- 2741 )"
People,Ancestry,Portuguese,517,"(+/- 394 )",590,"(+/- 376 )",66,"(+/- 81 )",356,"(+/- 325 )",212,"(+/- 234 )",499,"(+/- 375 )",318,"(+/- 259 )",247,"(+/- 197 )",291,"(+/- 290 )"
People,Ancestry,Russian,2922,"(+/- 1253 )",3331,"(+/- 1352 )",1521,"(+/- 825 )",2703,"(+/- 1108 )",4067,"(+/- 1504 )",832,"(+/- 376 )",1265,"(+/- 601 )",1266,"(+/- 787 )",2217,"(+/- 791 )"
People,Ancestry,Scotch-Irish,3931,"(+/- 1021 )",5500,"(+/- 1286 )",5670,"(+/- 1149 )",7530,"(+/- 2333 )",8668,"(+/- 1629 )",6048,"(+/- 1754 )",3933,"(+/- 1199 )",5369,"(+/- 1512 )",8083,"(+/- 1569 )"
People,Ancestry,Scottish,6663,"(+/- 1487 )",8797,"(+/- 1595 )",10783,"(+/- 1854 )",12687,"(+/- 2115 )",14024,"(+/- 2841 )",14027,"(+/- 2581 )",10148,"(+/- 1957 )",12500,"(+/- 1980 )",14156,"(+/- 2305 )"
People,Ancestry,Slovak,12398,"(+/- 3086 )",705,"(+/- 312 )",1295,"(+/- 1144 )",1100,"(+/- 605 )",1340,"(+/- 1016 )",360,"(+/- 292 )",278,"(+/- 254 )",507,"(+/- 377 )",1863,"(+/- 871 )"
People,Ancestry,"Subsaharan African",2725,"(+/- 1021 )",4449,"(+/- 1657 )",4341,"(+/- 1655 )",4449,"(+/- 1554 )",6625,"(+/- 3216 )",348,"(+/- 219 )",28418,"(+/- 5656 )",1403,"(+/- 510 )",3770,"(+/- 1834 )"
People,Ancestry,Swedish,11902,"(+/- 2204 )",9130,"(+/- 1810 )",4202,"(+/- 1274 )",7920,"(+/- 2165 )",7361,"(+/- 1757 )",2678,"(+/- 939 )",2711,"(+/- 853 )",2116,"(+/- 708 )",4800,"(+/- 1589 )"
People,Ancestry,Swiss,1187,"(+/- 539 )",10102,"(+/- 2411 )",12294,"(+/- 3018 )",2006,"(+/- 965 )",2667,"(+/- 1101 )",2288,"(+/- 1289 )",1305,"(+/- 584 )",1951,"(+/- 874 )",4235,"(+/- 1966 )"
People,Ancestry,Ukrainian,2027,"(+/- 898 )",939,"(+/- 399 )",719,"(+/- 580 )",941,"(+/- 627 )",1807,"(+/- 1030 )",229,"(+/- 194 )",649,"(+/- 483 )",293,"(+/- 276 )",464,"(+/- 547 )"
People,Ancestry,Welsh,2741,"(+/- 1044 )",2562,"(+/- 665 )",7565,"(+/- 3669 )",2741,"(+/- 843 )",5180,"(+/- 1351 )",3456,"(+/- 988 )",4291,"(+/- 2031 )",3870,"(+/- 1047 )",5037,"(+/- 1571 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",727,"(+/- 455 )",431,"(+/- 357 )",603,"(+/- 466 )",545,"(+/- 332 )",1156,"(+/- 681 )",386,"(+/- 295 )",2252,"(+/- 1272 )",501,"(+/- 549 )",774,"(+/- 798 )"
People,"Veteran Status","Civilian population 18 years and over",553329,"(+/- 1885 )",546051,"(+/- 2907 )",556210,"(+/- 2389 )",594039,"(+/- 3533 )",595021,"(+/- 6264 )",561715,"(+/- 2590 )",566005,"(+/- 5973 )",558249,"(+/- 2103 )",590388,"(+/- 3674 )"
People,"Veteran Status","Civilian veterans",39150,"(+/- 2792 )",37862,"(+/- 2370 )",40981,"(+/- 2769 )",44015,"(+/- 3334 )",40048,"(+/- 3223 )",46230,"(+/- 2570 )",39173,"(+/- 2854 )",47049,"(+/- 3258 )",45571,"(+/- 2757 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",702484,"(+/- 3423 )",713685,"(+/- 4350 )",739272,"(+/- 3178 )",756093,"(+/- 5209 )",774368,"(+/- 9012 )",706407,"(+/- 3449 )",752336,"(+/- 7941 )",701350,"(+/- 3002 )",746509,"(+/- 4809 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90195,"(+/- 4812 )",98513,"(+/- 4887 )",91870,"(+/- 4572 )",97594,"(+/- 5462 )",90467,"(+/- 4778 )",113346,"(+/- 5830 )",103486,"(+/- 7093 )",108536,"(+/- 4923 )",101061,"(+/- 4886 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",161118,"(+/- 1464 )",176624,"(+/- 2172 )",190568,"(+/- 1719 )",173008,"(+/- 2320 )",188022,"(+/- 5202 )",157052,"(+/- 1617 )",193440,"(+/- 4933 )",159270,"(+/- 1739 )",164081,"(+/- 2592 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4822,"(+/- 1140 )",7858,"(+/- 1611 )",8469,"(+/- 1665 )",7095,"(+/- 1337 )",7166,"(+/- 1453 )",8627,"(+/- 1714 )",8204,"(+/- 2455 )",9234,"(+/- 1639 )",6333,"(+/- 1456 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",426281,"(+/- 2766 )",421182,"(+/- 3396 )",437075,"(+/- 2357 )",469318,"(+/- 4025 )",473367,"(+/- 6373 )",426811,"(+/- 2838 )",469300,"(+/- 5569 )",422948,"(+/- 2417 )",467151,"(+/- 3237 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45384,"(+/- 3601 )",50537,"(+/- 3658 )",47971,"(+/- 3248 )",49242,"(+/- 3238 )",47079,"(+/- 3655 )",61083,"(+/- 4370 )",60913,"(+/- 5058 )",55904,"(+/- 3958 )",54331,"(+/- 3825 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",115085,"(+/- 1849 )",115879,"(+/- 2127 )",111629,"(+/- 1492 )",113767,"(+/- 2071 )",112979,"(+/- 3098 )",122544,"(+/- 2029 )",89596,"(+/- 2645 )",119132,"(+/- 1581 )",115277,"(+/- 2152 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39989,"(+/- 2484 )",40118,"(+/- 2624 )",35430,"(+/- 2369 )",41257,"(+/- 2910 )",36222,"(+/- 2984 )",43636,"(+/- 2580 )",34369,"(+/- 2494 )",43398,"(+/- 2493 )",40397,"(+/- 2550 )"
People,"Residence 1 Year Ago","Population 1 year and over",706745,"(+/- 2805 )",714502,"(+/- 3579 )",737311,"(+/- 3072 )",758169,"(+/- 4500 )",776806,"(+/- 8794 )",711262,"(+/- 3146 )",749070,"(+/- 7709 )",710750,"(+/- 2707 )",748333,"(+/- 5280 )"
People,"Residence 1 Year Ago","Same house",617451,"(+/- 7927 )",616908,"(+/- 7531 )",638380,"(+/- 7464 )",625268,"(+/- 8428 )",661364,"(+/- 10925 )",602236,"(+/- 7531 )",627982,"(+/- 13014 )",596536,"(+/- 7840 )",628307,"(+/- 9462 )"
People,"Residence 1 Year Ago","Different house in the U.S.",87999,"(+/- 6799 )",94344,"(+/- 7466 )",96130,"(+/- 6926 )",127580,"(+/- 7701 )",111661,"(+/- 8345 )",105278,"(+/- 6303 )",114563,"(+/- 11566 )",112837,"(+/- 7177 )",115977,"(+/- 8631 )"
People,"Residence 1 Year Ago","Same county",53449,"(+/- 6323 )",58089,"(+/- 6115 )",59167,"(+/- 5871 )",67375,"(+/- 7129 )",57511,"(+/- 6866 )",58650,"(+/- 5408 )",82778,"(+/- 10752 )",65662,"(+/- 6005 )",67720,"(+/- 7255 )"
People,"Residence 1 Year Ago","Different county",34550,"(+/- 3950 )",36255,"(+/- 4340 )",36963,"(+/- 4188 )",60205,"(+/- 5483 )",54150,"(+/- 6191 )",46628,"(+/- 4665 )",31785,"(+/- 4403 )",47175,"(+/- 4063 )",48257,"(+/- 5471 )"
People,"Residence 1 Year Ago","Same state",13086,"(+/- 2253 )",19707,"(+/- 3067 )",23487,"(+/- 3555 )",42091,"(+/- 4964 )",37010,"(+/- 5761 )",33682,"(+/- 4148 )",16751,"(+/- 2836 )",31933,"(+/- 3864 )",32965,"(+/- 4266 )"
People,"Residence 1 Year Ago","Different state",21464,"(+/- 3434 )",16548,"(+/- 3359 )",13476,"(+/- 2847 )",18114,"(+/- 2699 )",17140,"(+/- 3883 )",12946,"(+/- 2324 )",15034,"(+/- 3236 )",15242,"(+/- 2936 )",15292,"(+/- 3193 )"
People,"Residence 1 Year Ago",Abroad,1295,"(+/- 787 )",3250,"(+/- 1165 )",2801,"(+/- 1202 )",5321,"(+/- 1637 )",3781,"(+/- 2033 )",3748,"(+/- 1571 )",6525,"(+/- 2796 )",1377,"(+/- 612 )",4049,"(+/- 1505 )"
Workers,"Employment Status","Population 16 years and over",572855,"(+/- 2611 )",565687,"(+/- 3045 )",577504,"(+/- 2614 )",615038,"(+/- 3985 )",617953,"(+/- 6420 )",581162,"(+/- 2788 )",586431,"(+/- 6123 )",576934,"(+/- 2259 )",609589,"(+/- 4257 )"
Workers,"Employment Status","In labor force",349799,"(+/- 5960 )",364028,"(+/- 5307 )",385327,"(+/- 4564 )",390997,"(+/- 5921 )",417644,"(+/- 7237 )",353351,"(+/- 5349 )",385224,"(+/- 7122 )",356858,"(+/- 5189 )",388621,"(+/- 5689 )"
Workers,"Employment Status","Civilian labor force",349799,"(+/- 5960 )",363883,"(+/- 5304 )",385267,"(+/- 4577 )",390553,"(+/- 5919 )",416473,"(+/- 7216 )",352896,"(+/- 5364 )",384840,"(+/- 7158 )",356371,"(+/- 5232 )",387953,"(+/- 5797 )"
Workers,"Employment Status",Employed,330448,"(+/- 5665 )",348971,"(+/- 5725 )",371375,"(+/- 4709 )",376298,"(+/- 6280 )",402866,"(+/- 7515 )",339046,"(+/- 5405 )",358162,"(+/- 7549 )",340226,"(+/- 5015 )",371377,"(+/- 5732 )"
Workers,"Employment Status",Unemployed,19351,"(+/- 2700 )",14912,"(+/- 1631 )",13892,"(+/- 1905 )",14255,"(+/- 1886 )",13607,"(+/- 2026 )",13850,"(+/- 1942 )",26678,"(+/- 3129 )",16145,"(+/- 2163 )",16576,"(+/- 2551 )"
Workers,"Employment Status","Armed Forces",0,"(+/- 198 )",145,"(+/- 177 )",60,"(+/- 101 )",444,"(+/- 297 )",1171,"(+/- 709 )",455,"(+/- 339 )",384,"(+/- 320 )",487,"(+/- 276 )",668,"(+/- 472 )"
Workers,"Employment Status","Not in labor force",223056,"(+/- 6082 )",201659,"(+/- 4871 )",192177,"(+/- 4705 )",224041,"(+/- 5702 )",200309,"(+/- 5063 )",227811,"(+/- 5580 )",201207,"(+/- 7002 )",220076,"(+/- 5017 )",220968,"(+/- 5376 )"
