Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Race,"American Indian and Alaska Native",14043,"(+/- 2119 )",8983,"(+/- 2184 )"
People,Race,Asian,13943,"(+/- 2542 )",13083,"(+/- 1967 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2030,"(+/- 1267 )",733,"(+/- 483 )"
People,Race,"Some other race",32623,"(+/- 5920 )",26594,"(+/- 5600 )"
People,Race,"Two or more races",28193,"(+/- 4204 )",25062,"(+/- 3245 )"
People,"Hispanic or Latino and Race","Total population",912950,"(+/- 7168 )",841258,"(+/- 7168 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",99625,"(+/- 3798 )",122839,"(+/- 3860 )"
People,"Hispanic or Latino and Race",Mexican,83207,"(+/- 4209 )",104796,"(+/- 3940 )"
People,"Hispanic or Latino and Race","Puerto Rican",3944,"(+/- 1855 )",3337,"(+/- 1617 )"
People,"Hispanic or Latino and Race",Cuban,775,"(+/- 485 )",240,"(+/- 286 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11699,"(+/- 2684 )",14466,"(+/- 3123 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",813325,"(+/- 7155 )",718419,"(+/- 7232 )"
People,"Place of Birth","Total population",912950,"(+/- 7168 )",841258,"(+/- 7168 )"
People,"Place of Birth",Native,861674,"(+/- 8644 )",787306,"(+/- 7956 )"
People,"Place of Birth","Born in United States",852454,"(+/- 8666 )",775174,"(+/- 8056 )"
People,"Place of Birth","State of residence",388061,"(+/- 11124 )",427611,"(+/- 10156 )"
People,"Place of Birth","Different state",464393,"(+/- 11083 )",347563,"(+/- 8779 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9220,"(+/- 1937 )",12132,"(+/- 2520 )"
People,"Place of Birth","Foreign born",51276,"(+/- 5596 )",53952,"(+/- 4471 )"
People,Ancestry,"Total population",912950,"(+/- 7168 )",841258,"(+/- 7168 )"
People,Ancestry,American,50440,"(+/- 6255 )",63591,"(+/- 6443 )"
People,Ancestry,Arab,3168,"(+/- 1833 )",2107,"(+/- 1039 )"
People,Ancestry,Czech,2687,"(+/- 1049 )",2769,"(+/- 1037 )"
People,Ancestry,Danish,8504,"(+/- 2165 )",18204,"(+/- 2210 )"
People,Ancestry,Dutch,24712,"(+/- 3660 )",12607,"(+/- 2113 )"
People,Ancestry,English,126741,"(+/- 9237 )",151671,"(+/- 8086 )"
People,Ancestry,"French (except Basque)",24782,"(+/- 4105 )",18997,"(+/- 3544 )"
People,Ancestry,"French Canadian",3769,"(+/- 1181 )",3954,"(+/- 1560 )"
People,Ancestry,German,163876,"(+/- 9393 )",121566,"(+/- 8147 )"
People,Ancestry,Greek,2376,"(+/- 931 )",1662,"(+/- 755 )"
People,Ancestry,Hungarian,1060,"(+/- 439 )",964,"(+/- 522 )"
People,Ancestry,Irish,90308,"(+/- 7652 )",71885,"(+/- 5526 )"
People,Ancestry,Italian,32809,"(+/- 4996 )",20418,"(+/- 3076 )"
People,Ancestry,Lithuanian,884,"(+/- 786 )",508,"(+/- 536 )"
People,Ancestry,Norwegian,29451,"(+/- 4535 )",20484,"(+/- 2684 )"
People,Ancestry,Polish,12338,"(+/- 4066 )",8710,"(+/- 2039 )"
People,Ancestry,Portuguese,3898,"(+/- 1411 )",2137,"(+/- 935 )"
People,Ancestry,Russian,5662,"(+/- 1754 )",1715,"(+/- 619 )"
People,Ancestry,Scotch-Irish,11688,"(+/- 2330 )",6833,"(+/- 1485 )"
People,Ancestry,Scottish,24894,"(+/- 3533 )",26002,"(+/- 4156 )"
People,Ancestry,Slovak,793,"(+/- 557 )",458,"(+/- 448 )"
People,Ancestry,"Subsaharan African",4960,"(+/- 3587 )",1060,"(+/- 674 )"
People,Ancestry,Swedish,24292,"(+/- 4396 )",25109,"(+/- 3422 )"
People,Ancestry,Swiss,5518,"(+/- 2966 )",7480,"(+/- 1569 )"
People,Ancestry,Ukrainian,3337,"(+/- 2558 )",799,"(+/- 368 )"
People,Ancestry,Welsh,8288,"(+/- 1782 )",14743,"(+/- 3041 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",497,"(+/- 406 )",273,"(+/- 271 )"
People,"Veteran Status","Civilian population 18 years and over",686932,"(+/- 5487 )",618531,"(+/- 5875 )"
People,"Veteran Status","Civilian veterans",72099,"(+/- 4448 )",49228,"(+/- 2875 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",900724,"(+/- 7096 )",832760,"(+/- 7197 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",122890,"(+/- 6017 )",110604,"(+/- 4770 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",225065,"(+/- 4429 )",219456,"(+/- 4606 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9772,"(+/- 2053 )",9198,"(+/- 1672 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",522915,"(+/- 5846 )",491438,"(+/- 5498 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",61622,"(+/- 4734 )",55939,"(+/- 4209 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",152744,"(+/- 3147 )",121866,"(+/- 2991 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",51496,"(+/- 2948 )",45467,"(+/- 2614 )"
People,"Residence 1 Year Ago","Population 1 year and over",905004,"(+/- 7095 )",829752,"(+/- 7206 )"
People,"Residence 1 Year Ago","Same house",762956,"(+/- 11841 )",675771,"(+/- 12148 )"
People,"Residence 1 Year Ago","Different house in the U.S.",138621,"(+/- 9149 )",150684,"(+/- 9399 )"
People,"Residence 1 Year Ago","Same county",77029,"(+/- 7731 )",73854,"(+/- 6172 )"
People,"Residence 1 Year Ago","Different county",61592,"(+/- 6092 )",76830,"(+/- 6712 )"
People,"Residence 1 Year Ago","Same state",25015,"(+/- 3855 )",33642,"(+/- 4329 )"
People,"Residence 1 Year Ago","Different state",36577,"(+/- 4881 )",43188,"(+/- 6049 )"
People,"Residence 1 Year Ago",Abroad,3427,"(+/- 1432 )",3297,"(+/- 1506 )"
Workers,"Employment Status","Population 16 years and over",711014,"(+/- 5860 )",646723,"(+/- 6164 )"
Workers,"Employment Status","In labor force",431136,"(+/- 7610 )",412479,"(+/- 6108 )"
Workers,"Employment Status","Civilian labor force",430575,"(+/- 7577 )",409665,"(+/- 6076 )"
Workers,"Employment Status",Employed,414301,"(+/- 7396 )",392501,"(+/- 6606 )"
Workers,"Employment Status",Unemployed,16274,"(+/- 2138 )",17164,"(+/- 2523 )"
Workers,"Employment Status","Armed Forces",561,"(+/- 406 )",2814,"(+/- 817 )"
Workers,"Employment Status","Not in labor force",279878,"(+/- 6831 )",234244,"(+/- 5849 )"
Workers,"Employment Status","Civilian labor force",430575,"(+/- 7577 )",409665,"(+/- 6076 )"
Workers,"Employment Status","Unemployment Rate",3.8,"(+/- 0.5 )",4.2,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",406378,"(+/- 7488 )",388145,"(+/- 6724 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",330006,"(+/- 7629 )",303341,"(+/- 6800 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",35067,"(+/- 4096 )",35952,"(+/- 3918 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",878,"(+/- 582 )",5470,"(+/- 1084 )"
Workers,"Commuting to Work",Walked,9976,"(+/- 1874 )",9725,"(+/- 1794 )"
Workers,"Commuting to Work","Other means",6074,"(+/- 1206 )",8693,"(+/- 1471 )"
Workers,"Commuting to Work","Worked at home",24377,"(+/- 3274 )",24964,"(+/- 2393 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.4,"(+/- 0.6 )",19.6,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",414301,"(+/- 7396 )",392501,"(+/- 6606 )"
Workers,Occupation,"Management, business, science, and arts occupations",143124,"(+/- 6155 )",143252,"(+/- 5752 )"
Workers,Occupation,"Service occupations",68497,"(+/- 5367 )",65041,"(+/- 4746 )"
Workers,Occupation,"Sales and office occupations",99720,"(+/- 5711 )",81181,"(+/- 4316 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",50148,"(+/- 4753 )",51327,"(+/- 4121 )"
Workers,Occupation,"Production, transportation, and material moving occupations",52812,"(+/- 4570 )",51700,"(+/- 3770 )"
Workers,Industry,"Civilian employed population 16 years and over",414301,"(+/- 7396 )",392501,"(+/- 6606 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",15842,"(+/- 2635 )",25876,"(+/- 3105 )"
Workers,Industry,Construction,35640,"(+/- 3389 )",30438,"(+/- 3241 )"
Workers,Industry,Manufacturing,40968,"(+/- 3520 )",41206,"(+/- 3761 )"
Workers,Industry,"Wholesale trade",11365,"(+/- 2115 )",11506,"(+/- 2340 )"
Workers,Industry,"Retail trade",57294,"(+/- 4946 )",39720,"(+/- 3656 )"
Workers,Industry,"Transportation and warehousing, and utilities",18857,"(+/- 2913 )",17785,"(+/- 2137 )"
Workers,Industry,Information,6199,"(+/- 1441 )",4618,"(+/- 1037 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21828,"(+/- 2773 )",20317,"(+/- 2270 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",42555,"(+/- 4217 )",40530,"(+/- 3055 )"
Workers,Industry,"Educational services, and health care and social assistance",87129,"(+/- 5645 )",90824,"(+/- 5092 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",37161,"(+/- 4834 )",33084,"(+/- 3336 )"
Workers,Industry,"Other services, except public administration",17732,"(+/- 2218 )",18064,"(+/- 2214 )"
Workers,Industry,"Public administration",21731,"(+/- 2858 )",18533,"(+/- 2310 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",414301,"(+/- 7396 )",392501,"(+/- 6606 )"
Workers,"Class of Worker","Private wage and salary workers",326521,"(+/- 8121 )",309716,"(+/- 6780 )"
Workers,"Class of Worker","Government workers",54541,"(+/- 3879 )",56562,"(+/- 3540 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",31959,"(+/- 3907 )",25391,"(+/- 2369 )"
Workers,"Class of Worker","Unpaid family workers",1280,"(+/- 501 )",832,"(+/- 470 )"
Housing,"Housing Occupancy","Total housing units",379737,"(+/- 2996 )",355966,"(+/- 2989 )"
Housing,"Housing Occupancy","Occupied housing units",332386,"(+/- 4126 )",307884,"(+/- 4792 )"
Housing,"Housing Occupancy","Vacant housing units",47351,"(+/- 3499 )",48082,"(+/- 3744 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,"(+/- 0.3 )",2.0,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.1,"(+/- 1.1 )",7.1,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",332386,"(+/- 4126 )",307884,"(+/- 4792 )"
Housing,"Housing Tenure",Owner-occupied,248557,"(+/- 4589 )",204359,"(+/- 5695 )"
Housing,"Housing Tenure",Renter-occupied,83829,"(+/- 4409 )",103525,"(+/- 4909 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.73,"(+/- 0.05 )",2.81,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.56,"(+/- 0.10 )",2.47,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",332386,"(+/- 4126 )",307884,"(+/- 4792 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",63720,"(+/- 4209 )",70232,"(+/- 4754 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",62599,"(+/- 4748 )",51244,"(+/- 3510 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",61252,"(+/- 4077 )",51077,"(+/- 3605 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",82081,"(+/- 5103 )",70383,"(+/- 3693 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",37898,"(+/- 3880 )",33262,"(+/- 2628 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",24836,"(+/- 2126 )",31686,"(+/- 1956 )"
Housing,Value,"Owner-occupied units",248557,"(+/- 4589 )",204359,"(+/- 5695 )"
Housing,Value,"Less than $50,000",11907,"(+/- 1768 )",10745,"(+/- 1613 )"
Housing,Value,"$50,000 to $99,999",13021,"(+/- 1470 )",17549,"(+/- 1986 )"
Housing,Value,"$100,000 to $149,999",22940,"(+/- 2380 )",28732,"(+/- 2379 )"
Housing,Value,"$150,000 to $199,999",40763,"(+/- 2928 )",36933,"(+/- 2680 )"
Housing,Value,"$200,000 to $299,999",71125,"(+/- 4214 )",53606,"(+/- 3548 )"
Housing,Value,"$300,000 to $499,999",66730,"(+/- 3680 )",42744,"(+/- 2691 )"
Housing,Value,"$500,000 to $999,999",18019,"(+/- 2337 )",11738,"(+/- 1394 )"
Housing,Value,"$1,000,000 or more",4052,"(+/- 1290 )",2312,"(+/- 550 )"
Housing,Value,"Median (dollars)",247800,"(+/- 5205 )",214200,"(+/- 4596 )"
Housing,"Mortgage Status","Owner-occupied units",248557,"(+/- 4589 )",204359,"(+/- 5695 )"
Housing,"Mortgage Status","Housing units with a mortgage",160583,"(+/- 5216 )",129918,"(+/- 5339 )"
Housing,"Mortgage Status","Housing units without a mortgage",87974,"(+/- 3871 )",74441,"(+/- 3524 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",160583,"(+/- 5216 )",129918,"(+/- 5339 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",3335,"(+/- 1049 )",2025,"(+/- 757 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",36552,"(+/- 3325 )",39760,"(+/- 3255 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",63554,"(+/- 4148 )",49800,"(+/- 2968 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",32082,"(+/- 3386 )",22858,"(+/- 2454 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",14111,"(+/- 2118 )",8688,"(+/- 1392 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",6080,"(+/- 1556 )",3659,"(+/- 880 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4869,"(+/- 1265 )",3128,"(+/- 824 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1291,"(+/- 33 )",1208,"(+/- 22 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",87974,"(+/- 3871 )",74441,"(+/- 3524 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",16108,"(+/- 2051 )",14431,"(+/- 2070 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",34006,"(+/- 2795 )",29015,"(+/- 2508 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",25648,"(+/- 2769 )",19840,"(+/- 1846 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",7587,"(+/- 1432 )",6618,"(+/- 1303 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2276,"(+/- 868 )",2347,"(+/- 756 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2349,"(+/- 837 )",2190,"(+/- 639 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",372,"(+/- 12 )",365,"(+/- 11 )"
Housing,"Gross Rent","Occupied units paying rent",79425,"(+/- 4525 )",96728,"(+/- 4944 )"
Housing,"Gross Rent","Less than $500",9778,"(+/- 1628 )",11911,"(+/- 1555 )"
Housing,"Gross Rent","$500 to $999",39511,"(+/- 3021 )",57015,"(+/- 4057 )"
Housing,"Gross Rent","$1,000 to $1,499",22760,"(+/- 3026 )",23246,"(+/- 2812 )"
Housing,"Gross Rent","$1,500 to $1,999",5603,"(+/- 1994 )",2640,"(+/- 824 )"
Housing,"Gross Rent","$2,000 to $2,499",571,"(+/- 385 )",836,"(+/- 420 )"
Housing,"Gross Rent","$2,500 to $2,999",657,"(+/- 505 )",187,"(+/- 187 )"
Housing,"Gross Rent","$3,000 or more",545,"(+/- 403 )",893,"(+/- 495 )"
Housing,"Gross Rent","Median (dollars)",891,"(+/- 28 )",817,"(+/- 19 )"
Housing,"Gross Rent","No rent paid",4404,"(+/- 929 )",6797,"(+/- 1412 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",332386,"(+/- 4126 )",307884,"(+/- 4792 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",15773,"(+/- 2604 )",19357,"(+/- 2428 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",14338,"(+/- 2261 )",13274,"(+/- 1888 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",34294,"(+/- 3525 )",30743,"(+/- 2409 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",31797,"(+/- 2858 )",28444,"(+/- 2568 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",49878,"(+/- 4003 )",47984,"(+/- 2974 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",68865,"(+/- 4088 )",66023,"(+/- 3503 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",42624,"(+/- 3365 )",36861,"(+/- 2848 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",44770,"(+/- 3400 )",39385,"(+/- 2621 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",15602,"(+/- 2226 )",13521,"(+/- 1903 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",14445,"(+/- 2042 )",12292,"(+/- 1630 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",56709,"(+/- 1859 )",54462,"(+/- 1639 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",74385,"(+/- 2412 )",72274,"(+/- 2212 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",900724,"(+/- 7096 )",832760,"(+/- 7197 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",795287,"(+/- 10262 )",745577,"(+/- 9294 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",621771,"(+/- 11572 )",586590,"(+/- 10933 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",301437,"(+/- 9983 )",261572,"(+/- 7689 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",105437,"(+/- 8226 )",87183,"(+/- 6363 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",237504,"(+/- 4928 )",233599,"(+/- 4841 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",15232,"(+/- 2969 )",13566,"(+/- 2579 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.3,"(+/- 1.0 )",9.3,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.7,"(+/- 1.6 )",14.4,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",10.9,"(+/- 4.1 )",11.8,"(+/- 4.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.8,"(+/- 0.6 )",5.8,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.9,"(+/- 1.3 )",7.6,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",7.2,"(+/- 3.6 )",10.3,"(+/- 4.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",23.6,"(+/- 4.7 )",29.4,"(+/- 5.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",33.1,"(+/- 6.5 )",38.1,"(+/- 7.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",27.8,"(+/- 15.5 )",24.2,"(+/- 16.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.3,"(+/- 1.0 )",13.4,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",11.6,"(+/- 1.7 )",17.1,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.3,"(+/- 1.7 )",16.7,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",15.5,"(+/- 3.2 )",18.0,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.0,"(+/- 1.7 )",16.2,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.9,"(+/- 0.9 )",12.0,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",8.3,"(+/- 1.3 )",9.0,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.6,"(+/- 1.0 )",10.1,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.2,"(+/- 2.3 )",27.5,"(+/- 1.9 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",224220,"(+/- 6759 )",227046,"(+/- 6323 )"
Education,"School Enrollment","Nursery school, preschool",11525,"(+/- 1734 )",11355,"(+/- 1689 )"
Education,"School Enrollment",Kindergarten,12204,"(+/- 2366 )",11287,"(+/- 1760 )"
Education,"School Enrollment","Elementary school (grades 1-8)",99012,"(+/- 3808 )",98379,"(+/- 4414 )"
Education,"School Enrollment","High school (grades 9-12)",54706,"(+/- 3655 )",48248,"(+/- 3305 )"
Education,"School Enrollment","College or graduate school",46773,"(+/- 3827 )",57777,"(+/- 3929 )"
Education,"Educational Attainment","Population 25 years and over",608857,"(+/- 5326 )",534890,"(+/- 5715 )"
Education,"Educational Attainment","Less than 9th grade",20610,"(+/- 2972 )",20082,"(+/- 2724 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",34099,"(+/- 3250 )",29077,"(+/- 2909 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",178833,"(+/- 8855 )",139385,"(+/- 6226 )"
Education,"Educational Attainment","Some college, no degree",159554,"(+/- 7412 )",132522,"(+/- 5011 )"
Education,"Educational Attainment","Associate's degree",57621,"(+/- 4809 )",55702,"(+/- 3885 )"
Education,"Educational Attainment","Bachelor's degree",108097,"(+/- 6749 )",105365,"(+/- 4760 )"
Education,"Educational Attainment","Graduate or professional degree",50043,"(+/- 4516 )",52757,"(+/- 3868 )"
Education,"Educational Attainment","Percent high school graduate or higher",91.0,"(+/- 0.7 )",90.8,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",26.0,"(+/- 1.2 )",29.6,"(+/- 1.0 )"
