Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Race,One race,688275,(+/- 7816 ),671959,(+/- 6471 ),690928,(+/- 8485 ),715289,(+/- 6486 ),684824,(+/- 8889 )
People,Race,White,496973,(+/- 9202 ),596505,(+/- 6924 ),514402,(+/- 9988 ),526763,(+/- 8769 ),553493,(+/- 11326 )
People,Race,Black or African American,111042,(+/- 4672 ),29961,(+/- 3215 ),104950,(+/- 6227 ),89713,(+/- 4962 ),55886,(+/- 6666 )
People,Race,American Indian and Alaska Native,1420,(+/- 1097 ),2344,(+/- 982 ),1242,(+/- 1083 ),1848,(+/- 883 ),2653,(+/- 1266 )
People,Race,Asian,38270,(+/- 3100 ),24302,(+/- 1960 ),32902,(+/- 2375 ),44292,(+/- 2268 ),26089,(+/- 3353 )
People,Race,Native Hawaiian and Other Pacific Islander,404,(+/- 662 ),46,(+/- 82 ),64,(+/- 106 ),327,(+/- 340 ),176,(+/- 161 )
People,Race,Some other race,40166,(+/- 4171 ),18801,(+/- 3476 ),37368,(+/- 6161 ),52346,(+/- 7642 ),46527,(+/- 7510 )
People,Race,Two or more races,26774,(+/- 4890 ),27698,(+/- 3976 ),21344,(+/- 3862 ),23801,(+/- 3870 ),21773,(+/- 3433 )
People,Hispanic or Latino and Race,Total population,715049,(+/- 6485 ),699657,(+/- 5425 ),712272,(+/- 7594 ),739090,(+/- 5104 ),706597,(+/- 9254 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),125592,(+/- 4177 ),61938,(+/- 2808 ),114435,(+/- 6023 ),146040,(+/- 5169 ),141805,(+/- 8981 )
People,Hispanic or Latino and Race,Mexican,7642,(+/- 2700 ),6269,(+/- 1760 ),17064,(+/- 4549 ),15100,(+/- 3812 ),10387,(+/- 3022 )
People,Hispanic or Latino and Race,Puerto Rican,84989,(+/- 6121 ),33577,(+/- 4503 ),56117,(+/- 5760 ),44692,(+/- 5805 ),78631,(+/- 7239 )
People,Hispanic or Latino and Race,Cuban,2740,(+/- 1106 ),1154,(+/- 654 ),2724,(+/- 1590 ),3640,(+/- 1123 ),1588,(+/- 789 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,30221,(+/- 5050 ),20938,(+/- 3808 ),38530,(+/- 5889 ),82608,(+/- 7016 ),51199,(+/- 7149 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,589457,(+/- 7438 ),637719,(+/- 4735 ),597837,(+/- 8199 ),593050,(+/- 7441 ),564792,(+/- 10649 )
People,Place of Birth,Total population,715049,(+/- 6485 ),699657,(+/- 5425 ),712272,(+/- 7594 ),739090,(+/- 5104 ),706597,(+/- 9254 )
People,Place of Birth,Native,609040,(+/- 8010 ),647443,(+/- 6582 ),618769,(+/- 7997 ),575234,(+/- 8501 ),601917,(+/- 9591 )
People,Place of Birth,Born in United States,568714,(+/- 7985 ),630992,(+/- 6390 ),596088,(+/- 8113 ),548884,(+/- 8781 ),569810,(+/- 9637 )
People,Place of Birth,State of residence,424465,(+/- 7965 ),397325,(+/- 7603 ),442923,(+/- 8756 ),299186,(+/- 9790 ),389534,(+/- 10004 )
People,Place of Birth,Different state,144249,(+/- 5453 ),233667,(+/- 6945 ),153165,(+/- 6163 ),249698,(+/- 9230 ),180276,(+/- 8082 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",40326,(+/- 3736 ),16451,(+/- 2345 ),22681,(+/- 3223 ),26350,(+/- 3496 ),32107,(+/- 3769 )
People,Place of Birth,Foreign born,106009,(+/- 6105 ),52214,(+/- 4248 ),93503,(+/- 6299 ),163856,(+/- 7246 ),104680,(+/- 5904 )
People,Ancestry,Total population,715049,(+/- 6485 ),699657,(+/- 5425 ),712272,(+/- 7594 ),739090,(+/- 5104 ),706597,(+/- 9254 )
People,Ancestry,American,34977,(+/- 3906 ),26679,(+/- 3092 ),23050,(+/- 3675 ),35115,(+/- 4257 ),24697,(+/- 3513 )
People,Ancestry,Arab,2996,(+/- 1217 ),3132,(+/- 880 ),6849,(+/- 2108 ),5544,(+/- 1962 ),6903,(+/- 2757 )
People,Ancestry,Czech,1968,(+/- 965 ),2860,(+/- 1391 ),1422,(+/- 487 ),2679,(+/- 1090 ),2017,(+/- 777 )
People,Ancestry,Danish,1912,(+/- 1116 ),2833,(+/- 1430 ),1465,(+/- 525 ),1962,(+/- 828 ),1752,(+/- 603 )
People,Ancestry,Dutch,5193,(+/- 1507 ),4899,(+/- 1400 ),3699,(+/- 858 ),4294,(+/- 1049 ),4618,(+/- 1238 )
People,Ancestry,English,47267,(+/- 3879 ),86384,(+/- 6011 ),46090,(+/- 4166 ),53025,(+/- 4718 ),52230,(+/- 3962 )
People,Ancestry,French (except Basque),41059,(+/- 4031 ),56422,(+/- 4818 ),17301,(+/- 2518 ),13175,(+/- 2012 ),31375,(+/- 3442 )
People,Ancestry,French Canadian,19710,(+/- 2262 ),39048,(+/- 3611 ),10793,(+/- 1999 ),6691,(+/- 1322 ),14106,(+/- 2107 )
People,Ancestry,German,46249,(+/- 4557 ),64245,(+/- 5206 ),53119,(+/- 5310 ),59101,(+/- 4667 ),65514,(+/- 5516 )
People,Ancestry,Greek,4363,(+/- 1475 ),5991,(+/- 1522 ),5567,(+/- 1631 ),6427,(+/- 1528 ),5091,(+/- 1832 )
People,Ancestry,Hungarian,3114,(+/- 975 ),3557,(+/- 990 ),8072,(+/- 2193 ),11013,(+/- 1959 ),5101,(+/- 1492 )
People,Ancestry,Irish,91749,(+/- 7070 ),129596,(+/- 7872 ),104880,(+/- 6777 ),103121,(+/- 6063 ),104830,(+/- 6094 )
People,Ancestry,Italian,102957,(+/- 6364 ),104073,(+/- 7063 ),152208,(+/- 10048 ),111627,(+/- 6347 ),113575,(+/- 6807 )
People,Ancestry,Lithuanian,4202,(+/- 1271 ),5433,(+/- 1788 ),3178,(+/- 901 ),2982,(+/- 818 ),5978,(+/- 1292 )
People,Ancestry,Norwegian,2176,(+/- 729 ),4670,(+/- 1043 ),2706,(+/- 907 ),4902,(+/- 1452 ),3854,(+/- 1188 )
People,Ancestry,Polish,60175,(+/- 4819 ),55063,(+/- 5052 ),41814,(+/- 4841 ),35032,(+/- 3454 ),52817,(+/- 4690 )
People,Ancestry,Portuguese,9230,(+/- 2542 ),12547,(+/- 3130 ),11579,(+/- 3656 ),7716,(+/- 2129 ),8999,(+/- 2455 )
People,Ancestry,Russian,8804,(+/- 1836 ),5995,(+/- 1355 ),9340,(+/- 1800 ),14527,(+/- 2791 ),7594,(+/- 1726 )
People,Ancestry,Scotch-Irish,2277,(+/- 906 ),4624,(+/- 1021 ),1695,(+/- 551 ),5928,(+/- 1692 ),3063,(+/- 831 )
People,Ancestry,Scottish,9585,(+/- 1760 ),15999,(+/- 2527 ),7737,(+/- 1627 ),9648,(+/- 1650 ),10386,(+/- 1557 )
People,Ancestry,Slovak,1321,(+/- 563 ),1385,(+/- 746 ),3984,(+/- 991 ),4183,(+/- 1099 ),3402,(+/- 1504 )
People,Ancestry,Subsaharan African,10129,(+/- 3144 ),3809,(+/- 1821 ),15974,(+/- 3901 ),7419,(+/- 3106 ),5059,(+/- 1731 )
People,Ancestry,Swedish,13888,(+/- 2637 ),12013,(+/- 2079 ),7526,(+/- 1548 ),6155,(+/- 1240 ),10063,(+/- 1970 )
People,Ancestry,Swiss,1845,(+/- 1152 ),1823,(+/- 636 ),1102,(+/- 560 ),1366,(+/- 618 ),1238,(+/- 547 )
People,Ancestry,Ukrainian,3023,(+/- 1135 ),3523,(+/- 1105 ),5735,(+/- 1444 ),3935,(+/- 1319 ),3237,(+/- 1019 )
People,Ancestry,Welsh,1880,(+/- 785 ),3498,(+/- 980 ),2404,(+/- 839 ),3339,(+/- 1188 ),2167,(+/- 745 )
People,Ancestry,West Indian (excluding Hispanic origin groups),29771,(+/- 4857 ),6078,(+/- 1879 ),12034,(+/- 3260 ),30216,(+/- 4709 ),10382,(+/- 2671 )
People,Veteran Status,Civilian population 18 years and over,563945,(+/- 6282 ),564987,(+/- 4759 ),575854,(+/- 6849 ),570411,(+/- 4268 ),555223,(+/- 8063 )
People,Veteran Status,Civilian veterans,32116,(+/- 2391 ),47225,(+/- 2598 ),31657,(+/- 2773 ),21703,(+/- 2068 ),32328,(+/- 2437 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,708754,(+/- 6816 ),678779,(+/- 5357 ),705263,(+/- 7775 ),733746,(+/- 5253 ),697300,(+/- 9258 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,83212,(+/- 5624 ),79851,(+/- 4729 ),81161,(+/- 5602 ),67114,(+/- 3679 ),70597,(+/- 4603 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,150547,(+/- 3889 ),128684,(+/- 2909 ),135728,(+/- 4828 ),168589,(+/- 3436 ),151211,(+/- 6192 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6924,(+/- 1640 ),5394,(+/- 1142 ),4183,(+/- 1403 ),5877,(+/- 1221 ),4881,(+/- 1187 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,437036,(+/- 5410 ),429054,(+/- 4615 ),448926,(+/- 6371 ),453281,(+/- 4526 ),428585,(+/- 7181 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,38546,(+/- 4142 ),37180,(+/- 3347 ),39735,(+/- 3620 ),31234,(+/- 2844 ),33770,(+/- 3202 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,121171,(+/- 3677 ),121041,(+/- 2415 ),120609,(+/- 3925 ),111876,(+/- 3289 ),117504,(+/- 5508 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,37742,(+/- 2403 ),37277,(+/- 2347 ),37243,(+/- 2942 ),30003,(+/- 2111 ),31946,(+/- 2896 )
People,Residence 1 Year Ago,Population 1 year and over,708562,(+/- 6531 ),694247,(+/- 5655 ),705608,(+/- 7885 ),730163,(+/- 5061 ),699623,(+/- 9294 )
People,Residence 1 Year Ago,Same house,627359,(+/- 10956 ),601417,(+/- 9476 ),616210,(+/- 10500 ),632738,(+/- 9481 ),624588,(+/- 10140 )
People,Residence 1 Year Ago,Different house in the U.S.,75183,(+/- 8492 ),88894,(+/- 8108 ),83436,(+/- 6714 ),86659,(+/- 7444 ),70794,(+/- 5469 )
People,Residence 1 Year Ago,Same county,52138,(+/- 6848 ),42984,(+/- 5605 ),53414,(+/- 5998 ),54861,(+/- 6148 ),43832,(+/- 5034 )
People,Residence 1 Year Ago,Different county,23045,(+/- 3945 ),45910,(+/- 5598 ),30022,(+/- 3911 ),31798,(+/- 4267 ),26962,(+/- 4649 )
People,Residence 1 Year Ago,Same state,12797,(+/- 3166 ),26871,(+/- 4742 ),12853,(+/- 2331 ),4682,(+/- 1432 ),15816,(+/- 3479 )
People,Residence 1 Year Ago,Different state,10248,(+/- 2469 ),19039,(+/- 3086 ),17169,(+/- 3252 ),27116,(+/- 3869 ),11146,(+/- 2922 )
People,Residence 1 Year Ago,Abroad,6020,(+/- 2592 ),3936,(+/- 1543 ),5962,(+/- 1892 ),10766,(+/- 2375 ),4241,(+/- 1602 )
Workers,Employment Status,Population 16 years and over,584809,(+/- 6483 ),588927,(+/- 5142 ),593757,(+/- 7207 ),591751,(+/- 4559 ),574262,(+/- 8393 )
Workers,Employment Status,In labor force,387574,(+/- 8016 ),384497,(+/- 6415 ),392206,(+/- 7816 ),397805,(+/- 6000 ),374019,(+/- 7076 )
Workers,Employment Status,Civilian labor force,387145,(+/- 8132 ),378614,(+/- 6487 ),391520,(+/- 7756 ),397736,(+/- 6012 ),373907,(+/- 7081 )
Workers,Employment Status,Employed,366716,(+/- 8326 ),359362,(+/- 6621 ),370125,(+/- 7088 ),372312,(+/- 6135 ),354036,(+/- 6861 )
Workers,Employment Status,Unemployed,20429,(+/- 2608 ),19252,(+/- 2743 ),21395,(+/- 2700 ),25424,(+/- 3173 ),19871,(+/- 2105 )
Workers,Employment Status,Armed Forces,429,(+/- 418 ),5883,(+/- 995 ),686,(+/- 624 ),69,(+/- 92 ),112,(+/- 134 )
Workers,Employment Status,Not in labor force,197235,(+/- 6066 ),204430,(+/- 5831 ),201551,(+/- 6894 ),193946,(+/- 6037 ),200243,(+/- 7638 )
Workers,Employment Status,Civilian labor force,387145,(+/- 8132 ),378614,(+/- 6487 ),391520,(+/- 7756 ),397736,(+/- 6012 ),373907,(+/- 7081 )
Workers,Employment Status,Unemployment Rate,5.3,(+/- 0.7 ),5.1,(+/- 0.7 ),5.5,(+/- 0.7 ),6.4,(+/- 0.8 ),5.3,(+/- 0.5 )
Workers,Commuting to Work,Workers 16 years and over,360286,(+/- 8288 ),354935,(+/- 6636 ),364165,(+/- 7089 ),366261,(+/- 6016 ),347372,(+/- 6952 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",290420,(+/- 8417 ),289240,(+/- 6655 ),283565,(+/- 7663 ),256699,(+/- 6320 ),277060,(+/- 7233 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",30143,(+/- 3498 ),25883,(+/- 2901 ),28267,(+/- 3016 ),30426,(+/- 3785 ),31380,(+/- 3346 )
Workers,Commuting to Work,Public transportation (excluding taxicab),12456,(+/- 1920 ),3660,(+/- 909 ),13860,(+/- 1944 ),41315,(+/- 2741 ),8353,(+/- 1752 )
Workers,Commuting to Work,Walked,5065,(+/- 1318 ),8934,(+/- 1699 ),15244,(+/- 2650 ),10365,(+/- 1984 ),7503,(+/- 1866 )
Workers,Commuting to Work,Other means,4300,(+/- 1087 ),3811,(+/- 1214 ),5873,(+/- 1633 ),3337,(+/- 942 ),4341,(+/- 1216 )
Workers,Commuting to Work,Worked at home,17902,(+/- 2569 ),23407,(+/- 2619 ),17356,(+/- 2192 ),24119,(+/- 2575 ),18735,(+/- 2151 )
Workers,Commuting to Work,Mean travel time to work (minutes),23.7,(+/- 0.5 ),25.9,(+/- 0.6 ),25,(+/- 0.6 ),32.1,(+/- 0.8 ),27.5,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,366716,(+/- 8326 ),359362,(+/- 6621 ),370125,(+/- 7088 ),372312,(+/- 6135 ),354036,(+/- 6861 )
Workers,Occupation,"Management, business, science, and arts occupations",154868,(+/- 5826 ),152276,(+/- 5577 ),159935,(+/- 5952 ),178211,(+/- 6453 ),145250,(+/- 5417 )
Workers,Occupation,Service occupations,60396,(+/- 4122 ),68595,(+/- 4239 ),68094,(+/- 4917 ),61612,(+/- 4507 ),63595,(+/- 4384 )
Workers,Occupation,Sales and office occupations,81600,(+/- 4766 ),72122,(+/- 4276 ),78906,(+/- 4080 ),78117,(+/- 4477 ),76457,(+/- 4977 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",23223,(+/- 2963 ),28212,(+/- 2639 ),25330,(+/- 2798 ),26616,(+/- 2746 ),28105,(+/- 2952 )
Workers,Occupation,"Production, transportation, and material moving occupations",46629,(+/- 3517 ),38157,(+/- 3528 ),37860,(+/- 3481 ),27756,(+/- 2914 ),40629,(+/- 2944 )
Workers,Industry,Civilian employed population 16 years and over,366716,(+/- 8326 ),359362,(+/- 6621 ),370125,(+/- 7088 ),372312,(+/- 6135 ),354036,(+/- 6861 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",883,(+/- 561 ),4105,(+/- 1222 ),729,(+/- 407 ),767,(+/- 491 ),1862,(+/- 703 )
Workers,Industry,Construction,19940,(+/- 2749 ),22743,(+/- 2643 ),23374,(+/- 2790 ),22968,(+/- 2760 ),22252,(+/- 2500 )
Workers,Industry,Manufacturing,39644,(+/- 3323 ),45942,(+/- 3641 ),36173,(+/- 3033 ),27770,(+/- 2924 ),43962,(+/- 3030 )
Workers,Industry,Wholesale trade,7105,(+/- 1224 ),9583,(+/- 1480 ),7926,(+/- 1610 ),8751,(+/- 1578 ),9193,(+/- 1525 )
Workers,Industry,Retail trade,40059,(+/- 4096 ),40208,(+/- 3566 ),40829,(+/- 3968 ),33843,(+/- 3102 ),42261,(+/- 3830 )
Workers,Industry,"Transportation and warehousing, and utilities",19376,(+/- 2478 ),16438,(+/- 2184 ),16699,(+/- 2206 ),13100,(+/- 2515 ),14201,(+/- 2088 )
Workers,Industry,Information,7330,(+/- 1398 ),5536,(+/- 1189 ),6347,(+/- 1354 ),10804,(+/- 1621 ),6793,(+/- 1371 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",36733,(+/- 2776 ),26887,(+/- 2417 ),24531,(+/- 2567 ),45246,(+/- 3514 ),27653,(+/- 2599 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41422,(+/- 3870 ),31448,(+/- 2987 ),35533,(+/- 3193 ),63998,(+/- 4278 ),38737,(+/- 3486 )
Workers,Industry,"Educational services, and health care and social assistance",96108,(+/- 5441 ),90959,(+/- 5104 ),113837,(+/- 4537 ),84936,(+/- 4550 ),87664,(+/- 4875 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",26304,(+/- 2772 ),35726,(+/- 3497 ),31840,(+/- 3889 ),30230,(+/- 2899 ),29040,(+/- 2935 )
Workers,Industry,"Other services, except public administration",16244,(+/- 2178 ),14451,(+/- 2162 ),19625,(+/- 2759 ),20649,(+/- 2463 ),20036,(+/- 2400 )
Workers,Industry,Public administration,15568,(+/- 2289 ),15336,(+/- 1854 ),12682,(+/- 1788 ),9250,(+/- 1937 ),10382,(+/- 1566 )
Workers,Class of Worker,Civilian employed population 16 years and over,366716,(+/- 8326 ),359362,(+/- 6621 ),370125,(+/- 7088 ),372312,(+/- 6135 ),354036,(+/- 6861 )
Workers,Class of Worker,Private wage and salary workers,297272,(+/- 7939 ),286646,(+/- 6958 ),305270,(+/- 7204 ),308866,(+/- 7341 ),289741,(+/- 6977 )
Workers,Class of Worker,Government workers,49951,(+/- 3919 ),52007,(+/- 3377 ),46197,(+/- 3442 ),36641,(+/- 3795 ),37468,(+/- 2869 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,19089,(+/- 2202 ),19765,(+/- 2053 ),18550,(+/- 2423 ),26227,(+/- 2443 ),26360,(+/- 2769 )
Workers,Class of Worker,Unpaid family workers,404,(+/- 294 ),944,(+/- 535 ),108,(+/- 121 ),578,(+/- 318 ),467,(+/- 378 )
Housing,Housing Occupancy,Total housing units,305611,(+/- 3696 ),309743,(+/- 2715 ),307058,(+/- 3868 ),291150,(+/- 2788 ),307561,(+/- 4914 )
Housing,Housing Occupancy,Occupied housing units,279563,(+/- 4414 ),273946,(+/- 3657 ),281432,(+/- 3760 ),269293,(+/- 3511 ),273857,(+/- 5045 )
Housing,Housing Occupancy,Vacant housing units,26048,(+/- 2904 ),35797,(+/- 3599 ),25626,(+/- 3037 ),21857,(+/- 2599 ),33704,(+/- 3202 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.6,(+/- 0.7 ),2,(+/- 0.7 ),1.1,(+/- 0.6 ),1.7,(+/- 0.5 ),1.1,(+/- 0.4 )
Housing,Housing Occupancy,Rental vacancy rate,6.2,(+/- 1.2 ),5.6,(+/- 1.5 ),6.4,(+/- 1.5 ),5.5,(+/- 1.5 ),5.1,(+/- 1.1 )
Housing,Housing Tenure,Occupied housing units,279563,(+/- 4414 ),273946,(+/- 3657 ),281432,(+/- 3760 ),269293,(+/- 3511 ),273857,(+/- 5045 )
Housing,Housing Tenure,Owner-occupied,182379,(+/- 4316 ),195672,(+/- 4250 ),173736,(+/- 3900 ),172835,(+/- 3660 ),182149,(+/- 3905 )
Housing,Housing Tenure,Renter-occupied,97184,(+/- 3536 ),78274,(+/- 3325 ),107696,(+/- 4043 ),96458,(+/- 3528 ),91708,(+/- 4670 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.6,(+/- 0.05 ),2.51,(+/- 0.04 ),2.59,(+/- 0.05 ),2.8,(+/- 0.05 ),2.63,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.31,(+/- 0.08 ),2.16,(+/- 0.08 ),2.19,(+/- 0.08 ),2.51,(+/- 0.07 ),2.29,(+/- 0.09 )
Housing,Year Householder Moved into Unit,Occupied housing units,279563,(+/- 4414 ),273946,(+/- 3657 ),281432,(+/- 3760 ),269293,(+/- 3511 ),273857,(+/- 5045 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,45616,(+/- 2959 ),44189,(+/- 3435 ),47750,(+/- 3625 ),47473,(+/- 2980 ),39480,(+/- 3768 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,41176,(+/- 2973 ),38157,(+/- 3098 ),43317,(+/- 3414 ),38631,(+/- 3274 ),42959,(+/- 2990 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,48934,(+/- 3317 ),41829,(+/- 3254 ),46608,(+/- 3745 ),51609,(+/- 3271 ),49408,(+/- 3349 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,65489,(+/- 3712 ),63082,(+/- 3493 ),62068,(+/- 4202 ),61156,(+/- 3229 ),64187,(+/- 3338 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,33905,(+/- 2473 ),34574,(+/- 2325 ),35164,(+/- 2747 ),34057,(+/- 2515 ),35044,(+/- 2477 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,44443,(+/- 2707 ),52115,(+/- 2951 ),46525,(+/- 2951 ),36367,(+/- 2690 ),42779,(+/- 2597 )
Housing,Value,Owner-occupied units,182379,(+/- 4316 ),195672,(+/- 4250 ),173736,(+/- 3900 ),172835,(+/- 3660 ),182149,(+/- 3905 )
Housing,Value,"Less than $50,000",3627,(+/- 880 ),5169,(+/- 1096 ),3632,(+/- 834 ),3288,(+/- 947 ),2417,(+/- 635 )
Housing,Value,"$50,000 to $99,999",6173,(+/- 1402 ),4541,(+/- 764 ),7040,(+/- 1232 ),2937,(+/- 939 ),7039,(+/- 1374 )
Housing,Value,"$100,000 to $149,999",17647,(+/- 1735 ),18502,(+/- 2016 ),11724,(+/- 1316 ),3760,(+/- 864 ),21455,(+/- 1774 )
Housing,Value,"$150,000 to $199,999",36990,(+/- 2762 ),36076,(+/- 2880 ),27269,(+/- 2461 ),8530,(+/- 1390 ),26929,(+/- 2600 )
Housing,Value,"$200,000 to $299,999",63894,(+/- 3839 ),64199,(+/- 2783 ),62130,(+/- 3030 ),17576,(+/- 2152 ),44467,(+/- 3016 )
Housing,Value,"$300,000 to $499,999",44318,(+/- 2463 ),51926,(+/- 2828 ),48327,(+/- 2979 ),49777,(+/- 2746 ),56125,(+/- 2792 )
Housing,Value,"$500,000 to $999,999",9104,(+/- 1257 ),12999,(+/- 1385 ),11648,(+/- 1348 ),53351,(+/- 2503 ),19931,(+/- 2076 )
Housing,Value,"$1,000,000 or more",626,(+/- 312 ),2260,(+/- 641 ),1966,(+/- 601 ),33616,(+/- 1904 ),3786,(+/- 812 )
Housing,Value,Median (dollars),238100,(+/- 3553 ),249500,(+/- 4631 ),255600,(+/- 5064 ),504100,(+/- 16551 ),274300,(+/- 6342 )
Housing,Mortgage Status,Owner-occupied units,182379,(+/- 4316 ),195672,(+/- 4250 ),173736,(+/- 3900 ),172835,(+/- 3660 ),182149,(+/- 3905 )
Housing,Mortgage Status,Housing units with a mortgage,121118,(+/- 3779 ),133170,(+/- 3701 ),116046,(+/- 3514 ),119095,(+/- 3703 ),120027,(+/- 3638 )
Housing,Mortgage Status,Housing units without a mortgage,61261,(+/- 2763 ),62502,(+/- 3174 ),57690,(+/- 3037 ),53740,(+/- 2495 ),62122,(+/- 3094 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,121118,(+/- 3779 ),133170,(+/- 3701 ),116046,(+/- 3514 ),119095,(+/- 3703 ),120027,(+/- 3638 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,153,(+/- 140 ),275,(+/- 209 ),335,(+/- 254 ),112,(+/- 162 ),213,(+/- 211 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,5218,(+/- 1118 ),7650,(+/- 1295 ),3760,(+/- 1008 ),1973,(+/- 665 ),4326,(+/- 811 )
