Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","45 to 54 years",83918,"(+/- 3333 )",101556,"(+/- 3565 )",103573,"(+/- 2831 )",88336,"(+/- 1988 )",92444,"(+/- 2322 )",96886,"(+/- 2586 )",93640,"(+/- 1653 )",93001,"(+/- 2264 )"
People,"Sex and Age","55 to 59 years",45181,"(+/- 2787 )",58433,"(+/- 3423 )",57184,"(+/- 3073 )",48839,"(+/- 2369 )",49464,"(+/- 2823 )",53524,"(+/- 3033 )",53852,"(+/- 2947 )",53114,"(+/- 2892 )"
People,"Sex and Age","60 to 64 years",50229,"(+/- 3141 )",55350,"(+/- 3285 )",55171,"(+/- 2796 )",50992,"(+/- 2128 )",48164,"(+/- 3051 )",52768,"(+/- 3088 )",46935,"(+/- 2851 )",53684,"(+/- 2643 )"
People,"Sex and Age","65 to 74 years",62730,"(+/- 2137 )",79027,"(+/- 2705 )",76191,"(+/- 2101 )",75532,"(+/- 1644 )",68162,"(+/- 1928 )",75412,"(+/- 2002 )",79296,"(+/- 1356 )",80273,"(+/- 1808 )"
People,"Sex and Age","75 to 84 years",29185,"(+/- 2438 )",45474,"(+/- 2472 )",38882,"(+/- 2088 )",39700,"(+/- 1762 )",35697,"(+/- 1944 )",37599,"(+/- 2165 )",42426,"(+/- 1882 )",44683,"(+/- 1990 )"
People,"Sex and Age","85 years and over",14661,"(+/- 2100 )",19329,"(+/- 2003 )",12931,"(+/- 1867 )",15166,"(+/- 1632 )",15839,"(+/- 1820 )",15523,"(+/- 1352 )",16590,"(+/- 1691 )",14766,"(+/- 1789 )"
People,"Sex and Age","Median age (years)",36.3,"(+/- 0.5 )",42.8,"(+/- 0.8 )",39.2,"(+/- 0.5 )",37.2,"(+/- 0.5 )",36.8,"(+/- 0.4 )",38.6,"(+/- 0.5 )",38.4,"(+/- 0.3 )",41.3,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",573137,"(+/- 5915 )",595267,"(+/- 8365 )",612022,"(+/- 5809 )",599536,"(+/- 3270 )",596778,"(+/- 4629 )",593139,"(+/- 5030 )",605946,"(+/- 2314 )",572901,"(+/- 3871 )"
People,"Sex and Age","65 years and over",106576,"(+/- 3026 )",143830,"(+/- 3422 )",128004,"(+/- 2392 )",130398,"(+/- 1979 )",119698,"(+/- 2576 )",128534,"(+/- 2892 )",138312,"(+/- 1576 )",139722,"(+/- 2139 )"
People,Race,"Total population",728365,"(+/- 7576 )",760689,"(+/- 12075 )",793405,"(+/- 8955 )",770500,"(+/- 4141 )",771847,"(+/- 6564 )",780002,"(+/- 6630 )",783672,"(+/- 2891 )",737972,"(+/- 5020 )"
People,Race,"One race",707476,"(+/- 7718 )",744814,"(+/- 12520 )",776515,"(+/- 8820 )",744581,"(+/- 5133 )",742337,"(+/- 7438 )",756215,"(+/- 6851 )",759034,"(+/- 3932 )",721616,"(+/- 5327 )"
People,Race,White,315884,"(+/- 7645 )",669924,"(+/- 11182 )",736054,"(+/- 8815 )",686709,"(+/- 4338 )",530873,"(+/- 7107 )",702748,"(+/- 6437 )",715501,"(+/- 3714 )",677504,"(+/- 5298 )"
People,Race,"Black or African American",359940,"(+/- 5257 )",29119,"(+/- 4835 )",28334,"(+/- 2994 )",33920,"(+/- 2641 )",170287,"(+/- 4319 )",33495,"(+/- 3574 )",16109,"(+/- 1791 )",33123,"(+/- 1987 )"
People,Race,"American Indian and Alaska Native",1370,"(+/- 566 )",1685,"(+/- 893 )",1643,"(+/- 728 )",5257,"(+/- 1257 )",2174,"(+/- 732 )",3588,"(+/- 1023 )",8968,"(+/- 2425 )",3020,"(+/- 983 )"
People,Race,Asian,22653,"(+/- 2190 )",40337,"(+/- 3252 )",6692,"(+/- 1692 )",13518,"(+/- 1517 )",12887,"(+/- 1743 )",9883,"(+/- 1690 )",9339,"(+/- 1333 )",6108,"(+/- 1393 )"
People,Race,"Native Hawaiian and Other Pacific Islander",566,"(+/- 510 )",665,"(+/- 595 )",903,"(+/- 1136 )",350,"(+/- 302 )",3029,"(+/- 556 )",348,"(+/- 279 )",1376,"(+/- 291 )",148,"(+/- 210 )"
People,Race,"Some other race",7063,"(+/- 2256 )",3084,"(+/- 1466 )",2889,"(+/- 1332 )",4827,"(+/- 1479 )",23087,"(+/- 4312 )",6153,"(+/- 1986 )",7741,"(+/- 2535 )",1713,"(+/- 789 )"
People,Race,"Two or more races",20889,"(+/- 3170 )",15875,"(+/- 3092 )",16890,"(+/- 2612 )",25919,"(+/- 3260 )",29510,"(+/- 4164 )",23787,"(+/- 2875 )",24638,"(+/- 2642 )",16356,"(+/- 2356 )"
People,"Hispanic or Latino and Race","Total population",728365,"(+/- 7576 )",760689,"(+/- 12075 )",793405,"(+/- 8955 )",770500,"(+/- 4141 )",771847,"(+/- 6564 )",780002,"(+/- 6630 )",783672,"(+/- 2891 )",737972,"(+/- 5020 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24864,"(+/- 2661 )",21247,"(+/- 2990 )",19356,"(+/- 1743 )",30694,"(+/- 1193 )",71048,"(+/- 3842 )",31814,"(+/- 3700 )",41219,"(+/- 404 )",13232,"(+/- 1754 )"
People,"Hispanic or Latino and Race",Mexican,15373,"(+/- 2582 )",12930,"(+/- 2963 )",13832,"(+/- 2023 )",19407,"(+/- 2102 )",53525,"(+/- 4206 )",23273,"(+/- 4092 )",31748,"(+/- 2530 )",9699,"(+/- 1487 )"
People,"Hispanic or Latino and Race","Puerto Rican",927,"(+/- 503 )",1798,"(+/- 1171 )",931,"(+/- 847 )",4596,"(+/- 1608 )",3323,"(+/- 1344 )",1417,"(+/- 685 )",2919,"(+/- 1490 )",905,"(+/- 604 )"
People,"Hispanic or Latino and Race",Cuban,458,"(+/- 367 )",915,"(+/- 589 )",457,"(+/- 506 )",600,"(+/- 411 )",3355,"(+/- 1878 )",1731,"(+/- 1832 )",249,"(+/- 361 )",455,"(+/- 424 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",8106,"(+/- 2142 )",5604,"(+/- 1514 )",4136,"(+/- 1179 )",6091,"(+/- 1926 )",10845,"(+/- 2319 )",5393,"(+/- 1759 )",6303,"(+/- 2069 )",2173,"(+/- 818 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",703501,"(+/- 8151 )",739442,"(+/- 12235 )",774049,"(+/- 8793 )",739806,"(+/- 4466 )",700799,"(+/- 6938 )",748188,"(+/- 6847 )",742453,"(+/- 2953 )",724740,"(+/- 4832 )"
People,"Place of Birth","Total population",728365,"(+/- 7576 )",760689,"(+/- 12075 )",793405,"(+/- 8955 )",770500,"(+/- 4141 )",771847,"(+/- 6564 )",780002,"(+/- 6630 )",783672,"(+/- 2891 )",737972,"(+/- 5020 )"
People,"Place of Birth",Native,682804,"(+/- 9220 )",699950,"(+/- 12788 )",772189,"(+/- 9598 )",741805,"(+/- 5745 )",723939,"(+/- 8574 )",755805,"(+/- 6638 )",763264,"(+/- 3735 )",728306,"(+/- 5458 )"
People,"Place of Birth","Born in United States",677904,"(+/- 9246 )",694313,"(+/- 12949 )",768452,"(+/- 9811 )",733672,"(+/- 5586 )",717397,"(+/- 8718 )",749777,"(+/- 6734 )",756931,"(+/- 3783 )",724675,"(+/- 5628 )"
People,"Place of Birth","State of residence",503688,"(+/- 10162 )",507994,"(+/- 13192 )",586547,"(+/- 10582 )",480206,"(+/- 7609 )",466201,"(+/- 11028 )",504114,"(+/- 8175 )",478160,"(+/- 9138 )",538384,"(+/- 7769 )"
People,"Place of Birth","Different state",174216,"(+/- 6808 )",186319,"(+/- 7472 )",181905,"(+/- 7044 )",253466,"(+/- 7173 )",251196,"(+/- 8511 )",245663,"(+/- 7633 )",278771,"(+/- 9938 )",186291,"(+/- 6628 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4900,"(+/- 1118 )",5637,"(+/- 1460 )",3737,"(+/- 1153 )",8133,"(+/- 1963 )",6542,"(+/- 1791 )",6028,"(+/- 1217 )",6333,"(+/- 1334 )",3631,"(+/- 1031 )"
People,"Place of Birth","Foreign born",45561,"(+/- 4762 )",60739,"(+/- 5641 )",21216,"(+/- 2599 )",28695,"(+/- 4099 )",47908,"(+/- 5284 )",24197,"(+/- 2621 )",20408,"(+/- 2531 )",9666,"(+/- 1427 )"
People,Ancestry,"Total population",728365,"(+/- 7576 )",760689,"(+/- 12075 )",793405,"(+/- 8955 )",770500,"(+/- 4141 )",771847,"(+/- 6564 )",780002,"(+/- 6630 )",783672,"(+/- 2891 )",737972,"(+/- 5020 )"
People,Ancestry,American,21737,"(+/- 2707 )",38766,"(+/- 4620 )",65654,"(+/- 5842 )",62382,"(+/- 5180 )",34499,"(+/- 3778 )",67986,"(+/- 5525 )",57876,"(+/- 5065 )",89937,"(+/- 5709 )"
People,Ancestry,Arab,3173,"(+/- 1783 )",5905,"(+/- 2746 )",1301,"(+/- 574 )",1338,"(+/- 879 )",7037,"(+/- 3156 )",1695,"(+/- 1038 )",1788,"(+/- 1111 )",869,"(+/- 675 )"
People,Ancestry,Czech,1738,"(+/- 654 )",6063,"(+/- 1411 )",5771,"(+/- 2163 )",1997,"(+/- 940 )",2067,"(+/- 707 )",2253,"(+/- 855 )",3697,"(+/- 1071 )",1773,"(+/- 709 )"
People,Ancestry,Danish,768,"(+/- 386 )",2074,"(+/- 720 )",2260,"(+/- 1246 )",1745,"(+/- 605 )",1948,"(+/- 775 )",3392,"(+/- 1774 )",1850,"(+/- 695 )",1702,"(+/- 1056 )"
People,Ancestry,Dutch,4923,"(+/- 1808 )",7983,"(+/- 1674 )",9720,"(+/- 1660 )",10657,"(+/- 1730 )",8931,"(+/- 2057 )",10754,"(+/- 2084 )",12863,"(+/- 2459 )",9202,"(+/- 1968 )"
People,Ancestry,English,33245,"(+/- 3551 )",73013,"(+/- 6332 )",63870,"(+/- 5424 )",64226,"(+/- 5183 )",57370,"(+/- 4608 )",71752,"(+/- 4849 )",65937,"(+/- 6350 )",50771,"(+/- 4637 )"
People,Ancestry,"French (except Basque)",13780,"(+/- 2360 )",28006,"(+/- 3500 )",29883,"(+/- 3030 )",18508,"(+/- 2899 )",14325,"(+/- 2456 )",17893,"(+/- 2407 )",19139,"(+/- 3009 )",28978,"(+/- 3371 )"
People,Ancestry,"French Canadian",1534,"(+/- 617 )",1750,"(+/- 646 )",2291,"(+/- 834 )",1740,"(+/- 661 )",925,"(+/- 484 )",2442,"(+/- 1043 )",2031,"(+/- 1035 )",1856,"(+/- 853 )"
People,Ancestry,German,95455,"(+/- 6095 )",239988,"(+/- 9158 )",244296,"(+/- 10356 )",175039,"(+/- 8372 )",123383,"(+/- 7480 )",161009,"(+/- 7856 )",126269,"(+/- 7324 )",150276,"(+/- 8217 )"
People,Ancestry,Greek,645,"(+/- 326 )",3534,"(+/- 1336 )",1823,"(+/- 1204 )",1954,"(+/- 955 )",2696,"(+/- 1208 )",1648,"(+/- 811 )",910,"(+/- 471 )",559,"(+/- 318 )"
People,Ancestry,Hungarian,1505,"(+/- 769 )",3075,"(+/- 884 )",5507,"(+/- 3749 )",1496,"(+/- 732 )",885,"(+/- 418 )",938,"(+/- 476 )",647,"(+/- 331 )",1458,"(+/- 873 )"
People,Ancestry,Irish,64862,"(+/- 6064 )",130805,"(+/- 8667 )",110411,"(+/- 7927 )",93966,"(+/- 6770 )",84655,"(+/- 5684 )",93639,"(+/- 5834 )",84369,"(+/- 6743 )",89455,"(+/- 5351 )"
People,Ancestry,Italian,22779,"(+/- 2765 )",50175,"(+/- 5046 )",35738,"(+/- 4079 )",19552,"(+/- 3174 )",23098,"(+/- 3304 )",20347,"(+/- 2579 )",18458,"(+/- 2741 )",13906,"(+/- 2056 )"
People,Ancestry,Lithuanian,1439,"(+/- 536 )",1436,"(+/- 643 )",1492,"(+/- 964 )",605,"(+/- 405 )",475,"(+/- 268 )",366,"(+/- 395 )",189,"(+/- 185 )",414,"(+/- 363 )"
People,Ancestry,Norwegian,2422,"(+/- 743 )",7762,"(+/- 1630 )",4173,"(+/- 1251 )",6698,"(+/- 1612 )",8840,"(+/- 2282 )",8791,"(+/- 1471 )",7330,"(+/- 1724 )",2912,"(+/- 1008 )"
People,Ancestry,Polish,11539,"(+/- 1849 )",21922,"(+/- 3067 )",17029,"(+/- 2609 )",12823,"(+/- 2081 )",8417,"(+/- 1782 )",10098,"(+/- 1928 )",8650,"(+/- 1862 )",7517,"(+/- 1997 )"
People,Ancestry,Portuguese,282,"(+/- 216 )",624,"(+/- 548 )",23,"(+/- 38 )",434,"(+/- 453 )",558,"(+/- 312 )",226,"(+/- 186 )",1026,"(+/- 845 )",108,"(+/- 160 )"
People,Ancestry,Russian,3621,"(+/- 884 )",7204,"(+/- 1799 )",2547,"(+/- 912 )",4075,"(+/- 1958 )",1653,"(+/- 648 )",2440,"(+/- 847 )",1757,"(+/- 812 )",1983,"(+/- 897 )"
People,Ancestry,Scotch-Irish,4565,"(+/- 1163 )",7829,"(+/- 1405 )",6189,"(+/- 1303 )",9407,"(+/- 1694 )",8475,"(+/- 1767 )",10462,"(+/- 1995 )",10048,"(+/- 1824 )",8037,"(+/- 1844 )"
People,Ancestry,Scottish,6502,"(+/- 1396 )",11721,"(+/- 2076 )",14026,"(+/- 2433 )",14061,"(+/- 2107 )",16683,"(+/- 3009 )",13683,"(+/- 1896 )",14262,"(+/- 1908 )",13673,"(+/- 2428 )"
People,Ancestry,Slovak,357,"(+/- 299 )",1960,"(+/- 1203 )",676,"(+/- 427 )",493,"(+/- 352 )",964,"(+/- 699 )",756,"(+/- 579 )",338,"(+/- 314 )",351,"(+/- 274 )"
People,Ancestry,"Subsaharan African",19193,"(+/- 5820 )",1993,"(+/- 927 )",3410,"(+/- 1890 )",3308,"(+/- 1468 )",11787,"(+/- 3059 )",5420,"(+/- 1557 )",3537,"(+/- 1359 )",985,"(+/- 556 )"
People,Ancestry,Swedish,3709,"(+/- 1273 )",6970,"(+/- 1371 )",6380,"(+/- 2051 )",9402,"(+/- 2756 )",9669,"(+/- 1774 )",10284,"(+/- 2196 )",9605,"(+/- 2671 )",3725,"(+/- 1294 )"
People,Ancestry,Swiss,1975,"(+/- 728 )",4007,"(+/- 1130 )",1729,"(+/- 763 )",7348,"(+/- 3260 )",1781,"(+/- 981 )",5267,"(+/- 1746 )",2544,"(+/- 978 )",1704,"(+/- 681 )"
People,Ancestry,Ukrainian,737,"(+/- 349 )",2323,"(+/- 941 )",1240,"(+/- 1101 )",2343,"(+/- 1570 )",397,"(+/- 364 )",754,"(+/- 353 )",162,"(+/- 201 )",68,"(+/- 94 )"
People,Ancestry,Welsh,2654,"(+/- 940 )",6612,"(+/- 1908 )",6333,"(+/- 1943 )",6335,"(+/- 1277 )",6544,"(+/- 1577 )",4233,"(+/- 853 )",5214,"(+/- 1606 )",2709,"(+/- 780 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1047,"(+/- 792 )",69,"(+/- 123 )",542,"(+/- 555 )",1187,"(+/- 837 )",2420,"(+/- 1587 )",566,"(+/- 476 )",1385,"(+/- 1063 )",449,"(+/- 400 )"
People,"Veteran Status","Civilian population 18 years and over",572380,"(+/- 5956 )",595059,"(+/- 8399 )",611718,"(+/- 5851 )",586065,"(+/- 2961 )",596585,"(+/- 4673 )",591873,"(+/- 5090 )",605605,"(+/- 2389 )",572697,"(+/- 3870 )"
People,"Veteran Status","Civilian veterans",38187,"(+/- 2726 )",39868,"(+/- 2784 )",50823,"(+/- 2756 )",58452,"(+/- 2950 )",43866,"(+/- 2510 )",50252,"(+/- 2728 )",48729,"(+/- 3022 )",53973,"(+/- 3119 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",719777,"(+/- 7851 )",751248,"(+/- 12151 )",781719,"(+/- 9270 )",743119,"(+/- 4270 )",764218,"(+/- 6476 )",760796,"(+/- 6773 )",775295,"(+/- 3330 )",718570,"(+/- 5518 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",99387,"(+/- 5158 )",82994,"(+/- 5024 )",96846,"(+/- 5522 )",113076,"(+/- 5188 )",105471,"(+/- 4909 )",97384,"(+/- 4286 )",123604,"(+/- 4575 )",154759,"(+/- 5719 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",154788,"(+/- 3840 )",165272,"(+/- 6434 )",180821,"(+/- 4951 )",170397,"(+/- 2118 )",174508,"(+/- 3851 )",186480,"(+/- 3987 )",177178,"(+/- 1917 )",164364,"(+/- 2873 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8100,"(+/- 2085 )",6546,"(+/- 1741 )",7359,"(+/- 1590 )",6284,"(+/- 1160 )",7573,"(+/- 1763 )",5950,"(+/- 985 )",9355,"(+/- 1790 )",12185,"(+/- 2010 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",461805,"(+/- 6505 )",447751,"(+/- 8207 )",476357,"(+/- 5936 )",447398,"(+/- 3349 )",474090,"(+/- 4713 )",450931,"(+/- 4765 )",463528,"(+/- 2837 )",420922,"(+/- 4421 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54223,"(+/- 3827 )",35319,"(+/- 3706 )",47993,"(+/- 3756 )",58776,"(+/- 3862 )",57980,"(+/- 3950 )",48204,"(+/- 3237 )",62496,"(+/- 3632 )",81525,"(+/- 4458 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",103184,"(+/- 3099 )",138225,"(+/- 3486 )",124541,"(+/- 2289 )",125324,"(+/- 2131 )",115620,"(+/- 2649 )",123385,"(+/- 3053 )",134589,"(+/- 1786 )",133284,"(+/- 2304 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37064,"(+/- 2789 )",41129,"(+/- 2971 )",41494,"(+/- 2811 )",48016,"(+/- 2549 )",39918,"(+/- 2832 )",43230,"(+/- 2767 )",51753,"(+/- 2726 )",61049,"(+/- 2749 )"
People,"Residence 1 Year Ago","Population 1 year and over",718785,"(+/- 7849 )",752401,"(+/- 12003 )",784423,"(+/- 8690 )",761382,"(+/- 4386 )",761710,"(+/- 6714 )",770094,"(+/- 6771 )",774068,"(+/- 3075 )",730246,"(+/- 5277 )"
People,"Residence 1 Year Ago","Same house",578853,"(+/- 11954 )",667639,"(+/- 12188 )",684535,"(+/- 9177 )",631384,"(+/- 9571 )",653590,"(+/- 10372 )",664128,"(+/- 8362 )",658534,"(+/- 8180 )",622890,"(+/- 10697 )"
People,"Residence 1 Year Ago","Different house in the U.S.",136348,"(+/- 10820 )",81264,"(+/- 6259 )",98399,"(+/- 6711 )",126146,"(+/- 7934 )",106693,"(+/- 8206 )",104786,"(+/- 6269 )",113700,"(+/- 7598 )",105616,"(+/- 8697 )"
People,"Residence 1 Year Ago","Same county",79978,"(+/- 8744 )",44596,"(+/- 5631 )",52279,"(+/- 5091 )",59958,"(+/- 6549 )",62051,"(+/- 6226 )",49920,"(+/- 5146 )",61630,"(+/- 4986 )",63904,"(+/- 7450 )"
People,"Residence 1 Year Ago","Different county",56370,"(+/- 6503 )",36668,"(+/- 5188 )",46120,"(+/- 4843 )",66188,"(+/- 5839 )",44642,"(+/- 5316 )",54866,"(+/- 4772 )",52070,"(+/- 5964 )",41712,"(+/- 3861 )"
People,"Residence 1 Year Ago","Same state",36029,"(+/- 6391 )",23249,"(+/- 4474 )",36998,"(+/- 4314 )",32856,"(+/- 3413 )",19386,"(+/- 3691 )",36138,"(+/- 3562 )",31159,"(+/- 3889 )",30495,"(+/- 3403 )"
People,"Residence 1 Year Ago","Different state",20341,"(+/- 3110 )",13419,"(+/- 2542 )",9122,"(+/- 2242 )",33332,"(+/- 4606 )",25256,"(+/- 3595 )",18728,"(+/- 2890 )",20911,"(+/- 4151 )",11217,"(+/- 2187 )"
People,"Residence 1 Year Ago",Abroad,3584,"(+/- 1628 )",3498,"(+/- 2226 )",1489,"(+/- 841 )",3852,"(+/- 1485 )",1427,"(+/- 583 )",1180,"(+/- 419 )",1834,"(+/- 788 )",1740,"(+/- 760 )"
Workers,"Employment Status","Population 16 years and over",588231,"(+/- 5923 )",616114,"(+/- 8451 )",632838,"(+/- 6138 )",618614,"(+/- 3512 )",616616,"(+/- 4927 )",615538,"(+/- 5410 )",625788,"(+/- 2835 )",593264,"(+/- 4264 )"
Workers,"Employment Status","In labor force",382890,"(+/- 6979 )",407667,"(+/- 8327 )",415853,"(+/- 7181 )",377029,"(+/- 5861 )",406448,"(+/- 7076 )",384548,"(+/- 6750 )",369525,"(+/- 5917 )",322240,"(+/- 7119 )"
Workers,"Employment Status","Civilian labor force",382133,"(+/- 6970 )",407459,"(+/- 8352 )",415549,"(+/- 7216 )",363558,"(+/- 5720 )",406255,"(+/- 7091 )",383282,"(+/- 6831 )",369184,"(+/- 5912 )",322036,"(+/- 7124 )"
Workers,"Employment Status",Employed,361270,"(+/- 7683 )",395237,"(+/- 8207 )",400339,"(+/- 7219 )",347273,"(+/- 5835 )",387394,"(+/- 7065 )",370825,"(+/- 6789 )",353731,"(+/- 6580 )",305530,"(+/- 7355 )"
Workers,"Employment Status",Unemployed,20863,"(+/- 3510 )",12222,"(+/- 1662 )",15210,"(+/- 2321 )",16285,"(+/- 2475 )",18861,"(+/- 2354 )",12457,"(+/- 1660 )",15453,"(+/- 2541 )",16506,"(+/- 2233 )"
Workers,"Employment Status","Armed Forces",757,"(+/- 537 )",208,"(+/- 182 )",304,"(+/- 222 )",13471,"(+/- 1579 )",193,"(+/- 227 )",1266,"(+/- 619 )",341,"(+/- 326 )",204,"(+/- 203 )"
Workers,"Employment Status","Not in labor force",205341,"(+/- 6250 )",208447,"(+/- 5365 )",216985,"(+/- 5833 )",241585,"(+/- 5788 )",210168,"(+/- 5475 )",230990,"(+/- 5786 )",256263,"(+/- 5614 )",271024,"(+/- 6267 )"
Workers,"Employment Status","Civilian labor force",382133,"(+/- 6970 )",407459,"(+/- 8352 )",415549,"(+/- 7216 )",363558,"(+/- 5720 )",406255,"(+/- 7091 )",383282,"(+/- 6831 )",369184,"(+/- 5912 )",322036,"(+/- 7124 )"
Workers,"Employment Status","Unemployment Rate",5.5,"(+/- 0.9 )",3.0,"(+/- 0.4 )",3.7,"(+/- 0.6 )",4.5,"(+/- 0.7 )",4.6,"(+/- 0.6 )",3.3,"(+/- 0.4 )",4.2,"(+/- 0.7 )",5.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",355090,"(+/- 7846 )",389347,"(+/- 8131 )",395612,"(+/- 7273 )",353922,"(+/- 6253 )",380925,"(+/- 7009 )",367688,"(+/- 6568 )",346959,"(+/- 6431 )",301271,"(+/- 7156 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",274212,"(+/- 7836 )",334248,"(+/- 8142 )",340335,"(+/- 8282 )",278541,"(+/- 7374 )",314432,"(+/- 6888 )",303225,"(+/- 7052 )",288298,"(+/- 6653 )",244069,"(+/- 6873 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",25793,"(+/- 3177 )",22046,"(+/- 2883 )",30773,"(+/- 3129 )",34427,"(+/- 3776 )",29165,"(+/- 3506 )",32227,"(+/- 2688 )",33625,"(+/- 3013 )",35662,"(+/- 2986 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",21674,"(+/- 2939 )",1974,"(+/- 925 )",988,"(+/- 647 )",1245,"(+/- 646 )",7134,"(+/- 1528 )",1365,"(+/- 734 )",1070,"(+/- 507 )",1711,"(+/- 1255 )"
Workers,"Commuting to Work",Walked,14478,"(+/- 2342 )",2884,"(+/- 831 )",4324,"(+/- 1147 )",16314,"(+/- 1701 )",6638,"(+/- 1262 )",5776,"(+/- 1457 )",4409,"(+/- 1106 )",4237,"(+/- 984 )"
Workers,"Commuting to Work","Other means",5666,"(+/- 1630 )",3011,"(+/- 818 )",3152,"(+/- 1086 )",5628,"(+/- 1384 )",6251,"(+/- 1586 )",4369,"(+/- 927 )",4617,"(+/- 1378 )",2479,"(+/- 887 )"
Workers,"Commuting to Work","Worked at home",13267,"(+/- 1879 )",25184,"(+/- 2322 )",16040,"(+/- 1935 )",17767,"(+/- 2547 )",17305,"(+/- 1868 )",20726,"(+/- 2448 )",14940,"(+/- 1969 )",13113,"(+/- 1921 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.4,"(+/- 0.7 )",24.9,"(+/- 0.5 )",26.4,"(+/- 0.6 )",22.7,"(+/- 0.6 )",23.2,"(+/- 0.5 )",23.5,"(+/- 0.4 )",21.6,"(+/- 0.5 )",24.6,"(+/- 0.9 )"
