Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
People,"Sex and Age","45 to 54 years",110481,"(+/- 4159 )",85896,"(+/- 2540 )",84833,"(+/- 2889 )",97864,"(+/- 3661 )",94340,"(+/- 2617 )",94045,"(+/- 2568 )",109630,"(+/- 3643 )",101550,"(+/- 3316 )",92933,"(+/- 1925 )",130911,"(+/- 4222 )",113212,"(+/- 4668 )"
People,"Sex and Age","55 to 59 years",58718,"(+/- 3745 )",48882,"(+/- 2599 )",50255,"(+/- 2922 )",51865,"(+/- 3692 )",54024,"(+/- 3159 )",50216,"(+/- 2621 )",55655,"(+/- 2868 )",46158,"(+/- 2599 )",50194,"(+/- 2787 )",57026,"(+/- 3122 )",51315,"(+/- 2969 )"
People,"Sex and Age","60 to 64 years",49280,"(+/- 3051 )",44571,"(+/- 2755 )",43917,"(+/- 3065 )",51321,"(+/- 3493 )",52587,"(+/- 3219 )",51624,"(+/- 2467 )",51382,"(+/- 3434 )",41655,"(+/- 2903 )",49818,"(+/- 2574 )",48090,"(+/- 2696 )",44780,"(+/- 3084 )"
People,"Sex and Age","65 to 74 years",74617,"(+/- 2673 )",66824,"(+/- 2145 )",58586,"(+/- 2641 )",70271,"(+/- 2880 )",86963,"(+/- 2484 )",79739,"(+/- 2148 )",77353,"(+/- 3406 )",56590,"(+/- 2520 )",83906,"(+/- 1637 )",65869,"(+/- 2858 )",58784,"(+/- 2864 )"
People,"Sex and Age","75 to 84 years",38240,"(+/- 2219 )",31084,"(+/- 1932 )",30280,"(+/- 1803 )",31771,"(+/- 2363 )",46197,"(+/- 2285 )",43903,"(+/- 2266 )",37289,"(+/- 2535 )",27716,"(+/- 2452 )",45013,"(+/- 2131 )",31730,"(+/- 2205 )",27314,"(+/- 2290 )"
People,"Sex and Age","85 years and over",11055,"(+/- 1366 )",14337,"(+/- 1756 )",11560,"(+/- 1499 )",13086,"(+/- 1373 )",17180,"(+/- 1720 )",17516,"(+/- 1926 )",13592,"(+/- 1696 )",12418,"(+/- 1554 )",16901,"(+/- 1959 )",10804,"(+/- 1529 )",9737,"(+/- 1431 )"
People,"Sex and Age","Median age (years)",38.6,"(+/- 0.6 )",36.2,"(+/- 0.5 )",34.9,"(+/- 0.5 )",38.7,"(+/- 0.7 )",42.8,"(+/- 0.7 )",39.9,"(+/- 0.5 )",39.3,"(+/- 0.7 )",36.2,"(+/- 0.3 )",43.5,"(+/- 0.5 )",38.4,"(+/- 0.4 )",36.7,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",619403,"(+/- 8495 )",585280,"(+/- 5575 )",577378,"(+/- 6778 )",596774,"(+/- 9575 )",594390,"(+/- 5890 )",603009,"(+/- 4181 )",622337,"(+/- 8691 )",629953,"(+/- 8409 )",576130,"(+/- 4020 )",634862,"(+/- 8146 )",608529,"(+/- 12317 )"
People,"Sex and Age","65 years and over",123912,"(+/- 3416 )",112245,"(+/- 2510 )",100426,"(+/- 3050 )",115128,"(+/- 3645 )",150340,"(+/- 3133 )",141158,"(+/- 2667 )",128234,"(+/- 4219 )",96724,"(+/- 3109 )",145820,"(+/- 2016 )",108403,"(+/- 3584 )",95835,"(+/- 3591 )"
People,Race,"Total population",813878,"(+/- 12085 )",743410,"(+/- 7535 )",744804,"(+/- 9841 )",747291,"(+/- 14044 )",739410,"(+/- 7201 )",755437,"(+/- 4432 )",812385,"(+/- 11828 )",795467,"(+/- 13109 )",704831,"(+/- 4788 )",862308,"(+/- 10803 )",798464,"(+/- 18220 )"
People,Race,"One race",779581,"(+/- 11308 )",706976,"(+/- 9169 )",711396,"(+/- 9654 )",724861,"(+/- 13462 )",714747,"(+/- 7712 )",732326,"(+/- 5501 )",780305,"(+/- 11697 )",757054,"(+/- 13814 )",694577,"(+/- 5170 )",818266,"(+/- 11574 )",748092,"(+/- 18211 )"
People,Race,White,586080,"(+/- 10242 )",491633,"(+/- 7116 )",330195,"(+/- 7179 )",395229,"(+/- 8697 )",554054,"(+/- 6606 )",624793,"(+/- 5462 )",563699,"(+/- 8547 )",503803,"(+/- 12216 )",640740,"(+/- 4377 )",592714,"(+/- 10669 )",454640,"(+/- 12807 )"
People,Race,"Black or African American",132600,"(+/- 7170 )",149840,"(+/- 7377 )",340644,"(+/- 8627 )",306710,"(+/- 10518 )",140674,"(+/- 5690 )",86070,"(+/- 3817 )",155347,"(+/- 8799 )",121753,"(+/- 7559 )",36880,"(+/- 3685 )",57551,"(+/- 4956 )",103443,"(+/- 8192 )"
People,Race,"American Indian and Alaska Native",2333,"(+/- 717 )",2357,"(+/- 726 )",2653,"(+/- 1410 )",1588,"(+/- 588 )",1832,"(+/- 940 )",1610,"(+/- 716 )",1925,"(+/- 837 )",1744,"(+/- 829 )",1624,"(+/- 869 )",1581,"(+/- 494 )",3018,"(+/- 1734 )"
People,Race,Asian,27329,"(+/- 4164 )",44229,"(+/- 2204 )",22057,"(+/- 2065 )",13221,"(+/- 2034 )",14640,"(+/- 1998 )",12942,"(+/- 2009 )",40821,"(+/- 2333 )",91310,"(+/- 6273 )",11649,"(+/- 1995 )",138104,"(+/- 7922 )",139120,"(+/- 6949 )"
People,Race,"Native Hawaiian and Other Pacific Islander",377,"(+/- 261 )",479,"(+/- 328 )",684,"(+/- 456 )",343,"(+/- 325 )",145,"(+/- 141 )",101,"(+/- 146 )",448,"(+/- 534 )",949,"(+/- 652 )",648,"(+/- 502 )",682,"(+/- 415 )",803,"(+/- 516 )"
People,Race,"Some other race",30862,"(+/- 6117 )",18438,"(+/- 3749 )",15163,"(+/- 3016 )",7770,"(+/- 2603 )",3402,"(+/- 1614 )",6810,"(+/- 1896 )",18065,"(+/- 3226 )",37495,"(+/- 7136 )",3036,"(+/- 1044 )",27634,"(+/- 5037 )",47068,"(+/- 6538 )"
People,Race,"Two or more races",34297,"(+/- 5459 )",36434,"(+/- 5342 )",33408,"(+/- 4113 )",22430,"(+/- 3485 )",24663,"(+/- 3613 )",23111,"(+/- 3584 )",32080,"(+/- 4327 )",38413,"(+/- 3471 )",10254,"(+/- 1736 )",44042,"(+/- 6837 )",50372,"(+/- 6138 )"
People,"Hispanic or Latino and Race","Total population",813878,"(+/- 12085 )",743410,"(+/- 7535 )",744804,"(+/- 9841 )",747291,"(+/- 14044 )",739410,"(+/- 7201 )",755437,"(+/- 4432 )",812385,"(+/- 11828 )",795467,"(+/- 13109 )",704831,"(+/- 4788 )",862308,"(+/- 10803 )",798464,"(+/- 18220 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",97345,"(+/- 6723 )",63771,"(+/- 2510 )",47779,"(+/- 2774 )",43787,"(+/- 3102 )",25036,"(+/- 2387 )",44633,"(+/- 1115 )",60656,"(+/- 3829 )",141997,"(+/- 7513 )",14305,"(+/- 1586 )",117246,"(+/- 4934 )",156255,"(+/- 11110 )"
People,"Hispanic or Latino and Race",Mexican,20761,"(+/- 4990 )",22250,"(+/- 3879 )",16496,"(+/- 2897 )",13393,"(+/- 2452 )",9965,"(+/- 2227 )",16840,"(+/- 2616 )",14429,"(+/- 2760 )",18712,"(+/- 3945 )",6674,"(+/- 1433 )",19479,"(+/- 4554 )",14360,"(+/- 3971 )"
People,"Hispanic or Latino and Race","Puerto Rican",13455,"(+/- 3543 )",16801,"(+/- 2961 )",12493,"(+/- 2570 )",9658,"(+/- 1930 )",2661,"(+/- 896 )",8114,"(+/- 2430 )",10727,"(+/- 2548 )",10247,"(+/- 2040 )",2549,"(+/- 1262 )",7882,"(+/- 2370 )",12299,"(+/- 2865 )"
People,"Hispanic or Latino and Race",Cuban,2343,"(+/- 1347 )",1879,"(+/- 925 )",2426,"(+/- 1697 )",1551,"(+/- 948 )",700,"(+/- 464 )",2857,"(+/- 1572 )",1499,"(+/- 817 )",2074,"(+/- 942 )",859,"(+/- 516 )",2243,"(+/- 846 )",2012,"(+/- 729 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",60786,"(+/- 7564 )",22841,"(+/- 4190 )",16364,"(+/- 3104 )",19185,"(+/- 3348 )",11710,"(+/- 1912 )",16822,"(+/- 2794 )",34001,"(+/- 4080 )",110964,"(+/- 7202 )",4223,"(+/- 1262 )",87642,"(+/- 6009 )",127584,"(+/- 10527 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",716533,"(+/- 9979 )",679639,"(+/- 7505 )",697025,"(+/- 9874 )",703504,"(+/- 13576 )",714374,"(+/- 7405 )",710804,"(+/- 4410 )",751729,"(+/- 10783 )",653470,"(+/- 11200 )",690526,"(+/- 4693 )",745062,"(+/- 10200 )",642209,"(+/- 13094 )"
People,"Place of Birth","Total population",813878,"(+/- 12085 )",743410,"(+/- 7535 )",744804,"(+/- 9841 )",747291,"(+/- 14044 )",739410,"(+/- 7201 )",755437,"(+/- 4432 )",812385,"(+/- 11828 )",795467,"(+/- 13109 )",704831,"(+/- 4788 )",862308,"(+/- 10803 )",798464,"(+/- 18220 )"
People,"Place of Birth",Native,738726,"(+/- 10848 )",676387,"(+/- 8211 )",701997,"(+/- 10259 )",706895,"(+/- 14212 )",707762,"(+/- 8564 )",713502,"(+/- 5468 )",734712,"(+/- 11306 )",570896,"(+/- 11843 )",689571,"(+/- 5515 )",668976,"(+/- 10539 )",543185,"(+/- 12405 )"
People,"Place of Birth","Born in United States",720234,"(+/- 11009 )",655900,"(+/- 8761 )",686250,"(+/- 10255 )",696745,"(+/- 13942 )",701352,"(+/- 8718 )",703990,"(+/- 5903 )",723371,"(+/- 11222 )",549827,"(+/- 11642 )",685036,"(+/- 5392 )",650352,"(+/- 10215 )",517179,"(+/- 11874 )"
People,"Place of Birth","State of residence",412086,"(+/- 9553 )",308526,"(+/- 8525 )",410147,"(+/- 11609 )",463037,"(+/- 12823 )",477622,"(+/- 10580 )",481115,"(+/- 8480 )",460657,"(+/- 12383 )",194555,"(+/- 7173 )",469227,"(+/- 9043 )",308904,"(+/- 9210 )",232423,"(+/- 8976 )"
People,"Place of Birth","Different state",308148,"(+/- 9109 )",347374,"(+/- 9708 )",276103,"(+/- 9748 )",233708,"(+/- 9100 )",223730,"(+/- 8048 )",222875,"(+/- 7699 )",262714,"(+/- 8716 )",355272,"(+/- 9923 )",215809,"(+/- 8472 )",341448,"(+/- 9388 )",284756,"(+/- 9057 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",18492,"(+/- 3043 )",20487,"(+/- 2873 )",15747,"(+/- 2403 )",10150,"(+/- 1744 )",6410,"(+/- 1146 )",9512,"(+/- 1649 )",11341,"(+/- 2202 )",21069,"(+/- 2124 )",4535,"(+/- 1164 )",18624,"(+/- 2871 )",26006,"(+/- 3087 )"
People,"Place of Birth","Foreign born",75152,"(+/- 5489 )",67023,"(+/- 5297 )",42807,"(+/- 3281 )",40396,"(+/- 4948 )",31648,"(+/- 3420 )",41935,"(+/- 3907 )",77673,"(+/- 5242 )",224571,"(+/- 9831 )",15260,"(+/- 3004 )",193332,"(+/- 8346 )",255279,"(+/- 11338 )"
People,Ancestry,"Total population",813878,"(+/- 12085 )",743410,"(+/- 7535 )",744804,"(+/- 9841 )",747291,"(+/- 14044 )",739410,"(+/- 7201 )",755437,"(+/- 4432 )",812385,"(+/- 11828 )",795467,"(+/- 13109 )",704831,"(+/- 4788 )",862308,"(+/- 10803 )",798464,"(+/- 18220 )"
People,Ancestry,American,47668,"(+/- 5761 )",79169,"(+/- 6277 )",60056,"(+/- 6468 )",45600,"(+/- 5116 )",88892,"(+/- 5740 )",87077,"(+/- 5354 )",54881,"(+/- 5892 )",34299,"(+/- 3880 )",163890,"(+/- 8548 )",54626,"(+/- 6515 )",29542,"(+/- 4059 )"
People,Ancestry,Arab,2822,"(+/- 1287 )",1837,"(+/- 757 )",2053,"(+/- 938 )",3557,"(+/- 1413 )",3134,"(+/- 1467 )",3595,"(+/- 1271 )",6261,"(+/- 1956 )",19824,"(+/- 4162 )",2704,"(+/- 1784 )",13336,"(+/- 3903 )",18803,"(+/- 4328 )"
People,Ancestry,Czech,2524,"(+/- 923 )",1797,"(+/- 678 )",1006,"(+/- 519 )",2238,"(+/- 821 )",1640,"(+/- 943 )",1103,"(+/- 570 )",880,"(+/- 447 )",3155,"(+/- 1441 )",631,"(+/- 399 )",3949,"(+/- 1452 )",1952,"(+/- 865 )"
People,Ancestry,Danish,1982,"(+/- 912 )",2214,"(+/- 921 )",755,"(+/- 499 )",1216,"(+/- 532 )",387,"(+/- 215 )",897,"(+/- 506 )",1629,"(+/- 913 )",3838,"(+/- 1017 )",618,"(+/- 480 )",2700,"(+/- 1109 )",1162,"(+/- 446 )"
People,Ancestry,Dutch,6618,"(+/- 1770 )",6941,"(+/- 2106 )",4215,"(+/- 1117 )",3353,"(+/- 1194 )",5303,"(+/- 1464 )",5953,"(+/- 1299 )",6827,"(+/- 1475 )",4929,"(+/- 1032 )",4242,"(+/- 1039 )",8600,"(+/- 2087 )",5304,"(+/- 1450 )"
People,Ancestry,English,89146,"(+/- 5438 )",62128,"(+/- 4322 )",40775,"(+/- 3221 )",61307,"(+/- 5573 )",71231,"(+/- 4793 )",73494,"(+/- 6826 )",97867,"(+/- 7181 )",67050,"(+/- 5108 )",59397,"(+/- 5357 )",76835,"(+/- 6384 )",55178,"(+/- 4761 )"
People,Ancestry,"French (except Basque)",13288,"(+/- 2451 )",16142,"(+/- 2410 )",11703,"(+/- 2013 )",9291,"(+/- 1592 )",10680,"(+/- 1844 )",11936,"(+/- 1981 )",13487,"(+/- 2646 )",14794,"(+/- 2161 )",8245,"(+/- 1792 )",16148,"(+/- 2220 )",12583,"(+/- 1679 )"
People,Ancestry,"French Canadian",2792,"(+/- 809 )",3820,"(+/- 1265 )",3034,"(+/- 1159 )",1439,"(+/- 508 )",2420,"(+/- 798 )",2947,"(+/- 1178 )",4244,"(+/- 1474 )",3360,"(+/- 960 )",1390,"(+/- 889 )",4098,"(+/- 1329 )",2964,"(+/- 969 )"
People,Ancestry,German,89215,"(+/- 5877 )",82715,"(+/- 5914 )",48935,"(+/- 4810 )",51817,"(+/- 4405 )",73632,"(+/- 6555 )",96719,"(+/- 4971 )",90461,"(+/- 6266 )",81223,"(+/- 4636 )",67080,"(+/- 5700 )",97369,"(+/- 6568 )",68858,"(+/- 4538 )"
People,Ancestry,Greek,2612,"(+/- 868 )",5098,"(+/- 1689 )",1370,"(+/- 676 )",1552,"(+/- 619 )",1620,"(+/- 893 )",2414,"(+/- 1290 )",3023,"(+/- 1331 )",4455,"(+/- 1567 )",719,"(+/- 441 )",5628,"(+/- 1628 )",3593,"(+/- 1107 )"
People,Ancestry,Hungarian,3183,"(+/- 1107 )",1971,"(+/- 608 )",1284,"(+/- 593 )",1756,"(+/- 764 )",2493,"(+/- 792 )",1375,"(+/- 784 )",3123,"(+/- 1271 )",4623,"(+/- 1013 )",1359,"(+/- 810 )",3469,"(+/- 1258 )",3197,"(+/- 988 )"
People,Ancestry,Irish,83202,"(+/- 5379 )",83348,"(+/- 6012 )",45703,"(+/- 4544 )",49092,"(+/- 5580 )",61333,"(+/- 5561 )",62368,"(+/- 4777 )",75278,"(+/- 5235 )",76100,"(+/- 4495 )",64360,"(+/- 5642 )",92812,"(+/- 6403 )",66064,"(+/- 4833 )"
People,Ancestry,Italian,35056,"(+/- 3565 )",38026,"(+/- 3096 )",18024,"(+/- 3133 )",22815,"(+/- 3035 )",20591,"(+/- 2884 )",25469,"(+/- 2952 )",32333,"(+/- 4326 )",36949,"(+/- 3063 )",13037,"(+/- 1720 )",48107,"(+/- 4145 )",33123,"(+/- 3373 )"
People,Ancestry,Lithuanian,1392,"(+/- 817 )",1249,"(+/- 518 )",408,"(+/- 279 )",488,"(+/- 278 )",1069,"(+/- 484 )",922,"(+/- 655 )",1637,"(+/- 845 )",2250,"(+/- 893 )",350,"(+/- 376 )",2053,"(+/- 843 )",1242,"(+/- 564 )"
People,Ancestry,Norwegian,5677,"(+/- 1821 )",6661,"(+/- 1664 )",3211,"(+/- 1248 )",3256,"(+/- 1260 )",3337,"(+/- 903 )",3071,"(+/- 898 )",3216,"(+/- 1584 )",8283,"(+/- 2085 )",1884,"(+/- 764 )",5140,"(+/- 1133 )",5704,"(+/- 1328 )"
People,Ancestry,Polish,19216,"(+/- 2997 )",14787,"(+/- 2847 )",10944,"(+/- 2036 )",8324,"(+/- 1425 )",9075,"(+/- 1771 )",7808,"(+/- 1536 )",14890,"(+/- 2453 )",24371,"(+/- 2908 )",5286,"(+/- 1279 )",20366,"(+/- 2564 )",16647,"(+/- 2117 )"
People,Ancestry,Portuguese,1656,"(+/- 781 )",3639,"(+/- 1148 )",1022,"(+/- 529 )",829,"(+/- 430 )",862,"(+/- 627 )",2290,"(+/- 1357 )",2280,"(+/- 1115 )",2807,"(+/- 1194 )",541,"(+/- 480 )",2513,"(+/- 1540 )",2285,"(+/- 865 )"
People,Ancestry,Russian,3741,"(+/- 1005 )",6176,"(+/- 1711 )",2328,"(+/- 1042 )",2001,"(+/- 810 )",2832,"(+/- 1036 )",1885,"(+/- 744 )",3857,"(+/- 1257 )",8809,"(+/- 1512 )",1102,"(+/- 488 )",5413,"(+/- 1140 )",6012,"(+/- 1160 )"
People,Ancestry,Scotch-Irish,12925,"(+/- 2348 )",7621,"(+/- 1838 )",6319,"(+/- 1273 )",10536,"(+/- 1927 )",10627,"(+/- 2156 )",17661,"(+/- 2757 )",16035,"(+/- 2609 )",8433,"(+/- 1578 )",19108,"(+/- 2967 )",9765,"(+/- 1802 )",8603,"(+/- 1453 )"
People,Ancestry,Scottish,17134,"(+/- 2938 )",15810,"(+/- 2314 )",8213,"(+/- 1493 )",13541,"(+/- 2035 )",16996,"(+/- 2582 )",17631,"(+/- 2673 )",18898,"(+/- 3087 )",13465,"(+/- 1827 )",14964,"(+/- 2886 )",16393,"(+/- 2003 )",13143,"(+/- 2210 )"
People,Ancestry,Slovak,2152,"(+/- 927 )",1237,"(+/- 657 )",276,"(+/- 261 )",1140,"(+/- 592 )",513,"(+/- 321 )",891,"(+/- 499 )",2212,"(+/- 1310 )",2036,"(+/- 808 )",941,"(+/- 1029 )",3076,"(+/- 1463 )",2037,"(+/- 756 )"
People,Ancestry,"Subsaharan African",18352,"(+/- 4376 )",7613,"(+/- 1863 )",28318,"(+/- 5479 )",33650,"(+/- 5618 )",20971,"(+/- 4141 )",6059,"(+/- 2781 )",8053,"(+/- 2579 )",39935,"(+/- 7003 )",2094,"(+/- 1097 )",11423,"(+/- 2898 )",35759,"(+/- 7957 )"
People,Ancestry,Swedish,6024,"(+/- 1389 )",6983,"(+/- 1985 )",3858,"(+/- 1296 )",2690,"(+/- 862 )",3758,"(+/- 1295 )",3653,"(+/- 1051 )",5899,"(+/- 1525 )",7977,"(+/- 1642 )",2316,"(+/- 984 )",5840,"(+/- 1231 )",5242,"(+/- 1197 )"
People,Ancestry,Swiss,2209,"(+/- 1117 )",1687,"(+/- 661 )",406,"(+/- 301 )",1405,"(+/- 618 )",1192,"(+/- 521 )",3528,"(+/- 1122 )",1268,"(+/- 616 )",2244,"(+/- 595 )",837,"(+/- 584 )",2373,"(+/- 1176 )",1744,"(+/- 640 )"
People,Ancestry,Ukrainian,1143,"(+/- 519 )",1511,"(+/- 768 )",950,"(+/- 432 )",1013,"(+/- 554 )",706,"(+/- 381 )",1325,"(+/- 699 )",734,"(+/- 341 )",4601,"(+/- 1255 )",356,"(+/- 246 )",2759,"(+/- 1009 )",3587,"(+/- 1184 )"
People,Ancestry,Welsh,6159,"(+/- 1678 )",5512,"(+/- 1412 )",2097,"(+/- 779 )",5137,"(+/- 1252 )",5717,"(+/- 1654 )",3583,"(+/- 1079 )",7939,"(+/- 1938 )",5314,"(+/- 977 )",3587,"(+/- 857 )",7224,"(+/- 1624 )",5732,"(+/- 1592 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",4917,"(+/- 2613 )",8207,"(+/- 2495 )",11450,"(+/- 2612 )",9381,"(+/- 3144 )",1831,"(+/- 828 )",1849,"(+/- 1149 )",4666,"(+/- 2970 )",5593,"(+/- 2064 )",547,"(+/- 414 )",3428,"(+/- 1459 )",2968,"(+/- 990 )"
People,"Veteran Status","Civilian population 18 years and over",607267,"(+/- 8589 )",535088,"(+/- 6084 )",554136,"(+/- 7860 )",588297,"(+/- 9511 )",593683,"(+/- 5938 )",602571,"(+/- 4199 )",621051,"(+/- 8813 )",617397,"(+/- 8397 )",575921,"(+/- 4020 )",632179,"(+/- 8216 )",602467,"(+/- 12117 )"
People,"Veteran Status","Civilian veterans",76964,"(+/- 3349 )",92598,"(+/- 4635 )",83814,"(+/- 4651 )",61114,"(+/- 4058 )",50626,"(+/- 3103 )",51078,"(+/- 3565 )",52027,"(+/- 3241 )",50159,"(+/- 3728 )",42178,"(+/- 3130 )",53324,"(+/- 3545 )",56391,"(+/- 3598 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",795551,"(+/- 12031 )",689138,"(+/- 8039 )",714112,"(+/- 10950 )",720273,"(+/- 13664 )",723136,"(+/- 7908 )",743846,"(+/- 5011 )",801011,"(+/- 11746 )",779775,"(+/- 13191 )",687902,"(+/- 4896 )",856270,"(+/- 10903 )",790024,"(+/- 17980 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75187,"(+/- 5010 )",89244,"(+/- 4808 )",102748,"(+/- 6148 )",103233,"(+/- 5563 )",102049,"(+/- 5935 )",102709,"(+/- 4442 )",98942,"(+/- 5342 )",58578,"(+/- 4554 )",140087,"(+/- 6446 )",64805,"(+/- 4177 )",56882,"(+/- 3958 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",194289,"(+/- 5400 )",158071,"(+/- 4104 )",166957,"(+/- 4973 )",150327,"(+/- 7136 )",144819,"(+/- 3707 )",152189,"(+/- 2993 )",189334,"(+/- 5781 )",165460,"(+/- 6541 )",128368,"(+/- 3047 )",227211,"(+/- 4655 )",189859,"(+/- 8205 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5431,"(+/- 1316 )",7817,"(+/- 1331 )",9719,"(+/- 1740 )",7387,"(+/- 1706 )",6809,"(+/- 1570 )",7956,"(+/- 1624 )",9999,"(+/- 1800 )",4971,"(+/- 1172 )",9402,"(+/- 1667 )",6623,"(+/- 1362 )",4835,"(+/- 1114 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",478895,"(+/- 8794 )",419904,"(+/- 6071 )",449277,"(+/- 7283 )",457341,"(+/- 8753 )",431755,"(+/- 6095 )",454747,"(+/- 4378 )",485460,"(+/- 7340 )",519201,"(+/- 8560 )",417954,"(+/- 4178 )",521661,"(+/- 7388 )",505571,"(+/- 11994 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",34208,"(+/- 3054 )",43128,"(+/- 3793 )",56571,"(+/- 4549 )",55817,"(+/- 4385 )",45067,"(+/- 3870 )",48639,"(+/- 3673 )",44940,"(+/- 3878 )",27636,"(+/- 3206 )",73045,"(+/- 5232 )",28261,"(+/- 2300 )",28148,"(+/- 3083 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",122367,"(+/- 3523 )",111163,"(+/- 2479 )",97878,"(+/- 3068 )",112605,"(+/- 3538 )",146562,"(+/- 3400 )",136910,"(+/- 2663 )",126217,"(+/- 4199 )",95114,"(+/- 3183 )",141580,"(+/- 2156 )",107398,"(+/- 3641 )",94594,"(+/- 3637 )"
