Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,Ancestry,"Subsaharan African",1523,"(+/- 1019 )",3407,"(+/- 1546 )",17033,"(+/- 4661 )",2023,"(+/- 1100 )",8815,"(+/- 4116 )",6681,"(+/- 2010 )",6839,"(+/- 2300 )",8455,"(+/- 3620 )",18198,"(+/- 4010 )",3580,"(+/- 1897 )",9321,"(+/- 3122 )",3551,"(+/- 1395 )",19470,"(+/- 4823 )",2858,"(+/- 1246 )",4560,"(+/- 1860 )",3146,"(+/- 1438 )",3289,"(+/- 1500 )",4770,"(+/- 2125 )",6163,"(+/- 2940 )",2862,"(+/- 1135 )",1099,"(+/- 878 )",6493,"(+/- 2601 )",2601,"(+/- 1352 )",5146,"(+/- 1703 )",2831,"(+/- 1506 )",1674,"(+/- 910 )",2713,"(+/- 1111 )",2188,"(+/- 832 )",5046,"(+/- 2194 )",5325,"(+/- 2612 )",8577,"(+/- 3748 )",3181,"(+/- 1382 )",6448,"(+/- 1691 )",10447,"(+/- 3497 )",6164,"(+/- 2487 )",4449,"(+/- 2108 )",16259,"(+/- 4118 )",738,"(+/- 449 )",1959,"(+/- 891 )",1999,"(+/- 935 )",5423,"(+/- 2382 )",6865,"(+/- 2585 )",9918,"(+/- 2365 )",6926,"(+/- 3676 )",2665,"(+/- 1733 )",1237,"(+/- 901 )",6071,"(+/- 3114 )",1572,"(+/- 863 )",4146,"(+/- 1699 )",1121,"(+/- 696 )",13181,"(+/- 3596 )",4763,"(+/- 1475 )",11885,"(+/- 3508 )"
People,Ancestry,Swedish,12105,"(+/- 2252 )",14229,"(+/- 2438 )",7841,"(+/- 2167 )",14583,"(+/- 2320 )",8461,"(+/- 1649 )",5626,"(+/- 1255 )",10307,"(+/- 2081 )",6492,"(+/- 2078 )",6874,"(+/- 1855 )",5551,"(+/- 1503 )",11786,"(+/- 2328 )",8025,"(+/- 1839 )",7241,"(+/- 1535 )",7461,"(+/- 1590 )",6328,"(+/- 1423 )",3412,"(+/- 1655 )",5308,"(+/- 1373 )",9305,"(+/- 2109 )",4034,"(+/- 1064 )",6643,"(+/- 1634 )",2242,"(+/- 768 )",9942,"(+/- 2628 )",5455,"(+/- 1960 )",10497,"(+/- 2099 )",6253,"(+/- 1329 )",6520,"(+/- 1495 )",4718,"(+/- 1358 )",7718,"(+/- 1896 )",1751,"(+/- 1137 )",4351,"(+/- 1039 )",6184,"(+/- 1990 )",3080,"(+/- 949 )",8480,"(+/- 1500 )",1769,"(+/- 532 )",3143,"(+/- 1697 )",7231,"(+/- 1390 )",2962,"(+/- 941 )",2903,"(+/- 1244 )",4080,"(+/- 1209 )",724,"(+/- 488 )",3234,"(+/- 1048 )",5853,"(+/- 1613 )",1593,"(+/- 640 )",632,"(+/- 369 )",10338,"(+/- 2768 )",2146,"(+/- 722 )",5111,"(+/- 981 )",9791,"(+/- 1635 )",11995,"(+/- 3215 )",10251,"(+/- 1927 )",1864,"(+/- 797 )",9034,"(+/- 1854 )",7083,"(+/- 1950 )"
People,Ancestry,Swiss,3018,"(+/- 1090 )",5971,"(+/- 1502 )",1498,"(+/- 520 )",3602,"(+/- 845 )",3687,"(+/- 1144 )",1163,"(+/- 501 )",2810,"(+/- 975 )",1284,"(+/- 619 )",1947,"(+/- 885 )",2959,"(+/- 1157 )",3572,"(+/- 1117 )",2844,"(+/- 799 )",2384,"(+/- 700 )",2138,"(+/- 716 )",1890,"(+/- 744 )",1114,"(+/- 446 )",2064,"(+/- 857 )",4249,"(+/- 1255 )",1273,"(+/- 602 )",2880,"(+/- 1064 )",1258,"(+/- 674 )",1640,"(+/- 645 )",916,"(+/- 411 )",2990,"(+/- 948 )",888,"(+/- 343 )",1732,"(+/- 801 )",1706,"(+/- 1120 )",1744,"(+/- 714 )",180,"(+/- 167 )",1905,"(+/- 1323 )",489,"(+/- 241 )",518,"(+/- 299 )",2884,"(+/- 1073 )",722,"(+/- 357 )",455,"(+/- 523 )",1562,"(+/- 636 )",907,"(+/- 497 )",357,"(+/- 257 )",1076,"(+/- 627 )",156,"(+/- 152 )",262,"(+/- 186 )",1185,"(+/- 503 )",352,"(+/- 248 )",76,"(+/- 94 )",2339,"(+/- 749 )",429,"(+/- 408 )",1181,"(+/- 470 )",1455,"(+/- 704 )",1724,"(+/- 795 )",1834,"(+/- 807 )",429,"(+/- 361 )",3526,"(+/- 1397 )",1321,"(+/- 411 )"
People,Ancestry,Ukrainian,1477,"(+/- 821 )",3140,"(+/- 1674 )",2359,"(+/- 1161 )",1973,"(+/- 963 )",1415,"(+/- 620 )",15787,"(+/- 4511 )",9440,"(+/- 3170 )",896,"(+/- 595 )",239,"(+/- 205 )",441,"(+/- 261 )",2541,"(+/- 1210 )",4649,"(+/- 1428 )",2607,"(+/- 759 )",1674,"(+/- 684 )",2096,"(+/- 1013 )",470,"(+/- 499 )",2714,"(+/- 1310 )",3243,"(+/- 1067 )",1750,"(+/- 824 )",1570,"(+/- 731 )",0,"(+/- 211 )",1669,"(+/- 1569 )",248,"(+/- 230 )",1680,"(+/- 729 )",1857,"(+/- 795 )",2214,"(+/- 1130 )",947,"(+/- 429 )",3142,"(+/- 885 )",2209,"(+/- 1429 )",6041,"(+/- 1946 )",321,"(+/- 316 )",646,"(+/- 460 )",5950,"(+/- 1629 )",1392,"(+/- 683 )",418,"(+/- 361 )",1635,"(+/- 719 )",1994,"(+/- 883 )",346,"(+/- 281 )",1147,"(+/- 612 )",0,"(+/- 211 )",79,"(+/- 93 )",322,"(+/- 229 )",668,"(+/- 380 )",0,"(+/- 211 )",1601,"(+/- 696 )",552,"(+/- 344 )",1640,"(+/- 1017 )",2406,"(+/- 1367 )",2072,"(+/- 1207 )",1597,"(+/- 769 )",338,"(+/- 237 )",2609,"(+/- 810 )",1575,"(+/- 562 )"
People,Ancestry,Welsh,6515,"(+/- 1308 )",5468,"(+/- 1272 )",2836,"(+/- 808 )",5825,"(+/- 1368 )",5602,"(+/- 2936 )",2935,"(+/- 821 )",4602,"(+/- 1257 )",4098,"(+/- 1298 )",4126,"(+/- 1609 )",2796,"(+/- 981 )",2909,"(+/- 771 )",3304,"(+/- 861 )",3033,"(+/- 721 )",3079,"(+/- 911 )",2122,"(+/- 764 )",2090,"(+/- 1427 )",1814,"(+/- 815 )",4078,"(+/- 1121 )",2857,"(+/- 1063 )",3284,"(+/- 895 )",691,"(+/- 451 )",3181,"(+/- 1139 )",2833,"(+/- 982 )",4517,"(+/- 1310 )",3778,"(+/- 1037 )",2905,"(+/- 1174 )",2290,"(+/- 1047 )",3073,"(+/- 830 )",837,"(+/- 360 )",1840,"(+/- 590 )",1757,"(+/- 947 )",968,"(+/- 702 )",3590,"(+/- 1017 )",1257,"(+/- 496 )",1387,"(+/- 733 )",4093,"(+/- 1176 )",1862,"(+/- 556 )",1405,"(+/- 1134 )",2131,"(+/- 1104 )",127,"(+/- 114 )",1792,"(+/- 833 )",2734,"(+/- 1186 )",1022,"(+/- 545 )",505,"(+/- 320 )",3440,"(+/- 1130 )",1049,"(+/- 511 )",2586,"(+/- 871 )",4186,"(+/- 1149 )",4799,"(+/- 1243 )",3748,"(+/- 1094 )",363,"(+/- 238 )",4424,"(+/- 1659 )",3184,"(+/- 926 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",960,"(+/- 547 )",1164,"(+/- 1120 )",1254,"(+/- 747 )",1665,"(+/- 1113 )",2773,"(+/- 1820 )",1603,"(+/- 861 )",964,"(+/- 687 )",1981,"(+/- 944 )",1478,"(+/- 1256 )",1464,"(+/- 1858 )",1259,"(+/- 843 )",1200,"(+/- 640 )",2637,"(+/- 929 )",2097,"(+/- 1704 )",774,"(+/- 547 )",236,"(+/- 219 )",726,"(+/- 517 )",1297,"(+/- 775 )",705,"(+/- 489 )",317,"(+/- 254 )",1389,"(+/- 1481 )",990,"(+/- 890 )",495,"(+/- 367 )",1332,"(+/- 943 )",1579,"(+/- 885 )",2087,"(+/- 1309 )",1239,"(+/- 861 )",1881,"(+/- 906 )",1862,"(+/- 1206 )",2860,"(+/- 1230 )",3432,"(+/- 1594 )",387,"(+/- 296 )",1022,"(+/- 549 )",2308,"(+/- 810 )",801,"(+/- 561 )",1347,"(+/- 942 )",9071,"(+/- 2802 )",709,"(+/- 414 )",984,"(+/- 893 )",1656,"(+/- 1040 )",1466,"(+/- 772 )",2389,"(+/- 1494 )",6887,"(+/- 1999 )",2251,"(+/- 1273 )",834,"(+/- 625 )",750,"(+/- 536 )",1575,"(+/- 962 )",630,"(+/- 353 )",1051,"(+/- 911 )",3312,"(+/- 2227 )",986,"(+/- 517 )",1264,"(+/- 610 )",2069,"(+/- 904 )"
People,"Veteran Status","Civilian population 18 years and over",573040,"(+/- 4212 )",577606,"(+/- 5459 )",565622,"(+/- 5818 )",598444,"(+/- 5601 )",580348,"(+/- 8184 )",584695,"(+/- 9354 )",583580,"(+/- 8553 )",514025,"(+/- 9511 )",564667,"(+/- 6730 )",560045,"(+/- 4119 )",599654,"(+/- 6686 )",662217,"(+/- 6340 )",624050,"(+/- 5249 )",613546,"(+/- 7725 )",604398,"(+/- 7261 )",527059,"(+/- 9679 )",617554,"(+/- 11308 )",584742,"(+/- 9507 )",589998,"(+/- 11700 )",555801,"(+/- 4990 )",495250,"(+/- 12463 )",549107,"(+/- 9859 )",544144,"(+/- 10910 )",585123,"(+/- 1651 )",531768,"(+/- 10336 )",555338,"(+/- 3461 )",566866,"(+/- 9063 )",600251,"(+/- 13138 )",547228,"(+/- 13779 )",617621,"(+/- 16155 )",553568,"(+/- 9698 )",554638,"(+/- 10527 )",570923,"(+/- 10916 )",610324,"(+/- 13008 )",570755,"(+/- 10965 )",605721,"(+/- 8275 )",596794,"(+/- 16097 )",556529,"(+/- 10345 )",567496,"(+/- 8985 )",521865,"(+/- 11114 )",567278,"(+/- 7666 )",593257,"(+/- 9314 )",576498,"(+/- 11901 )",523083,"(+/- 11205 )",625860,"(+/- 8898 )",554094,"(+/- 9476 )",563005,"(+/- 9683 )",584139,"(+/- 7599 )",547033,"(+/- 9018 )",569752,"(+/- 11287 )",541582,"(+/- 13090 )",593603,"(+/- 13091 )",619501,"(+/- 15273 )"
People,"Veteran Status","Civilian veterans",50463,"(+/- 2948 )",38725,"(+/- 2979 )",45129,"(+/- 3047 )",55727,"(+/- 3599 )",35675,"(+/- 2725 )",34249,"(+/- 3166 )",44389,"(+/- 3027 )",45978,"(+/- 3582 )",32892,"(+/- 3173 )",32154,"(+/- 2660 )",26842,"(+/- 2313 )",21225,"(+/- 2898 )",20138,"(+/- 2326 )",24314,"(+/- 2155 )",23446,"(+/- 2299 )",22944,"(+/- 2757 )",17423,"(+/- 1998 )",23107,"(+/- 1995 )",19254,"(+/- 1829 )",28272,"(+/- 2487 )",21147,"(+/- 2371 )",30868,"(+/- 2653 )",39925,"(+/- 3212 )",37933,"(+/- 2768 )",28724,"(+/- 2198 )",34135,"(+/- 2213 )",17790,"(+/- 1714 )",14667,"(+/- 1642 )",12811,"(+/- 1663 )",20652,"(+/- 2122 )",26746,"(+/- 2642 )",17966,"(+/- 2035 )",25292,"(+/- 2519 )",13958,"(+/- 2112 )",20003,"(+/- 2572 )",43933,"(+/- 3050 )",16166,"(+/- 2227 )",20432,"(+/- 1987 )",20234,"(+/- 2062 )",7148,"(+/- 1612 )",21422,"(+/- 2445 )",40395,"(+/- 3051 )",20441,"(+/- 3262 )",15904,"(+/- 2222 )",25339,"(+/- 2480 )",16329,"(+/- 2243 )",25285,"(+/- 2597 )",31611,"(+/- 2669 )",45127,"(+/- 4281 )",53934,"(+/- 4317 )",28654,"(+/- 2907 )",49872,"(+/- 4054 )",51608,"(+/- 3688 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",694280,"(+/- 6036 )",711203,"(+/- 5870 )",731398,"(+/- 6506 )",744044,"(+/- 7612 )",725461,"(+/- 8905 )",772989,"(+/- 11678 )",745614,"(+/- 10711 )",698913,"(+/- 11237 )",766668,"(+/- 7200 )",755825,"(+/- 5009 )",758111,"(+/- 9004 )",760007,"(+/- 7214 )",760165,"(+/- 4449 )",756065,"(+/- 9262 )",784897,"(+/- 7728 )",733909,"(+/- 13737 )",772505,"(+/- 13429 )",746303,"(+/- 13341 )",760650,"(+/- 15068 )",721566,"(+/- 6820 )",675752,"(+/- 17148 )",766124,"(+/- 14667 )",731808,"(+/- 14791 )",725040,"(+/- 2825 )",709288,"(+/- 11807 )",721661,"(+/- 4241 )",700226,"(+/- 8864 )",705603,"(+/- 16134 )",703981,"(+/- 17929 )",762798,"(+/- 21578 )",737002,"(+/- 12621 )",712451,"(+/- 11451 )",702378,"(+/- 14242 )",733707,"(+/- 15493 )",759320,"(+/- 11430 )",741903,"(+/- 7583 )",735945,"(+/- 20197 )",712269,"(+/- 13260 )",723718,"(+/- 9423 )",714630,"(+/- 13751 )",771578,"(+/- 7271 )",819754,"(+/- 9208 )",750720,"(+/- 15647 )",719982,"(+/- 15683 )",795082,"(+/- 8421 )",725080,"(+/- 9988 )",707508,"(+/- 11239 )",717755,"(+/- 7035 )",705627,"(+/- 10301 )",741956,"(+/- 12100 )",712020,"(+/- 17872 )",738907,"(+/- 16115 )",780319,"(+/- 18436 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",118347,"(+/- 5482 )",86146,"(+/- 5210 )",86697,"(+/- 4530 )",100643,"(+/- 4828 )",88515,"(+/- 5532 )",83320,"(+/- 4113 )",84780,"(+/- 4715 )",89218,"(+/- 4958 )",102548,"(+/- 5591 )",96957,"(+/- 5773 )",80171,"(+/- 5102 )",75311,"(+/- 3905 )",73967,"(+/- 4931 )",64863,"(+/- 4190 )",58380,"(+/- 4180 )",101255,"(+/- 5645 )",57081,"(+/- 4666 )",56857,"(+/- 4369 )",69485,"(+/- 4651 )",72962,"(+/- 4436 )",64058,"(+/- 5106 )",87882,"(+/- 5451 )",100997,"(+/- 6065 )",80809,"(+/- 4480 )",75550,"(+/- 4565 )",76757,"(+/- 4812 )",63735,"(+/- 4096 )",77459,"(+/- 5198 )",81178,"(+/- 5839 )",72010,"(+/- 5247 )",76417,"(+/- 4856 )",75056,"(+/- 5033 )",55785,"(+/- 4459 )",81055,"(+/- 4207 )",68486,"(+/- 4184 )",106086,"(+/- 4998 )",69648,"(+/- 4806 )",70311,"(+/- 5320 )",56087,"(+/- 3593 )",61994,"(+/- 3656 )",75444,"(+/- 5351 )",81671,"(+/- 5879 )",73955,"(+/- 5205 )",70350,"(+/- 5870 )",57662,"(+/- 4535 )",59274,"(+/- 4281 )",67664,"(+/- 4696 )",65962,"(+/- 4112 )",71229,"(+/- 4672 )",72800,"(+/- 4255 )",82460,"(+/- 5321 )",65188,"(+/- 5137 )",73649,"(+/- 4835 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",137589,"(+/- 4066 )",143268,"(+/- 3706 )",176958,"(+/- 4243 )",154801,"(+/- 4220 )",149923,"(+/- 4968 )",192544,"(+/- 6422 )",169068,"(+/- 6200 )",192950,"(+/- 8925 )",209862,"(+/- 4840 )",200999,"(+/- 2911 )",162103,"(+/- 5429 )",101311,"(+/- 3229 )",139260,"(+/- 5619 )",145486,"(+/- 4147 )",184401,"(+/- 5149 )",222482,"(+/- 6113 )",159748,"(+/- 6703 )",164975,"(+/- 7384 )",172641,"(+/- 7247 )",178577,"(+/- 2510 )",214673,"(+/- 8777 )",220762,"(+/- 7946 )",201430,"(+/- 8732 )",150011,"(+/- 963 )",183911,"(+/- 7313 )",169482,"(+/- 2806 )",138078,"(+/- 5943 )",108838,"(+/- 6760 )",159923,"(+/- 8425 )",148598,"(+/- 7920 )",197616,"(+/- 7871 )",161040,"(+/- 7282 )",133338,"(+/- 7620 )",138117,"(+/- 6629 )",198198,"(+/- 8876 )",145992,"(+/- 7597 )",141083,"(+/- 8095 )",159004,"(+/- 9032 )",158005,"(+/- 6405 )",194468,"(+/- 8645 )",207182,"(+/- 6452 )",231039,"(+/- 7959 )",176789,"(+/- 8370 )",201614,"(+/- 8843 )",171402,"(+/- 6552 )",180176,"(+/- 5640 )",147404,"(+/- 7383 )",134825,"(+/- 5430 )",161194,"(+/- 7759 )",176739,"(+/- 7519 )",187999,"(+/- 8574 )",150806,"(+/- 7684 )",164400,"(+/- 8609 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6063,"(+/- 1291 )",5275,"(+/- 1227 )",5963,"(+/- 1378 )",6667,"(+/- 1569 )",6155,"(+/- 1712 )",5968,"(+/- 1202 )",5548,"(+/- 1064 )",5619,"(+/- 1215 )",7046,"(+/- 1266 )",7124,"(+/- 1876 )",6118,"(+/- 1456 )",2945,"(+/- 1294 )",4085,"(+/- 996 )",3550,"(+/- 988 )",3817,"(+/- 768 )",11219,"(+/- 2194 )",4576,"(+/- 1475 )",3965,"(+/- 1163 )",4678,"(+/- 1134 )",7531,"(+/- 1914 )",6009,"(+/- 1483 )",7378,"(+/- 1741 )",10307,"(+/- 2214 )",6064,"(+/- 1625 )",7291,"(+/- 1463 )",6423,"(+/- 1552 )",3093,"(+/- 863 )",2492,"(+/- 765 )",5921,"(+/- 1250 )",4064,"(+/- 1093 )",8260,"(+/- 1544 )",4724,"(+/- 1164 )",3139,"(+/- 942 )",4950,"(+/- 1178 )",7145,"(+/- 1566 )",6473,"(+/- 1461 )",3911,"(+/- 1008 )",3691,"(+/- 1073 )",4358,"(+/- 1211 )",6716,"(+/- 1359 )",8904,"(+/- 2066 )",7974,"(+/- 1690 )",5177,"(+/- 1575 )",5862,"(+/- 1504 )",4138,"(+/- 1129 )",6192,"(+/- 1383 )",4900,"(+/- 1271 )",5082,"(+/- 1184 )",5011,"(+/- 1580 )",4577,"(+/- 1287 )",7133,"(+/- 1791 )",4564,"(+/- 1612 )",4647,"(+/- 1232 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",403550,"(+/- 4492 )",416618,"(+/- 4894 )",449370,"(+/- 6089 )",430871,"(+/- 5459 )",447364,"(+/- 7854 )",486096,"(+/- 8993 )",457869,"(+/- 8792 )",410018,"(+/- 8772 )",456556,"(+/- 6617 )",458049,"(+/- 4225 )",470901,"(+/- 6425 )",544515,"(+/- 6118 )",514684,"(+/- 4707 )",486879,"(+/- 7474 )",495458,"(+/- 6415 )",435103,"(+/- 9815 )",518234,"(+/- 10520 )",467716,"(+/- 9414 )",485920,"(+/- 11114 )",440877,"(+/- 5302 )",397858,"(+/- 11596 )",447420,"(+/- 9993 )",434110,"(+/- 9937 )",449563,"(+/- 2459 )",431938,"(+/- 9543 )",441963,"(+/- 3356 )",438429,"(+/- 9120 )",488757,"(+/- 12264 )",463788,"(+/- 13157 )",497655,"(+/- 16072 )",453206,"(+/- 10283 )",457171,"(+/- 9042 )",438497,"(+/- 9802 )",504287,"(+/- 12197 )",488675,"(+/- 10090 )",425800,"(+/- 6798 )",503384,"(+/- 15465 )",447681,"(+/- 9830 )",455444,"(+/- 8254 )",454045,"(+/- 10731 )",492496,"(+/- 7144 )",489548,"(+/- 8425 )",483284,"(+/- 12547 )",444459,"(+/- 10782 )",502066,"(+/- 7823 )",472790,"(+/- 9616 )",470725,"(+/- 8678 )",456011,"(+/- 7139 )",422781,"(+/- 8700 )",454519,"(+/- 10365 )",436761,"(+/- 12046 )",476846,"(+/- 11545 )",518470,"(+/- 14784 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",57277,"(+/- 4332 )",39086,"(+/- 3541 )",43846,"(+/- 2881 )",44579,"(+/- 3697 )",41568,"(+/- 3746 )",41557,"(+/- 3182 )",40133,"(+/- 3135 )",45771,"(+/- 3768 )",55646,"(+/- 4276 )",52607,"(+/- 3706 )",37876,"(+/- 3483 )",32767,"(+/- 2824 )",35181,"(+/- 3339 )",23652,"(+/- 2470 )",25915,"(+/- 2599 )",55195,"(+/- 3848 )",22372,"(+/- 2719 )",21204,"(+/- 2868 )",34524,"(+/- 3687 )",35832,"(+/- 3414 )",31322,"(+/- 3294 )",44270,"(+/- 4170 )",53015,"(+/- 4154 )",37504,"(+/- 3031 )",36748,"(+/- 4080 )",33695,"(+/- 3635 )",23162,"(+/- 2660 )",31822,"(+/- 3440 )",39932,"(+/- 3857 )",29574,"(+/- 3138 )",34352,"(+/- 3769 )",35807,"(+/- 3293 )",19317,"(+/- 2529 )",39252,"(+/- 3756 )",32201,"(+/- 2467 )",43115,"(+/- 3552 )",33218,"(+/- 3009 )",30528,"(+/- 3632 )",23831,"(+/- 2527 )",31173,"(+/- 2647 )",40398,"(+/- 3241 )",36179,"(+/- 3807 )",37573,"(+/- 3758 )",37891,"(+/- 4492 )",21387,"(+/- 2430 )",29451,"(+/- 3010 )",34819,"(+/- 3337 )",24805,"(+/- 2829 )",28194,"(+/- 2956 )",32507,"(+/- 2968 )",38526,"(+/- 3288 )",28246,"(+/- 4274 )",36232,"(+/- 3583 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",153141,"(+/- 2533 )",151317,"(+/- 3800 )",105070,"(+/- 3020 )",158372,"(+/- 2746 )",128174,"(+/- 4512 )",94349,"(+/- 3772 )",118677,"(+/- 3652 )",95945,"(+/- 4031 )",100250,"(+/- 4640 )",96777,"(+/- 2540 )",125107,"(+/- 3629 )",114181,"(+/- 2782 )",106221,"(+/- 3770 )",123700,"(+/- 3912 )",105038,"(+/- 4364 )",76324,"(+/- 2734 )",94523,"(+/- 5050 )",113612,"(+/- 4653 )",102089,"(+/- 3927 )",102112,"(+/- 1789 )",63221,"(+/- 3871 )",97942,"(+/- 3613 )",96268,"(+/- 4133 )",125466,"(+/- 1079 )",93439,"(+/- 5242 )",110216,"(+/- 2250 )",123719,"(+/- 6281 )",108008,"(+/- 5499 )",80270,"(+/- 4708 )",116545,"(+/- 5241 )",86180,"(+/- 4312 )",94240,"(+/- 5731 )",130543,"(+/- 5241 )",91303,"(+/- 4261 )",72447,"(+/- 4501 )",170111,"(+/- 6309 )",91478,"(+/- 4908 )",105584,"(+/- 5190 )",110269,"(+/- 5972 )",66117,"(+/- 4561 )",71900,"(+/- 4780 )",99167,"(+/- 5142 )",90647,"(+/- 5133 )",73909,"(+/- 4125 )",121614,"(+/- 5342 )",72114,"(+/- 4066 )",89379,"(+/- 4364 )",126919,"(+/- 4762 )",121652,"(+/- 6122 )",110698,"(+/- 5118 )",87260,"(+/- 3967 )",111255,"(+/- 5105 )",97449,"(+/- 5586 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",55007,"(+/- 3225 )",41785,"(+/- 3500 )",36888,"(+/- 2634 )",49397,"(+/- 2875 )",40792,"(+/- 3125 )",35795,"(+/- 2969 )",39099,"(+/- 3088 )",37828,"(+/- 3326 )",39856,"(+/- 3174 )",37226,"(+/- 2780 )",36177,"(+/- 3242 )",39599,"(+/- 2551 )",34701,"(+/- 3029 )",37661,"(+/- 2897 )",28648,"(+/- 2364 )",34841,"(+/- 2578 )",30133,"(+/- 2947 )",31688,"(+/- 2389 )",30283,"(+/- 2295 )",29599,"(+/- 2138 )",26727,"(+/- 2668 )",36234,"(+/- 2651 )",37675,"(+/- 3253 )",37241,"(+/- 2443 )",31511,"(+/- 3006 )",36639,"(+/- 2315 )",37480,"(+/- 2982 )",43145,"(+/- 3923 )",35325,"(+/- 3471 )",38372,"(+/- 3280 )",33805,"(+/- 3145 )",34525,"(+/- 2929 )",33329,"(+/- 3482 )",36853,"(+/- 2793 )",29140,"(+/- 2659 )",56498,"(+/- 3878 )",32519,"(+/- 3441 )",36092,"(+/- 3185 )",27898,"(+/- 2628 )",24105,"(+/- 2409 )",26142,"(+/- 3121 )",37518,"(+/- 3872 )",31205,"(+/- 3128 )",26597,"(+/- 2676 )",32137,"(+/- 3428 )",23631,"(+/- 2450 )",27945,"(+/- 2494 )",36075,"(+/- 2937 )",38024,"(+/- 3570 )",35716,"(+/- 3085 )",36801,"(+/- 2972 )",32378,"(+/- 3406 )",32770,"(+/- 3818 )"
People,"Residence 1 Year Ago","Population 1 year and over",703620,"(+/- 5726 )",715893,"(+/- 5502 )",740539,"(+/- 6480 )",750331,"(+/- 7160 )",722909,"(+/- 8830 )",768427,"(+/- 11984 )",747015,"(+/- 10558 )",704967,"(+/- 11000 )",766199,"(+/- 7109 )",752574,"(+/- 4967 )",755150,"(+/- 8773 )",756421,"(+/- 7402 )",756990,"(+/- 4663 )",751874,"(+/- 9404 )",782115,"(+/- 7835 )",740187,"(+/- 13293 )",768649,"(+/- 13527 )",743265,"(+/- 13175 )",753288,"(+/- 15159 )",730827,"(+/- 6603 )",706174,"(+/- 15972 )",759451,"(+/- 14768 )",737021,"(+/- 14454 )",731262,"(+/- 2402 )",707369,"(+/- 11652 )",720273,"(+/- 4274 )",698581,"(+/- 9054 )",702691,"(+/- 15910 )",701360,"(+/- 17230 )",756792,"(+/- 21001 )",743279,"(+/- 10952 )",708514,"(+/- 11317 )",697189,"(+/- 13975 )",741040,"(+/- 15742 )",760409,"(+/- 11132 )",743718,"(+/- 7697 )",731467,"(+/- 19823 )",709473,"(+/- 13283 )",717901,"(+/- 9519 )",708802,"(+/- 14161 )",765200,"(+/- 7418 )",816920,"(+/- 9268 )",743415,"(+/- 15678 )",716251,"(+/- 14864 )",788472,"(+/- 8945 )",727075,"(+/- 10055 )",703297,"(+/- 11055 )",714881,"(+/- 6965 )",722896,"(+/- 10696 )",741766,"(+/- 12400 )",738077,"(+/- 16686 )",757509,"(+/- 16589 )",785124,"(+/- 18236 )"
