Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Median age (years)",40.0,"(+/- 0.4 )",38.7,"(+/- 0.6 )",41.0,"(+/- 0.6 )",38.2,"(+/- 0.5 )",40.3,"(+/- 0.4 )",35.6,"(+/- 0.6 )",43.8,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",637589,"(+/- 6032 )",553099,"(+/- 6539 )",549360,"(+/- 4650 )",568368,"(+/- 5553 )",563276,"(+/- 3542 )",523469,"(+/- 10221 )",584557,"(+/- 2883 )"
People,"Sex and Age","65 years and over",147364,"(+/- 2924 )",116090,"(+/- 2339 )",130586,"(+/- 1951 )",117625,"(+/- 2205 )",123080,"(+/- 1994 )",104369,"(+/- 3612 )",160640,"(+/- 1800 )"
People,Race,"Total population",809610,"(+/- 7416 )",717231,"(+/- 9964 )",697467,"(+/- 6542 )",736750,"(+/- 7453 )",731341,"(+/- 5052 )",659483,"(+/- 13295 )",732245,"(+/- 3248 )"
People,Race,"One race",789157,"(+/- 7552 )",700984,"(+/- 10213 )",681374,"(+/- 7394 )",716969,"(+/- 8557 )",713673,"(+/- 5725 )",639587,"(+/- 13825 )",721186,"(+/- 4200 )"
People,Race,White,596258,"(+/- 6885 )",494348,"(+/- 6774 )",534791,"(+/- 6193 )",536500,"(+/- 8458 )",494957,"(+/- 5152 )",256307,"(+/- 8870 )",494545,"(+/- 3414 )"
People,Race,"Black or African American",154046,"(+/- 6669 )",176461,"(+/- 8589 )",126928,"(+/- 5166 )",135926,"(+/- 5086 )",194577,"(+/- 5818 )",361797,"(+/- 12764 )",203864,"(+/- 5146 )"
People,Race,"American Indian and Alaska Native",2094,"(+/- 970 )",1504,"(+/- 452 )",1989,"(+/- 1496 )",5485,"(+/- 3587 )",3419,"(+/- 1242 )",2260,"(+/- 811 )",6921,"(+/- 2404 )"
People,Race,Asian,15292,"(+/- 2023 )",14979,"(+/- 2613 )",5646,"(+/- 1375 )",19469,"(+/- 1654 )",9808,"(+/- 940 )",7989,"(+/- 2203 )",7786,"(+/- 1057 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1334,"(+/- 960 )",171,"(+/- 205 )",231,"(+/- 217 )",1314,"(+/- 1083 )",86,"(+/- 124 )",772,"(+/- 899 )",96,"(+/- 165 )"
People,Race,"Some other race",20133,"(+/- 4076 )",13521,"(+/- 2898 )",11789,"(+/- 2830 )",18275,"(+/- 4560 )",10826,"(+/- 2241 )",10462,"(+/- 3132 )",7974,"(+/- 2422 )"
People,Race,"Two or more races",20453,"(+/- 3669 )",16247,"(+/- 2409 )",16093,"(+/- 2806 )",19781,"(+/- 3796 )",17668,"(+/- 3630 )",19896,"(+/- 4489 )",11059,"(+/- 3062 )"
People,"Hispanic or Latino and Race","Total population",809610,"(+/- 7416 )",717231,"(+/- 9964 )",697467,"(+/- 6542 )",736750,"(+/- 7453 )",731341,"(+/- 5052 )",659483,"(+/- 13295 )",732245,"(+/- 3248 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",54494,"(+/- 2170 )",44177,"(+/- 2277 )",36902,"(+/- 2263 )",63356,"(+/- 2252 )",33024,"(+/- 2031 )",30569,"(+/- 4203 )",31980,"(+/- 2125 )"
People,"Hispanic or Latino and Race",Mexican,23003,"(+/- 4112 )",23419,"(+/- 3364 )",21804,"(+/- 3366 )",29688,"(+/- 4038 )",13591,"(+/- 2595 )",18048,"(+/- 4085 )",18382,"(+/- 2958 )"
People,"Hispanic or Latino and Race","Puerto Rican",10156,"(+/- 3173 )",9276,"(+/- 2882 )",3459,"(+/- 1382 )",3122,"(+/- 1249 )",5663,"(+/- 2062 )",4909,"(+/- 2246 )",4303,"(+/- 1552 )"
People,"Hispanic or Latino and Race",Cuban,1116,"(+/- 1164 )",2783,"(+/- 1354 )",806,"(+/- 652 )",1883,"(+/- 828 )",1289,"(+/- 784 )",862,"(+/- 792 )",619,"(+/- 719 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",20219,"(+/- 3921 )",8699,"(+/- 2522 )",10833,"(+/- 2756 )",28663,"(+/- 4561 )",12481,"(+/- 2212 )",6750,"(+/- 2223 )",8676,"(+/- 2082 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",755116,"(+/- 7589 )",673054,"(+/- 9700 )",660565,"(+/- 6561 )",673394,"(+/- 7446 )",698317,"(+/- 5252 )",628914,"(+/- 13762 )",700265,"(+/- 3698 )"
People,"Place of Birth","Total population",809610,"(+/- 7416 )",717231,"(+/- 9964 )",697467,"(+/- 6542 )",736750,"(+/- 7453 )",731341,"(+/- 5052 )",659483,"(+/- 13295 )",732245,"(+/- 3248 )"
People,"Place of Birth",Native,757342,"(+/- 8993 )",682193,"(+/- 10544 )",672171,"(+/- 6631 )",674954,"(+/- 7867 )",704898,"(+/- 5958 )",632928,"(+/- 13743 )",702876,"(+/- 4378 )"
People,"Place of Birth","Born in United States",741435,"(+/- 8925 )",669916,"(+/- 10353 )",667860,"(+/- 6758 )",667215,"(+/- 8035 )",697157,"(+/- 6070 )",627784,"(+/- 13836 )",697271,"(+/- 4324 )"
People,"Place of Birth","State of residence",337401,"(+/- 10570 )",374910,"(+/- 11049 )",444467,"(+/- 9051 )",406290,"(+/- 10363 )",394255,"(+/- 9406 )",453234,"(+/- 13317 )",416126,"(+/- 7627 )"
People,"Place of Birth","Different state",404034,"(+/- 11557 )",295006,"(+/- 10229 )",223393,"(+/- 10539 )",260925,"(+/- 8195 )",302902,"(+/- 8758 )",174550,"(+/- 9421 )",281145,"(+/- 7331 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",15907,"(+/- 3394 )",12277,"(+/- 2727 )",4311,"(+/- 974 )",7739,"(+/- 1850 )",7741,"(+/- 1459 )",5144,"(+/- 1197 )",5605,"(+/- 1283 )"
People,"Place of Birth","Foreign born",52268,"(+/- 5761 )",35038,"(+/- 3839 )",25296,"(+/- 2768 )",61796,"(+/- 3843 )",26443,"(+/- 2857 )",26555,"(+/- 3504 )",29369,"(+/- 3394 )"
People,Ancestry,"Total population",809610,"(+/- 7416 )",717231,"(+/- 9964 )",697467,"(+/- 6542 )",736750,"(+/- 7453 )",731341,"(+/- 5052 )",659483,"(+/- 13295 )",732245,"(+/- 3248 )"
People,Ancestry,American,113728,"(+/- 9329 )",88720,"(+/- 8203 )",72082,"(+/- 5096 )",66849,"(+/- 4685 )",85527,"(+/- 7656 )",43046,"(+/- 5122 )",72959,"(+/- 6575 )"
People,Ancestry,Arab,1707,"(+/- 641 )",3008,"(+/- 1651 )",552,"(+/- 397 )",1481,"(+/- 669 )",1412,"(+/- 983 )",899,"(+/- 474 )",774,"(+/- 497 )"
People,Ancestry,Czech,1692,"(+/- 750 )",1582,"(+/- 703 )",837,"(+/- 569 )",1731,"(+/- 784 )",340,"(+/- 294 )",459,"(+/- 299 )",700,"(+/- 528 )"
People,Ancestry,Danish,1285,"(+/- 520 )",1312,"(+/- 803 )",342,"(+/- 257 )",775,"(+/- 449 )",735,"(+/- 423 )",252,"(+/- 223 )",834,"(+/- 577 )"
People,Ancestry,Dutch,7858,"(+/- 2028 )",5191,"(+/- 1384 )",4737,"(+/- 1477 )",6376,"(+/- 1892 )",4881,"(+/- 1417 )",2106,"(+/- 1099 )",7042,"(+/- 2979 )"
People,Ancestry,English,69570,"(+/- 6396 )",50025,"(+/- 5110 )",55121,"(+/- 4895 )",68150,"(+/- 6153 )",51488,"(+/- 6024 )",20868,"(+/- 2218 )",71560,"(+/- 6966 )"
People,Ancestry,"French (except Basque)",18067,"(+/- 2505 )",14423,"(+/- 3408 )",9363,"(+/- 1816 )",13157,"(+/- 2087 )",10178,"(+/- 2096 )",5777,"(+/- 1384 )",9853,"(+/- 1795 )"
People,Ancestry,"French Canadian",3680,"(+/- 1430 )",1980,"(+/- 834 )",1722,"(+/- 779 )",2715,"(+/- 955 )",2407,"(+/- 901 )",1303,"(+/- 689 )",3424,"(+/- 1664 )"
People,Ancestry,German,95247,"(+/- 7752 )",77070,"(+/- 6763 )",62037,"(+/- 5048 )",75741,"(+/- 5217 )",59745,"(+/- 5667 )",28910,"(+/- 2873 )",61308,"(+/- 5668 )"
People,Ancestry,Greek,3289,"(+/- 1675 )",1534,"(+/- 873 )",476,"(+/- 441 )",1814,"(+/- 720 )",1543,"(+/- 903 )",540,"(+/- 352 )",3319,"(+/- 1218 )"
People,Ancestry,Hungarian,2518,"(+/- 976 )",1119,"(+/- 501 )",1749,"(+/- 888 )",1630,"(+/- 642 )",1686,"(+/- 1049 )",812,"(+/- 579 )",1725,"(+/- 774 )"
People,Ancestry,Irish,86517,"(+/- 6995 )",51638,"(+/- 4393 )",55742,"(+/- 5249 )",63469,"(+/- 6082 )",58747,"(+/- 5506 )",25158,"(+/- 3235 )",64756,"(+/- 5934 )"
People,Ancestry,Italian,43772,"(+/- 5858 )",17097,"(+/- 3032 )",17143,"(+/- 3022 )",23735,"(+/- 3292 )",22076,"(+/- 3589 )",9684,"(+/- 1751 )",28972,"(+/- 3963 )"
People,Ancestry,Lithuanian,1044,"(+/- 513 )",914,"(+/- 562 )",428,"(+/- 427 )",210,"(+/- 193 )",446,"(+/- 361 )",326,"(+/- 260 )",1275,"(+/- 837 )"
People,Ancestry,Norwegian,6030,"(+/- 2036 )",2499,"(+/- 730 )",2526,"(+/- 966 )",3822,"(+/- 1199 )",2089,"(+/- 905 )",1476,"(+/- 672 )",3775,"(+/- 1523 )"
People,Ancestry,Polish,20106,"(+/- 2840 )",8463,"(+/- 1634 )",8930,"(+/- 2485 )",10828,"(+/- 2030 )",9119,"(+/- 2509 )",3113,"(+/- 917 )",13068,"(+/- 1897 )"
People,Ancestry,Portuguese,2717,"(+/- 2034 )",1085,"(+/- 636 )",1097,"(+/- 705 )",1642,"(+/- 1268 )",1329,"(+/- 941 )",1073,"(+/- 687 )",2300,"(+/- 1195 )"
People,Ancestry,Russian,3791,"(+/- 1091 )",1929,"(+/- 775 )",2136,"(+/- 810 )",5852,"(+/- 3208 )",1962,"(+/- 1036 )",1295,"(+/- 632 )",1915,"(+/- 713 )"
People,Ancestry,Scotch-Irish,11943,"(+/- 2469 )",18195,"(+/- 3301 )",15257,"(+/- 2445 )",17714,"(+/- 2549 )",20085,"(+/- 3226 )",4403,"(+/- 1211 )",16020,"(+/- 2864 )"
People,Ancestry,Scottish,17375,"(+/- 2179 )",16141,"(+/- 2740 )",15853,"(+/- 3129 )",19464,"(+/- 3276 )",18235,"(+/- 3446 )",6380,"(+/- 1451 )",15988,"(+/- 3318 )"
People,Ancestry,Slovak,941,"(+/- 632 )",805,"(+/- 403 )",249,"(+/- 164 )",1439,"(+/- 804 )",372,"(+/- 304 )",22,"(+/- 43 )",1261,"(+/- 546 )"
People,Ancestry,"Subsaharan African",3741,"(+/- 1467 )",10973,"(+/- 2645 )",18370,"(+/- 4011 )",4128,"(+/- 1381 )",11428,"(+/- 3166 )",13335,"(+/- 3646 )",2824,"(+/- 1179 )"
People,Ancestry,Swedish,6201,"(+/- 1610 )",2472,"(+/- 871 )",3994,"(+/- 1021 )",4092,"(+/- 1172 )",3131,"(+/- 1592 )",1415,"(+/- 695 )",2400,"(+/- 1127 )"
People,Ancestry,Swiss,1687,"(+/- 604 )",2127,"(+/- 1006 )",1039,"(+/- 1009 )",2142,"(+/- 1380 )",1018,"(+/- 527 )",519,"(+/- 416 )",761,"(+/- 418 )"
People,Ancestry,Ukrainian,1779,"(+/- 755 )",847,"(+/- 486 )",763,"(+/- 579 )",4141,"(+/- 2225 )",510,"(+/- 403 )",170,"(+/- 118 )",1065,"(+/- 675 )"
People,Ancestry,Welsh,4224,"(+/- 1040 )",4440,"(+/- 1367 )",4265,"(+/- 1510 )",3661,"(+/- 1189 )",3835,"(+/- 1618 )",1070,"(+/- 453 )",3861,"(+/- 1242 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2341,"(+/- 1080 )",1825,"(+/- 1008 )",1362,"(+/- 1134 )",1580,"(+/- 873 )",763,"(+/- 436 )",4094,"(+/- 1775 )",1429,"(+/- 964 )"
People,"Veteran Status","Civilian population 18 years and over",626921,"(+/- 6018 )",542399,"(+/- 6570 )",549247,"(+/- 4635 )",568036,"(+/- 5542 )",560470,"(+/- 3510 )",517434,"(+/- 10021 )",584202,"(+/- 2891 )"
People,"Veteran Status","Civilian veterans",80790,"(+/- 4709 )",51811,"(+/- 3769 )",44584,"(+/- 2900 )",42466,"(+/- 2745 )",53638,"(+/- 3886 )",40638,"(+/- 3002 )",49267,"(+/- 2992 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",796401,"(+/- 7208 )",698474,"(+/- 10002 )",687914,"(+/- 6940 )",729476,"(+/- 7546 )",720212,"(+/- 5418 )",633690,"(+/- 12786 )",724073,"(+/- 3315 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",94442,"(+/- 6512 )",97396,"(+/- 5725 )",114975,"(+/- 6238 )",95966,"(+/- 5146 )",99435,"(+/- 5021 )",97938,"(+/- 5578 )",116952,"(+/- 5798 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",171888,"(+/- 3878 )",163850,"(+/- 4926 )",147499,"(+/- 3159 )",168045,"(+/- 2990 )",167776,"(+/- 2924 )",135418,"(+/- 6397 )",147615,"(+/- 2511 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6123,"(+/- 1264 )",8792,"(+/- 2352 )",6355,"(+/- 1352 )",8140,"(+/- 1899 )",8178,"(+/- 1772 )",5668,"(+/- 1808 )",4686,"(+/- 1003 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",478630,"(+/- 5853 )",420727,"(+/- 6168 )",413533,"(+/- 4941 )",446000,"(+/- 5332 )",431833,"(+/- 4122 )",397401,"(+/- 9305 )",418369,"(+/- 2936 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46555,"(+/- 4960 )",48214,"(+/- 3958 )",57848,"(+/- 4567 )",49218,"(+/- 3641 )",50239,"(+/- 3491 )",52764,"(+/- 4009 )",61535,"(+/- 4984 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",145883,"(+/- 2816 )",113897,"(+/- 2396 )",126882,"(+/- 2138 )",115431,"(+/- 2279 )",120603,"(+/- 1929 )",100871,"(+/- 3578 )",158089,"(+/- 1865 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41764,"(+/- 3335 )",40390,"(+/- 2336 )",50772,"(+/- 3247 )",38608,"(+/- 2419 )",41018,"(+/- 2813 )",39506,"(+/- 3120 )",50731,"(+/- 2820 )"
People,"Residence 1 Year Ago","Population 1 year and over",800239,"(+/- 7588 )",707977,"(+/- 9225 )",689798,"(+/- 6835 )",728101,"(+/- 7680 )",723940,"(+/- 5077 )",653203,"(+/- 13185 )",725776,"(+/- 3564 )"
People,"Residence 1 Year Ago","Same house",678380,"(+/- 9531 )",596681,"(+/- 11281 )",591695,"(+/- 7809 )",614810,"(+/- 12165 )",629667,"(+/- 10011 )",550185,"(+/- 13974 )",647625,"(+/- 7743 )"
People,"Residence 1 Year Ago","Different house in the U.S.",117308,"(+/- 9092 )",107260,"(+/- 9406 )",96676,"(+/- 6989 )",107018,"(+/- 9545 )",92672,"(+/- 8190 )",99469,"(+/- 8806 )",77255,"(+/- 6985 )"
People,"Residence 1 Year Ago","Same county",53550,"(+/- 6700 )",52541,"(+/- 8373 )",48494,"(+/- 5661 )",62314,"(+/- 7622 )",45715,"(+/- 5534 )",51307,"(+/- 5935 )",41082,"(+/- 5248 )"
People,"Residence 1 Year Ago","Different county",63758,"(+/- 7310 )",54719,"(+/- 6208 )",48182,"(+/- 5923 )",44704,"(+/- 5076 )",46957,"(+/- 5627 )",48162,"(+/- 5707 )",36173,"(+/- 4722 )"
People,"Residence 1 Year Ago","Same state",23381,"(+/- 3947 )",22677,"(+/- 4876 )",27684,"(+/- 4284 )",22283,"(+/- 3296 )",18226,"(+/- 3064 )",27651,"(+/- 4608 )",14248,"(+/- 2898 )"
People,"Residence 1 Year Ago","Different state",40377,"(+/- 5451 )",32042,"(+/- 3818 )",20498,"(+/- 3606 )",22421,"(+/- 3749 )",28731,"(+/- 5034 )",20511,"(+/- 2895 )",21925,"(+/- 3353 )"
People,"Residence 1 Year Ago",Abroad,4551,"(+/- 1486 )",4036,"(+/- 2728 )",1427,"(+/- 649 )",6273,"(+/- 2515 )",1601,"(+/- 964 )",3549,"(+/- 1608 )",896,"(+/- 531 )"
Workers,"Employment Status","Population 16 years and over",656663,"(+/- 6108 )",572281,"(+/- 7581 )",567003,"(+/- 4831 )",588692,"(+/- 6020 )",583141,"(+/- 3674 )",536505,"(+/- 10938 )",601493,"(+/- 3326 )"
Workers,"Employment Status","In labor force",419205,"(+/- 7586 )",366951,"(+/- 6268 )",324663,"(+/- 7532 )",376932,"(+/- 7301 )",353286,"(+/- 6279 )",308158,"(+/- 8105 )",326487,"(+/- 6481 )"
Workers,"Employment Status","Civilian labor force",408494,"(+/- 7905 )",356216,"(+/- 6343 )",324550,"(+/- 7526 )",376600,"(+/- 7303 )",350480,"(+/- 6378 )",302123,"(+/- 7699 )",326132,"(+/- 6426 )"
Workers,"Employment Status",Employed,394504,"(+/- 8260 )",336086,"(+/- 6394 )",306256,"(+/- 7610 )",359688,"(+/- 7129 )",332806,"(+/- 6645 )",279694,"(+/- 7745 )",306714,"(+/- 7235 )"
Workers,"Employment Status",Unemployed,13990,"(+/- 2309 )",20130,"(+/- 3219 )",18294,"(+/- 2833 )",16912,"(+/- 2515 )",17674,"(+/- 2498 )",22429,"(+/- 2889 )",19418,"(+/- 2414 )"
Workers,"Employment Status","Armed Forces",10711,"(+/- 2203 )",10735,"(+/- 1526 )",113,"(+/- 148 )",332,"(+/- 255 )",2806,"(+/- 802 )",6035,"(+/- 1674 )",355,"(+/- 453 )"
Workers,"Employment Status","Not in labor force",237458,"(+/- 7080 )",205330,"(+/- 6547 )",242340,"(+/- 6476 )",211760,"(+/- 6327 )",229855,"(+/- 6178 )",228347,"(+/- 7608 )",275006,"(+/- 6334 )"
Workers,"Employment Status","Civilian labor force",408494,"(+/- 7905 )",356216,"(+/- 6343 )",324550,"(+/- 7526 )",376600,"(+/- 7303 )",350480,"(+/- 6378 )",302123,"(+/- 7699 )",326132,"(+/- 6426 )"
Workers,"Employment Status","Unemployment Rate",3.4,"(+/- 0.6 )",5.7,"(+/- 0.9 )",5.6,"(+/- 0.9 )",4.5,"(+/- 0.7 )",5.0,"(+/- 0.7 )",7.4,"(+/- 0.9 )",6.0,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",397148,"(+/- 8222 )",341913,"(+/- 6660 )",300674,"(+/- 7483 )",353630,"(+/- 7346 )",330342,"(+/- 6528 )",279004,"(+/- 7966 )",300706,"(+/- 7430 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",322272,"(+/- 8159 )",276528,"(+/- 6788 )",247250,"(+/- 7151 )",292223,"(+/- 7885 )",271687,"(+/- 6968 )",219558,"(+/- 7385 )",246560,"(+/- 7034 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",33690,"(+/- 5075 )",31014,"(+/- 3535 )",31488,"(+/- 3615 )",32294,"(+/- 3277 )",32180,"(+/- 3862 )",30179,"(+/- 3559 )",26494,"(+/- 3464 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2517,"(+/- 1006 )",1549,"(+/- 992 )",882,"(+/- 478 )",1366,"(+/- 684 )",900,"(+/- 558 )",3749,"(+/- 840 )",1784,"(+/- 780 )"
Workers,"Commuting to Work",Walked,6905,"(+/- 1823 )",14049,"(+/- 1958 )",4994,"(+/- 1665 )",4361,"(+/- 1084 )",3828,"(+/- 1193 )",8785,"(+/- 1965 )",4696,"(+/- 1229 )"
Workers,"Commuting to Work","Other means",5768,"(+/- 1949 )",4308,"(+/- 1236 )",4119,"(+/- 1172 )",4710,"(+/- 1521 )",4783,"(+/- 1188 )",6559,"(+/- 1890 )",4404,"(+/- 1176 )"
Workers,"Commuting to Work","Worked at home",25996,"(+/- 2969 )",14465,"(+/- 2157 )",11941,"(+/- 2061 )",18676,"(+/- 2296 )",16964,"(+/- 2400 )",10174,"(+/- 1374 )",16768,"(+/- 2860 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.3,"(+/- 0.6 )",24.8,"(+/- 0.6 )",25.4,"(+/- 0.9 )",23.5,"(+/- 1.0 )",27.0,"(+/- 0.7 )",25.6,"(+/- 0.7 )",23.2,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",394504,"(+/- 8260 )",336086,"(+/- 6394 )",306256,"(+/- 7610 )",359688,"(+/- 7129 )",332806,"(+/- 6645 )",279694,"(+/- 7745 )",306714,"(+/- 7235 )"
Workers,Occupation,"Management, business, science, and arts occupations",167336,"(+/- 6147 )",131432,"(+/- 5439 )",101462,"(+/- 4854 )",127325,"(+/- 5564 )",112199,"(+/- 5521 )",73084,"(+/- 4560 )",87954,"(+/- 5510 )"
Workers,Occupation,"Service occupations",71832,"(+/- 6604 )",58470,"(+/- 4821 )",49376,"(+/- 3801 )",58946,"(+/- 4702 )",54085,"(+/- 4402 )",62195,"(+/- 4612 )",69392,"(+/- 5261 )"
Workers,Occupation,"Sales and office occupations",85187,"(+/- 5241 )",73315,"(+/- 4624 )",62252,"(+/- 4425 )",80162,"(+/- 4353 )",72632,"(+/- 5024 )",65757,"(+/- 4490 )",72841,"(+/- 4403 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31552,"(+/- 3489 )",28990,"(+/- 2768 )",30393,"(+/- 3026 )",31830,"(+/- 3436 )",30099,"(+/- 2934 )",31505,"(+/- 3396 )",30783,"(+/- 3361 )"
Workers,Occupation,"Production, transportation, and material moving occupations",38597,"(+/- 3839 )",43879,"(+/- 3733 )",62773,"(+/- 4597 )",61425,"(+/- 4740 )",63791,"(+/- 4955 )",47153,"(+/- 4093 )",45744,"(+/- 3733 )"
Workers,Industry,"Civilian employed population 16 years and over",394504,"(+/- 8260 )",336086,"(+/- 6394 )",306256,"(+/- 7610 )",359688,"(+/- 7129 )",332806,"(+/- 6645 )",279694,"(+/- 7745 )",306714,"(+/- 7235 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2240,"(+/- 969 )",1910,"(+/- 561 )",2993,"(+/- 970 )",1954,"(+/- 718 )",2711,"(+/- 752 )",3196,"(+/- 1180 )",3387,"(+/- 1337 )"
Workers,Industry,Construction,25982,"(+/- 2741 )",23706,"(+/- 2907 )",21831,"(+/- 2639 )",23639,"(+/- 2880 )",19943,"(+/- 2378 )",22012,"(+/- 2747 )",21125,"(+/- 2533 )"
Workers,Industry,Manufacturing,37325,"(+/- 3806 )",32084,"(+/- 3811 )",62078,"(+/- 4075 )",64691,"(+/- 4414 )",57270,"(+/- 4413 )",29413,"(+/- 3527 )",27775,"(+/- 2850 )"
Workers,Industry,"Wholesale trade",6700,"(+/- 1759 )",8050,"(+/- 1393 )",5657,"(+/- 1272 )",11059,"(+/- 1976 )",9744,"(+/- 1612 )",3468,"(+/- 1141 )",5780,"(+/- 1354 )"
Workers,Industry,"Retail trade",43029,"(+/- 4289 )",37590,"(+/- 3560 )",33522,"(+/- 3492 )",39625,"(+/- 3295 )",35721,"(+/- 3576 )",37641,"(+/- 3035 )",47195,"(+/- 3967 )"
