People,Ancestry,Irish,N,(N)
People,Ancestry,Italian,N,(N)
People,Ancestry,Lithuanian,N,(N)
People,Ancestry,Norwegian,N,(N)
People,Ancestry,Polish,N,(N)
People,Ancestry,Portuguese,N,(N)
People,Ancestry,Russian,N,(N)
People,Ancestry,Scotch-Irish,N,(N)
People,Ancestry,Scottish,N,(N)
People,Ancestry,Slovak,N,(N)
People,Ancestry,"Subsaharan African",N,(N)
People,Ancestry,Swedish,N,(N)
People,Ancestry,Swiss,N,(N)
People,Ancestry,Ukrainian,N,(N)
People,Ancestry,Welsh,N,(N)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",N,(N)
People,"Veteran Status","Civilian population 18 years and over",2599633,"(+/- 573 )"
People,"Veteran Status","Civilian veterans",74415,"(+/- 4353 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",3171580,"(+/- 573 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",675318,"(+/- 12070 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",593120,"(+/- 21 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42155,"(+/- 3345 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",1925133,"(+/- 1136 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",328525,"(+/- 9356 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",653327,"(+/- 952 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",304638,"(+/- 6567 )"
People,"Residence 1 Year Ago","Population 1 year and over",3173956,"(+/- 2199 )"
People,"Residence 1 Year Ago","Same house",2915696,"(+/- 14840 )"
People,"Residence 1 Year Ago","Different house in Puerto Rico or the U.S.",255074,"(+/- 14447 )"
People,"Residence 1 Year Ago","In Puerto Rico",234174,"(+/- 14034 )"
People,"Residence 1 Year Ago","Same municipio",148667,"(+/- 11406 )"
People,"Residence 1 Year Ago","Different municipio",85507,"(+/- 8649 )"
People,"Residence 1 Year Ago","In the United States",20900,"(+/- 4606 )"
People,"Residence 1 Year Ago",Elsewhere,3186,"(+/- 975 )"
Workers,"Employment Status","Population 16 years and over",2684285,"(+/- 2522 )"
Workers,"Employment Status","In labor force",1184158,"(+/- 12934 )"
Workers,"Employment Status","Civilian labor force",1182648,"(+/- 12997 )"
Workers,"Employment Status",Employed,1004429,"(+/- 13869 )"
Workers,"Employment Status",Unemployed,178219,"(+/- 8193 )"
Workers,"Employment Status","Armed Forces",1510,"(+/- 573 )"
Workers,"Employment Status","Not in labor force",1500127,"(+/- 13172 )"
Workers,"Employment Status","Civilian labor force",1182648,"(+/- 12997 )"
Workers,"Employment Status","Unemployment Rate",15.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",980796,"(+/- 13815 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",825434,"(+/- 13939 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",77865,"(+/- 5523 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",17251,"(+/- 1982 )"
Workers,"Commuting to Work",Walked,20540,"(+/- 2459 )"
Workers,"Commuting to Work","Other means",17316,"(+/- 2178 )"
Workers,"Commuting to Work","Worked at home",22390,"(+/- 2472 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",30.3,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",1004429,"(+/- 13869 )"
Workers,Occupation,"Management, business, science, and arts occupations",323351,"(+/- 9541 )"
Workers,Occupation,"Service occupations",217571,"(+/- 9000 )"
Workers,Occupation,"Sales and office occupations",254856,"(+/- 8857 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",93191,"(+/- 5702 )"
Workers,Occupation,"Production, transportation, and material moving occupations",115460,"(+/- 6185 )"
Workers,Industry,"Civilian employed population 16 years and over",1004429,"(+/- 13869 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",13106,"(+/- 2095 )"
Workers,Industry,Construction,56193,"(+/- 4228 )"
Workers,Industry,Manufacturing,91250,"(+/- 5299 )"
Workers,Industry,"Wholesale trade",22946,"(+/- 2665 )"
Workers,Industry,"Retail trade",133398,"(+/- 7792 )"
Workers,Industry,"Transportation and warehousing, and utilities",37781,"(+/- 3937 )"
Workers,Industry,Information,13609,"(+/- 2170 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",58541,"(+/- 4986 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",101059,"(+/- 6028 )"
Workers,Industry,"Educational services, and health care and social assistance",231036,"(+/- 9063 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",99941,"(+/- 7182 )"
Workers,Industry,"Other services, except public administration",51799,"(+/- 3950 )"
Workers,Industry,"Public administration",93770,"(+/- 5489 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",1004429,"(+/- 13869 )"
Workers,"Class of Worker","Private wage and salary workers",685909,"(+/- 14283 )"
Workers,"Class of Worker","Government workers",221003,"(+/- 8999 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",96250,"(+/- 5177 )"
Workers,"Class of Worker","Unpaid family workers",1267,"(+/- 627 )"
Housing,"Housing Occupancy","Total housing units",1553061,"(+/- 8459 )"
Housing,"Housing Occupancy","Occupied housing units",1179637,"(+/- 9819 )"
Housing,"Housing Occupancy","Vacant housing units",373424,"(+/- 8581 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.7,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.6,"(+/- 0.6 )"
Housing,"Housing Tenure","Occupied housing units",1179637,"(+/- 9819 )"
Housing,"Housing Tenure",Owner-occupied,793791,"(+/- 9316 )"
Housing,"Housing Tenure",Renter-occupied,385846,"(+/- 8055 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.74,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.55,"(+/- 0.04 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",1179637,"(+/- 9819 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",122284,"(+/- 5777 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",101034,"(+/- 4834 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",148883,"(+/- 6424 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",258287,"(+/- 6560 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",184743,"(+/- 6668 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",364406,"(+/- 6564 )"
Housing,Value,"Owner-occupied units",793791,"(+/- 9316 )"
Housing,Value,"Less than $50,000",69635,"(+/- 3798 )"
Housing,Value,"$50,000 to $99,999",268795,"(+/- 6933 )"
Housing,Value,"$100,000 to $149,999",228514,"(+/- 6406 )"
Housing,Value,"$150,000 to $199,999",118954,"(+/- 6062 )"
Housing,Value,"$200,000 to $299,999",68657,"(+/- 4014 )"
Housing,Value,"$300,000 to $499,999",26070,"(+/- 2085 )"
Housing,Value,"$500,000 to $999,999",7934,"(+/- 1490 )"
Housing,Value,"$1,000,000 or more",5232,"(+/- 1249 )"
Housing,Value,"Median (dollars)",110800,"(+/- 1053 )"
Housing,"Mortgage Status","Owner-occupied units",793791,"(+/- 9316 )"
Housing,"Mortgage Status","Housing units with a mortgage",302284,"(+/- 6695 )"
Housing,"Mortgage Status","Housing units without a mortgage",491507,"(+/- 7966 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",302284,"(+/- 6695 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",30303,"(+/- 2249 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",165684,"(+/- 5214 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",67558,"(+/- 3740 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19130,"(+/- 2756 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10033,"(+/- 1819 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4840,"(+/- 1217 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",4736,"(+/- 1201 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",851,"(+/- 12 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",491507,"(+/- 7966 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",383666,"(+/- 6532 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",70282,"(+/- 3665 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",24900,"(+/- 2445 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",7063,"(+/- 1393 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3121,"(+/- 925 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2475,"(+/- 850 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",155,"(+/- 3 )"
Housing,"Gross Rent","Occupied units paying rent",234840,"(+/- 6354 )"
Housing,"Gross Rent","Less than $500",124006,"(+/- 4995 )"
Housing,"Gross Rent","$500 to $999",92703,"(+/- 5165 )"
Housing,"Gross Rent","$1,000 to $1,499",14379,"(+/- 2116 )"
Housing,"Gross Rent","$1,500 to $1,999",2286,"(+/- 809 )"
Housing,"Gross Rent","$2,000 to $2,499",657,"(+/- 472 )"
Housing,"Gross Rent","$2,500 to $2,999",775,"(+/- 539 )"
Housing,"Gross Rent","$3,000 or more",34,"(+/- 56 )"
Housing,"Gross Rent","Median (dollars)",484,"(+/- 10 )"
Housing,"Gross Rent","No rent paid",151006,"(+/- 5862 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",1179637,"(+/- 9819 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",317019,"(+/- 8389 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",144175,"(+/- 5999 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",223119,"(+/- 8127 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",140110,"(+/- 5266 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",145383,"(+/- 6168 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",113662,"(+/- 5914 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",44369,"(+/- 3511 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",31915,"(+/- 3520 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",8143,"(+/- 1572 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",11742,"(+/- 1756 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",20296,"(+/- 426 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",32044,"(+/- 714 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",3171580,"(+/- 573 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",2968666,"(+/- 11099 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",1232990,"(+/- 24602 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",1963858,"(+/- 21964 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",202914,"(+/- 11156 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",641105,"(+/- 3263 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",18902,"(+/- 3120 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",39.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",53.8,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",57.2,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",26.8,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",32.4,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",33.5,"(+/- 6.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",57.6,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",71.3,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",75.2,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",43.1,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",56.9,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",56.8,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",64.4,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",54.8,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",39.9,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",38.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",40.5,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",55.6,"(+/- 1.2 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",742847,"(+/- 9569 )"
Education,"School Enrollment","Nursery school, preschool",35928,"(+/- 3116 )"
Education,"School Enrollment",Kindergarten,27389,"(+/- 2674 )"
Education,"School Enrollment","Elementary school (grades 1-8)",289314,"(+/- 4936 )"
Education,"School Enrollment","High school (grades 9-12)",153451,"(+/- 4374 )"
Education,"School Enrollment","College or graduate school",236765,"(+/- 10080 )"
Education,"Educational Attainment","Population 25 years and over",2288030,"(+/- 2377 )"
Education,"Educational Attainment","Less than 9th grade",336242,"(+/- 10920 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",178663,"(+/- 7687 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",644702,"(+/- 12611 )"
Education,"Educational Attainment","Some college, no degree",276042,"(+/- 8157 )"
Education,"Educational Attainment","Associate's degree",241678,"(+/- 8641 )"
Education,"Educational Attainment","Bachelor's degree",430692,"(+/- 10597 )"
Education,"Educational Attainment","Graduate or professional degree",180011,"(+/- 8230 )"
Education,"Educational Attainment","Percent high school graduate or higher",77.5,"(+/- 0.5 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",26.7,"(+/- 0.6 )"

"Source: 2018 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",676266,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",123,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",477,G
Business,"Paid employees for pay period including March 12",Utilities,342,G
Business,"Paid employees for pay period including March 12",Construction,20481,G
Business,"Paid employees for pay period including March 12",Manufacturing,74237,G
Business,"Paid employees for pay period including March 12","Wholesale trade",29782,G
Business,"Paid employees for pay period including March 12","Retail trade",130091,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",15053,G
Business,"Paid employees for pay period including March 12",Information,17542,G
Business,"Paid employees for pay period including March 12","Finance and insurance",32227,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",11935,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",33232,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",6690,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",74818,G
Business,"Paid employees for pay period including March 12","Educational services",40406,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",83975,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4042,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",82139,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",18171,G
Business,"Paid employees for pay period including March 12","Industries not classified",503,H
Business,"Annual payroll ($1,000)","Total for all sectors",17228629,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",1107,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",9105,G
Business,"Annual payroll ($1,000)",Utilities,20742,G
Business,"Annual payroll ($1,000)",Construction,471418,G
Business,"Annual payroll ($1,000)",Manufacturing,2854224,G
Business,"Annual payroll ($1,000)","Wholesale trade",1099372,G
Business,"Annual payroll ($1,000)","Retail trade",2363619,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",441470,G
Business,"Annual payroll ($1,000)",Information,747494,G
Business,"Annual payroll ($1,000)","Finance and insurance",1468626,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",294439,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1273292,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",320289,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",1462456,G
Business,"Annual payroll ($1,000)","Educational services",803268,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2043919,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",73298,G
Business,"Annual payroll ($1,000)","Accommodation and food services",1128507,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",342669,G
Business,"Annual payroll ($1,000)","Industries not classified",9315,G
Business,"Total Establishments","Total for all sectors",43688,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",12,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",39,X
Business,"Total Establishments",Utilities,29,X
Business,"Total Establishments",Construction,1734,X
Business,"Total Establishments",Manufacturing,1749,X
Business,"Total Establishments","Wholesale trade",1956,X
Business,"Total Establishments","Retail trade",9326,X
Business,"Total Establishments","Transportation and warehousing",995,X
Business,"Total Establishments",Information,703,X
Business,"Total Establishments","Finance and insurance",1758,X
Business,"Total Establishments","Real estate and rental and leasing",1633,X
Business,"Total Establishments","Professional, scientific, and technical services",4442,X
Business,"Total Establishments","Management of companies and enterprises",107,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1954,X
Business,"Total Establishments","Educational services",841,X
Business,"Total Establishments","Health care and social assistance",7682,X
Business,"Total Establishments","Arts, entertainment, and recreation",468,X
Business,"Total Establishments","Accommodation and food services",4706,X
Business,"Total Establishments","Other services (except public administration)",3289,X
Business,"Total Establishments","Industries not classified",265,X

"Source: 2017 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
