Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","45 to 54 years",100936,"(+/- 1720 )",87911,"(+/- 4673 )",78769,"(+/- 4542 )",99478,"(+/- 1925 )",90393,"(+/- 2575 )",98095,"(+/- 2025 )",96276,"(+/- 1953 )",96185,"(+/- 2321 )",98812,"(+/- 3007 )",95638,"(+/- 2867 )",93893,"(+/- 2581 )",88149,"(+/- 1732 )",95486,"(+/- 2295 )",91562,"(+/- 1628 )",89669,"(+/- 1805 )",88434,"(+/- 1577 )",95015,"(+/- 3183 )",74840,"(+/- 2963 )"
People,"Sex and Age","55 to 59 years",62172,"(+/- 3023 )",46535,"(+/- 3088 )",39820,"(+/- 3327 )",54158,"(+/- 2777 )",51062,"(+/- 2918 )",50015,"(+/- 2277 )",53180,"(+/- 2837 )",48813,"(+/- 2870 )",52996,"(+/- 2413 )",50183,"(+/- 2983 )",50937,"(+/- 2849 )",47296,"(+/- 1915 )",51188,"(+/- 2112 )",53161,"(+/- 2583 )",53733,"(+/- 2307 )",50384,"(+/- 2455 )",55701,"(+/- 2858 )",45415,"(+/- 2498 )"
People,"Sex and Age","60 to 64 years",51369,"(+/- 2977 )",42450,"(+/- 2900 )",43349,"(+/- 3174 )",48515,"(+/- 2383 )",44148,"(+/- 2710 )",48336,"(+/- 2270 )",47984,"(+/- 2665 )",53660,"(+/- 3021 )",51094,"(+/- 2488 )",49401,"(+/- 2859 )",49100,"(+/- 2949 )",49664,"(+/- 1921 )",50746,"(+/- 2341 )",55771,"(+/- 2744 )",52416,"(+/- 1938 )",51906,"(+/- 2247 )",54548,"(+/- 3046 )",50325,"(+/- 3043 )"
People,"Sex and Age","65 to 74 years",74479,"(+/- 1536 )",58143,"(+/- 3242 )",57348,"(+/- 2867 )",71945,"(+/- 1561 )",62965,"(+/- 2095 )",68599,"(+/- 1518 )",73329,"(+/- 1555 )",76920,"(+/- 2011 )",79594,"(+/- 1893 )",71941,"(+/- 2327 )",74888,"(+/- 1946 )",74623,"(+/- 1286 )",80268,"(+/- 1689 )",83021,"(+/- 1217 )",78238,"(+/- 1533 )",75916,"(+/- 1191 )",78291,"(+/- 2782 )",70651,"(+/- 2868 )"
People,"Sex and Age","75 to 84 years",41912,"(+/- 2078 )",28706,"(+/- 2749 )",31066,"(+/- 2371 )",38321,"(+/- 1842 )",34528,"(+/- 2688 )",33241,"(+/- 1875 )",37831,"(+/- 1854 )",40967,"(+/- 1985 )",41304,"(+/- 2180 )",37572,"(+/- 2171 )",44695,"(+/- 2851 )",42895,"(+/- 1697 )",45920,"(+/- 1776 )",44715,"(+/- 1782 )",43771,"(+/- 1711 )",39744,"(+/- 1581 )",40628,"(+/- 2482 )",39754,"(+/- 2171 )"
People,"Sex and Age","85 years and over",15560,"(+/- 1983 )",10784,"(+/- 1676 )",13481,"(+/- 1834 )",19389,"(+/- 1940 )",17687,"(+/- 1799 )",15906,"(+/- 1512 )",19717,"(+/- 1785 )",18422,"(+/- 1847 )",19643,"(+/- 1982 )",17388,"(+/- 1749 )",15908,"(+/- 2147 )",17042,"(+/- 1570 )",17580,"(+/- 1753 )",18777,"(+/- 1626 )",19090,"(+/- 1700 )",18398,"(+/- 1527 )",20872,"(+/- 1931 )",17996,"(+/- 1893 )"
People,"Sex and Age","Median age (years)",43.8,"(+/- 0.4 )",35.3,"(+/- 0.7 )",33.7,"(+/- 0.6 )",41.2,"(+/- 0.4 )",38.1,"(+/- 0.6 )",39.2,"(+/- 0.5 )",40.3,"(+/- 0.5 )",43.3,"(+/- 0.4 )",44.2,"(+/- 0.6 )",40.0,"(+/- 0.5 )",40.1,"(+/- 0.7 )",40.9,"(+/- 0.4 )",44.3,"(+/- 0.4 )",45.7,"(+/- 0.3 )",44.5,"(+/- 0.5 )",42.6,"(+/- 0.3 )",43.4,"(+/- 0.7 )",38.7,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",569027,"(+/- 3970 )",549355,"(+/- 12232 )",598696,"(+/- 11810 )",570761,"(+/- 4849 )",558406,"(+/- 6786 )",561879,"(+/- 3862 )",578135,"(+/- 4128 )",556796,"(+/- 4702 )",564312,"(+/- 4855 )",572564,"(+/- 5535 )",569443,"(+/- 4678 )",562461,"(+/- 3489 )",553951,"(+/- 3548 )",554616,"(+/- 2679 )",554383,"(+/- 4215 )",547405,"(+/- 2420 )",572579,"(+/- 6574 )",564674,"(+/- 6216 )"
People,"Sex and Age","65 years and over",131951,"(+/- 1742 )",97633,"(+/- 3934 )",101895,"(+/- 3376 )",129655,"(+/- 2224 )",115180,"(+/- 2995 )",117746,"(+/- 1950 )",130877,"(+/- 1677 )",136309,"(+/- 2122 )",140541,"(+/- 2524 )",126901,"(+/- 2954 )",135491,"(+/- 2680 )",134560,"(+/- 1809 )",143768,"(+/- 2444 )",146513,"(+/- 1801 )",141099,"(+/- 2349 )",134058,"(+/- 1655 )",139791,"(+/- 3570 )",128401,"(+/- 3629 )"
People,Race,"Total population",713685,"(+/- 4989 )",727380,"(+/- 18436 )",736340,"(+/- 16089 )",727449,"(+/- 6126 )",718076,"(+/- 9863 )",734876,"(+/- 5212 )",731168,"(+/- 5238 )",696956,"(+/- 6350 )",702489,"(+/- 7165 )",734849,"(+/- 6842 )",737394,"(+/- 6387 )",701192,"(+/- 4665 )",692835,"(+/- 5581 )",684084,"(+/- 3546 )",680927,"(+/- 6262 )",686525,"(+/- 3479 )",717264,"(+/- 7902 )",683571,"(+/- 7556 )"
People,Race,"One race",697459,"(+/- 5452 )",699835,"(+/- 18914 )",707654,"(+/- 15344 )",707299,"(+/- 6724 )",699942,"(+/- 10557 )",713817,"(+/- 6210 )",704615,"(+/- 6180 )",677637,"(+/- 6638 )",691028,"(+/- 6771 )",710827,"(+/- 6959 )",720345,"(+/- 7092 )",692077,"(+/- 4895 )",676511,"(+/- 5534 )",671680,"(+/- 4095 )",670374,"(+/- 6289 )",670982,"(+/- 3990 )",699281,"(+/- 8640 )",662152,"(+/- 8438 )"
People,Race,White,610837,"(+/- 5141 )",333199,"(+/- 10920 )",242730,"(+/- 8271 )",578350,"(+/- 6693 )",460206,"(+/- 7215 )",600135,"(+/- 7010 )",592545,"(+/- 7178 )",602185,"(+/- 7020 )",643082,"(+/- 6779 )",581621,"(+/- 8347 )",656429,"(+/- 6709 )",657365,"(+/- 4651 )",647318,"(+/- 5390 )",641786,"(+/- 3235 )",649327,"(+/- 6436 )",623500,"(+/- 3952 )",629316,"(+/- 9088 )",506153,"(+/- 8836 )"
People,Race,"Black or African American",28311,"(+/- 2063 )",196199,"(+/- 13458 )",407657,"(+/- 13118 )",70160,"(+/- 3119 )",182343,"(+/- 7947 )",48066,"(+/- 3347 )",52692,"(+/- 4969 )",41398,"(+/- 4173 )",19626,"(+/- 2317 )",85298,"(+/- 3786 )",28887,"(+/- 3529 )",14903,"(+/- 1463 )",20284,"(+/- 2471 )",21422,"(+/- 1981 )",11851,"(+/- 1262 )",32918,"(+/- 2254 )",43985,"(+/- 4401 )",122406,"(+/- 5117 )"
People,Race,"American Indian and Alaska Native",551,"(+/- 334 )",2602,"(+/- 1610 )",1523,"(+/- 966 )",305,"(+/- 205 )",1967,"(+/- 731 )",508,"(+/- 270 )",2117,"(+/- 1255 )",821,"(+/- 257 )",644,"(+/- 405 )",1534,"(+/- 840 )",1971,"(+/- 1014 )",1746,"(+/- 788 )",729,"(+/- 418 )",380,"(+/- 341 )",792,"(+/- 404 )",1349,"(+/- 499 )",628,"(+/- 304 )",1251,"(+/- 506 )"
People,Race,Asian,45393,"(+/- 3827 )",57767,"(+/- 5180 )",44326,"(+/- 4639 )",47999,"(+/- 3538 )",49895,"(+/- 5251 )",32630,"(+/- 1751 )",23923,"(+/- 2208 )",13750,"(+/- 1700 )",8666,"(+/- 1176 )",28041,"(+/- 2227 )",14129,"(+/- 1661 )",13706,"(+/- 1291 )",3812,"(+/- 1052 )",6459,"(+/- 690 )",5334,"(+/- 1133 )",8556,"(+/- 1039 )",22145,"(+/- 3399 )",28496,"(+/- 2870 )"
People,Race,"Native Hawaiian and Other Pacific Islander",638,"(+/- 539 )",315,"(+/- 314 )",267,"(+/- 304 )",299,"(+/- 313 )",0,"(+/- 177 )",0,"(+/- 177 )",1022,"(+/- 1279 )",462,"(+/- 391 )",137,"(+/- 267 )",353,"(+/- 432 )",493,"(+/- 405 )",251,"(+/- 279 )",28,"(+/- 40 )",324,"(+/- 289 )",174,"(+/- 157 )",63,"(+/- 111 )",25,"(+/- 46 )",157,"(+/- 267 )"
People,Race,"Some other race",11729,"(+/- 3016 )",109753,"(+/- 8256 )",11151,"(+/- 3923 )",10186,"(+/- 2620 )",5531,"(+/- 1464 )",32478,"(+/- 4968 )",32316,"(+/- 6602 )",19021,"(+/- 3696 )",18873,"(+/- 4045 )",13980,"(+/- 3503 )",18436,"(+/- 4127 )",4106,"(+/- 1065 )",4340,"(+/- 1419 )",1309,"(+/- 604 )",2896,"(+/- 910 )",4596,"(+/- 1466 )",3182,"(+/- 1533 )",3689,"(+/- 1226 )"
People,Race,"Two or more races",16226,"(+/- 2816 )",27545,"(+/- 5201 )",28686,"(+/- 4516 )",20150,"(+/- 2939 )",18134,"(+/- 3419 )",21059,"(+/- 3286 )",26553,"(+/- 4287 )",19319,"(+/- 3513 )",11461,"(+/- 2479 )",24022,"(+/- 3791 )",17049,"(+/- 2991 )",9115,"(+/- 1414 )",16324,"(+/- 2355 )",12404,"(+/- 2012 )",10553,"(+/- 1593 )",15543,"(+/- 2437 )",17983,"(+/- 3229 )",21419,"(+/- 3443 )"
People,"Hispanic or Latino and Race","Total population",713685,"(+/- 4989 )",727380,"(+/- 18436 )",736340,"(+/- 16089 )",727449,"(+/- 6126 )",718076,"(+/- 9863 )",734876,"(+/- 5212 )",731168,"(+/- 5238 )",696956,"(+/- 6350 )",702489,"(+/- 7165 )",734849,"(+/- 6842 )",737394,"(+/- 6387 )",701192,"(+/- 4665 )",692835,"(+/- 5581 )",684084,"(+/- 3546 )",680927,"(+/- 6262 )",686525,"(+/- 3479 )",717264,"(+/- 7902 )",683571,"(+/- 7556 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",41311,"(+/- 2692 )",190084,"(+/- 6556 )",40023,"(+/- 4499 )",36269,"(+/- 2591 )",33639,"(+/- 4675 )",115981,"(+/- 3083 )",142642,"(+/- 2650 )",86241,"(+/- 2656 )",49849,"(+/- 3361 )",61607,"(+/- 2790 )",69093,"(+/- 2765 )",17337,"(+/- 1293 )",22858,"(+/- 783 )",9612,"(+/- 550 )",10122,"(+/- 850 )",18201,"(+/- 334 )",13090,"(+/- 1774 )",16804,"(+/- 1722 )"
People,"Hispanic or Latino and Race",Mexican,9570,"(+/- 2970 )",6017,"(+/- 2664 )",7475,"(+/- 3046 )",11356,"(+/- 3046 )",7543,"(+/- 4349 )",32461,"(+/- 4006 )",12099,"(+/- 3940 )",12335,"(+/- 3074 )",6349,"(+/- 2299 )",8933,"(+/- 3036 )",8402,"(+/- 2820 )",3674,"(+/- 938 )",11965,"(+/- 2463 )",2593,"(+/- 765 )",2958,"(+/- 689 )",3452,"(+/- 1680 )",4627,"(+/- 1507 )",6477,"(+/- 1927 )"
People,"Hispanic or Latino and Race","Puerto Rican",18939,"(+/- 2827 )",121198,"(+/- 9382 )",16519,"(+/- 3642 )",9451,"(+/- 2025 )",12391,"(+/- 2265 )",49737,"(+/- 5155 )",73552,"(+/- 7067 )",33524,"(+/- 4222 )",28109,"(+/- 2838 )",35352,"(+/- 3312 )",39416,"(+/- 4285 )",7988,"(+/- 1538 )",4338,"(+/- 1088 )",3272,"(+/- 1052 )",4309,"(+/- 771 )",11715,"(+/- 1854 )",3416,"(+/- 1081 )",4086,"(+/- 1355 )"
People,"Hispanic or Latino and Race",Cuban,1219,"(+/- 711 )",2133,"(+/- 1207 )",2394,"(+/- 861 )",718,"(+/- 303 )",2638,"(+/- 1681 )",1660,"(+/- 786 )",2739,"(+/- 1395 )",1179,"(+/- 713 )",426,"(+/- 341 )",1359,"(+/- 799 )",4136,"(+/- 1807 )",339,"(+/- 194 )",417,"(+/- 281 )",681,"(+/- 488 )",508,"(+/- 427 )",418,"(+/- 317 )",386,"(+/- 345 )",835,"(+/- 442 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11583,"(+/- 3070 )",60736,"(+/- 8748 )",13635,"(+/- 2627 )",14744,"(+/- 3375 )",11067,"(+/- 2603 )",32123,"(+/- 5116 )",54252,"(+/- 6524 )",39203,"(+/- 5042 )",14965,"(+/- 3572 )",15963,"(+/- 2971 )",17139,"(+/- 3867 )",5336,"(+/- 1010 )",6138,"(+/- 2599 )",3066,"(+/- 1073 )",2347,"(+/- 657 )",2616,"(+/- 781 )",4661,"(+/- 1302 )",5406,"(+/- 1534 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",672374,"(+/- 4483 )",537296,"(+/- 17379 )",696317,"(+/- 15574 )",691180,"(+/- 5598 )",684437,"(+/- 9120 )",618895,"(+/- 4847 )",588526,"(+/- 4382 )",610715,"(+/- 5417 )",652640,"(+/- 6689 )",673242,"(+/- 6567 )",668301,"(+/- 5971 )",683855,"(+/- 4734 )",669977,"(+/- 5491 )",674472,"(+/- 3642 )",670805,"(+/- 5988 )",668324,"(+/- 3468 )",704174,"(+/- 7844 )",666767,"(+/- 7535 )"
People,"Place of Birth","Total population",713685,"(+/- 4989 )",727380,"(+/- 18436 )",736340,"(+/- 16089 )",727449,"(+/- 6126 )",718076,"(+/- 9863 )",734876,"(+/- 5212 )",731168,"(+/- 5238 )",696956,"(+/- 6350 )",702489,"(+/- 7165 )",734849,"(+/- 6842 )",737394,"(+/- 6387 )",701192,"(+/- 4665 )",692835,"(+/- 5581 )",684084,"(+/- 3546 )",680927,"(+/- 6262 )",686525,"(+/- 3479 )",717264,"(+/- 7902 )",683571,"(+/- 7556 )"
People,"Place of Birth",Native,636445,"(+/- 6779 )",594387,"(+/- 16057 )",664575,"(+/- 16110 )",652640,"(+/- 6947 )",624194,"(+/- 9565 )",655387,"(+/- 7327 )",655351,"(+/- 7679 )",642884,"(+/- 6950 )",680849,"(+/- 7017 )",685888,"(+/- 8163 )",700581,"(+/- 7644 )",680088,"(+/- 5577 )",676554,"(+/- 6180 )",672849,"(+/- 3877 )",670979,"(+/- 6469 )",667115,"(+/- 4210 )",682566,"(+/- 8013 )",641143,"(+/- 7542 )"
People,"Place of Birth","Born in United States",627529,"(+/- 6825 )",539672,"(+/- 16715 )",652928,"(+/- 16067 )",644401,"(+/- 6894 )",614865,"(+/- 9777 )",629118,"(+/- 7286 )",623725,"(+/- 8051 )",628091,"(+/- 7060 )",664934,"(+/- 7180 )",667626,"(+/- 8030 )",683018,"(+/- 7675 )",674580,"(+/- 5629 )",671046,"(+/- 6177 )",668839,"(+/- 3947 )",667041,"(+/- 6570 )",660937,"(+/- 4123 )",679143,"(+/- 8033 )",635286,"(+/- 7634 )"
People,"Place of Birth","State of residence",456566,"(+/- 7141 )",458645,"(+/- 15738 )",485405,"(+/- 14080 )",511831,"(+/- 7802 )",501154,"(+/- 9523 )",461454,"(+/- 8115 )",422185,"(+/- 9250 )",437053,"(+/- 8335 )",570403,"(+/- 8666 )",508003,"(+/- 9760 )",519598,"(+/- 8603 )",542177,"(+/- 6835 )",534464,"(+/- 8826 )",560961,"(+/- 6161 )",581715,"(+/- 6800 )",542929,"(+/- 6010 )",566493,"(+/- 9565 )",523872,"(+/- 9334 )"
People,"Place of Birth","Different state",170963,"(+/- 5719 )",81027,"(+/- 6230 )",167523,"(+/- 9417 )",132570,"(+/- 5653 )",113711,"(+/- 5573 )",167664,"(+/- 6002 )",201540,"(+/- 8422 )",191038,"(+/- 7261 )",94531,"(+/- 5221 )",159623,"(+/- 7600 )",163420,"(+/- 7950 )",132403,"(+/- 5566 )",136582,"(+/- 6458 )",107878,"(+/- 5189 )",85326,"(+/- 3548 )",118008,"(+/- 4949 )",112650,"(+/- 5526 )",111414,"(+/- 5629 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8916,"(+/- 1699 )",54715,"(+/- 6402 )",11647,"(+/- 2566 )",8239,"(+/- 1735 )",9329,"(+/- 2013 )",26269,"(+/- 2718 )",31626,"(+/- 3659 )",14793,"(+/- 2628 )",15915,"(+/- 2194 )",18262,"(+/- 3008 )",17563,"(+/- 3100 )",5508,"(+/- 1279 )",5508,"(+/- 1182 )",4010,"(+/- 940 )",3938,"(+/- 790 )",6178,"(+/- 1372 )",3423,"(+/- 671 )",5857,"(+/- 1567 )"
People,"Place of Birth","Foreign born",77240,"(+/- 4953 )",132993,"(+/- 9659 )",71765,"(+/- 6668 )",74809,"(+/- 4767 )",93882,"(+/- 6998 )",79489,"(+/- 5069 )",75817,"(+/- 6249 )",54072,"(+/- 4926 )",21640,"(+/- 2099 )",48961,"(+/- 4557 )",36813,"(+/- 5030 )",21104,"(+/- 2504 )",16281,"(+/- 2271 )",11235,"(+/- 1690 )",9948,"(+/- 1790 )",19410,"(+/- 2816 )",34698,"(+/- 3294 )",42428,"(+/- 3538 )"
People,Ancestry,"Total population",713685,"(+/- 4989 )",727380,"(+/- 18436 )",736340,"(+/- 16089 )",727449,"(+/- 6126 )",718076,"(+/- 9863 )",734876,"(+/- 5212 )",731168,"(+/- 5238 )",696956,"(+/- 6350 )",702489,"(+/- 7165 )",734849,"(+/- 6842 )",737394,"(+/- 6387 )",701192,"(+/- 4665 )",692835,"(+/- 5581 )",684084,"(+/- 3546 )",680927,"(+/- 6262 )",686525,"(+/- 3479 )",717264,"(+/- 7902 )",683571,"(+/- 7556 )"
People,Ancestry,American,26968,"(+/- 3133 )",17999,"(+/- 3611 )",19962,"(+/- 4535 )",29628,"(+/- 3268 )",18228,"(+/- 2853 )",23045,"(+/- 2971 )",34709,"(+/- 3760 )",27849,"(+/- 3964 )",38424,"(+/- 4020 )",41040,"(+/- 4125 )",51497,"(+/- 4951 )",50902,"(+/- 3950 )",66635,"(+/- 5223 )",26829,"(+/- 3282 )",40548,"(+/- 3309 )",28175,"(+/- 3147 )",18751,"(+/- 2497 )",20884,"(+/- 2823 )"
People,Ancestry,Arab,3946,"(+/- 1726 )",8888,"(+/- 3940 )",3388,"(+/- 1216 )",4248,"(+/- 1996 )",5242,"(+/- 1482 )",3808,"(+/- 1829 )",10970,"(+/- 3334 )",2891,"(+/- 921 )",2554,"(+/- 1150 )",4780,"(+/- 2330 )",3042,"(+/- 1855 )",1408,"(+/- 837 )",738,"(+/- 329 )",4300,"(+/- 1234 )",1184,"(+/- 506 )",3757,"(+/- 2330 )",4377,"(+/- 1306 )",4779,"(+/- 1416 )"
People,Ancestry,Czech,2616,"(+/- 953 )",1705,"(+/- 1646 )",1192,"(+/- 657 )",2017,"(+/- 824 )",1307,"(+/- 632 )",2041,"(+/- 714 )",2380,"(+/- 845 )",2605,"(+/- 864 )",1958,"(+/- 721 )",1428,"(+/- 605 )",1018,"(+/- 463 )",1481,"(+/- 588 )",2403,"(+/- 928 )",5659,"(+/- 1636 )",2735,"(+/- 779 )",2502,"(+/- 708 )",5260,"(+/- 1390 )",3590,"(+/- 818 )"
People,Ancestry,Danish,1197,"(+/- 721 )",1294,"(+/- 1568 )",1116,"(+/- 585 )",975,"(+/- 407 )",1224,"(+/- 820 )",1179,"(+/- 584 )",1673,"(+/- 1292 )",352,"(+/- 198 )",352,"(+/- 182 )",780,"(+/- 423 )",1064,"(+/- 715 )",867,"(+/- 413 )",593,"(+/- 320 )",567,"(+/- 351 )",441,"(+/- 191 )",996,"(+/- 431 )",976,"(+/- 738 )",755,"(+/- 365 )"
People,Ancestry,Dutch,6785,"(+/- 1508 )",1025,"(+/- 548 )",2654,"(+/- 899 )",7697,"(+/- 1411 )",2968,"(+/- 1049 )",9227,"(+/- 1958 )",12956,"(+/- 2318 )",9830,"(+/- 1819 )",21287,"(+/- 2764 )",10404,"(+/- 2128 )",7417,"(+/- 2278 )",15849,"(+/- 2031 )",9416,"(+/- 1770 )",9139,"(+/- 1799 )",14820,"(+/- 1676 )",10304,"(+/- 1494 )",7701,"(+/- 2391 )",3691,"(+/- 966 )"
People,Ancestry,English,63076,"(+/- 4045 )",17381,"(+/- 2982 )",20416,"(+/- 2446 )",56569,"(+/- 4580 )",50207,"(+/- 3781 )",64433,"(+/- 5232 )",40186,"(+/- 4001 )",39332,"(+/- 3986 )",38407,"(+/- 3522 )",48977,"(+/- 4365 )",49316,"(+/- 4596 )",60469,"(+/- 4093 )",46713,"(+/- 3647 )",58982,"(+/- 4027 )",52387,"(+/- 3845 )",58013,"(+/- 4598 )",61586,"(+/- 4790 )",42235,"(+/- 3504 )"
