Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",94773,"(+/- 2015 )",92203,"(+/- 3990 )",90537,"(+/- 3297 )",107896,"(+/- 4131 )",87282,"(+/- 3795 )",96089,"(+/- 2845 )",100313,"(+/- 4087 )",93473,"(+/- 2281 )",119732,"(+/- 5906 )",111057,"(+/- 5322 )",82111,"(+/- 3665 )",107051,"(+/- 2823 )",97604,"(+/- 2676 )",101101,"(+/- 3866 )",104884,"(+/- 5647 )",105322,"(+/- 4316 )",85772,"(+/- 4682 )",98396,"(+/- 3832 )",95490,"(+/- 4142 )",108477,"(+/- 5609 )",99809,"(+/- 3994 )",106300,"(+/- 4894 )",105838,"(+/- 5132 )",102795,"(+/- 6303 )",116943,"(+/- 6239 )",115244,"(+/- 5245 )",115476,"(+/- 5917 )"
People,"Sex and Age","55 to 59 years",53331,"(+/- 2948 )",50138,"(+/- 3006 )",50438,"(+/- 3220 )",57530,"(+/- 3946 )",48722,"(+/- 3458 )",59753,"(+/- 2691 )",46899,"(+/- 3081 )",59091,"(+/- 3144 )",51399,"(+/- 3956 )",48241,"(+/- 3896 )",53297,"(+/- 4244 )",54646,"(+/- 3579 )",60522,"(+/- 3030 )",50032,"(+/- 3244 )",54797,"(+/- 4304 )",62488,"(+/- 3478 )",50156,"(+/- 3362 )",62016,"(+/- 4588 )",58668,"(+/- 3648 )",50924,"(+/- 4236 )",50467,"(+/- 3647 )",57140,"(+/- 3735 )",52640,"(+/- 4464 )",48010,"(+/- 3985 )",51508,"(+/- 3921 )",55714,"(+/- 3904 )",50723,"(+/- 4329 )"
People,"Sex and Age","60 to 64 years",54590,"(+/- 2960 )",51910,"(+/- 3058 )",44889,"(+/- 2830 )",52782,"(+/- 3861 )",41712,"(+/- 3007 )",58015,"(+/- 3140 )",46097,"(+/- 3285 )",67145,"(+/- 3232 )",53780,"(+/- 4095 )",47047,"(+/- 3834 )",66737,"(+/- 4427 )",57563,"(+/- 3648 )",57887,"(+/- 3269 )",41489,"(+/- 3170 )",49617,"(+/- 3722 )",60444,"(+/- 3762 )",59009,"(+/- 3490 )",55740,"(+/- 4059 )",59831,"(+/- 3356 )",46733,"(+/- 3404 )",49675,"(+/- 3156 )",56302,"(+/- 3425 )",45993,"(+/- 3875 )",47679,"(+/- 3552 )",47803,"(+/- 4256 )",42901,"(+/- 3064 )",43494,"(+/- 4009 )"
People,"Sex and Age","65 to 74 years",79700,"(+/- 1488 )",86744,"(+/- 2909 )",79959,"(+/- 2843 )",82120,"(+/- 3518 )",62313,"(+/- 2924 )",113662,"(+/- 2666 )",67128,"(+/- 3033 )",105457,"(+/- 1665 )",82992,"(+/- 3273 )",62987,"(+/- 3141 )",149163,"(+/- 3389 )",106008,"(+/- 3037 )",92263,"(+/- 3045 )",61881,"(+/- 3301 )",78856,"(+/- 5276 )",119548,"(+/- 3575 )",132780,"(+/- 4320 )",103496,"(+/- 3650 )",138741,"(+/- 3459 )",60094,"(+/- 3686 )",95386,"(+/- 4002 )",86953,"(+/- 4605 )",78089,"(+/- 4736 )",63303,"(+/- 4097 )",75741,"(+/- 4153 )",65787,"(+/- 4307 )",73083,"(+/- 4268 )"
People,"Sex and Age","75 to 84 years",41171,"(+/- 1518 )",46465,"(+/- 2593 )",35108,"(+/- 2239 )",41063,"(+/- 2520 )",26976,"(+/- 2307 )",57773,"(+/- 2892 )",32989,"(+/- 2054 )",61795,"(+/- 2724 )",45968,"(+/- 3404 )",24998,"(+/- 2327 )",103280,"(+/- 3787 )",64894,"(+/- 2970 )",53627,"(+/- 3057 )",29664,"(+/- 2319 )",41444,"(+/- 3697 )",75877,"(+/- 3441 )",88950,"(+/- 4596 )",71879,"(+/- 3312 )",87658,"(+/- 4745 )",32884,"(+/- 3220 )",68809,"(+/- 3858 )",55116,"(+/- 3876 )",43171,"(+/- 3592 )",30798,"(+/- 2763 )",48500,"(+/- 4703 )",38545,"(+/- 3331 )",44148,"(+/- 2769 )"
People,"Sex and Age","85 years and over",11534,"(+/- 1415 )",15245,"(+/- 2082 )",13141,"(+/- 1891 )",14047,"(+/- 1872 )",8976,"(+/- 1227 )",28871,"(+/- 2652 )",13944,"(+/- 1857 )",28313,"(+/- 2838 )",16615,"(+/- 2440 )",9800,"(+/- 1890 )",29226,"(+/- 2959 )",23063,"(+/- 2535 )",25694,"(+/- 2465 )",12969,"(+/- 1991 )",12649,"(+/- 1732 )",31418,"(+/- 2855 )",34052,"(+/- 4046 )",26048,"(+/- 2695 )",38239,"(+/- 3650 )",15921,"(+/- 2426 )",37306,"(+/- 3092 )",23499,"(+/- 2320 )",16575,"(+/- 2436 )",13870,"(+/- 2254 )",23395,"(+/- 3086 )",13117,"(+/- 2381 )",23473,"(+/- 3260 )"
People,"Sex and Age","Median age (years)",38.9,"(+/- 0.5 )",42.2,"(+/- 0.8 )",37.7,"(+/- 0.4 )",40.1,"(+/- 0.6 )",34.7,"(+/- 0.7 )",47.6,"(+/- 0.7 )",36.8,"(+/- 0.5 )",48.5,"(+/- 0.4 )",38.3,"(+/- 0.7 )",35.3,"(+/- 0.4 )",55.7,"(+/- 0.7 )",46.6,"(+/- 0.6 )",47.4,"(+/- 0.5 )",36.3,"(+/- 0.5 )",38.3,"(+/- 0.9 )",47.9,"(+/- 0.7 )",51.5,"(+/- 1.0 )",48.2,"(+/- 0.6 )",51.5,"(+/- 0.7 )",36.2,"(+/- 0.7 )",45.9,"(+/- 0.8 )",45.7,"(+/- 0.8 )",41.4,"(+/- 0.8 )",36.8,"(+/- 0.8 )",42.6,"(+/- 0.7 )",39.2,"(+/- 0.7 )",41.9,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",616082,"(+/- 1238 )",591453,"(+/- 5902 )",601561,"(+/- 6688 )",648028,"(+/- 9404 )",569060,"(+/- 11411 )",641342,"(+/- 6361 )",632447,"(+/- 10503 )",631073,"(+/- 2743 )",702786,"(+/- 15067 )",636002,"(+/- 14707 )",668896,"(+/- 11011 )",637648,"(+/- 6758 )",618898,"(+/- 7107 )",611438,"(+/- 10147 )",629350,"(+/- 14353 )",691520,"(+/- 8658 )",650277,"(+/- 10274 )",641313,"(+/- 8791 )",698285,"(+/- 10109 )",616056,"(+/- 12264 )",641615,"(+/- 9495 )",617829,"(+/- 9741 )",593860,"(+/- 8380 )",609742,"(+/- 14987 )",630173,"(+/- 13097 )",616295,"(+/- 13393 )",628421,"(+/- 13764 )"
People,"Sex and Age","65 years and over",132405,"(+/- 1528 )",148454,"(+/- 3317 )",128208,"(+/- 3416 )",137230,"(+/- 3846 )",98265,"(+/- 3730 )",200306,"(+/- 3183 )",114061,"(+/- 3506 )",195565,"(+/- 1605 )",145575,"(+/- 4858 )",97785,"(+/- 3700 )",281669,"(+/- 4798 )",193965,"(+/- 3758 )",171584,"(+/- 3910 )",104514,"(+/- 4374 )",132949,"(+/- 6498 )",226843,"(+/- 4900 )",255782,"(+/- 6041 )",201423,"(+/- 4728 )",264638,"(+/- 4839 )",108899,"(+/- 4975 )",201501,"(+/- 5915 )",165568,"(+/- 6642 )",137835,"(+/- 5994 )",107971,"(+/- 4892 )",147636,"(+/- 6324 )",117449,"(+/- 5379 )",140704,"(+/- 5407 )"
People,Race,"Total population",784532,"(+/- 1160 )",733749,"(+/- 7486 )",758275,"(+/- 8925 )",819177,"(+/- 12926 )",738862,"(+/- 15538 )",781896,"(+/- 8360 )",786041,"(+/- 13741 )",768139,"(+/- 3024 )",902812,"(+/- 20446 )",839504,"(+/- 18537 )",789849,"(+/- 13261 )",792410,"(+/- 7591 )",735935,"(+/- 7767 )",782973,"(+/- 14164 )",808723,"(+/- 20744 )",852096,"(+/- 13146 )",789236,"(+/- 13581 )",780772,"(+/- 10481 )",836359,"(+/- 13306 )",809153,"(+/- 13616 )",785042,"(+/- 11791 )",753363,"(+/- 10621 )",756447,"(+/- 8875 )",784469,"(+/- 19182 )",775326,"(+/- 15148 )",790373,"(+/- 16539 )",763812,"(+/- 16464 )"
People,Race,"One race",750271,"(+/- 4503 )",711014,"(+/- 7144 )",732886,"(+/- 9471 )",792582,"(+/- 13099 )",716135,"(+/- 16139 )",768302,"(+/- 8715 )",760679,"(+/- 13510 )",738736,"(+/- 5983 )",870756,"(+/- 20324 )",812336,"(+/- 18280 )",771737,"(+/- 14012 )",766744,"(+/- 8593 )",710853,"(+/- 8033 )",743216,"(+/- 14707 )",782201,"(+/- 21251 )",832416,"(+/- 13718 )",772023,"(+/- 13794 )",756908,"(+/- 11842 )",825958,"(+/- 13615 )",781759,"(+/- 15168 )",767067,"(+/- 12094 )",733804,"(+/- 11914 )",727712,"(+/- 9647 )",769199,"(+/- 18738 )",765227,"(+/- 14679 )",774439,"(+/- 16447 )",750440,"(+/- 16755 )"
People,Race,White,601815,"(+/- 3861 )",587260,"(+/- 7391 )",565612,"(+/- 9060 )",662790,"(+/- 10877 )",331585,"(+/- 11301 )",641307,"(+/- 10556 )",583016,"(+/- 10615 )",639295,"(+/- 5382 )",670309,"(+/- 19171 )",479216,"(+/- 15875 )",693614,"(+/- 12436 )",686843,"(+/- 8913 )",580519,"(+/- 7314 )",531821,"(+/- 13750 )",598144,"(+/- 17242 )",709176,"(+/- 11971 )",680864,"(+/- 13907 )",611308,"(+/- 9590 )",711481,"(+/- 12473 )",295544,"(+/- 14168 )",601527,"(+/- 12157 )",575793,"(+/- 13973 )",533202,"(+/- 15505 )",337035,"(+/- 16404 )",697177,"(+/- 16050 )",624225,"(+/- 17730 )",669096,"(+/- 16368 )"
People,Race,"Black or African American",106063,"(+/- 4148 )",92184,"(+/- 4857 )",127519,"(+/- 6156 )",74267,"(+/- 7625 )",351034,"(+/- 9283 )",82045,"(+/- 4291 )",87476,"(+/- 6027 )",72300,"(+/- 4305 )",111993,"(+/- 8533 )",237772,"(+/- 8364 )",55539,"(+/- 6999 )",38884,"(+/- 3150 )",91631,"(+/- 3753 )",140825,"(+/- 8313 )",127840,"(+/- 11768 )",75971,"(+/- 7261 )",56190,"(+/- 7145 )",104795,"(+/- 7388 )",67922,"(+/- 5040 )",434883,"(+/- 14975 )",120536,"(+/- 9799 )",111541,"(+/- 9908 )",110474,"(+/- 11811 )",371721,"(+/- 11738 )",36179,"(+/- 4793 )",87276,"(+/- 8707 )",35881,"(+/- 5206 )"
People,Race,"American Indian and Alaska Native",4133,"(+/- 1069 )",3345,"(+/- 1083 )",1709,"(+/- 582 )",2692,"(+/- 1204 )",2734,"(+/- 872 )",2596,"(+/- 829 )",1127,"(+/- 725 )",2505,"(+/- 1264 )",2464,"(+/- 1206 )",3835,"(+/- 3331 )",2713,"(+/- 1436 )",2834,"(+/- 850 )",2073,"(+/- 848 )",1824,"(+/- 832 )",3034,"(+/- 1084 )",2196,"(+/- 1065 )",1324,"(+/- 593 )",381,"(+/- 434 )",1118,"(+/- 486 )",849,"(+/- 498 )",2249,"(+/- 1375 )",1591,"(+/- 777 )",3817,"(+/- 1746 )",354,"(+/- 478 )",1050,"(+/- 327 )",5058,"(+/- 4035 )",265,"(+/- 242 )"
People,Race,Asian,22245,"(+/- 2026 )",12107,"(+/- 2265 )",25902,"(+/- 1952 )",36847,"(+/- 4324 )",20493,"(+/- 4293 )",14167,"(+/- 1595 )",42337,"(+/- 4035 )",16407,"(+/- 2332 )",27123,"(+/- 3518 )",41302,"(+/- 4463 )",8909,"(+/- 1828 )",20897,"(+/- 2251 )",26641,"(+/- 2447 )",35850,"(+/- 3583 )",24983,"(+/- 4213 )",19208,"(+/- 2769 )",10685,"(+/- 2605 )",17963,"(+/- 2336 )",15582,"(+/- 1652 )",25202,"(+/- 5365 )",22923,"(+/- 2999 )",22493,"(+/- 4059 )",35644,"(+/- 5154 )",11669,"(+/- 3355 )",8252,"(+/- 2454 )",12069,"(+/- 2687 )",15734,"(+/- 2654 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1815,"(+/- 1288 )",579,"(+/- 358 )",426,"(+/- 386 )",65,"(+/- 117 )",344,"(+/- 451 )",120,"(+/- 201 )",619,"(+/- 742 )",875,"(+/- 383 )",16,"(+/- 29 )",930,"(+/- 765 )",31,"(+/- 63 )",588,"(+/- 495 )",756,"(+/- 390 )",0,"(+/- 229 )",379,"(+/- 399 )",480,"(+/- 409 )",497,"(+/- 452 )",525,"(+/- 444 )",491,"(+/- 296 )",1087,"(+/- 877 )",441,"(+/- 436 )",446,"(+/- 434 )",710,"(+/- 427 )",112,"(+/- 205 )",0,"(+/- 229 )",509,"(+/- 457 )",0,"(+/- 229 )"
People,Race,"Some other race",14200,"(+/- 2998 )",15539,"(+/- 5007 )",11718,"(+/- 3913 )",15921,"(+/- 5193 )",9945,"(+/- 2969 )",28067,"(+/- 5784 )",46104,"(+/- 8076 )",7354,"(+/- 2685 )",58851,"(+/- 9231 )",49281,"(+/- 9373 )",10931,"(+/- 3352 )",16698,"(+/- 3999 )",9233,"(+/- 2549 )",32896,"(+/- 5519 )",27821,"(+/- 6960 )",25385,"(+/- 5054 )",22463,"(+/- 5077 )",21936,"(+/- 5046 )",29364,"(+/- 6588 )",24194,"(+/- 5609 )",19391,"(+/- 5070 )",21940,"(+/- 4669 )",43865,"(+/- 8837 )",48308,"(+/- 8085 )",22569,"(+/- 5015 )",45302,"(+/- 8538 )",29464,"(+/- 6917 )"
People,Race,"Two or more races",34261,"(+/- 4369 )",22735,"(+/- 3898 )",25389,"(+/- 4428 )",26595,"(+/- 4421 )",22727,"(+/- 3542 )",13594,"(+/- 3451 )",25362,"(+/- 4915 )",29403,"(+/- 5487 )",32056,"(+/- 6103 )",27168,"(+/- 4615 )",18112,"(+/- 4009 )",25666,"(+/- 3633 )",25082,"(+/- 4223 )",39757,"(+/- 5191 )",26522,"(+/- 4309 )",19680,"(+/- 3383 )",17213,"(+/- 3797 )",23864,"(+/- 5487 )",10401,"(+/- 2309 )",27394,"(+/- 5371 )",17975,"(+/- 3192 )",19559,"(+/- 5059 )",28735,"(+/- 5502 )",15270,"(+/- 3629 )",10099,"(+/- 3195 )",15934,"(+/- 3291 )",13372,"(+/- 2841 )"
People,"Hispanic or Latino and Race","Total population",784532,"(+/- 1160 )",733749,"(+/- 7486 )",758275,"(+/- 8925 )",819177,"(+/- 12926 )",738862,"(+/- 15538 )",781896,"(+/- 8360 )",786041,"(+/- 13741 )",768139,"(+/- 3024 )",902812,"(+/- 20446 )",839504,"(+/- 18537 )",789849,"(+/- 13261 )",792410,"(+/- 7591 )",735935,"(+/- 7767 )",782973,"(+/- 14164 )",808723,"(+/- 20744 )",852096,"(+/- 13146 )",789236,"(+/- 13581 )",780772,"(+/- 10481 )",836359,"(+/- 13306 )",809153,"(+/- 13616 )",785042,"(+/- 11791 )",753363,"(+/- 10621 )",756447,"(+/- 8875 )",784469,"(+/- 19182 )",775326,"(+/- 15148 )",790373,"(+/- 16539 )",763812,"(+/- 16464 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",53522,"(+/- 412 )",49645,"(+/- 2943 )",79676,"(+/- 3737 )",72602,"(+/- 5279 )",64891,"(+/- 5577 )",104987,"(+/- 3551 )",211449,"(+/- 11129 )",87477,"(+/- 2329 )",386712,"(+/- 14635 )",238792,"(+/- 14124 )",89397,"(+/- 6893 )",107036,"(+/- 3612 )",78500,"(+/- 3326 )",249606,"(+/- 11024 )",185313,"(+/- 13479 )",157171,"(+/- 8304 )",130252,"(+/- 8395 )",128302,"(+/- 6444 )",173271,"(+/- 7731 )",209094,"(+/- 11069 )",198016,"(+/- 8398 )",165952,"(+/- 9850 )",299664,"(+/- 11535 )",331349,"(+/- 17680 )",585299,"(+/- 14668 )",568892,"(+/- 17603 )",555585,"(+/- 17770 )"
People,"Hispanic or Latino and Race",Mexican,19355,"(+/- 2930 )",16681,"(+/- 3308 )",17186,"(+/- 3809 )",10740,"(+/- 2740 )",14178,"(+/- 3220 )",20598,"(+/- 5312 )",13775,"(+/- 4821 )",19395,"(+/- 3669 )",44136,"(+/- 8698 )",33374,"(+/- 6826 )",19686,"(+/- 4034 )",18606,"(+/- 4636 )",15498,"(+/- 3681 )",21884,"(+/- 4330 )",51529,"(+/- 7704 )",70846,"(+/- 8382 )",61176,"(+/- 7277 )",25919,"(+/- 4845 )",46290,"(+/- 7951 )",27591,"(+/- 6316 )",29740,"(+/- 6466 )",13089,"(+/- 4244 )",15846,"(+/- 4832 )",9154,"(+/- 2766 )",51863,"(+/- 7247 )",36399,"(+/- 7183 )",12032,"(+/- 4005 )"
People,"Hispanic or Latino and Race","Puerto Rican",12811,"(+/- 3081 )",12247,"(+/- 2428 )",29321,"(+/- 4559 )",18580,"(+/- 4631 )",19239,"(+/- 4521 )",50121,"(+/- 5426 )",99562,"(+/- 10147 )",29212,"(+/- 4106 )",218737,"(+/- 16856 )",97674,"(+/- 10345 )",40486,"(+/- 6002 )",41537,"(+/- 4622 )",23915,"(+/- 3561 )",72137,"(+/- 8354 )",68602,"(+/- 9511 )",28485,"(+/- 4978 )",29057,"(+/- 5118 )",26265,"(+/- 5253 )",27390,"(+/- 4588 )",30971,"(+/- 5073 )",27615,"(+/- 4236 )",28430,"(+/- 5193 )",41739,"(+/- 5238 )",32250,"(+/- 6395 )",24325,"(+/- 4336 )",33560,"(+/- 5228 )",23169,"(+/- 4556 )"
People,"Hispanic or Latino and Race",Cuban,5074,"(+/- 1905 )",5803,"(+/- 1496 )",12075,"(+/- 3283 )",10074,"(+/- 3146 )",10025,"(+/- 2114 )",7047,"(+/- 2408 )",24652,"(+/- 5726 )",10950,"(+/- 3077 )",19638,"(+/- 5823 )",18547,"(+/- 4739 )",9147,"(+/- 2690 )",16031,"(+/- 3342 )",16340,"(+/- 3387 )",82454,"(+/- 9261 )",25447,"(+/- 5676 )",12531,"(+/- 2958 )",18576,"(+/- 4516 )",19772,"(+/- 5679 )",48166,"(+/- 6625 )",43491,"(+/- 7860 )",32876,"(+/- 5427 )",24015,"(+/- 4789 )",69000,"(+/- 8773 )",114399,"(+/- 8479 )",335901,"(+/- 13307 )",296985,"(+/- 16610 )",291870,"(+/- 13958 )"
